========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
0.01 atm
T,R->P1
610.0,8.48362e-11
620.0,8.51265e-11
630.0,8.54168e-11
640.0,8.57016e-11
650.0,8.59838e-11
660.0,8.6271e-11
670.0,8.65631e-11
680.0,8.68619e-11
690.0,8.71561e-11
700.0,8.7445e-11
800.0,9.02916e-11
900.0,9.29893e-11
1000.0,9.56199e-11
1100.0,9.80784e-11
1200.0,1.00444e-10
1300.0,1.0265e-10
1400.0,1.04715e-10
1500.0,1.0665e-10
1600.0,1.08447e-10
1700.0,1.10081e-10
1800.0,1.11592e-10
1900.0,1.12987e-10
2000.0,1.14211e-10
2100.0,1.15331e-10
2200.0,1.16309e-10
2300.0,1.17178e-10
2400.0,1.17904e-10
2500.0,1.18515e-10
2600.0,1.19023e-10
2700.0,1.19408e-10
2800.0,1.19667e-10
2900.0,1.19848e-10
3000.0,1.19939e-10
========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
0.5 atm
T,R->P1
250.0,7.69188e-11
260.0,7.69199e-11
270.0,7.69575e-11
280.0,7.7019e-11
290.0,7.71092e-11
300.0,7.72179e-11
310.0,7.73495e-11
320.0,7.74959e-11
330.0,7.76604e-11
340.0,7.78367e-11
350.0,7.80256e-11
360.0,7.82233e-11
370.0,7.84385e-11
380.0,7.86583e-11
390.0,7.88879e-11
400.0,7.91259e-11
410.0,7.9368e-11
420.0,7.96114e-11
430.0,7.98555e-11
440.0,8.01021e-11
450.0,8.03611e-11
460.0,8.06394e-11
470.0,8.09186e-11
480.0,8.1189e-11
490.0,8.14561e-11
500.0,8.17284e-11
510.0,8.20017e-11
520.0,8.22765e-11
530.0,8.25542e-11
540.0,8.28481e-11
550.0,8.31503e-11
560.0,8.34485e-11
570.0,8.37336e-11
580.0,8.40119e-11
590.0,8.42864e-11
600.0,8.45583e-11
610.0,8.48362e-11
620.0,8.51265e-11
630.0,8.54168e-11
640.0,8.57016e-11
650.0,8.59837e-11
660.0,8.6271e-11
670.0,8.65631e-11
680.0,8.68619e-11
690.0,8.71561e-11
700.0,8.74449e-11
800.0,9.02915e-11
900.0,9.29891e-11
1000.0,9.56197e-11
1100.0,9.80781e-11
1200.0,1.00443e-10
1300.0,1.02649e-10
1400.0,1.04714e-10
1500.0,1.06649e-10
1600.0,1.08445e-10
1700.0,1.10079e-10
1800.0,1.11589e-10
1900.0,1.12984e-10
2000.0,1.14204e-10
2100.0,1.15325e-10
2200.0,1.16299e-10
2300.0,1.17171e-10
2400.0,1.17893e-10
2500.0,1.18501e-10
2600.0,1.19006e-10
2700.0,1.19389e-10
2800.0,1.19638e-10
2900.0,1.198e-10
3000.0,1.19892e-10
========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
1 atm
T,R->P1
250.0,7.69189e-11
260.0,7.692e-11
270.0,7.69576e-11
280.0,7.70191e-11
290.0,7.71093e-11
300.0,7.7218e-11
310.0,7.73496e-11
320.0,7.7496e-11
330.0,7.76605e-11
340.0,7.78368e-11
350.0,7.80257e-11
360.0,7.82234e-11
370.0,7.84386e-11
380.0,7.86583e-11
390.0,7.8888e-11
400.0,7.9126e-11
410.0,7.9368e-11
420.0,7.96114e-11
430.0,7.98555e-11
440.0,8.01022e-11
450.0,8.03612e-11
460.0,8.06395e-11
470.0,8.09186e-11
480.0,8.11891e-11
490.0,8.14561e-11
500.0,8.17284e-11
510.0,8.20017e-11
520.0,8.22765e-11
530.0,8.25542e-11
540.0,8.28481e-11
550.0,8.31503e-11
560.0,8.34485e-11
570.0,8.37336e-11
580.0,8.40119e-11
590.0,8.42864e-11
600.0,8.45583e-11
610.0,8.48362e-11
620.0,8.51265e-11
630.0,8.54168e-11
640.0,8.57015e-11
650.0,8.59837e-11
660.0,8.62709e-11
670.0,8.6563e-11
680.0,8.68618e-11
690.0,8.7156e-11
700.0,8.74448e-11
800.0,9.02914e-11
900.0,9.29888e-11
1000.0,9.56193e-11
1100.0,9.80772e-11
1200.0,1.00442e-10
1300.0,1.02647e-10
1400.0,1.04712e-10
1500.0,1.06646e-10
1600.0,1.0844e-10
1700.0,1.10074e-10
1800.0,1.11582e-10
1900.0,1.12976e-10
2000.0,1.14187e-10
2100.0,1.15312e-10
2200.0,1.16275e-10
2300.0,1.17156e-10
2400.0,1.17864e-10
2500.0,1.18467e-10
2600.0,1.18966e-10
2700.0,1.19343e-10
2800.0,1.19579e-10
2900.0,1.19684e-10
3000.0,1.19776e-10
========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
3 atm
T,R->P1
250.0,7.69193e-11
260.0,7.69204e-11
270.0,7.6958e-11
280.0,7.70195e-11
290.0,7.71097e-11
300.0,7.72184e-11
310.0,7.73499e-11
320.0,7.74963e-11
330.0,7.76609e-11
340.0,7.78371e-11
350.0,7.8026e-11
360.0,7.82237e-11
370.0,7.84389e-11
380.0,7.86586e-11
390.0,7.88883e-11
400.0,7.91262e-11
410.0,7.93683e-11
420.0,7.96117e-11
430.0,7.98557e-11
440.0,8.01024e-11
450.0,8.03614e-11
460.0,8.06396e-11
470.0,8.09188e-11
480.0,8.11892e-11
490.0,8.14563e-11
500.0,8.17286e-11
510.0,8.20019e-11
520.0,8.22766e-11
530.0,8.25542e-11
540.0,8.28482e-11
550.0,8.31503e-11
560.0,8.34486e-11
570.0,8.37337e-11
580.0,8.40119e-11
590.0,8.42864e-11
600.0,8.45582e-11
610.0,8.48361e-11
620.0,8.51264e-11
630.0,8.54166e-11
640.0,8.57014e-11
650.0,8.59835e-11
660.0,8.62707e-11
670.0,8.65627e-11
680.0,8.68616e-11
690.0,8.71557e-11
700.0,8.74445e-11
800.0,9.02907e-11
900.0,9.29877e-11
1000.0,9.56175e-11
1100.0,9.80737e-11
1200.0,1.00438e-10
1300.0,1.0264e-10
1400.0,1.04704e-10
1500.0,1.06635e-10
1600.0,1.0842e-10
1700.0,1.10053e-10
1800.0,1.11556e-10
1900.0,1.12945e-10
2000.0,1.14123e-10
2100.0,1.15259e-10
2200.0,1.16178e-10
2300.0,1.17093e-10
2400.0,1.17751e-10
2500.0,1.18331e-10
2600.0,1.18806e-10
2700.0,1.1916e-10
2800.0,1.19385e-10
2900.0,1.1924e-10
3000.0,1.1933e-10
========================================
h+ho2=hoohFINALNOCOMMENTS_W1_Energy_1_0.0.out
5 atm
T,R->P1
250.0,7.69198e-11
260.0,7.69209e-11
270.0,7.69584e-11
280.0,7.70199e-11
290.0,7.71101e-11
300.0,7.72188e-11
310.0,7.73503e-11
320.0,7.74967e-11
330.0,7.76612e-11
340.0,7.78375e-11
350.0,7.80264e-11
360.0,7.8224e-11
370.0,7.84392e-11
380.0,7.86589e-11
390.0,7.88886e-11
400.0,7.91265e-11
410.0,7.93685e-11
420.0,7.96119e-11
430.0,7.9856e-11
440.0,8.01027e-11
450.0,8.03616e-11
460.0,8.06399e-11
470.0,8.0919e-11
480.0,8.11894e-11
490.0,8.14564e-11
500.0,8.17287e-11
510.0,8.2002e-11
520.0,8.22768e-11
530.0,8.25543e-11
540.0,8.28483e-11
550.0,8.31504e-11
560.0,8.34486e-11
570.0,8.37337e-11
580.0,8.40119e-11
590.0,8.42864e-11
600.0,8.45582e-11
610.0,8.48361e-11
620.0,8.51264e-11
630.0,8.54165e-11
640.0,8.57013e-11
650.0,8.59834e-11
660.0,8.62706e-11
670.0,8.65625e-11
680.0,8.68614e-11
690.0,8.71554e-11
700.0,8.74442e-11
