pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      4.95769 -5.67508e-10  -1.0159e-14
      4.83761 -1.26087e-09 -2.22414e-14
      4.71753 -1.17133e-09 -2.03569e-14
      4.59744   1.2816e-09  2.19412e-14
      4.47736 -6.34874e-10  -1.0706e-14
      4.35728  1.62371e-09  2.69691e-14
       4.2372 -2.71152e-09 -4.43614e-14
      4.11711 -9.79367e-10  -1.5784e-14
      3.99703  4.99853e-11  7.93723e-16
      3.87695 -4.10904e-11 -6.43069e-16
      3.75687 -2.69914e-09 -4.16532e-14
      3.63678  3.19113e-09  4.85948e-14
       3.5167   3.2985e-09  4.96161e-14
      3.39662 -5.41187e-09 -8.05121e-14
      3.27654  2.16706e-09  3.19332e-14
      3.15645  5.06727e-09  7.40844e-14
      3.03637 -2.02257e-09 -2.93925e-14
      2.91629  1.29812e-08  1.87894e-13
      2.79621  2.65169e-08  3.83155e-13
      2.67612  9.59153e-08  1.38707e-12
      2.55604  2.74649e-07  3.98655e-12
      2.43596  7.82765e-07  1.14413e-11
      2.31588  2.24534e-06  3.31714e-11
      2.19579  6.33402e-06  9.49853e-11
      2.07571  1.72603e-05   2.6404e-10
      1.95563  4.52232e-05  7.09787e-10
      1.83555  0.000114027  1.84865e-09
      1.71546   0.00027673  4.67154e-09
      1.59538  0.000650768  1.15486e-08
       1.4753   0.00149136  2.81432e-08
      1.35522   0.00335009   6.8174e-08
      1.23513   0.00740749  1.65394e-07
      1.11505    0.0161451  4.04213e-07
     0.994969    0.0346743  1.00088e-06
     0.874887    0.0731118   2.5235e-06
     0.754804      0.15022   6.5131e-06
     0.634722     0.296183  1.72863e-05
     0.514639     0.541913  4.71577e-05
     0.394557     0.857995  0.000131003
     0.274474            1  0.000358695
     0.154392     0.561493  0.000911086
    0.0343093    0.0150931   0.00205741
   -0.0857732            0   0.00438303
    -0.205856            0   0.00923054
    -0.325938            0    0.0191462
    -0.446021            0    0.0388876
    -0.566103            0    0.0766421
    -0.686186            0     0.144473
    -0.806268            0     0.256115
    -0.926351            0     0.418592
     -1.04643            0     0.618546
     -1.16652            0     0.815206
      -1.2866            0     0.954667
     -1.40668            0            1
     -1.52676            0      0.95041
     -1.64685            0     0.831333
     -1.76693            0     0.678558
     -1.88701            0     0.522742
     -2.00709            0     0.383205
     -2.12718            0     0.268929
     -2.24726            0      0.18122
     -2.36734            0     0.117439
     -2.48742            0    0.0731809
     -2.60751            0    0.0437827
     -2.72759            0    0.0250742
     -2.84767            0    0.0136756
     -2.96775            0   0.00705399
     -3.08784            0   0.00340635
     -3.20792            0   0.00151762
       -3.328            0  0.000610171
     -3.44808            0  0.000213589
     -3.56817            0  6.09251e-05
     -3.68825            0   1.2383e-05
     -3.80833            0  1.04218e-06

pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.37264e-09
      11.8024    1.071e-08
      11.6823  1.36947e-08
      11.5622  1.75042e-08
      11.4421  2.23645e-08
      11.3221  2.85629e-08
       11.202  3.64642e-08
      11.0819  4.65319e-08
      10.9618  5.93544e-08
      10.8417  7.56777e-08
      10.7217  9.64483e-08
      10.6016  1.22865e-07
      10.4815  1.56447e-07
      10.3614  1.99118e-07
      10.2413  2.53309e-07
