*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          400          0.1  7.78716e+08     0.126892    0.0139109     0.321963
          400            1  7.78716e+09     0.103376   0.00963725     0.251351
          400            2  1.55743e+10    0.0968441   0.00854202     0.230103
          400            3  2.33615e+10    0.0931023    0.0079348      0.21765
          400            4  3.11487e+10    0.0904793   0.00751824     0.208824
          410          0.1  7.63798e+08     0.133199     0.015285     0.345751
          410            1  7.63798e+09     0.108482     0.010667      0.27343
          410            2   1.5276e+10     0.101608   0.00947855      0.25144
          410            3  2.29139e+10    0.0976677   0.00881854     0.238498
          410            4  3.05519e+10    0.0949051   0.00836528     0.229302
          420          0.1  7.49592e+08     0.138503    0.0166337     0.369064
          420            1  7.49592e+09     0.112904     0.011695     0.295402
          420            2  1.49918e+10      0.10577    0.0104182     0.272784
          420            3  2.24878e+10     0.101678   0.00970783     0.259421
          420            4  2.99837e+10    0.0988065   0.00921942     0.249902
          430          0.1  7.36048e+08     0.144878    0.0181382     0.392574
          430            1  7.36048e+09     0.118127    0.0128338     0.317807
          430            2   1.4721e+10     0.110665    0.0114576     0.294635
          430            3  2.20814e+10     0.106381    0.0106907     0.280894
          430            4  2.94419e+10     0.103375     0.010163     0.271083
          440          0.1  7.23117e+08     0.149225    0.0195892     0.415426
          440            1  7.23117e+09     0.122157    0.0139563     0.339887
          440            2  1.44623e+10     0.114549    0.0124883     0.316271
          440            3  2.16935e+10     0.110171    0.0116689     0.302219
          440            4  2.89247e+10     0.107093    0.0111045     0.292164
          450          0.1  7.10758e+08     0.158179    0.0213848     0.438746
          450            1  7.10758e+09     0.129213    0.0153009     0.362649
          450            2  1.42152e+10     0.121078    0.0137127     0.338648
          450            3  2.13227e+10     0.116398    0.0128256     0.324319
          450            4  2.84303e+10      0.11311    0.0122143     0.314043
          460          0.1  6.98931e+08     0.162818    0.0227949     0.460027
          460            1  6.98931e+09     0.133186    0.0164251     0.383867
          460            2  1.39786e+10     0.124853     0.014754     0.359649
          460            3  2.09679e+10     0.120057    0.0138189     0.345144
          460            4  2.79572e+10     0.116685    0.0131737     0.334721
          470          0.1  6.87601e+08     0.166678    0.0243599     0.481909
          470            1  6.87601e+09     0.136906    0.0176654     0.405697
          470            2   1.3752e+10     0.128478    0.0159009     0.381274
          470            3   2.0628e+10     0.123615    0.0149118     0.366602
          470            4   2.7504e+10     0.120192    0.0142285      0.35604
          480          0.1  6.76736e+08     0.176423     0.026635     0.505296
          480            1  6.76736e+09     0.144892    0.0193579     0.428967
          480            2  1.35347e+10     0.135936    0.0174396     0.404325
          480            3  2.03021e+10     0.130764    0.0163641     0.389477
          480            4  2.70695e+10     0.127122    0.0156211     0.378769
          490          0.1  6.66308e+08     0.183254     0.028271     0.525142
          490            1  6.66308e+09     0.150293    0.0206605      0.44946
          490            2  1.33262e+10     0.140958     0.018647      0.42484
          490            3  1.99892e+10     0.135572    0.0175165     0.409961
          490            4  2.66523e+10      0.13178    0.0167348     0.399209
