Pressure (atm),Temperature (K),W1_Energy_1_W1->P3,W1_Energy_1_W1->P2,W1_Energy_1_W1->P1,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P2->P3
0.5,296.0,1.6992974298280288,1.5781862485652485,1.6991128216682316,0.05051284240345434,0.11123523915324418,0.035682787503193834
0.5,370.0,1.3657475731998379,1.221460889726495,1.3589823708409001,0.03579855184306007,0.06671229081233931,0.013021873253686313
0.5,407.0,1.2225300555110463,1.086667721380689,1.2311367975917566,0.03007389216274832,0.040443141858223786,0.007139293591590677
0.5,474.0,1.0221209032811143,0.8996066063092665,1.0524791269243532,0.02152077817716959,0.013365175411602316,0.0020795815970500934
0.5,513.0,0.9284549702621404,0.814171665513995,0.9700352869611791,0.01759293995162686,0.005888602821050387,0.0008827661904827173
0.5,539.0,0.8723144147890852,0.764110096609262,0.9213925352601258,0.015361224327453878,0.0028997422871208573,0.00044709674619623383
0.5,577.0,0.7973225510166191,0.6988842656106001,0.8575833724905864,0.012588215730117867,0.00036049100416248796,0.00011524639080722109
0.5,700.0,0.5966564946059065,0.5343182362836564,0.6939559989154601,0.006615133844414157,-0.0011805986864544798,1.7427490305155513e-05
0.5,810.0,0.45724824245743406,0.4275462618133593,0.5852731746400022,0.0037400362316252593,-0.00037624257442966995,0.00015055186766009746
0.5,906.0,0.3589785897300258,0.3549207193383112,0.5099101688343571,0.0022768923282699403,0.0002239143794913347,0.0002050784313111685
0.5,1050.0,0.24312418719706025,0.27087622397130373,0.42088934708405645,0.0010717915004553836,0.0005914736087160223,0.00018450509643542912
0.5,1200.0,0.15269714737868445,0.2054570629749433,0.3499182487520761,0.00047239655558667636,0.0005273125534481967,0.00010421941153439833
0.5,1350.0,0.08454975545982693,0.1555166292030224,0.29448425315438104,0.0001937705352362825,0.0002861059867311021,1.8610965180680926e-05
0.5,1525.0,0.02510108497571992,0.11082448826628956,0.243714539324028,5.819000178406739e-05,-1.1164091574478095e-05,-5.705401030291862e-05
0.5,1700.0,-0.019020526802349967,0.07641215602325487,0.20368974573574294,1.4343286476733465e-05,-0.00022885672752713315,-9.793014750034038e-05
0.5,1900.0,-0.05633439536680092,0.04591373202535109,0.1673709971650649,8.6848892778838e-06,-0.00034757784041514406,-0.00010531063481318846
0.5,2000.0,-0.07110170353198611,0.03331454142521203,0.15208993460402234,1.2633056660676584e-05,-0.00035718495624662927,-9.592904694199525e-05
0.5,2200.0,-0.09484596318542456,0.012131510862996624,0.12596482513351204,2.3457737908394266e-05,-0.0002918236697701969,-5.6925681983151004e-05
0.5,2900.0,-0.1411703960736264,-0.03543411900914768,0.06472363158987211,3.1101677539982905e-05,0.0005003650879364898,0.00019886483532932195
1.0,296.0,1.6992974298280288,1.5781862485652485,1.6991128216682316,0.05051284240345434,0.11123523915324418,0.035682787503193834
1.0,370.0,1.3657475731998379,1.221460889726495,1.3589823708409001,0.03579855184306007,0.06671229081233931,0.013021873253686313
1.0,407.0,1.2225300555110463,1.086667721380689,1.2311367975917566,0.03007389216274832,0.040443141858223786,0.007139293591590677
1.0,474.0,1.0221209032811143,0.8996066063092665,1.0524791269243532,0.02152077817716959,0.013365175411602316,0.0020795815970500934
1.0,513.0,0.9284549702621404,0.814171665513995,0.9700352869611791,0.01759293995162686,0.005888602821050387,0.0008827661904827173
1.0,539.0,0.8723144147890852,0.764110096609262,0.9213925352601258,0.015361224327453878,0.0028997422871208573,0.00044709674619623383
1.0,577.0,0.7973225510166191,0.6988842656106001,0.8575833724905864,0.012588215730117867,0.00036049100416248796,0.00011524639080722109
1.0,700.0,0.5966564946059065,0.5343182362836564,0.6939559989154601,0.006615133844414157,-0.0011805986864544798,1.7427490305155513e-05
1.0,810.0,0.45724824245743406,0.4275462618133593,0.5852731746400022,0.0037400362316252593,-0.00037624257442966995,0.00015055186766009746
1.0,906.0,0.3589785897300258,0.3549207193383112,0.5099101688343571,0.0022768923282699403,0.0002239143794913347,0.0002050784313111685
1.0,1050.0,0.24312418719706025,0.27087622397130373,0.42088934708405645,0.0010717915004553836,0.0005914736087160223,0.00018450509643542912
1.0,1200.0,0.15269714737868445,0.2054570629749433,0.3499182487520761,0.00047239655558667636,0.0005273125534481967,0.00010421941153439833
1.0,1350.0,0.08454975545982693,0.1555166292030224,0.29448425315438104,0.0001937705352362825,0.0002861059867311021,1.8610965180680926e-05
1.0,1525.0,0.02510108497571992,0.11082448826628956,0.243714539324028,5.819000178406739e-05,-1.1164091574478095e-05,-5.705401030291862e-05
1.0,1700.0,-0.019020526802349967,0.07641215602325487,0.20368974573574294,1.4343286476733465e-05,-0.00022885672752713315,-9.793014750034038e-05
1.0,1900.0,-0.05633439536680092,0.04591373202535109,0.1673709971650649,8.6848892778838e-06,-0.00034757784041514406,-0.00010531063481318846
1.0,2000.0,-0.07110170353198611,0.03331454142521203,0.15208993460402234,1.2633056660676584e-05,-0.00035718495624662927,-9.592904694199525e-05
1.0,2200.0,-0.09484596318542456,0.012131510862996624,0.12596482513351204,2.3457737908394266e-05,-0.0002918236697701969,-5.6925681983151004e-05
1.0,2900.0,-0.1411703960736264,-0.03543411900914768,0.06472363158987211,3.1101677539982905e-05,0.0005003650879364898,0.00019886483532932195
