    E, kcal/mol    D, mol/kcal         W1->P0
           23.5    1.38883e+06    1.14998e+13
             24    1.44212e+06    1.19488e+13
           24.5    1.49902e+06    1.23828e+13
             25     1.5552e+06    1.28374e+13
           25.5    1.61382e+06     1.3286e+13
             26    1.67383e+06    1.37371e+13
           26.5     1.7337e+06    1.42028e+13
             27    1.79705e+06    1.46532e+13
           27.5    1.86172e+06    1.51059e+13
             28     1.9278e+06    1.55604e+13
           28.5    1.99524e+06    1.60176e+13
             29     2.0655e+06    1.64662e+13
           29.5    2.13579e+06    1.69287e+13
             30    2.20975e+06    1.73761e+13
           30.5    2.28409e+06    1.78347e+13
             31    2.36037e+06    1.82918e+13
           31.5    2.43872e+06    1.87466e+13
             32    2.51906e+06    1.91994e+13
           32.5    2.60091e+06    1.96537e+13
             33    2.68511e+06    2.01034e+13
           33.5    2.77037e+06    2.05578e+13
             34    2.85812e+06    2.10066e+13
           34.5    2.94881e+06    2.14471e+13
             35    3.04001e+06    2.18973e+13
           35.5    3.13416e+06    2.23397e+13
             36    3.22947e+06    2.27874e+13
           36.5    3.32641e+06    2.32369e+13
             37      3.427e+06    2.36741e+13
           37.5    3.52907e+06    2.41143e+13
             38    3.63176e+06    2.45632e+13
           38.5    3.73897e+06    2.49943e+13
             39    3.84656e+06    2.54355e+13
           39.5    3.95693e+06    2.58708e+13
             40    4.07171e+06    2.62899e+13
           40.5    4.18742e+06    2.67159e+13
             41    4.30432e+06    2.71472e+13
           41.5    4.42528e+06     2.7566e+13
             42    4.54611e+06    2.79985e+13
           42.5    4.66959e+06    2.84274e+13
             43    4.79838e+06    2.88368e+13
           43.5    4.92793e+06    2.92545e+13
             44    5.05987e+06    2.96706e+13
           44.5    5.19337e+06    3.00899e+13
             45    5.33001e+06    3.05032e+13
           45.5    5.47023e+06    3.09083e+13
             46     5.6131e+06    3.13107e+13
           46.5    5.75735e+06    3.17177e+13
             47    5.90518e+06    3.21175e+13
           47.5    6.05486e+06    3.25197e+13
             48    6.20758e+06    3.29179e+13
           48.5    6.36455e+06    3.33062e+13
             49    6.52183e+06    3.37052e+13
           49.5    6.68242e+06    3.40992e+13
             50    6.84665e+06    3.44867e+13
           50.5    7.01335e+06    3.48739e+13
             51    7.18359e+06    3.52554e+13
           51.5    7.35689e+06    3.56338e+13
             52    7.53041e+06    3.60229e+13
           52.5    7.70864e+06    3.64012e+13
             53    7.89123e+06    3.67708e+13
           53.5    8.07419e+06    3.71507e+13
             54    8.26284e+06    3.75164e+13
           54.5     8.4533e+06    3.78858e+13
             55    8.64552e+06    3.82589e+13
           55.5    8.84308e+06    3.86203e+13
             56     9.0443e+06    3.89774e+13
           56.5    9.24708e+06    3.93393e+13
             57    9.45483e+06    3.96916e+13
           57.5    9.66365e+06    4.00508e+13
             58    9.87463e+06    4.04123e+13
           58.5    1.00925e+07    4.07567e+13
             59    1.03119e+07    4.11066e+13
           59.5     1.0536e+07    4.14495e+13
             60    1.07619e+07    4.17962e+13
           60.5    1.09907e+07    4.21433e+13
             61    1.12235e+07    4.24863e+13
           61.5    1.14624e+07    4.28173e+13
             62    1.17022e+07    4.31563e+13
           62.5    1.19473e+07    4.34867e+13
             63    1.21949e+07    4.38188e+13
           63.5    1.24448e+07    4.41537e+13
             64    1.27018e+07    4.44745e+13
           64.5      1.296e+07    4.48018e+13
             65    1.32217e+07    4.51277e+13
           65.5    1.34879e+07    4.54492e+13
             66    1.37585e+07     4.5767e+13
           66.5    1.40309e+07    4.60893e+13
             67    1.43118e+07    4.63945e+13
           67.5    1.45911e+07     4.6716e+13
             68    1.48765e+07     4.7028e+13
           68.5    1.51661e+07    4.73375e+13
             69    1.54596e+07    4.76453e+13
           69.5    1.57575e+07    4.79501e+13
             70    1.60597e+07    4.82521e+13
           70.5    1.63649e+07    4.85552e+13
             71    1.66746e+07    4.88557e+13
           71.5    1.69892e+07    4.91519e+13
             72    1.73055e+07    4.94535e+13
           72.5    1.76315e+07    4.97378e+13
             73    1.79557e+07    5.00375e+13
           73.5    1.82872e+07    5.03269e+13
             74    1.86221e+07    5.06169e+13
           74.5    1.89632e+07    5.09004e+13
             75    1.93057e+07      5.119e+13
           75.5    1.96562e+07     5.1468e+13
             76     2.0008e+07    5.17529e+13
           76.5    2.03642e+07    5.20359e+13
             77    2.07274e+07    5.23112e+13
           77.5    2.10927e+07    5.25907e+13
             78    2.14657e+07     5.2861e+13
           78.5    2.18415e+07    5.31341e+13
             79    2.22231e+07    5.34029e+13
           79.5    2.26071e+07    5.36757e+13
             80    2.29991e+07    5.39388e+13
           80.5    2.33914e+07    5.42111e+13
             81    2.37922e+07     5.4473e+13
           81.5    2.41961e+07    5.47371e+13
             82    2.46054e+07    5.49984e+13
           82.5    2.50201e+07     5.5257e+13
             83    2.54387e+07    5.55165e+13
           83.5    2.58628e+07    5.57732e+13
             84     2.6292e+07    5.60281e+13
           84.5    2.67264e+07    5.62812e+13
             85    2.71653e+07     5.6534e+13
           85.5    2.76114e+07    5.67813e+13
             86     2.8059e+07    5.70344e+13
           86.5    2.85158e+07    5.72778e+13
             87     2.8975e+07    5.75255e+13
           87.5    2.94397e+07    5.77711e+13
             88    2.99105e+07    5.80137e+13
           88.5    3.03878e+07    5.82526e+13
             89    3.08675e+07    5.84956e+13
           89.5    3.13566e+07    5.87298e+13
             90    3.18483e+07     5.8968e+13
           90.5    3.23447e+07    5.92062e+13
             91    3.28493e+07    5.94381e+13
           91.5    3.33573e+07    5.96726e+13
             92    3.38717e+07    5.99043e+13
           92.5     3.4392e+07     6.0134e+13
             93    3.49174e+07    6.03634e+13
           93.5    3.54477e+07    6.05928e+13
             94     3.5988e+07    6.08136e+13
           94.5    3.65301e+07    6.10398e+13
             95    3.70807e+07    6.12603e+13
           95.5    3.76348e+07    6.14832e+13
             96    3.81941e+07    6.17061e+13
           96.5    3.87607e+07    6.19254e+13
             97    3.93336e+07    6.21431e+13
           97.5    3.99116e+07    6.23608e+13
             98    4.04979e+07    6.25739e+13
           98.5    4.10871e+07    6.27906e+13
             99    4.16824e+07     6.3006e+13
           99.5    4.22879e+07    6.32141e+13
            100    4.28958e+07    6.34267e+13
          100.5    4.35112e+07     6.3636e+13
            101    4.41341e+07    6.38425e+13
          101.5    4.47612e+07    6.40508e+13
            102     4.5395e+07    6.42574e+13
          102.5    4.60384e+07    6.44584e+13
            103    4.66832e+07    6.46653e+13
          103.5     4.7338e+07    6.48661e+13
            104    4.79974e+07    6.50683e+13
          104.5     4.8663e+07    6.52699e+13
            105    4.93382e+07    6.54663e+13
          105.5    5.00187e+07    6.56633e+13
            106    5.07032e+07    6.58628e+13
          106.5    5.13972e+07    6.60574e+13
            107    5.20974e+07    6.62515e+13
          107.5    5.28025e+07    6.64471e+13
            108    5.35192e+07    6.66355e+13
          108.5    5.42382e+07    6.68286e+13
            109    5.49653e+07    6.70191e+13
          109.5    5.57002e+07    6.72076e+13
            110    5.64416e+07    6.73956e+13
          110.5    5.71904e+07    6.75821e+13
            111    5.79479e+07    6.77656e+13
          111.5    5.87077e+07    6.79537e+13
            112    5.94771e+07    6.81379e+13
          112.5    6.02552e+07    6.83193e+13
            113    6.10377e+07    6.85029e+13
          113.5     6.1831e+07    6.86816e+13
            114    6.26291e+07    6.88621e+13
          114.5    6.34333e+07    6.90428e+13
            115    6.42469e+07    6.92205e+13
          115.5    6.50685e+07    6.93966e+13
            116    6.58951e+07    6.95743e+13
          116.5    6.67327e+07    6.97475e+13
            117    6.75756e+07    6.99221e+13
          117.5    6.84258e+07    7.00959e+13
            118    6.92857e+07    7.02667e+13
          118.5    7.01508e+07     7.0439e+13
            119    7.10244e+07    7.06097e+13
          119.5    7.19062e+07    7.07789e+13
            120    7.27944e+07    7.09486e+13
          120.5    7.36914e+07    7.11165e+13
            121    7.45984e+07    7.12816e+13
          121.5    7.55094e+07    7.14494e+13
            122    7.64309e+07    7.16139e+13
          122.5    7.73597e+07    7.17782e+13
            123    7.82951e+07     7.1943e+13
          123.5     7.9242e+07    7.21038e+13
            124    8.01954e+07    7.22652e+13
          124.5    8.11557e+07    7.24269e+13
            125    8.21262e+07    7.25859e+13
          125.5    8.31033e+07    7.27456e+13
            126    8.40877e+07    7.29053e+13
          126.5    8.50854e+07    7.30599e+13
            127    8.60866e+07    7.32179e+13
          127.5    8.70968e+07    7.33746e+13
            128    8.81175e+07    7.35287e+13
          128.5    8.91444e+07     7.3684e+13
            129    9.01809e+07    7.38376e+13
          129.5    9.12269e+07    7.39896e+13
            130    9.22797e+07    7.41424e+13
          130.5    9.33417e+07    7.42939e+13
            131    9.44137e+07    7.44435e+13
          131.5    9.54912e+07    7.45951e+13
            132     9.6582e+07    7.47423e+13
          132.5    9.76791e+07    7.48908e+13
            133    9.87859e+07    7.50378e+13
          133.5    9.99018e+07    7.51841e+13
            134    1.01025e+08    7.53306e+13
          134.5    1.02158e+08    7.54765e+13
            135    1.03301e+08    7.56204e+13
          135.5    1.04451e+08    7.57648e+13
            136    1.05612e+08     7.5908e+13
          136.5    1.06783e+08    7.60495e+13
            137    1.07958e+08    7.61936e+13
          137.5    1.09149e+08    7.63327e+13
            138    1.10346e+08    7.64735e+13
          138.5    1.11552e+08    7.66134e+13
            139    1.12769e+08     7.6752e+13
          139.5    1.13996e+08    7.68894e+13
            140    1.15229e+08     7.7028e+13
          140.5    1.16476e+08    7.71635e+13
            141     1.1773e+08    7.73001e+13
          141.5    1.18992e+08     7.7437e+13
            142    1.20267e+08    7.75707e+13
          142.5    1.21549e+08    7.77061e+13
            143    1.22842e+08    7.78391e+13
          143.5    1.24146e+08    7.79718e+13
            144    1.25459e+08    7.81039e+13
          144.5    1.26779e+08    7.82366e+13
            145    1.28113e+08    7.83669e+13
          145.5    1.29454e+08    7.84984e+13
            146    1.30807e+08    7.86276e+13
          146.5     1.3217e+08    7.87567e+13
            147    1.33541e+08    7.88862e+13
          147.5    1.34924e+08    7.90142e+13
            148    1.36317e+08    7.91414e+13
          148.5     1.3772e+08    7.92681e+13
            149    1.39135e+08    7.93933e+13
          149.5    1.40559e+08     7.9519e+13
            150    1.41991e+08    7.96455e+13
          150.5    1.43437e+08    7.97689e+13
            151     1.4489e+08    7.98938e+13
          151.5    1.46357e+08    8.00166e+13
            152    1.47833e+08    8.01391e+13
          152.5    1.49318e+08    8.02622e+13
            153    1.50814e+08    8.03844e+13
          153.5    1.52325e+08     8.0504e+13
            154    1.53842e+08    8.06253e+13
          154.5    1.55372e+08    8.07448e+13
            155    1.56913e+08    8.08639e+13
          155.5    1.58463e+08    8.09835e+13
            156    1.60027e+08    8.11008e+13
          156.5      1.616e+08    8.12186e+13
            157    1.63183e+08    8.13364e+13
          157.5    1.64779e+08    8.14529e+13
            158    1.66384e+08    8.15694e+13
          158.5       1.68e+08    8.16859e+13
            159    1.69632e+08    8.17992e+13
          159.5    1.71271e+08    8.19145e+13
            160    1.72922e+08    8.20286e+13
          160.5    1.74585e+08     8.2142e+13
            161    1.76257e+08     8.2256e+13
          161.5    1.77942e+08    8.23686e+13
            162    1.79641e+08    8.24797e+13
          162.5    1.81347e+08     8.2592e+13
            163    1.83067e+08     8.2703e+13
          163.5    1.84799e+08    8.28134e+13
            164     1.8654e+08    8.29245e+13
          164.5    1.88298e+08     8.3033e+13
            165    1.90065e+08    8.31419e+13
          165.5    1.91842e+08    8.32513e+13
            166    1.93631e+08    8.33597e+13
          166.5    1.95434e+08    8.34672e+13
            167    1.97247e+08     8.3575e+13
          167.5    1.99076e+08    8.36807e+13
            168    2.00912e+08    8.37879e+13
          168.5    2.02761e+08    8.38939e+13
            169    2.04624e+08    8.39992e+13
          169.5    2.06498e+08    8.41045e+13
            170    2.08385e+08    8.42087e+13
          170.5    2.10285e+08    8.43125e+13
            171    2.12195e+08    8.44166e+13
          171.5     2.1412e+08    8.45195e+13
            172    2.16058e+08    8.46214e+13
          172.5    2.18004e+08    8.47248e+13
            173    2.19967e+08    8.48257e+13
          173.5    2.21939e+08    8.49277e+13
            174    2.23924e+08    8.50292e+13
          174.5    2.25925e+08    8.51292e+13
            175    2.27937e+08    8.52291e+13
          175.5     2.2996e+08    8.53295e+13
            176    2.31999e+08    8.54282e+13
          176.5    2.34048e+08    8.55275e+13
            177    2.36109e+08    8.56267e+13
          177.5    2.38188e+08    8.57238e+13
            178    2.40276e+08    8.58218e+13
          178.5    2.42378e+08    8.59189e+13
            179    2.44494e+08    8.60155e+13
          179.5    2.46621e+08    8.61125e+13
            180    2.48761e+08    8.62089e+13
          180.5    2.50918e+08    8.63036e+13
            181    2.53085e+08    8.63995e+13
          181.5    2.55267e+08    8.64942e+13
            182    2.57462e+08    8.65886e+13
          182.5    2.59669e+08     8.6683e+13
            183    2.61891e+08    8.67764e+13
          183.5    2.64126e+08      8.687e+13
            184    2.66374e+08    8.69632e+13
          184.5    2.68637e+08    8.70557e+13
            185    2.70912e+08    8.71479e+13
          185.5    2.73201e+08    8.72402e+13
            186    2.75507e+08    8.73308e+13
          186.5    2.77823e+08    8.74223e+13
            187    2.80156e+08    8.75127e+13
          187.5    2.82502e+08    8.76026e+13
            188    2.84861e+08     8.7693e+13
          188.5    2.87234e+08    8.77826e+13
            189    2.89622e+08    8.78718e+13
          189.5    2.92022e+08    8.79611e+13
            190    2.94438e+08    8.80496e+13
          190.5    2.96869e+08    8.81374e+13
            191    2.99311e+08    8.82261e+13
          191.5    3.01772e+08     8.8313e+13
            192    3.04244e+08    8.84003e+13
          192.5    3.06731e+08    8.84873e+13
            193    3.09234e+08    8.85736e+13
          193.5     3.1175e+08    8.86597e+13
            194    3.14281e+08    8.87456e+13
          194.5    3.16828e+08    8.88307e+13
            195    3.19388e+08     8.8916e+13
          195.5    3.21962e+08    8.90012e+13
            196    3.24553e+08    8.90853e+13
          196.5    3.27155e+08    8.91702e+13
            197    3.29777e+08    8.92534e+13
          197.5    3.32412e+08    8.93368e+13
            198    3.35061e+08      8.942e+13
          198.5    3.37726e+08    8.95029e+13
            199    3.40405e+08    8.95855e+13
          199.5    3.43099e+08    8.96681e+13
            200     3.4581e+08    8.97498e+13
          200.5    3.48535e+08    8.98313e+13
            201    3.51275e+08    8.99129e+13
          201.5    3.54032e+08    8.99935e+13
            202    3.56802e+08    9.00746e+13
          202.5    3.59591e+08    9.01545e+13
            203    3.62394e+08    9.02343e+13
          203.5    3.65212e+08     9.0314e+13
            204    3.68045e+08    9.03936e+13
          204.5    3.70895e+08    9.04726e+13
            205    3.73758e+08    9.05519e+13
          205.5     3.7664e+08    9.06301e+13
            206    3.79537e+08    9.07082e+13
          206.5    3.82447e+08    9.07868e+13
            207    3.85377e+08    9.08642e+13
          207.5     3.8832e+08    9.09417e+13
            208    3.91281e+08    9.10187e+13
          208.5    3.94258e+08    9.10954e+13
            209    3.97251e+08    9.11719e+13
          209.5    4.00259e+08    9.12484e+13
            210    4.03286e+08    9.13237e+13
          210.5    4.06326e+08    9.13997e+13
            211    4.09384e+08     9.1475e+13
          211.5    4.12459e+08      9.155e+13
            212    4.15547e+08    9.16255e+13
          212.5    4.18653e+08    9.17001e+13
            213    4.21779e+08    9.17739e+13
          213.5    4.24919e+08    9.18481e+13
            214    4.28076e+08    9.19217e+13
          214.5     4.3125e+08    9.19951e+13
            215    4.34437e+08     9.2069e+13
          215.5    4.37646e+08    9.21416e+13
            216    4.40869e+08    9.22144e+13
          216.5     4.4411e+08    9.22868e+13
            217    4.47368e+08    9.23589e+13
          217.5    4.50644e+08    9.24307e+13
            218    4.53934e+08    9.25027e+13
          218.5    4.57247e+08    9.25734e+13
            219    4.60572e+08    9.26446e+13
          219.5    4.63916e+08    9.27156e+13
            220    4.67277e+08    9.27861e+13
          220.5    4.70654e+08    9.28568e+13
            221     4.7405e+08    9.29268e+13
          221.5    4.77464e+08    9.29965e+13
            222    4.80893e+08    9.30665e+13
          222.5    4.84341e+08    9.31358e+13
            223    4.87808e+08    9.32047e+13
          223.5    4.91289e+08    9.32741e+13
            224    4.94793e+08    9.33422e+13
          224.5    4.98312e+08    9.34106e+13
            225    5.01848e+08     9.3479e+13
          225.5    5.05404e+08    9.35466e+13
            226    5.08977e+08    9.36142e+13
          226.5    5.12566e+08     9.3682e+13
            227    5.16177e+08    9.37488e+13
          227.5    5.19802e+08    9.38161e+13
            228    5.23446e+08    9.38831e+13
          228.5    5.27111e+08    9.39493e+13
            229    5.30791e+08    9.40158e+13
          229.5    5.34492e+08    9.40817e+13
            230    5.38211e+08    9.41474e+13
          230.5    5.41946e+08    9.42132e+13
            231      5.457e+08    9.42788e+13
          231.5    5.49475e+08    9.43436e+13
            232    5.53266e+08    9.44089e+13
          232.5    5.57079e+08    9.44732e+13
            233    5.60908e+08    9.45378e+13
          233.5    5.64757e+08     9.4602e+13
            234    5.68624e+08    9.46661e+13
          234.5     5.7251e+08    9.47298e+13
            235    5.76415e+08    9.47935e+13
          235.5     5.8034e+08    9.48567e+13
            236    5.84283e+08    9.49199e+13
          236.5    5.88244e+08     9.4983e+13
            237    5.92227e+08    9.50455e+13
          237.5    5.96225e+08    9.51085e+13
            238    6.00246e+08    9.51706e+13
          238.5    6.04286e+08    9.52327e+13
            239    6.08344e+08    9.52946e+13
          239.5    6.12421e+08    9.53565e+13
            240     6.1652e+08    9.54177e+13
          240.5    6.20636e+08    9.54791e+13
            241    6.24774e+08    9.55401e+13
          241.5     6.2893e+08    9.56008e+13
            242    6.33105e+08    9.56617e+13
          242.5    6.37302e+08     9.5722e+13
            243    6.41517e+08    9.57824e+13
          243.5    6.45752e+08    9.58426e+13
            244    6.50007e+08    9.59024e+13
          244.5    6.54282e+08    9.59622e+13
            245    6.58576e+08    9.60219e+13
          245.5    6.62893e+08    9.60809e+13
            246    6.67228e+08    9.61402e+13
          246.5    6.71584e+08     9.6199e+13
            247     6.7596e+08    9.62577e+13
          247.5    6.80356e+08    9.63163e+13
            248    6.84773e+08    9.63745e+13
          248.5    6.89211e+08    9.64326e+13
            249    6.93668e+08    9.64906e+13
          249.5    6.98147e+08    9.65483e+13
            250    7.02646e+08    9.66058e+13
          250.5    7.07163e+08    9.66636e+13
            251    7.11706e+08    9.67205e+13
          251.5    7.16268e+08    9.67774e+13
            252     7.2085e+08    9.68342e+13
          252.5    7.25453e+08    9.68908e+13
            253    7.30075e+08    9.69475e+13
          253.5    7.34719e+08    9.70039e+13
            254    7.39386e+08    9.70599e+13
          254.5    7.44073e+08    9.71158e+13
            255    7.48781e+08    9.71716e+13
          255.5    7.53511e+08    9.72271e+13
            256     7.5826e+08    9.72827e+13
          256.5    7.63034e+08    9.73376e+13
            257    7.67828e+08    9.73926e+13
          257.5    7.72643e+08    9.74475e+13
            258    7.77479e+08    9.75023e+13
          258.5    7.82337e+08    9.75568e+13
            259    7.87216e+08    9.76113e+13
          259.5    7.92118e+08    9.76654e+13
            260    7.97041e+08    9.77194e+13
          260.5    8.01984e+08    9.77735e+13
            261    8.06952e+08     9.7827e+13
          261.5    8.11939e+08    9.78807e+13
            262    8.16951e+08    9.79339e+13
          262.5    8.21985e+08     9.7987e+13
            263    8.27038e+08    9.80401e+13
          263.5    8.32115e+08     9.8093e+13
            264    8.37216e+08    9.81455e+13
          264.5    8.42337e+08    9.81981e+13
            265    8.47481e+08    9.82504e+13
          265.5    8.52649e+08    9.83024e+13
            266    8.57835e+08    9.83548e+13
          266.5    8.63046e+08    9.84066e+13
            267    8.68281e+08    9.84583e+13
          267.5    8.73539e+08    9.85096e+13
            268    8.78818e+08     9.8561e+13
          268.5    8.84119e+08    9.86123e+13
            269    8.89442e+08    9.86636e+13
          269.5    8.94791e+08    9.87144e+13
            270    9.00161e+08    9.87652e+13
          270.5    9.05555e+08    9.88158e+13
            271    9.10972e+08    9.88662e+13
          271.5     9.1641e+08    9.89166e+13
            272    9.21874e+08    9.89667e+13
          272.5    9.27361e+08    9.90166e+13
            273     9.3287e+08    9.90665e+13
          273.5    9.38402e+08    9.91162e+13
            274    9.43959e+08    9.91657e+13
          274.5    9.49537e+08    9.92153e+13
            275    9.55141e+08    9.92644e+13
          275.5    9.60767e+08    9.93135e+13
            276    9.66416e+08    9.93626e+13
          276.5     9.7209e+08    9.94114e+13
            277    9.77787e+08    9.94601e+13
          277.5    9.83508e+08    9.95087e+13
            278    9.89255e+08     9.9557e+13
          278.5    9.95024e+08    9.96052e+13
            279    1.00082e+09    9.96534e+13
          279.5    1.00663e+09    9.97012e+13
            280    1.01248e+09    9.97491e+13
          280.5    1.01834e+09    9.97967e+13
            281    1.02423e+09    9.98443e+13
          281.5    1.03015e+09    9.98917e+13
            282    1.03608e+09     9.9939e+13
          282.5    1.04205e+09     9.9986e+13
            283    1.04803e+09    1.00033e+14
          283.5    1.05405e+09     1.0008e+14
            284    1.06008e+09    1.00126e+14
          284.5    1.06614e+09    1.00173e+14
            285    1.07223e+09     1.0022e+14
          285.5    1.07834e+09    1.00266e+14
            286    1.08447e+09    1.00312e+14
          286.5    1.09064e+09    1.00358e+14
            287    1.09682e+09    1.00404e+14
          287.5    1.10303e+09     1.0045e+14
            288    1.10927e+09    1.00495e+14
          288.5    1.11553e+09    1.00541e+14
            289    1.12181e+09    1.00586e+14
          289.5    1.12812e+09    1.00631e+14
            290    1.13446e+09    1.00676e+14
          290.5    1.14082e+09    1.00721e+14
            291    1.14721e+09    1.00766e+14
          291.5    1.15362e+09    1.00811e+14
            292    1.16006e+09    1.00856e+14
          292.5    1.16652e+09      1.009e+14
            293    1.17301e+09    1.00944e+14
          293.5    1.17953e+09    1.00989e+14
            294    1.18607e+09    1.01033e+14
          294.5    1.19263e+09    1.01077e+14
            295    1.19923e+09     1.0112e+14
          295.5    1.20585e+09    1.01164e+14
            296    1.21249e+09    1.01208e+14
          296.5    1.21916e+09    1.01251e+14
            297    1.22586e+09    1.01295e+14
          297.5    1.23258e+09    1.01338e+14
            298    1.23933e+09    1.01381e+14
          298.5    1.24611e+09    1.01424e+14
            299    1.25291e+09    1.01467e+14
          299.5    1.25974e+09    1.01509e+14
            300    1.26659e+09    1.01552e+14
          300.5    1.27348e+09    1.01594e+14
            301    1.28038e+09    1.01637e+14
          301.5    1.28732e+09    1.01679e+14
            302    1.29428e+09    1.01721e+14
          302.5    1.30127e+09    1.01763e+14
            303    1.30829e+09    1.01805e+14
          303.5    1.31533e+09    1.01847e+14
            304     1.3224e+09    1.01888e+14
          304.5     1.3295e+09     1.0193e+14
            305    1.33662e+09    1.01971e+14
          305.5    1.34377e+09    1.02013e+14
            306    1.35095e+09    1.02054e+14
          306.5    1.35816e+09    1.02095e+14
            307    1.36539e+09    1.02136e+14
          307.5    1.37265e+09    1.02177e+14
            308    1.37994e+09    1.02218e+14
          308.5    1.38726e+09    1.02258e+14
            309     1.3946e+09    1.02299e+14
          309.5    1.40197e+09    1.02339e+14
            310    1.40937e+09     1.0238e+14
          310.5     1.4168e+09     1.0242e+14
            311    1.42425e+09     1.0246e+14
          311.5    1.43174e+09      1.025e+14
            312    1.43925e+09     1.0254e+14
          312.5    1.44679e+09     1.0258e+14
            313    1.45435e+09    1.02619e+14
          313.5    1.46195e+09    1.02659e+14
            314    1.46957e+09    1.02698e+14
          314.5    1.47722e+09    1.02738e+14
            315    1.48491e+09    1.02777e+14
          315.5    1.49261e+09    1.02816e+14
            316    1.50035e+09    1.02855e+14
          316.5    1.50812e+09    1.02894e+14
            317    1.51591e+09    1.02933e+14
          317.5    1.52374e+09    1.02972e+14
            318    1.53159e+09     1.0301e+14
          318.5    1.53947e+09    1.03049e+14
            319    1.54738e+09    1.03087e+14
          319.5    1.55532e+09    1.03125e+14
            320    1.56329e+09    1.03164e+14
          320.5    1.57129e+09    1.03202e+14
            321    1.57931e+09     1.0324e+14
          321.5    1.58737e+09    1.03278e+14
            322    1.59545e+09    1.03315e+14
          322.5    1.60357e+09    1.03353e+14
            323    1.61171e+09    1.03391e+14
          323.5    1.61988e+09    1.03428e+14
            324    1.62809e+09    1.03466e+14
          324.5    1.63632e+09    1.03503e+14
            325    1.64458e+09     1.0354e+14
          325.5    1.65287e+09    1.03577e+14
            326     1.6612e+09    1.03614e+14
          326.5    1.66955e+09    1.03651e+14
            327    1.67793e+09    1.03688e+14
