Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      28.6911      29.3516      18.2641      29.3516       12.398  1.66948e-21  1.67685e-07  1.94488e-07  6.60026e-05
      28.5711       35.124      21.8562       35.124       14.837  2.02993e-21  2.03074e-07  2.35368e-07  7.94566e-05
       28.451      42.0284      26.1528      42.0284      17.7544  2.46818e-21  2.45939e-07  2.84841e-07  9.56352e-05
      28.3309       50.286      31.2917       50.286      21.2438  3.00104e-21   2.9784e-07  3.44701e-07  0.000115089
      28.2108      60.1615      37.4374      60.1615      25.4171  3.64891e-21   3.6069e-07  4.17138e-07  0.000138443
      28.0907      71.9707      44.7866      71.9707      30.4078  4.43662e-21  4.36801e-07  5.04774e-07   0.00016656
      27.9706      86.0913      53.5744      86.0913      36.3757  5.39435e-21  5.28945e-07  6.10833e-07  0.000200419
      27.8506      102.974      64.0813      102.974      43.5112  6.55878e-21  6.40537e-07  7.39151e-07  0.000241195
      27.7305      123.158      76.6426      123.158      52.0425  7.97452e-21   7.7564e-07   8.9441e-07  0.000290342
      27.6104      147.286       91.659      147.286      62.2414  9.69578e-21   9.3924e-07  1.08224e-06   0.00034963
      27.4903      176.126      109.608      176.126      74.4332  1.17885e-20  1.13736e-06  1.30952e-06  0.000420753
      27.3702      210.597      131.062      210.597      89.0055  1.43328e-20  1.37717e-06   1.5845e-06  0.000506501
      27.2501      251.793      156.702      251.793      106.422  1.74262e-20  1.66756e-06  1.91717e-06   0.00060965
      27.1301      301.023      187.343      301.023      127.237  2.11871e-20  2.01914e-06  2.31967e-06  0.000733687
        27.01      359.848      223.956      359.848      152.109  2.57596e-20   2.4448e-06  2.80664e-06  0.000883176
      26.8899      430.133      267.702      430.133      181.829  3.13188e-20  2.96025e-06  3.39579e-06   0.00106293
      26.7698      514.101      319.966      514.101      217.337  3.80775e-20  3.58413e-06  4.10839e-06    0.0012786
      26.6497      614.409      382.401      614.409      259.756  4.62945e-20  4.33952e-06  4.97059e-06   0.00153784
      26.5297      734.225       456.98      734.225      310.429  5.62844e-20  5.25403e-06  6.01354e-06   0.00184945
      26.4096      877.329      546.055      877.329      370.954  6.84295e-20    6.361e-06  7.27545e-06   0.00222412
      26.2895      1048.23      652.436      1048.23      443.241  8.31949e-20  7.70154e-06  8.80169e-06   0.00267625
      26.1694      1252.32      779.474      1252.32      529.569  1.01146e-19  9.32405e-06  1.06481e-05   0.00322044
      26.0493      1496.01      931.163      1496.01      632.654  1.22968e-19  1.12879e-05  1.28815e-05   0.00387618
      25.9292      1786.96      1112.27      1786.96      755.738  1.49499e-19  1.36658e-05  1.55832e-05   0.00466419
      25.8092      2134.29      1328.49      2134.29      902.687  1.81752e-19  1.65439e-05   1.8851e-05   0.00561424
      25.6891      2548.91      1586.59      2548.91      1078.11  2.20962e-19  2.00285e-05  2.28038e-05   0.00675386
       25.569       3043.8      1894.67       3043.8      1287.51   2.6863e-19  2.42465e-05   2.7585e-05   0.00812829
      25.4489      3634.43      2262.35      3634.43      1537.44  3.26579e-19  2.93511e-05  3.33673e-05   0.00978006
      25.3288      4339.27      2701.14      4339.27      1835.71  3.97027e-19  3.55311e-05  4.03617e-05    0.0117653
      25.2087      5180.31      3224.73      5180.31      2191.64  4.82671e-19  4.30111e-05  4.88197e-05    0.0141486
      25.0887      6183.78      3849.44      6183.78      2616.34  5.86786e-19  5.20647e-05  5.90516e-05    0.0170135
      24.9686      7380.92      4594.74      7380.92      3123.05  7.13356e-19  6.30266e-05  7.14238e-05    0.0204461
      24.8485      8808.96       5483.8      8808.96      3727.52   8.6722e-19  7.62897e-05  8.63878e-05    0.0245779
      24.7284      10512.3      6544.26      10512.3      4448.57  1.05427e-18  9.23428e-05  0.000104482    0.0295374
      24.6083      12543.7      7809.03      12543.7      5308.56  1.28164e-18  0.000111775  0.000126368     0.035498
      24.4883      14966.3      9317.33      14966.3      6334.21  1.55805e-18  0.000135291   0.00015283    0.0426561
      24.3682      17854.9      11115.8      17854.9      7557.23  1.89406e-18   0.00016376  0.000184833    0.0512881
      24.2481      21298.9      13260.1      21298.9      9015.55  2.30252e-18  0.000198205  0.000223532    0.0616579
       24.128      25404.6      15816.5      25404.6      10754.1  2.79904e-18  0.000239893   0.00027033    0.0741314
      24.0079      30298.7      18863.8      30298.7      12826.8  3.40261e-18  0.000290354  0.000326916    0.0891309
      23.8878      36131.8      22495.9      36131.8      15297.2  4.13631e-18  0.000351404  0.000395332     0.107115
      23.7678      43083.5      26824.5      43083.5      18241.6   5.0282e-18  0.000425305   0.00047807     0.128712
      23.6477      51367.3      31982.6      51367.3      21750.4  6.11236e-18  0.000514724  0.000578104     0.154691
      23.5276      61237.4      38128.7      61237.4      25931.5  7.43028e-18   0.00062292  0.000699073     0.185852
      23.4075      72996.1      45450.8      72996.1      30912.9  9.03231e-18   0.00075387  0.000845314     0.223288
      23.2874      87003.3      54173.3      87003.3      36847.5  1.09797e-17  0.000912297   0.00102216     0.268124
      23.1673       103687      64562.9       103687      43916.4  1.33468e-17   0.00110405   0.00123594     0.321951
      23.0473       123557      76936.3       123557      52335.9  1.62242e-17   0.00133608   0.00149444     0.386283
      22.9272       147218      91671.1       147218      62362.5  1.97217e-17   0.00161675   0.00180695     0.463916
      22.8071       175390       109216       175390        74302  2.39732e-17   0.00195645   0.00218479     0.557148
       22.687       208930       130103       208930      88517.2  2.91408e-17   0.00236739   0.00264158     0.669688
      22.5669       248856       154969       248856       105440  3.54222e-17   0.00286464   0.00319375     0.805073
      22.4468       296377       184565       296377       125584  4.30571e-17   0.00346647   0.00386135     0.968041
      22.3268       352931       219787       352931       149560  5.23374e-17   0.00419438   0.00466829      1.16249
      22.2067       420229       261702       420229       178091  6.36175e-17    0.0050751   0.00564397      1.39738
      22.0866       500299       311572       500299       212042  7.73286e-17   0.00614072    0.0068232      1.67855
      21.9665       595556       370902       595556       252433  9.39942e-17   0.00742982   0.00824884      2.01739
      21.8464       708864       441477       708864       300484  1.14251e-16   0.00898998   0.00997175      2.42409
      21.7264       843626       525416       843626       357636  1.38873e-16    0.0108768    0.0120547      2.91219
      21.6063  1.00389e+06       625239  1.00389e+06       425610  1.68799e-16    0.0131591    0.0145718      3.49335
      21.4862  1.19444e+06       743937  1.19444e+06       506437  2.05174e-16    0.0159213    0.0176144      4.19401
      21.3661  1.42099e+06       885055  1.42099e+06       602544  2.49386e-16    0.0192617    0.0212918      5.03147
       21.246   1.6903e+06  1.05281e+06   1.6903e+06       716795  3.03121e-16    0.0233033    0.0257365       6.0406
      21.1259  2.01039e+06  1.25221e+06  2.01039e+06       852603  3.68434e-16    0.0281926     0.031108      7.25345
      21.0059  2.39079e+06  1.48917e+06  2.39079e+06  1.01402e+06  4.47814e-16    0.0341054    0.0375993      8.71542
      20.8858  2.84279e+06  1.77076e+06  2.84279e+06  1.20583e+06  5.44294e-16    0.0412594    0.0454454      10.4639
      20.7657  3.37982e+06  2.10532e+06  3.37982e+06  1.43374e+06  6.61554e-16    0.0499116    0.0549253      12.5705
      20.6456  4.01776e+06  2.50274e+06  4.01776e+06   1.7045e+06  8.04073e-16    0.0603792    0.0663844      15.0892
      20.5255  4.77548e+06  2.97482e+06  4.77548e+06  2.02614e+06  9.77288e-16    0.0730414    0.0802275       18.113
