Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  300  1.86147e-07          ***
  400  1.30031e-08          ***
  500  2.83353e-09          ***
  650  7.59639e-10          ***
  800   3.5761e-10          ***
 1000  1.99974e-10          ***
 1250  1.36604e-10          ***
 1500  1.13591e-10          ***
 1750  1.04764e-10          ***
 2000   1.0235e-10          ***
 2250  1.03356e-10          ***
 2500  1.06393e-10          ***
