Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  300  1.46554e-11          ***
  400   1.6276e-11          ***
  500   1.8115e-11          ***
  650   2.0945e-11          ***
  800  2.37732e-11          ***
 1000  2.76823e-11          ***
 1250  3.29039e-11          ***
 1500  3.84303e-11          ***
 1750  4.41977e-11          ***
 2000  5.01544e-11          ***
 2250  5.62686e-11          ***
 2500  6.25487e-11          ***
