Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  300  8.60069e-10          ***
  400  2.55762e-10          ***
  500   1.3431e-10          ***
  650  8.25275e-11          ***
  800  6.65718e-11          ***
 1000   6.0514e-11          ***
 1250  6.14982e-11          ***
 1500  6.64676e-11          ***
 1750  7.35432e-11          ***
 2000  8.19917e-11          ***
 2250  9.14621e-11          ***
 2500  1.01761e-10          ***
