Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  300  1.87931e-15          ***
  400  1.13291e-14          ***
  500  3.51471e-14          ***
  650  1.08841e-13          ***
  800  2.39364e-13          ***
 1000  5.19795e-13          ***
 1250   1.0685e-12          ***
 1500  1.85642e-12          ***
 1750  2.88694e-12          ***
 2000  4.15857e-12          ***
 2250  5.67276e-12          ***
 2500  7.43291e-12          ***
