Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  300  4.53531e-11          ***
  400   4.4392e-11          ***
  500  4.44731e-11          ***
  650  4.54891e-11          ***
  800  4.71845e-11          ***
 1000  5.01569e-11          ***
 1250  5.46525e-11          ***
 1500  5.97247e-11          ***
 1750  6.52545e-11          ***
 2000  7.12001e-11          ***
 2250   7.7489e-11          ***
 2500  8.40446e-11          ***
