Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  300   3.8307e-11          ***
  400  3.65732e-11          ***
  500  3.59452e-11          ***
  650  3.58973e-11          ***
  800  3.64954e-11          ***
 1000  3.80344e-11          ***
 1250  4.08051e-11          ***
 1500  4.43022e-11          ***
 1750   4.8436e-11          ***
 2000  5.30612e-11          ***
 2250  5.80301e-11          ***
 2500  6.32742e-11          ***
