*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          200            1  1.41748e+10     0.051082  0.000296593   0.00524274
          210            1  1.35343e+10    0.0500508  0.000357639   0.00684603
          220            1  1.29583e+10    0.0491008  0.000432047   0.00890328
          230            1  1.24377e+10    0.0485821    0.0005304    0.0116776
          240            1  1.19649e+10    0.0487829  0.000662044    0.0154305
          250            1  1.15337e+10    0.0492708  0.000823847    0.0201905
          260            1  1.11389e+10    0.0503888   0.00102869    0.0262742
          270            1  1.07759e+10    0.0527295   0.00130599    0.0342981
          280            1   1.0441e+10    0.0560386   0.00164125    0.0439248
          290            1   1.0131e+10     0.059121   0.00201812    0.0548758
          300            1  9.84308e+09    0.0622246    0.0024374    0.0671693
          310            1  9.57496e+09    0.0658503   0.00292811     0.081138
          320            1  9.32456e+09    0.0697994   0.00347091    0.0963418
          330            1  9.09011e+09    0.0729333   0.00402772      0.11226
          340            1  8.87007e+09    0.0771134   0.00467616     0.129805
          350            1  8.66309e+09    0.0812798   0.00537208     0.148262
          360            1  8.46798e+09    0.0851398   0.00610978     0.167553
          370            1   8.2837e+09    0.0896977   0.00691339     0.187632
          380            1  8.10934e+09       0.0943   0.00777733     0.208464
          390            1  7.94407e+09    0.0988334   0.00867974     0.229656
          400            1  7.78716e+09     0.103376   0.00963725     0.251351
          410            1  7.63798e+09     0.108482     0.010667      0.27343
          420            1  7.49592e+09     0.112904     0.011695     0.295402
          430            1  7.36048e+09     0.118127    0.0128338     0.317807
          440            1  7.23117e+09     0.122157    0.0139563     0.339887
          450            1  7.10758e+09     0.129213    0.0153009     0.362649
          460            1  6.98931e+09     0.133186    0.0164251     0.383867
          470            1  6.87601e+09     0.136906    0.0176654     0.405697
          480            1  6.76736e+09     0.144892    0.0193579     0.428967
          490            1  6.66308e+09     0.150293    0.0206605      0.44946
          500            1  6.56288e+09     0.152999     0.021852      0.46942
          510            1  6.46653e+09     0.158211    0.0234165     0.490291
          520            1  6.37379e+09      0.16914    0.0254459     0.511261
          530            1  6.28447e+09     0.171595    0.0267845     0.530205
          540            1  6.19836e+09      0.17482    0.0281932     0.548745
          550            1  6.11529e+09     0.182968     0.030002     0.567134
          560            1  6.03509e+09     0.190065    0.0319004     0.585439
          570            1  5.95761e+09     0.195714    0.0337203     0.602982
          580            1  5.88272e+09     0.200266    0.0355027      0.61996
          590            1  5.81026e+09     0.202837    0.0372237     0.636602
          600            1  5.74013e+09     0.212589    0.0393121     0.652033
          610            1  5.67221e+09     0.217917      0.04124     0.667352
          620            1  5.60638e+09     0.224364     0.043319     0.682121
          630            1  5.54255e+09     0.229262    0.0452531     0.696246
          640            1  5.48063e+09     0.232737    0.0471865     0.710045
          650            1  5.42052e+09     0.236986    0.0492334     0.723387
          660            1  5.36214e+09     0.250429    0.0517604     0.735199
          670            1  5.30541e+09      0.25515    0.0539432     0.747475
          680            1  5.25026e+09     0.259902    0.0560322        0.759
          690            1  5.19663e+09     0.265395    0.0582903     0.770203
          700            1  5.14444e+09     0.269852    0.0605491     0.781061
          800            1  4.69001e+09     0.328899    0.0852092     0.864932
          900            1  4.32949e+09      0.39511     0.113796     0.917046
         1000            1  4.03466e+09     0.443546     0.143166     0.949479
         1100            1  3.78774e+09      0.44714     0.166924     0.969548
         1200            1    3.577e+09     0.494956     0.197752     0.981125
         1300            1  3.39436e+09     0.555703     0.234353      0.98813
         1400            1  3.23409e+09     0.446812     0.226834     0.993077
         1500            1  3.09198e+09     0.553779     0.281503     0.995396
         1600            1  2.96489e+09     0.420982     0.252256     0.997297
         1700            1  2.85036e+09     0.337849     0.224419     0.998365
         1800            1   2.7465e+09     0.652102     0.380215     0.998763
         1900            1  2.65177e+09     0.505926     0.324978     0.999261
         2000            1  2.56495e+09     0.285019     0.199214     0.999616
         2100            1  2.48501e+09      0.72194     0.468825     0.999571
         2200            1  2.41112e+09     0.606624     0.428885     0.999707
         2300            1  2.34258e+09     0.436064     0.333137     0.999806
         2400            1  2.27878e+09     0.481699       0.3537     0.999889
         2500            1  2.21922e+09     0.303303      0.23642     0.999933
         2600            1  2.16347e+09     0.967523     0.606936     0.999928
         2700            1  2.11114e+09     0.920838     0.546522     0.999953
         2800            1  2.06191e+09     0.893239     0.496575     0.999969
         2900            1   2.0155e+09     0.838237     0.430617     0.999979
         3000            1  1.97166e+09     0.635126     0.302202     0.999986
