========================================
c2h6rad_W1_Energy_1_0.0.out
3 atm
700.0,8.2839e-24
810.0,1.41404e-22
906.0,1.04092e-21
1050.0,1.14234e-20
1200.0,8.08619e-20
1350.0,3.90627e-19
1525.0,1.74115e-18
1700.0,5.93397e-18
1950.0,2.45257e-17
2250.0,9.37136e-17
2600.0,3.18805e-16
3000.0,9.54098e-16
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P1->P3
296.0,4.96376e-30
370.0,6.01998e-29
407.0,2.16222e-28
474.0,2.52216e-27
513.0,1.16177e-26
539.0,3.23652e-26
577.0,1.39016e-25
700.0,8.28238e-24
810.0,1.41402e-22
906.0,1.04093e-21
1050.0,1.14235e-20
1200.0,8.08622e-20
1350.0,3.90628e-19
1525.0,1.74115e-18
1700.0,5.93398e-18
1950.0,2.45258e-17
2250.0,9.37136e-17
2600.0,3.18805e-16
3000.0,9.54098e-16
========================================
c2h6rad_W1_Energy_1_0.0.out
3 atm
T,P1->P3
296.0,1.87251e-30
370.0,3.19907e-29
407.0,1.40816e-28
474.0,2.18046e-27
513.0,1.09077e-26
539.0,3.12693e-26
577.0,1.37086e-25
700.0,8.27493e-24
810.0,1.4139e-22
906.0,1.04093e-21
1050.0,1.14237e-20
1200.0,8.08637e-20
1350.0,3.90634e-19
1525.0,1.74117e-18
1700.0,5.93403e-18
1950.0,2.45259e-17
2250.0,9.37139e-17
2600.0,3.18805e-16
3000.0,9.54099e-16
========================================
c2h6rad_W1_Energy_1_0.0.out
4 atm
T,P1->P3
296.0,1.43554e-30
370.0,2.66256e-29
407.0,1.23789e-28
474.0,2.0775e-27
513.0,1.06599e-26
539.0,3.08512e-26
577.0,1.36257e-25
700.0,8.27053e-24
810.0,1.4138e-22
906.0,1.04092e-21
1050.0,1.14238e-20
1200.0,8.08643e-20
1350.0,3.90636e-19
1525.0,1.74118e-18
1700.0,5.93405e-18
1950.0,2.45259e-17
2250.0,9.3714e-17
2600.0,3.18805e-16
3000.0,9.54099e-16
========================================
c2h6rad_W1_Energy_1_0.0.out
0.5 atm
T,P2->P3
296.0,2.22259e-25
370.0,1.10933e-24
407.0,3.0384e-24
474.0,2.39519e-23
