    E, kcal/mol    D, mol/kcal         W1->P1         W1->P2
           11.3    1.78196e+13     2.1378e+09    1.49846e+08
           11.4    1.88122e+13    2.11645e+09    1.52749e+08
           11.5    1.98541e+13    2.09541e+09    1.55665e+08
           11.6    2.09473e+13    2.07465e+09    1.58596e+08
           11.7    2.20941e+13    2.05415e+09    1.61541e+08
           11.8    2.32969e+13    2.03392e+09    1.64499e+08
           11.9    2.45581e+13    2.01394e+09    1.67471e+08
             12    2.58802e+13    1.99422e+09    1.70455e+08
           12.1    2.72657e+13    1.97474e+09    1.73452e+08
           12.2    2.87174e+13    1.95549e+09    1.76462e+08
           12.3    3.02381e+13    1.93648e+09    1.79484e+08
           12.4    3.18306e+13    1.91771e+09    1.82518e+08
           12.5     3.3498e+13    1.89918e+09    1.85564e+08
           12.6    3.52434e+13    1.88089e+09    1.88622e+08
           12.7      3.707e+13    1.86285e+09    1.91692e+08
           12.8    3.89812e+13    1.84506e+09    1.94773e+08
           12.9    4.09805e+13    1.82751e+09    1.97865e+08
             13    4.30714e+13    1.81022e+09    2.00968e+08
           13.1    4.52577e+13    1.79319e+09    2.04082e+08
           13.2    4.75434e+13    1.77643e+09    2.07207e+08
           13.3    4.99323e+13    1.75995e+09    2.10343e+08
           13.4    5.24288e+13    1.74375e+09    2.13488e+08
           13.5     5.5037e+13    1.72783e+09    2.16644e+08
           13.6    5.77615e+13    1.71219e+09     2.1981e+08
           13.7    6.06069e+13    1.69684e+09    2.22985e+08
           13.8    6.35781e+13    1.68178e+09     2.2617e+08
           13.9    6.66799e+13    1.66699e+09    2.29364e+08
             14    6.99176e+13    1.65249e+09    2.32567e+08
           14.1    7.32965e+13    1.63827e+09    2.35779e+08
           14.2    7.68222e+13    1.62431e+09    2.38999e+08
           14.3    8.05003e+13    1.61061e+09    2.42227e+08
           14.4    8.43368e+13    1.59717e+09    2.45463e+08
           14.5    8.83377e+13    1.58397e+09    2.48706e+08
           14.6    9.25096e+13    1.57101e+09    2.51957e+08
           14.7    9.68589e+13    1.55827e+09    2.55215e+08
           14.8    1.01392e+14    1.54574e+09     2.5848e+08
           14.9    1.06117e+14    1.53341e+09    2.61751e+08
             15     1.1104e+14    1.52127e+09    2.65029e+08
           15.1     1.1617e+14    1.50932e+09    2.68313e+08
           15.2    1.21513e+14    1.49754e+09    2.71602e+08
           15.3    1.27077e+14    1.48593e+09    2.74898e+08
           15.4    1.32872e+14    1.47446e+09    2.78199e+08
           15.5    1.38906e+14    1.46314e+09    2.81505e+08
           15.6    1.45186e+14    1.45196e+09    2.84816e+08
           15.7    1.51724e+14    1.44091e+09    2.88132e+08
           15.8    1.58527e+14    1.42999e+09    2.91453e+08
           15.9    1.65606e+14    1.41919e+09    2.94779e+08
             16    1.72971e+14    1.40851e+09    2.98109e+08
           16.1    1.80632e+14    1.39794e+09    3.01444e+08
           16.2      1.886e+14    1.38748e+09    3.04783e+08
           16.3    1.96886e+14    1.37712e+09    3.08126e+08
           16.4    2.05501e+14    1.36687e+09    3.11473e+08
           16.5    2.14457e+14    1.35673e+09    3.14824e+08
           16.6    2.23766e+14    1.34668e+09    3.18179e+08
           16.7    2.33441e+14    1.33673e+09    3.21538e+08
           16.8    2.43495e+14    1.32688e+09    3.24901e+08
           16.9    2.53941e+14    1.31713e+09    3.28268e+08
             17    2.64792e+14    1.30748e+09    3.31638e+08
           17.1    2.76064e+14    1.29793e+09    3.35011e+08
           17.2     2.8777e+14    1.28849e+09    3.38388e+08
           17.3    2.99925e+14    1.27915e+09    3.41769e+08
           17.4    3.12546e+14    1.26991e+09    3.45153e+08
           17.5    3.25648e+14    1.26078e+09     3.4854e+08
           17.6    3.39248e+14    1.25176e+09     3.5193e+08
           17.7    3.53363e+14    1.24285e+09    3.55324e+08
           17.8    3.68011e+14    1.23405e+09     3.5872e+08
           17.9    3.83209e+14    1.22536e+09    3.62119e+08
             18    3.98977e+14    1.21678e+09    3.65521e+08
