Wells (G - ground energy, D - dissociation limit, kcal/mol):
      Name        G        D
        W1    -90.3     -4.4

Bimolecular Products (G - ground energy, kcal/mol):
      Name        G
         R      0.0
        P1      0.6
        P2    -13.1
        P3    -17.7
        P4    -69.8
        P5      4.3
        P6     13.5
        P7     48.0

Well-to-Bimolecular Barriers (H/G - barrier height/well depth, kcal/mol)
      Name        H     Well        G  Product
        B1      0.0       W1    -90.3        R
        B2      0.6       W1    -90.3       P1
        B3     -1.5       W1    -90.3       P2
        B4     -4.4       W1    -90.3       P3
        B5     -0.1       W1    -90.3       P4
        B6      4.3       W1    -90.3       P5
        B7     13.5       W1    -90.3       P6
        B8     48.0       W1    -90.3       P7

________________________________________________________________________________________

Unimolecular Rate Units: 1/sec;  Bimolecular Rate Units: cm^3/sec

______________________________________________________________________________________

Species-Species Rate Tables:

Temperature = 300 K

High Pressure Rate Coefficients:

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1                ***   2.1754e-51  1.11172e-51  2.30854e-52  3.34047e-50  2.65057e-44  3.87293e-55  2.95124e-62  4.83794e-87
R         9.35455e-11          ***          ***          ***          ***          ***          ***          ***          ***
P1        1.44505e-10          ***          ***          ***          ***          ***          ***          ***          ***
P2        3.05168e-20          ***          ***          ***          ***          ***          ***          ***          ***
P3        1.88554e-21          ***          ***          ***          ***          ***          ***          ***          ***
P4        3.38421e-53          ***          ***          ***          ***          ***          ***          ***          ***
P5         2.8706e-10          ***          ***          ***          ***          ***          ***          ***          ***
P6        1.76774e-10          ***          ***          ***          ***          ***          ***          ***          ***
P7        1.62951e-09          ***          ***          ***          ***          ***          ***          ***          ***

Temperature = 300 K    Pressure = 0.1 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1         4.9594e-50  1.29943e-51  7.28375e-52  2.19493e-52  3.32869e-50  1.40598e-50  1.18671e-56   1.0592e-70  2.30095e-98
