Wells (G - ground energy, D - dissociation limit, kcal/mol):
      Name        G        D
        W1    -90.3     -4.4

Bimolecular Products (G - ground energy, kcal/mol):
      Name        G
         R      0.0
        P1      0.6
        P2    -13.1
        P3    -17.7
        P4    -69.8
        P5      4.3
        P6     13.5
        P7     48.0

Well-to-Bimolecular Barriers (H/G - barrier height/well depth, kcal/mol)
      Name        H     Well        G  Product
        B1      0.1       W1    -90.3        R
        B2      0.6       W1    -90.3       P1
        B3     -1.5       W1    -90.3       P2
        B4     -4.4       W1    -90.3       P3
        B5     -0.2       W1    -90.3       P4
        B6      4.3       W1    -90.3       P5
        B7     13.5       W1    -90.3       P6
        B8     48.0       W1    -90.3       P7

________________________________________________________________________________________

Unimolecular Rate Units: 1/sec;  Bimolecular Rate Units: cm^3/sec

______________________________________________________________________________________

Species-Species Rate Tables:

Temperature = 300 K

High Pressure Rate Coefficients:

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
R         6.85376e-11   7.1841e-11  2.73445e-12  7.05893e-14  4.75279e-13  1.40821e-14  9.03583e-15  1.10636e-21  1.37781e-46
P1        1.31562e-10  8.26555e-12  1.40694e-10   9.9539e-14  7.40497e-13  2.09686e-14  5.04515e-15  2.62006e-22  4.22006e-47
P2        3.01531e-20  2.16999e-22   1.0123e-22  3.05129e-20  4.04133e-23  1.00158e-24  1.61849e-25  1.96583e-32  8.02459e-57
P3        1.88388e-21  6.23871e-25  3.21564e-25  1.72565e-26  1.88485e-21   7.0609e-27  3.05917e-28  2.05819e-35   5.0548e-60
P4        2.00504e-59   4.1812e-64   2.0597e-64   9.6739e-66  1.59716e-64  2.00512e-59  2.55275e-67  2.56185e-74  1.01922e-98
P5        9.66898e-11  1.55746e-10  2.87688e-11  9.07489e-13  4.01705e-12  1.48192e-13  2.86278e-10  9.25786e-19   8.1637e-43
P6         3.0752e-15  1.54109e-10  1.20737e-11  8.90757e-13  2.18409e-12  1.20185e-13  7.48155e-12  1.76862e-10  2.98092e-37
P7         8.1907e-21   1.0792e-09  1.09353e-10  2.04465e-11  3.01628e-11  2.68872e-12  3.70981e-10  1.67623e-11  1.62959e-09

Temperature = 300 K    Pressure = 0.9 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.19779e-50  1.63502e-51  1.03048e-51  2.28612e-52  3.33797e-50  1.57039e-50  1.54936e-55  1.49034e-66   2.4348e-98
R         7.03083e-11  7.30204e-11  2.24675e-12  5.80991e-14  3.87481e-13   1.1532e-14  8.17675e-15  1.10639e-21  1.37781e-46
P1        1.33944e-10  6.79137e-12  1.41431e-10  8.04184e-14  5.94146e-13  1.68758e-14  4.55575e-15  2.62283e-22  4.22005e-47
P2        3.02205e-20  1.78603e-22  8.17848e-23  3.05137e-20  3.19131e-23  7.94028e-25  1.46488e-25  1.96456e-32  8.02455e-57
P3        1.88413e-21  5.08623e-25  2.58011e-25  1.36269e-26  1.88492e-21  5.53161e-27  2.76707e-28  2.05889e-35  5.05479e-60
P4        2.00506e-59  3.42406e-64  1.65767e-64  7.66924e-66  1.25124e-64  2.00512e-59  2.30989e-67  2.56067e-74  1.01921e-98
P5        1.14838e-10  1.40939e-10  2.59781e-11  8.21357e-13  3.63349e-12  1.34093e-13  2.86344e-10  9.22895e-19  8.16366e-43
P6        8.92686e-15  1.54113e-10  1.20865e-11  8.90178e-13  2.18483e-12  1.20129e-13  7.45819e-12  1.76862e-10  2.98089e-37
P7        8.20087e-21   1.0792e-09  1.09353e-10  2.04464e-11  3.01628e-11  2.68871e-12  3.70979e-10  1.67621e-11  1.62959e-09

Temperature = 300 K    Pressure = 1 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.20022e-50  1.65061e-51  1.03726e-51    2.288e-52  3.33813e-50   1.5704e-50  1.65389e-55  2.30814e-66  2.43595e-98
R         7.09786e-11  7.34702e-11  2.06475e-12  5.34363e-14  3.55045e-13  1.05855e-14  7.81044e-15  1.10639e-21  1.37781e-46
P1        1.34826e-10  6.24123e-12  1.41702e-10  7.34234e-14  5.41006e-13  1.53849e-14  4.34593e-15  2.62424e-22  4.22005e-47
P2        3.02453e-20  1.64269e-22  7.46709e-23   3.0514e-20  2.88882e-23  7.19865e-25  1.39908e-25  1.96389e-32  8.02453e-57
P3        1.88423e-21  4.66047e-25  2.34934e-25  1.23352e-26  1.88494e-21  4.99213e-27  2.64138e-28  2.05925e-35  5.05478e-60
P4        2.00506e-59    3.143e-64  1.51122e-64  6.95293e-66  1.12921e-64  2.00512e-59  2.20565e-67  2.56006e-74  1.01921e-98
P5        1.22585e-10  1.34625e-10  2.47817e-11  7.84463e-13  3.46844e-12  1.28042e-13  2.86373e-10   9.2143e-19  8.16365e-43
P6        1.38254e-14  1.54114e-10   1.2093e-11  8.89878e-13  2.18521e-12  1.20101e-13  7.44636e-12  1.76862e-10  2.98087e-37
P7        8.20476e-21   1.0792e-09  1.09353e-10  2.04463e-11  3.01627e-11   2.6887e-12  3.70978e-10   1.6762e-11  1.62959e-09

Temperature = 300 K    Pressure = 1.5 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.20812e-50  1.70198e-51  1.05903e-51    2.294e-52  3.33864e-50  1.57041e-50  2.05462e-55  1.16016e-65  2.43986e-98
R         7.31877e-11   7.4967e-11  1.47574e-12  3.83252e-14  2.51307e-13  7.53953e-15  6.40684e-15   1.1062e-21  1.37782e-46
P1        1.37655e-10  4.46079e-12  1.42556e-10  5.13254e-14  3.74681e-13  1.06993e-14  3.54039e-15  2.63135e-22  4.22003e-47
P2        3.03246e-20  1.17816e-22  5.21974e-23  3.05148e-20   1.9633e-23  4.91811e-25  1.14611e-25  1.96027e-32  8.02444e-57
P3        1.88451e-21  3.29875e-25  1.62707e-25  8.38327e-27  1.88502e-21  3.35855e-27  2.15683e-28   2.0609e-35  5.05474e-60
P4        2.00508e-59  2.23862e-64  1.05096e-64  4.75023e-66  7.59697e-65  2.00512e-59  1.80445e-67  2.55667e-74   1.0192e-98
P5        1.52288e-10  1.10432e-10  2.01883e-11  6.42623e-13  2.83218e-12  1.04751e-13  2.86487e-10  9.13905e-19  8.16355e-43
P6        6.94916e-14  1.54086e-10  1.21257e-11  8.88234e-13  2.18696e-12  1.19942e-13  7.38554e-12  1.76862e-10  2.98077e-37
P7        8.21792e-21  1.07921e-09  1.09352e-10  2.04461e-11  3.01625e-11  2.68867e-12  3.70974e-10  1.67615e-11  1.62959e-09

Temperature = 300 K    Pressure = 2 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1         5.2125e-50  1.73091e-51  1.07085e-51  2.29725e-52  3.33891e-50  1.57042e-50  2.32661e-55  3.36053e-65  2.44202e-98
R         7.44316e-11    7.582e-11  1.15198e-12  2.99953e-14  1.95095e-13  5.87581e-15  5.45394e-15   1.1055e-21  1.37782e-46
P1        1.39192e-10  3.48214e-12  1.43012e-10  3.95433e-14  2.87062e-13  8.21783e-15  2.99527e-15  2.63798e-22  4.22002e-47
P2        3.03675e-20  9.22088e-23  4.02152e-23  3.05153e-20  1.48881e-23  3.74125e-25  9.74131e-26  1.95588e-32  8.02434e-57
P3        1.88466e-21   2.5609e-25  1.24658e-25  6.35723e-27  1.88505e-21  2.53204e-27  1.82747e-28  2.06201e-35  5.05471e-60
P4        2.00509e-59  1.74463e-64  8.07217e-65  3.61354e-66  5.72743e-65  2.00512e-59   1.5317e-67  2.55242e-74  1.01918e-98
P5        1.72447e-10  9.40069e-11  1.70798e-11  5.46195e-13  2.39968e-12  8.89177e-14  2.86569e-10  9.06039e-19  8.16345e-43
P6         2.0129e-13  1.53988e-10  1.21563e-11  8.86246e-13  2.18814e-12  1.19742e-13  7.32198e-12  1.76862e-10  2.98068e-37
P7        8.22519e-21  1.07922e-09  1.09352e-10  2.04458e-11  3.01623e-11  2.68864e-12   3.7097e-10  1.67609e-11  1.62959e-09

Temperature = 300 K    Pressure = 2.5 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.21531e-50  1.74959e-51  1.07832e-51  2.29929e-52  3.33908e-50  1.57042e-50  2.52459e-55  7.25196e-65  2.44348e-98
R         7.52351e-11  7.63752e-11  9.46148e-13  2.46855e-14  1.59662e-13  4.82157e-15   4.7598e-15  1.10413e-21  1.37783e-46
P1        1.40162e-10  2.85997e-12  1.43297e-10   3.2194e-14  2.32828e-13  6.67659e-15  2.60048e-15  2.64347e-22     4.22e-47
P2        3.03946e-20  7.58858e-23   3.2741e-23  3.05156e-20  1.19971e-23  3.02114e-25  8.48957e-26   1.9505e-32  8.02425e-57
P3        1.88476e-21  2.09579e-25  1.01107e-25  5.12275e-27  1.88508e-21  2.03253e-27  1.58831e-28  2.06216e-35  5.05467e-60
P4        2.00509e-59  1.43161e-64  6.55825e-65  2.91802e-66  4.59755e-65  2.00512e-59  1.33338e-67  2.54693e-74  1.01917e-98
P5        1.87121e-10  8.20424e-11  1.48286e-11  4.76011e-13  2.08564e-12  7.74047e-14  2.86631e-10  8.97852e-19  8.16336e-43
P6         4.3438e-13  1.53799e-10  1.21816e-11  8.83811e-13  2.18831e-12  1.19485e-13  7.25581e-12  1.76862e-10  2.98058e-37
P7         8.2301e-21  1.07922e-09  1.09352e-10  2.04456e-11   3.0162e-11   2.6886e-12  3.70965e-10  1.67604e-11  1.62959e-09

Temperature = 300 K    Pressure = 3 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.21727e-50  1.76271e-51  1.08347e-51   2.3007e-52  3.33919e-50  1.57043e-50  2.67578e-55  1.30703e-64  2.44454e-98
R          7.5799e-11  7.67669e-11  8.03373e-13  2.09939e-14  1.35225e-13  4.09173e-15  4.22924e-15  1.10203e-21  1.37784e-46
P1        1.40832e-10  2.42839e-12  1.43491e-10  2.71632e-14  1.95905e-13  5.62476e-15   2.3005e-15  2.64734e-22  4.21999e-47
P2        3.04132e-20  6.45375e-23  2.76247e-23  3.05158e-20  1.00492e-23  2.53451e-25  7.53409e-26  1.94402e-32  8.02415e-57
P3        1.88482e-21  1.77502e-25  8.50727e-26  4.29099e-27  1.88509e-21  1.69786e-27  1.40625e-28  2.06109e-35  5.05463e-60
P4         2.0051e-59   1.2149e-64  5.52507e-65    2.448e-66  3.84053e-65  2.00512e-59  1.18216e-67  2.54001e-74  1.01916e-98
P5        1.98327e-10  7.28974e-11   1.3118e-11  4.22437e-13  1.84658e-12  6.86266e-14   2.8668e-10  8.89377e-19  8.16326e-43
P6        7.82888e-13  1.53506e-10  1.21994e-11  8.80872e-13  2.18717e-12   1.1916e-13  7.18732e-12  1.76862e-10  2.98049e-37
P7        8.23367e-21  1.07923e-09  1.09351e-10  2.04453e-11  3.01618e-11  2.68857e-12  3.70961e-10  1.67599e-11  1.62959e-09

Temperature = 300 K    Pressure = 3.5 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.21872e-50  1.77244e-51  1.08724e-51  2.30174e-52  3.33927e-50  1.57043e-50  2.79536e-55  2.08947e-64   2.4453e-98
R         7.62173e-11  7.70587e-11  6.98374e-13  1.82739e-14  1.17329e-13  3.55568e-15  3.80926e-15  1.09915e-21  1.37785e-46
P1        1.41323e-10  2.11101e-12  1.43633e-10  2.34997e-14  1.69127e-13  4.86054e-15  2.06433e-15  2.64929e-22  4.21998e-47
P2        3.04269e-20  5.61758e-23   2.3899e-23  3.05159e-20  8.64691e-24  2.18341e-25  6.77881e-26  1.93639e-32  8.02406e-57
P3        1.88487e-21  1.54011e-25  7.34443e-26  3.69223e-27   1.8851e-21  1.45794e-27  1.26273e-28  2.05865e-35  5.05459e-60
P4         2.0051e-59  1.05574e-64  4.77439e-65  2.10888e-66  3.29783e-65  2.00512e-59  1.06277e-67  2.53157e-74  1.01915e-98
P5        2.07191e-10  6.56584e-11  1.17714e-11  3.80088e-13  1.65812e-12  6.16956e-14   2.8672e-10   8.8066e-19  8.16317e-43
P6        1.25156e-12  1.53105e-10  1.22084e-11  8.77414e-13  2.18457e-12  1.18764e-13  7.11688e-12  1.76862e-10   2.9804e-37
P7        8.23624e-21  1.07923e-09  1.09351e-10  2.04451e-11  3.01616e-11  2.68854e-12  3.70957e-10  1.67594e-11  1.62959e-09

Temperature = 300 K    Pressure = 4 atm

From\To            W1            R           P1           P2           P3           P4           P5           P6           P7
W1        5.21983e-50  1.77995e-51  1.09013e-51  2.30253e-52  3.33934e-50  1.57043e-50  2.89251e-55   3.0692e-64  2.44595e-98
