    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
           13.8     7.7234e+11    1.98854e+10    1.79938e+11
             14    7.91275e+11    2.02528e+10    1.85665e+11
           14.2    8.10624e+11    2.06241e+10    1.91474e+11
           14.4    8.30392e+11    2.09994e+10     1.9736e+11
           14.6    8.50591e+11    2.13786e+10    2.03351e+11
           14.8    8.71225e+11    2.17618e+10    2.09458e+11
             15    8.92305e+11    2.21489e+10     2.1569e+11
           15.2    9.13838e+11    2.25401e+10    2.22077e+11
           15.4    9.35833e+11    2.29352e+10    2.28613e+11
           15.6    9.58299e+11    2.33343e+10    2.35255e+11
           15.8    9.81243e+11    2.37374e+10    2.41976e+11
             16    1.00468e+12    2.41444e+10    2.48781e+11
           16.2    1.02861e+12    2.45555e+10    2.55732e+11
           16.4    1.05305e+12    2.49705e+10    2.62859e+11
           16.6      1.078e+12    2.53895e+10    2.70103e+11
           16.8    1.10348e+12    2.58125e+10     2.7743e+11
             17     1.1295e+12    2.62395e+10    2.84845e+11
           17.2    1.15606e+12    2.66705e+10    2.92385e+11
           17.4    1.18317e+12    2.71054e+10     3.0006e+11
           17.6    1.21086e+12    2.75444e+10    3.07849e+11
           17.8    1.23912e+12    2.79873e+10    3.15725e+11
             18    1.26796e+12    2.84342e+10    3.23671e+11
           18.2     1.2974e+12    2.88851e+10     3.3171e+11
           18.4    1.32745e+12      2.934e+10    3.39841e+11
           18.6    1.35812e+12    2.97989e+10    3.48056e+11
           18.8    1.38942e+12    3.02618e+10    3.56351e+11
             19    1.42136e+12    3.07287e+10    3.64736e+11
           19.2    1.45395e+12    3.11995e+10    3.73217e+11
           19.4    1.48721e+12    3.16743e+10    3.81789e+11
           19.6    1.52115e+12    3.21531e+10    3.90464e+11
           19.8    1.55577e+12    3.26358e+10    3.99247e+11
             20     1.5911e+12    3.31225e+10    4.08122e+11
    E, kcal/mol    D, mol/kcal        W2a->W1       W2a->W3a       W2a->W2b
            -10    2.60735e+09    2.72163e+09    1.00476e+06    3.43549e+12
           -9.8     2.6999e+09    2.92624e+09    1.37186e+06    3.46567e+12
           -9.6    2.79567e+09    3.14133e+09    1.86933e+06    3.49542e+12
           -9.4    2.89466e+09    3.36733e+09    2.54137e+06    3.52488e+12
           -9.2    2.99632e+09    3.60538e+09    3.44628e+06    3.55481e+12
             -9    3.10085e+09    3.85579e+09    4.65864e+06    3.58505e+12
           -8.8    3.20875e+09    4.11846e+09    6.27201e+06    3.61509e+12
           -8.6    3.32043e+09    4.39333e+09    8.40147e+06     3.6446e+12
           -8.4    3.43566e+09    4.68118e+09    1.11864e+07    3.67395e+12
           -8.2    3.55409e+09    4.98297e+09    1.47896e+07    3.70362e+12
             -8    3.67583e+09    5.29904e+09    1.93926e+07    3.73356e+12
           -7.8    3.80151e+09    5.62899e+09    2.51884e+07    3.76321e+12
           -7.6    3.93129e+09      5.973e+09    3.23817e+07    3.79255e+12
           -7.4    4.06496e+09     6.3318e+09    4.11886e+07    3.82187e+12
           -7.2    4.20219e+09    6.70642e+09      5.184e+07    3.85158e+12
             -7    4.34337e+09    7.09675e+09     6.4577e+07    3.88139e+12
           -6.8    4.48912e+09    7.50225e+09    7.96564e+07    3.91084e+12
           -6.6    4.63953e+09    7.92325e+09    9.73666e+07    3.93997e+12
           -6.4     4.7943e+09    8.36078e+09     1.1803e+08    3.96914e+12
           -6.2    4.95328e+09    8.81567e+09    1.41993e+08    3.99856e+12
             -6    5.11684e+09     9.2879e+09    1.69602e+08    4.02801e+12
           -5.8    5.28551e+09    9.77707e+09    2.01201e+08    4.05715e+12
           -5.6    5.45932e+09    1.02838e+10    2.37157e+08     4.0861e+12
           -5.4    5.63793e+09    1.08092e+10    2.77859e+08     4.1152e+12
           -5.2    5.82132e+09    1.13541e+10     3.2371e+08    4.14453e+12
             -5    6.01003e+09    1.19181e+10    3.75101e+08     4.1738e+12
           -4.8    6.20459e+09    1.25007e+10     4.3244e+08    4.20273e+12
           -4.6    6.40494e+09    1.31026e+10    4.96198e+08    4.23148e+12
           -4.4     6.6107e+09    1.37253e+10    5.66904e+08    4.26038e+12
           -4.2    6.82209e+09     1.4369e+10    6.45065e+08    4.28939e+12
             -4    7.03959e+09    1.50332e+10    7.31169e+08    4.31828e+12
           -3.8    7.26355e+09    1.57178e+10    8.25711e+08    4.34693e+12
           -3.6    7.49383e+09    1.64238e+10    9.29249e+08    4.37553e+12
           -3.4    7.73022e+09    1.71523e+10    1.04238e+09    4.40428e+12
           -3.2    7.97293e+09    1.79035e+10    1.16566e+09    4.43315e+12
             -3    8.22266e+09    1.86765e+10    1.29962e+09    4.46184e+12
           -2.8    8.47968e+09    1.94714e+10    1.44484e+09    4.49028e+12
           -2.6    8.74389e+09    2.02891e+10    1.60198e+09    4.51864e+12
           -2.4    9.01496e+09    2.11312e+10    1.77179e+09    4.54716e+12
           -2.2    9.29342e+09    2.19971e+10    1.95484e+09    4.57568e+12
             -2    9.57977e+09    2.28865e+10    2.15172e+09    4.60401e+12
           -1.8    9.87421e+09    2.37997e+10    2.36304e+09    4.63217e+12
           -1.6    1.01764e+10    2.47382e+10     2.5896e+09     4.6604e+12
           -1.4    1.04865e+10    2.57026e+10     2.8321e+09    4.68873e+12
           -1.2    1.08048e+10    2.66927e+10    3.09118e+09    4.71706e+12
             -1    1.11321e+10    2.77076e+10    3.36742e+09    4.74516e+12
           -0.8    1.14685e+10    2.87479e+10    3.66157e+09    4.77311e+12
           -0.6    1.18137e+10    2.98149e+10    3.97447e+09    4.80108e+12
           -0.4    1.21677e+10    3.09094e+10    4.30691e+09    4.82914e+12
           -0.2    1.25312e+10    3.20306e+10    4.65949e+09    4.85712e+12
   -6.93946e-15    1.29048e+10    3.31778e+10    5.03278e+09    4.88489e+12
            0.2    1.32884e+10    3.43523e+10    5.42761e+09    4.91258e+12
            0.4    1.36816e+10    3.55556e+10    5.84494e+09    4.94037e+12
            0.6    1.40848e+10    3.67878e+10    6.28551e+09    4.96823e+12
            0.8    1.44987e+10    3.80478e+10    6.74985e+09    4.99597e+12
              1    1.49239e+10    3.93353e+10    7.23864e+09    5.02352e+12
            1.2    1.53602e+10    4.06515e+10    7.75278e+09    5.05099e+12
            1.4    1.58074e+10    4.19978e+10    8.29327e+09    5.07853e+12
