Pressure (atm),Temperature (K),W1_Energy_1_W1->P1
1.0,300.0,1.676821219982975
1.0,310.0,1.6225520888466236
1.0,320.0,1.5716772604553688
1.0,330.0,1.523873185937657
1.0,340.0,1.4788577265503737
1.0,350.0,1.4363835531818172
1.0,360.0,1.3962327916287531
1.0,370.0,1.3582126449214047
1.0,380.0,1.3221517885583691
1.0,390.0,1.2878973821225879
