    E, kcal/mol    D, mol/kcal         W1->P0
             58    9.87463e+06    1.12345e+12
           58.5    1.00925e+07    1.13302e+12
             59    1.03119e+07    1.14275e+12
           59.5     1.0536e+07    1.15228e+12
             60    1.07619e+07    1.16192e+12
           60.5    1.09907e+07    1.17157e+12
             61    1.12235e+07    1.18111e+12
           61.5    1.14624e+07    1.19031e+12
             62    1.17022e+07    1.19973e+12
           62.5    1.19473e+07    1.20891e+12
             63    1.21949e+07    1.21815e+12
           63.5    1.24448e+07    1.22746e+12
             64    1.27018e+07    1.23638e+12
           64.5      1.296e+07    1.24547e+12
             65    1.32217e+07    1.25453e+12
           65.5    1.34879e+07    1.26347e+12
             66    1.37585e+07     1.2723e+12
           66.5    1.40309e+07    1.28126e+12
             67    1.43118e+07    1.28975e+12
           67.5    1.45911e+07    1.29868e+12
             68    1.48765e+07    1.30736e+12
           68.5    1.51661e+07    1.31596e+12
             69    1.54596e+07    1.32452e+12
           69.5    1.57575e+07    1.33299e+12
             70    1.60597e+07    1.34139e+12
           70.5    1.63649e+07    1.34981e+12
             71    1.66746e+07    1.35817e+12
           71.5    1.69892e+07     1.3664e+12
             72    1.73055e+07    1.37478e+12
           72.5    1.76315e+07    1.38269e+12
             73    1.79557e+07    1.39102e+12
           73.5    1.82872e+07    1.39906e+12
             74    1.86221e+07    1.40712e+12
           74.5    1.89632e+07    1.41501e+12
             75    1.93057e+07    1.42306e+12
           75.5    1.96562e+07    1.43078e+12
             76     2.0008e+07     1.4387e+12
           76.5    2.03642e+07    1.44657e+12
             77    2.07274e+07    1.45422e+12
           77.5    2.10927e+07    1.46199e+12
             78    2.14657e+07     1.4695e+12
           78.5    2.18415e+07     1.4771e+12
             79    2.22231e+07    1.48457e+12
           79.5    2.26071e+07    1.49215e+12
             80    2.29991e+07    1.49947e+12
           80.5    2.33914e+07    1.50703e+12
             81    2.37922e+07    1.51432e+12
           81.5    2.41961e+07    1.52166e+12
             82    2.46054e+07    1.52892e+12
           82.5    2.50201e+07    1.53611e+12
             83    2.54387e+07    1.54332e+12
           83.5    2.58628e+07    1.55046e+12
