Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.81523e-18  1.01743e-27
  210  7.74142e-18  4.54557e-27
  220  1.21804e-17  1.81119e-26
  230  1.87644e-17  6.51779e-26
  240  2.83201e-17  2.14113e-25
  250  4.19032e-17  6.48015e-25
  260  6.08332e-17  1.82137e-24
  270  8.67281e-17  4.78763e-24
  280  1.21536e-16  1.18422e-23
  290  1.67565e-16  2.77143e-23
  300  2.27511e-16  6.16652e-23
  310  3.04478e-16  1.31014e-22
  320  4.01998e-16  2.66816e-22
  330  5.24047e-16  5.22666e-22
  340  6.75054e-16  9.87875e-22
  350  8.59907e-16  1.80658e-21
  360  1.08396e-15  3.20468e-21
  370  1.35301e-15  5.52675e-21
  380  1.67335e-15  9.28553e-21
  390  2.05168e-15  1.52267e-20
  400  2.49515e-15  2.44121e-20
  410  3.01136e-15  3.83244e-20
  420  3.60829e-15  5.89965e-20
  430  4.29434e-15    8.917e-20
  440  5.07828e-15  1.32484e-19
  450  5.96925e-15  1.93701e-19
  460  6.97672e-15  2.78968e-19
  470   8.1105e-15  3.96119e-19
  480  9.38069e-15  5.55026e-19
  490  1.07977e-14  7.67986e-19
  500  1.23722e-14  1.05017e-18
  510  1.41151e-14  1.42009e-18
  520  1.60376e-14  1.90018e-18
  530   1.8151e-14  2.51734e-18
  540  2.04669e-14  3.30361e-18
  550  2.29971e-14  4.29683e-18
  560  2.57535e-14  5.54142e-18
  570  2.87482e-14  7.08915e-18
  580  3.19934e-14  8.99998e-18
  590  3.55014e-14  1.13429e-17
  600  3.92849e-14   1.4197e-17
  610  4.33562e-14  1.76522e-17
  620  4.77282e-14  2.18106e-17
  630  5.24135e-14  2.67871e-17
  640   5.7425e-14  3.27109e-17
  650  6.27757e-14  3.97263e-17
  660  6.84785e-14   4.7994e-17
  670  7.45463e-14  5.76922e-17
  680  8.09924e-14  6.90179e-17
  690  8.78297e-14  8.21878e-17
  700  9.50714e-14  9.74401e-17
  800  1.92628e-13  4.34446e-16
  900  3.45091e-13  1.44622e-15
 1000  5.65374e-13  3.91097e-15
 1100  8.65898e-13  9.06971e-15
 1200  1.25841e-12  1.87048e-14
 1300  1.75391e-12  3.51876e-14
 1400  2.36257e-12  6.14962e-14
 1500  3.09373e-12  1.01209e-13
 1600  3.95595e-12  1.58481e-13
 1700  4.95704e-12     2.38e-13
 1800  6.10406e-12  3.44947e-13
 1900  7.40346e-12  4.84938e-13
 2000  8.86106e-12  6.63978e-13
 2100  1.04822e-11  8.88401e-13
 2200  1.22715e-11  1.16483e-12
 2300  1.42335e-11  1.50012e-12
 2400  1.63721e-11  1.90132e-12
 2500  1.86909e-11  2.37565e-12
 2600  2.11931e-11  2.93044e-12
 2700  2.38818e-11  3.57311e-12
 2800  2.67595e-11  4.31115e-12
 2900   2.9829e-11  5.15208e-12
 3000  3.30923e-11  6.10347e-12
 3100  3.65516e-11  7.17285e-12
 3200  4.02088e-11  8.36777e-12
 3300  4.40656e-11  9.69575e-12
 3400  4.81238e-11  1.11643e-11
 3500  5.23846e-11  1.27807e-11
 3600  5.68496e-11  1.45525e-11
 3700  6.15201e-11   1.6487e-11
 3800   6.6397e-11  1.85914e-11
 3900  7.14817e-11  2.08728e-11
