pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      4.95769 -5.25563e-10 -8.26494e-15
      4.83761  1.07139e-10  1.66027e-15
      4.71753 -2.07467e-09 -3.16752e-14
      4.59744 -5.82447e-10 -8.75992e-15
      4.47736  9.21428e-10  1.36501e-14
      4.35728  6.12727e-10  8.94049e-15
       4.2372 -3.98884e-10 -5.73294e-15
      4.11711 -9.91918e-10 -1.40438e-14
      3.99703   3.7337e-10  5.20839e-15
      3.87695 -1.73705e-09 -2.38818e-14
      3.75687  2.05785e-09   2.7898e-14
      3.63678   -4.575e-09 -6.12031e-14
       3.5167  4.03144e-09  5.32726e-14
      3.39662 -3.14273e-09 -4.10731e-14
      3.27654  1.31738e-10  1.70538e-15
      3.15645  5.86846e-09  7.53728e-14
      3.03637  5.42241e-10  6.92249e-15
      2.91629  2.72933e-09  3.47049e-14
      2.79621  4.81269e-08  6.10908e-13
      2.67612  8.34905e-08  1.06068e-12
      2.55604  2.61023e-07  3.32839e-12
      2.43596  7.81387e-07  1.00333e-11
      2.31588   2.2496e-06  2.91961e-11
      2.19579  6.36055e-06  8.37933e-11
      2.07571  1.75236e-05  2.35494e-10
      1.95563  4.63795e-05  6.39484e-10
      1.83555  0.000117948  1.67987e-09
      1.71546   0.00028838  4.27668e-09
      1.59538  0.000681558  1.06253e-08
       1.4753   0.00156718  2.59804e-08
      1.35522   0.00352662   6.3046e-08
      1.23513   0.00780148  1.53025e-07
      1.11505    0.0169926  3.73739e-07
     0.994969    0.0364317  9.23824e-07
     0.874887    0.0765955   2.3225e-06
     0.754804     0.156695   5.9683e-06
     0.634722     0.306999  1.57404e-05
     0.514639     0.556647  4.25539e-05
     0.394557     0.870531  0.000116767
     0.274474            1   0.00031511
     0.154392     0.555066   0.00079122
    0.0343093    0.0148825   0.00178218
   -0.0857732            0   0.00380562
    -0.205856            0   0.00804034
    -0.325938            0    0.0167497
    -0.446021            0    0.0342204
    -0.566103            0    0.0679841
    -0.686186            0     0.129533
    -0.806268            0     0.232863
    -0.926351            0      0.38724
     -1.04643            0     0.583723
     -1.16652            0      0.78552
      -1.2866            0     0.938321
     -1.40668            0            1
     -1.52676            0     0.963918
     -1.64685            0     0.852466
     -1.76693            0     0.701625
     -1.88701            0     0.543892
     -2.00709            0     0.400567
     -2.12718            0     0.282097
     -2.24726            0     0.190594
     -2.36734            0     0.123762
     -2.48742            0    0.0772394
     -2.60751            0    0.0462661
     -2.72759            0    0.0265214
     -2.84767            0    0.0144757
     -2.96775            0    0.0074711
     -3.08784            0   0.00360948
     -3.20792            0   0.00160874
       -3.328            0  0.000647006
     -3.44808            0  0.000226539
     -3.56817            0  6.46322e-05
     -3.68825            0  1.31386e-05
     -3.80833            0  1.10592e-06

pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.36136e-09
      11.8024   1.0698e-08
      11.6823  1.36822e-08
      11.5622  1.74921e-08
      11.4421   2.2354e-08
      11.3221  2.85557e-08
       11.202   3.6463e-08
      11.0819  4.65407e-08
      10.9618  5.93786e-08
      10.8417  7.57253e-08
      10.7217  9.65303e-08
      10.6016  1.22997e-07
      10.4815   1.5665e-07
      10.3614  1.99419e-07
      10.2413  2.53748e-07
      10.1212  3.22727e-07
      10.0012  4.10261e-07
      9.88107  5.21285e-07
      9.76099  6.62027e-07
      9.64091  8.40348e-07
      9.52083  1.06616e-06
      9.40074  1.35194e-06
      9.28066  1.71341e-06
      9.16058  2.17036e-06
       9.0405  2.74764e-06
      8.92041  3.47648e-06
      8.80033  4.39609e-06
      8.68025  5.55561e-06
      8.56017  7.01663e-06
      8.44008  8.85625e-06
         8.32  1.11709e-05
      8.19992  1.40812e-05
      8.07984  1.77376e-05
      7.95975  2.23278e-05
      7.83967  2.80859e-05
      7.71959  3.53031e-05
      7.59951  4.43417e-05
      7.47942   5.5652e-05
      7.35934  6.97927e-05
      7.23926  8.74561e-05
      7.11918    0.0001095
      6.99909  0.000136985
      6.87901  0.000171222
      6.75893  0.000213829
      6.63885  0.000266799
      6.51876   0.00033259
      6.39868   0.00041422
       6.2786  0.000515399
      6.15852  0.000640677
      6.03843  0.000795625
      5.91835  0.000987059
      5.79827    0.0012233
      5.67819   0.00151449
       5.5581   0.00187298
      5.43802   0.00231376
      5.31794     0.002855
      5.19786   0.00351869
      5.07777   0.00433134
      4.95769   0.00532488
      4.83761   0.00653765
      4.71753   0.00801558
      4.59744   0.00981348
      4.47736    0.0119965
      4.35728    0.0146419
       4.2372    0.0178408
      4.11711    0.0217004
      3.99703    0.0263462
      3.87695    0.0319241
      3.75687    0.0386024
      3.63678    0.0465742
       3.5167     0.056059
      3.39662    0.0673047
      3.27654    0.0805887
      3.15645    0.0962187
      3.03637     0.114531
      2.91629     0.135888
      2.79621     0.160672
      2.67612     0.189276
      2.55604     0.222093
      2.43596     0.259494
      2.31588      0.30181
      2.19579     0.349293
      2.07571     0.402081
      1.95563     0.460141
      1.83555     0.523201
      1.71546     0.590666
      1.59538      0.66151
       1.4753     0.734135
      1.35522     0.806197
      1.23513     0.874372
      1.11505     0.934038
     0.994969     0.978826
     0.874887            1
     0.754804     0.985653
     0.634722     0.920134
     0.514639      0.78577
     0.394557     0.573468
     0.274474      0.31322
     0.154392     0.103036
    0.0343093     0.027496
   -0.0857732    0.0161104
    -0.205856   0.00976228
    -0.325938   0.00597787
    -0.446021   0.00369882
    -0.566103   0.00230843
    -0.686186   0.00144758
    -0.806268  0.000906796
    -0.926351  0.000564049
     -1.04643  0.000346835
     -1.16652  0.000210298
      -1.2866  0.000125603
     -1.40668  7.38604e-05
     -1.52676  4.27084e-05
     -1.64685  2.42699e-05
     -1.76693  1.35383e-05
     -1.88701  7.39899e-06
     -2.00709  3.95356e-06
     -2.12718  2.05728e-06
     -2.24726  1.03953e-06
     -2.36734  5.07662e-07
     -2.48742  2.38269e-07
     -2.60751  1.06589e-07
     -2.72759  4.48716e-08
     -2.84767  1.75368e-08
     -2.96775  6.19557e-09
     -3.08784  1.89215e-09
     -3.20792   4.4847e-10
       -3.328  5.11744e-11
     -3.44808 -1.84386e-11
     -3.56817 -1.36098e-11
     -3.68825 -4.13351e-12
     -3.80833 -4.41012e-13

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225   6.9279e-16  9.39868e-19
      11.8024  5.75885e-16   7.7287e-19
      11.6823 -2.70239e-15 -3.58759e-18
      11.5622 -1.78931e-15 -2.34963e-18
      11.4421 -1.93608e-16 -2.51465e-19
      11.3221 -3.54388e-15 -4.55247e-18
       11.202 -9.26766e-17 -1.17741e-19
      11.0819  3.92944e-15  4.93684e-18
      10.9618 -1.21095e-15 -1.50446e-18
      10.8417 -3.04065e-15  -3.7353e-18
      10.7217 -5.12577e-15 -6.22582e-18
      10.6016 -5.12283e-15 -6.15171e-18
      10.4815 -1.28806e-15 -1.52911e-18
      10.3614 -5.66857e-15  -6.6522e-18
      10.2413 -2.50374e-15 -2.90425e-18
      10.1212  -7.4583e-17 -8.55067e-20
      10.0012 -4.87373e-15 -5.52205e-18
      9.88107  1.46342e-15  1.63848e-18
      9.76099 -2.11488e-14 -2.33965e-17
      9.64091 -2.58824e-15 -2.82887e-18
      9.52083   -9.177e-15 -9.90845e-18
      9.40074  -6.7735e-15 -7.22382e-18
      9.28066 -3.22051e-15 -3.39217e-18
      9.16058 -2.11528e-15 -2.20026e-18
       9.0405  3.19947e-14  3.28619e-17
      8.92041 -9.14339e-15 -9.27236e-18
      8.80033 -1.43995e-15 -1.44166e-18
