========================================
absch2o+h_P1_SymmetryFactor_1_0.1.out
--
T,P1->P2
360.0,2.20875e-13
370.0,2.47381e-13
380.0,2.76061e-13
390.0,3.07603e-13
400.0,3.4164e-13
410.0,3.79077e-13
420.0,4.19305e-13
430.0,4.61884e-13
440.0,5.08262e-13
450.0,5.58172e-13
460.0,6.11815e-13
470.0,6.68994e-13
480.0,7.29856e-13
490.0,7.94902e-13
500.0,8.64315e-13
510.0,9.37945e-13
520.0,1.01563e-12
530.0,1.09784e-12
540.0,1.185e-12
550.0,1.27735e-12
560.0,1.37396e-12
570.0,1.47605e-12
580.0,1.58328e-12
590.0,1.69625e-12
600.0,1.81406e-12
610.0,1.93788e-12
620.0,2.06739e-12
630.0,2.20312e-12
640.0,2.34431e-12
650.0,2.492e-12
660.0,2.64588e-12
670.0,2.80607e-12
680.0,2.97343e-12
690.0,3.14629e-12
700.0,3.32669e-12
800.0,5.52267e-12
900.0,8.50952e-12
1000.0,1.2377e-11
1100.0,1.71964e-11
1200.0,2.30278e-11
1300.0,2.99152e-11
1400.0,3.78923e-11
1500.0,4.69811e-11
1600.0,5.71982e-11
1700.0,6.85494e-11
1800.0,8.10421e-11
1900.0,9.46675e-11
2000.0,1.09428e-10
2100.0,1.2531e-10
2200.0,1.42309e-10
2300.0,1.60406e-10
2400.0,1.79597e-10
2500.0,1.99854e-10
2600.0,2.21174e-10
2700.0,2.43546e-10
2800.0,2.66932e-10
2900.0,2.91336e-10
3000.0,3.16742e-10
========================================
absch2o+h_B2_Frequencies_1_0.1.out
--
T,P1->P2
200.0,2.05898e-14
210.0,2.40014e-14
220.0,2.74703e-14
230.0,3.17611e-14
240.0,3.66511e-14
250.0,4.22821e-14
260.0,4.86488e-14
270.0,5.58884e-14
280.0,6.41354e-14
290.0,7.33604e-14
300.0,8.36949e-14
310.0,9.52655e-14
320.0,1.08191e-13
330.0,1.2263e-13
340.0,1.38508e-13
350.0,1.55872e-13
360.0,1.74937e-13
370.0,1.96e-13
