Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_W2->P1,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P2->P3
0.1,250.0,3.482099734413914e-08,2.8219555490030547e-08,-3.770046992303201e-08,-3.329492165327672,2.848842388408097e-07,-7.049623297613991e-13,1.1039680137593886e-07
0.1,260.0,-2.888866173531335e-07,-2.3726341968983783e-07,3.349288027449641e-07,-0.16641174613708137,-2.3868858698489945e-06,-1.500937122807119e-13,-9.17779292823942e-07
0.1,270.0,7.986679030465947e-07,6.699772795117177e-07,-1.019104372565814e-06,-0.0015023794131004712,6.710690159854147e-06,-5.049098249113302e-14,2.5468655384616243e-06
0.1,280.0,-6.278570133323881e-07,-5.582071432681015e-07,9.95944145417084e-07,-0.020330279221165332,-5.502187766058848e-06,3.207197523646591e-14,-2.0260767136532823e-06
0.1,290.0,-5.033703307831632e-07,-3.9583759054958973e-07,5.008379426543204e-07,-0.005261723220900537,-4.186794371136257e-06,5.634566377960296e-14,-1.5814351422180314e-06
0.1,300.0,3.028689022573489e-07,2.948963460659138e-07,-6.429957593437637e-07,0.005402719174202739,2.9917938000994364e-06,4.30973902567127e-14,9.959660437103397e-07
0.1,310.0,6.333376812383195e-07,5.293876484791951e-07,-8.357012508236593e-07,0.003856198031209015,5.770362245709238e-06,2.2327580248683968e-14,2.011623186598022e-06
0.1,320.0,3.508855022624587e-07,2.4992705084301955e-07,-2.08282505800787e-07,-0.001277850235457706,2.7997030759193894e-06,1.1402886290451773e-14,1.0796730546209483e-06
0.1,330.0,-1.5150174958851525e-07,-1.7585316018471012e-07,5.02427141564144e-07,-0.0038847643472336786,-2.4596818233304663e-06,9.406503161879221e-15,-5.185201202462032e-07
0.1,340.0,-5.010975165054647e-07,-4.379155132792755e-07,8.032532232759008e-07,-0.0031256299546458285,-6.546957910155962e-06,1.1521630211804004e-14,-1.6022189023568074e-06
0.1,350.0,-5.498829998945587e-07,-4.365225692484218e-07,6.236226599695796e-07,-0.0007040067105290706,-7.897966465128263e-06,1.52151213812835e-14,-1.723085366981546e-06
0.1,360.0,-3.44069463297622e-07,-2.343167467581846e-07,1.5788591625844998e-07,0.0015549480259930961,-6.690882597520863e-06,1.7986449250362978e-14,-1.0480861198868593e-06
0.1,370.0,-1.9826870250550104e-08,4.260444841774696e-08,-3.376781721401579e-07,0.002678776179481116,-3.996728464227379e-06,2.0620331726320197e-14,-1.853983155203656e-08
0.1,380.0,2.8539337017112187e-07,2.7997220690468206e-07,-6.728194100810282e-07,0.002552575070658237,-1.0132363036049337e-06,2.2012421762404863e-14,9.315748525793074e-07
