========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,W1->P1
290.0,9.78415e-52
299.0,1.06447e-49
300.0,1.76171e-49
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,W1->P2
290.0,6.49075e-61
299.0,1.19146e-58
300.0,2.08572e-58
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,W1->P3
290.0,3.36695e-67
299.0,2.91047e-65
300.0,4.7629e-65
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P1->P2
290.0,4.91475e-20
299.0,8.74794e-20
300.0,9.3057e-20
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P1->P3
290.0,4.08346e-30
299.0,5.4791e-30
300.0,5.66146e-30
========================================
c2h6rad_W1_Energy_1_0.0.out
1 atm
T,P2->P3
290.0,1.61541e-25
299.0,1.94515e-25
300.0,1.98615e-25
