Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  5.62986e-18  1.01743e-27
  210   8.9433e-18  4.54557e-27
  220   1.3919e-17  1.81119e-26
  230  2.12306e-17  6.51779e-26
  240  3.17514e-17  2.14113e-25
  250  4.65879e-17  6.48015e-25
  260  6.71127e-17  1.82137e-24
  270  9.49971e-17  4.78763e-24
  280  1.32241e-16  1.18422e-23
  290  1.81198e-16  2.77143e-23
  300  2.44601e-16  6.16652e-23
  310  3.25583e-16  1.31014e-22
  320  4.27688e-16  2.66816e-22
  330  5.54886e-16  5.22666e-22
  340   7.1158e-16  9.87875e-22
  350  9.02611e-16  1.80658e-21
  360  1.13325e-15  3.20468e-21
  370  1.40921e-15  5.52675e-21
  380  1.73662e-15  9.28553e-21
  390  2.12204e-15  1.52267e-20
  400  2.57241e-15  2.44121e-20
  410  3.09509e-15  3.83244e-20
  420   3.6978e-15  5.89965e-20
  430  4.38863e-15    8.917e-20
  440    5.176e-15  1.32484e-19
  450  6.06866e-15  1.93701e-19
  460  7.07569e-15  2.78968e-19
  470  8.20643e-15  3.96119e-19
  480   9.4705e-15  5.55026e-19
  490  1.08778e-14  7.67986e-19
  500  1.24384e-14  1.05017e-18
  510  1.41626e-14  1.42009e-18
  520  1.60611e-14  1.90018e-18
  530  1.81444e-14  2.51734e-18
  540  2.04236e-14  3.30361e-18
  550  2.29095e-14  4.29683e-18
  560  2.56136e-14  5.54142e-18
  570  2.85469e-14  7.08915e-18
  580  3.17211e-14  8.99998e-18
  590  3.51476e-14  1.13429e-17
  600   3.8838e-14   1.4197e-17
  610  4.28042e-14  1.76522e-17
  620  4.70578e-14  2.18106e-17
  630  5.16108e-14  2.67871e-17
  640   5.6475e-14  3.27109e-17
  650  6.16626e-14  3.97263e-17
  660  6.71853e-14   4.7994e-17
  670  7.30554e-14  5.76922e-17
  680  7.92849e-14  6.90179e-17
  690  8.58859e-14  8.21878e-17
  700  9.28706e-14  9.74401e-17
  750  1.33973e-13  2.14901e-16
  800  1.86486e-13  4.34446e-16
  850  2.51918e-13  8.17073e-16
  900   3.3176e-13  1.44622e-15
  950  4.27477e-13  2.43133e-15
 1000  5.40503e-13  3.91097e-15
 1050  6.72234e-13  6.05559e-15
 1100  8.24027e-13  9.06971e-15
 1150  9.97196e-13  1.31937e-14
 1200  1.19301e-12  1.87048e-14
 1250  1.41268e-12  2.59184e-14
 1300   1.6574e-12  3.51876e-14
 1350  1.92827e-12  4.69039e-14
 1400  2.22639e-12  6.14962e-14
 1450  2.55278e-12  7.94307e-14
 1500  2.90843e-12  1.01209e-13
 1550  3.29428e-12  1.27369e-13
 1600  3.71123e-12  1.58481e-13
 1650  4.16012e-12  1.95146e-13
 1700  4.64179e-12     2.38e-13
 1750  5.15699e-12  2.87703e-13
 1800  5.70647e-12  3.44947e-13
 1850  6.29094e-12  4.10445e-13
 1900  6.91106e-12  4.84938e-13
 1950  7.56746e-12  5.69188e-13
 2000  8.26077e-12  6.63978e-13
 2050  8.99154e-12  7.70109e-13
 2100  9.76034e-12  8.88401e-13
 2150  1.05677e-11  1.01969e-12
 2200  1.14141e-11  1.16483e-12
 2250  1.22999e-11  1.32468e-12
 2300  1.32258e-11  1.50012e-12
 2350  1.41921e-11  1.69203e-12
 2400  1.51991e-11  1.90132e-12
 2450  1.62474e-11  2.12889e-12
 2500  1.73372e-11  2.37565e-12
 2550   1.8469e-11  2.64253e-12
 2600   1.9643e-11  2.93044e-12
 2650  2.08596e-11  3.24032e-12
 2700  2.21191e-11  3.57311e-12
 2750  2.34218e-11  3.92974e-12
 2800   2.4768e-11  4.31115e-12
 2850   2.6158e-11  4.71828e-12
 2900  2.75919e-11  5.15208e-12
 2950  2.90701e-11   5.6135e-12
