========================================
ch4oabs_B1_Frequencies_1_0.1.out
--
T,R->P7
470.0,6.6023e-32
480.0,1.53471e-31
490.0,3.44594e-31
500.0,7.48949e-31
510.0,1.57872e-30
520.0,3.23329e-30
530.0,6.44455e-30
540.0,1.25202e-29
550.0,2.37422e-29
560.0,4.4004e-29
570.0,7.98099e-29
580.0,1.41811e-28
590.0,2.47122e-28
600.0,4.22758e-28
610.0,7.10644e-28
620.0,1.17481e-27
630.0,1.91156e-27
640.0,3.06368e-27
650.0,4.83995e-27
660.0,7.54173e-27
670.0,1.15986e-26
680.0,1.76156e-26
690.0,2.64356e-26
700.0,3.92201e-26
800.0,1.18795e-24
900.0,1.71451e-23
1000.0,1.47647e-22
1100.0,8.74463e-22
1200.0,3.91324e-21
1300.0,1.41165e-20
1400.0,4.29835e-20
1500.0,1.14252e-19
1600.0,2.71859e-19
1700.0,5.90306e-19
1800.0,1.18727e-18
1900.0,2.23806e-18
2000.0,3.99157e-18
2100.0,6.78707e-18
2200.0,1.10715e-17
2300.0,1.74169e-17
2400.0,2.65371e-17
2500.0,3.93041e-17
2600.0,5.67636e-17
2700.0,8.0149e-17
2800.0,1.10895e-16
2900.0,1.50649e-16
3000.0,2.01282e-16
========================================
ch4oabs_R_Energy_1_34.9759.out
--
T,R->P7
200.0,1.09756e-55
210.0,1.08002e-53
220.0,6.98089e-52
230.0,3.13091e-50
240.0,1.01991e-48
250.0,2.50765e-47
260.0,4.80749e-46
270.0,7.38846e-45
280.0,9.32177e-44
290.0,9.85494e-43
300.0,8.88664e-42
310.0,6.9418e-41
320.0,4.76144e-40
330.0,2.90207e-39
340.0,1.58833e-38
350.0,7.87905e-38
360.0,3.57191e-37
370.0,1.4908e-36
380.0,5.76629e-36
390.0,2.07921e-35
400.0,7.02644e-35
410.0,2.23612e-34
420.0,6.7307e-34
430.0,1.92372e-33
440.0,5.23953e-33
450.0,1.36435e-32
460.0,3.40669e-32
470.0,8.17888e-32
480.0,1.89273e-31
490.0,4.23166e-31
500.0,9.15948e-31
510.0,1.92313e-30
520.0,3.92375e-30
530.0,7.79225e-30
540.0,1.50854e-29
550.0,2.85097e-29
560.0,5.26678e-29
570.0,9.52226e-29
580.0,1.68683e-28
590.0,2.93086e-28
600.0,4.99966e-28
610.0,8.38121e-28
620.0,1.38187e-27
630.0,2.24268e-27
640.0,3.58541e-27
650.0,5.65049e-27
660.0,8.7841e-27
670.0,1.34785e-26
680.0,2.04256e-26
690.0,3.0587e-26
700.0,4.52846e-26
800.0,1.3472e-24
900.0,1.91736e-23
1000.0,1.6328e-22
1100.0,9.58246e-22
1200.0,4.25561e-21
1300.0,1.52528e-20
1400.0,4.61873e-20
1500.0,1.22181e-19
1600.0,2.89509e-19
1700.0,6.26309e-19
1800.0,1.25554e-18
1900.0,2.35981e-18
2000.0,4.19757e-18
2100.0,7.12026e-18
2200.0,1.15898e-17
2300.0,1.8196e-17
2400.0,2.76736e-17
2500.0,4.09186e-17
2600.0,5.90039e-17
2700.0,8.3193e-17
2800.0,1.14954e-16
2900.0,1.55969e-16
3000.0,2.08149e-16
========================================
ch4oabs_P7_Energy_1_34.9759.out
--
T,R->P7
200.0,8.53404e-56
210.0,8.49886e-54
220.0,5.55356e-52
230.0,2.51565e-50
240.0,8.26987e-49
250.0,2.05044e-47
260.0,3.96152e-46
270.0,6.13212e-45
280.0,7.78836e-44
290.0,8.28501e-43
300.0,7.51431e-42
310.0,5.90164e-41
320.0,4.06858e-40
330.0,2.49162e-39
340.0,1.36981e-38
350.0,6.82389e-38
360.0,3.10594e-37
370.0,1.30123e-36
380.0,5.05108e-36
390.0,1.82751e-35
400.0,6.19582e-35
410.0,1.97784e-34
420.0,5.9707e-34
430.0,1.71126e-33
440.0,4.67329e-33
450.0,1.22e-32
460.0,3.05368e-32
470.0,7.34843e-32
480.0,1.70435e-31
490.0,3.81864e-31
500.0,8.2825e-31
510.0,1.74244e-30
520.0,3.56183e-30
530.0,7.08643e-30
540.0,1.37431e-29
550.0,2.6017e-29
560.0,4.81414e-29
570.0,8.71763e-29
580.0,1.54664e-28
590.0,2.69124e-28
600.0,4.59744e-28
610.0,7.71755e-28
620.0,1.27414e-27
630.0,2.07051e-27
640.0,3.31429e-27
650.0,5.22954e-27
660.0,8.13924e-27
670.0,1.25033e-26
680.0,1.89687e-26
690.0,2.84357e-26
700.0,4.21434e-26
800.0,1.26507e-24
900.0,1.8131e-23
1000.0,1.55267e-22
1100.0,9.15396e-22
1200.0,4.08084e-21
1300.0,1.46737e-20
1400.0,4.45566e-20
1500.0,1.1815e-19
1600.0,2.80545e-19
1700.0,6.08041e-19
1800.0,1.22093e-18
1900.0,2.29813e-18
2000.0,4.09327e-18
2100.0,6.95167e-18
2200.0,1.13277e-17
2300.0,1.78022e-17
2400.0,2.70994e-17
2500.0,4.01032e-17
2600.0,5.78729e-17
2700.0,8.16568e-17
2800.0,1.12906e-16
2900.0,1.53286e-16
3000.0,2.04687e-16
========================================
ch4oabs_R_SymmetryFactor_1_0.1.out
--
T,R->P7
200.0,9.38745e-56
210.0,9.34874e-54
220.0,6.10891e-52
230.0,2.76721e-50
240.0,9.09686e-49
250.0,2.25549e-47
260.0,4.35767e-46
270.0,6.74533e-45
280.0,8.5672e-44
290.0,9.11351e-43
300.0,8.26574e-42
310.0,6.49181e-41
320.0,4.47544e-40
330.0,2.74078e-39
340.0,1.50679e-38
350.0,7.50628e-38
360.0,3.41653e-37
370.0,1.43135e-36
380.0,5.55618e-36
390.0,2.01026e-35
400.0,6.8154e-35
410.0,2.17562e-34
420.0,6.56777e-34
430.0,1.88239e-33
440.0,5.14062e-33
450.0,1.342e-32
460.0,3.35904e-32
470.0,8.08327e-32
480.0,1.87478e-31
490.0,4.20051e-31
500.0,9.11075e-31
510.0,1.91668e-30
520.0,3.91802e-30
530.0,7.79508e-30
540.0,1.51174e-29
550.0,2.86187e-29
560.0,5.29555e-29
570.0,9.58939e-29
580.0,1.70131e-28
590.0,2.96037e-28
600.0,5.05719e-28
610.0,8.4893e-28
620.0,1.40155e-27
630.0,2.27756e-27
640.0,3.64572e-27
650.0,5.7525e-27
660.0,8.95317e-27
670.0,1.37536e-26
680.0,2.08655e-26
690.0,3.12792e-26
700.0,4.63578e-26
800.0,1.39158e-24
900.0,1.99441e-23
1000.0,1.70794e-22
1100.0,1.00694e-21
1200.0,4.48892e-21
1300.0,1.6141e-20
1400.0,4.90122e-20
1500.0,1.29965e-19
1600.0,3.08599e-19
1700.0,6.68845e-19
1800.0,1.34302e-18
1900.0,2.52794e-18
2000.0,4.5026e-18
2100.0,7.64683e-18
2200.0,1.24605e-17
2300.0,1.95824e-17
2400.0,2.98093e-17
2500.0,4.41136e-17
2600.0,6.36602e-17
2700.0,8.98225e-17
2800.0,1.24197e-16
2900.0,1.68614e-16
3000.0,2.25155e-16
========================================
ch4oabs_P7_SymmetryFactor_1_0.1.out
--
T,R->P7
200.0,8.53404e-56
210.0,8.49886e-54
220.0,5.55356e-52
230.0,2.51565e-50
240.0,8.26987e-49
250.0,2.05044e-47
260.0,3.96152e-46
270.0,6.13212e-45
280.0,7.78836e-44
290.0,8.28501e-43
300.0,7.51431e-42
310.0,5.90164e-41
320.0,4.06858e-40
330.0,2.49162e-39
340.0,1.36981e-38
350.0,6.82389e-38
360.0,3.10594e-37
370.0,1.30123e-36
380.0,5.05108e-36
390.0,1.82751e-35
400.0,6.19582e-35
410.0,1.97784e-34
420.0,5.9707e-34
430.0,1.71126e-33
440.0,4.67329e-33
450.0,1.22e-32
460.0,3.05368e-32
470.0,7.34843e-32
480.0,1.70435e-31
490.0,3.81864e-31
500.0,8.2825e-31
510.0,1.74244e-30
520.0,3.56183e-30
530.0,7.08643e-30
540.0,1.37431e-29
550.0,2.6017e-29
560.0,4.81414e-29
570.0,8.71763e-29
580.0,1.54664e-28
590.0,2.69124e-28
600.0,4.59744e-28
610.0,7.71755e-28
620.0,1.27414e-27
630.0,2.07051e-27
640.0,3.31429e-27
650.0,5.22954e-27
660.0,8.13924e-27
670.0,1.25033e-26
680.0,1.89687e-26
690.0,2.84357e-26
700.0,4.21434e-26
800.0,1.26507e-24
900.0,1.8131e-23
1000.0,1.55267e-22
1100.0,9.15396e-22
1200.0,4.08084e-21
1300.0,1.46737e-20
1400.0,4.45566e-20
1500.0,1.1815e-19
1600.0,2.80545e-19
1700.0,6.08041e-19
1800.0,1.22093e-18
1900.0,2.29813e-18
2000.0,4.09327e-18
2100.0,6.95167e-18
2200.0,1.13277e-17
2300.0,1.78022e-17
2400.0,2.70994e-17
2500.0,4.01032e-17
2600.0,5.78729e-17
2700.0,8.16568e-17
2800.0,1.12906e-16
2900.0,1.53286e-16
3000.0,2.04687e-16
========================================
ch4oabs_B1_SymmetryFactor_1_0.1.out
--
T,R->P7
200.0,7.75822e-56
210.0,7.72624e-54
220.0,5.04869e-52
230.0,2.28695e-50
240.0,7.51807e-49
250.0,1.86404e-47
260.0,3.60138e-46
270.0,5.57466e-45
280.0,7.08033e-44
290.0,7.53183e-43
300.0,6.83119e-42
310.0,5.36513e-41
320.0,3.69871e-40
330.0,2.26511e-39
340.0,1.24528e-38
350.0,6.20354e-38
360.0,2.82358e-37
370.0,1.18293e-36
380.0,4.59189e-36
390.0,1.66137e-35
400.0,5.63256e-35
410.0,1.79803e-34
420.0,5.42791e-34
430.0,1.55569e-33
440.0,4.24844e-33
450.0,1.10909e-32
460.0,2.77607e-32
470.0,6.68039e-32
480.0,1.54941e-31
490.0,3.47149e-31
500.0,7.52954e-31
510.0,1.58403e-30
520.0,3.23803e-30
530.0,6.44221e-30
540.0,1.24937e-29
550.0,2.36518e-29
560.0,4.37649e-29
570.0,7.92512e-29
580.0,1.40604e-28
590.0,2.44659e-28
600.0,4.17949e-28
610.0,7.01595e-28
620.0,1.15831e-27
630.0,1.88228e-27
640.0,3.013e-27
650.0,4.75413e-27
660.0,7.39931e-27
670.0,1.13666e-26
680.0,1.72442e-26
690.0,2.58506e-26
700.0,3.83122e-26
800.0,1.15006e-24
900.0,1.64827e-23
1000.0,1.41152e-22
1100.0,8.32179e-22
1200.0,3.70985e-21
1300.0,1.33397e-20
1400.0,4.0506e-20
1500.0,1.07409e-19
1600.0,2.55041e-19
1700.0,5.52764e-19
1800.0,1.10993e-18
1900.0,2.08921e-18
2000.0,3.72116e-18
2100.0,6.3197e-18
2200.0,1.02979e-17
2300.0,1.61838e-17
2400.0,2.46358e-17
2500.0,3.64575e-17
2600.0,5.26117e-17
2700.0,7.42335e-17
2800.0,1.02642e-16
2900.0,1.39351e-16
3000.0,1.86079e-16
========================================
ch4oabs_B1_ImaginaryFrequency_1_0.1.out
--
T,R->P7
200.0,9.19666e-56
210.0,9.08823e-54
220.0,5.89982e-52
230.0,2.6575e-50
240.0,8.69378e-49
250.0,2.14643e-47
260.0,4.13158e-46
270.0,6.37444e-45
280.0,8.07263e-44
290.0,8.5652e-43
300.0,7.75044e-42
310.0,6.07442e-41
320.0,4.17983e-40
330.0,2.55539e-39
340.0,1.4027e-38
350.0,6.97787e-38
360.0,3.17193e-37
370.0,1.32731e-36
380.0,5.14672e-36
390.0,1.86025e-35
400.0,6.30101e-35
410.0,2.0097e-34
420.0,6.06209e-34
430.0,1.73618e-33
440.0,4.73809e-33
450.0,1.23613e-32
460.0,3.09221e-32
470.0,7.43701e-32
480.0,1.724e-31
490.0,3.86078e-31
500.0,8.37005e-31
510.0,1.7601e-30
520.0,3.59647e-30
530.0,7.15262e-30
540.0,1.38664e-29
550.0,2.62416e-29
560.0,4.85413e-29
570.0,8.78738e-29
580.0,1.55857e-28
590.0,2.71125e-28
600.0,4.63041e-28
610.0,7.77098e-28
620.0,1.28266e-27
630.0,2.08389e-27
640.0,3.335e-27
650.0,5.26115e-27
660.0,8.18685e-27
670.0,1.25741e-26
680.0,1.90727e-26
690.0,2.85869e-26
700.0,4.23607e-26
800.0,1.26996e-24
900.0,1.81852e-23
1000.0,1.55635e-22
1100.0,9.17149e-22
1200.0,4.08726e-21
1300.0,1.46929e-20
1400.0,4.46057e-20
1500.0,1.18261e-19
1600.0,2.80771e-19
1700.0,6.08463e-19
1800.0,1.22166e-18
1900.0,2.29934e-18
2000.0,4.09517e-18
2100.0,6.9545e-18
2200.0,1.13318e-17
2300.0,1.78079e-17
2400.0,2.71071e-17
2500.0,4.01134e-17
2600.0,5.78861e-17
2700.0,8.16735e-17
2800.0,1.12927e-16
2900.0,1.53311e-16
3000.0,2.04717e-16
