pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      4.95769 -4.79245e-11 -5.68663e-16
      4.83761 -1.26454e-10 -1.47859e-15
      4.71753 -7.92288e-10 -9.12716e-15
      4.59744  3.59057e-10  4.07465e-15
      4.47736 -3.02351e-10 -3.37964e-15
      4.35728  4.91242e-10  5.40846e-15
       4.2372  3.02764e-09  3.28335e-14
      4.11711 -1.31953e-09 -1.40965e-14
      3.99703 -4.90464e-09 -5.16243e-14
      3.87695  1.70901e-09  1.77289e-14
      3.75687 -1.12524e-09 -1.15104e-14
      3.63678  1.81881e-09  1.83591e-14
       3.5167 -3.85832e-09 -3.84702e-14
      3.39662  3.91837e-09  3.86402e-14
      3.27654 -3.25051e-09   -3.175e-14
      3.15645  4.12016e-09  3.99289e-14
      3.03637 -6.49246e-09 -6.25407e-14
      2.91629 -6.89496e-09 -6.61531e-14
      2.79621  2.13057e-08  2.04065e-13
      2.67612  3.79094e-08  3.63394e-13
      2.55604  1.26808e-07  1.22007e-12
      2.43596  4.03986e-07  3.91408e-12
      2.31588  1.18831e-06  1.16368e-11
      2.19579  3.50204e-06  3.48112e-11
      2.07571  1.01589e-05  1.03012e-10
      1.95563  2.84893e-05  2.96394e-10
      1.83555  7.68951e-05  8.26357e-10
      1.71546  0.000199071  2.22758e-09
      1.59538  0.000495419  5.82767e-09
       1.4753   0.00119087  1.48962e-08
      1.35522    0.0027841  3.75549e-08
      1.23513   0.00636674  9.42292e-08
      1.11505    0.0142848  2.37064e-07
     0.994969    0.0314731  6.02188e-07
     0.874887    0.0678982  1.55344e-06
     0.754804     0.142399  4.09247e-06
     0.634722     0.285856  1.10589e-05
     0.514639     0.530889   3.0623e-05
     0.394557     0.850218  8.60495e-05
     0.274474            1  0.000237764
     0.154392     0.568248  0.000611186
    0.0343093    0.0155955   0.00140916
   -0.0857732            0   0.00307966
    -0.205856            0   0.00665821
    -0.325938            0    0.0141908
    -0.446021            0    0.0296538
    -0.566103            0    0.0602308
    -0.686186            0      0.11726
    -0.806268            0     0.215209
    -0.926351            0     0.364938
     -1.04643            0     0.560075
     -1.16652            0     0.765868
      -1.2866            0     0.927565
     -1.40668            0            1
     -1.52676            0     0.973002
     -1.64685            0     0.866947
     -1.76693            0     0.717736
     -1.88701            0     0.558925
     -2.00709            0     0.413099
     -2.12718            0     0.291725
     -2.24726            0     0.197521
     -2.36734            0     0.128474
     -2.48742            0    0.0802851
     -2.60751            0    0.0481401
     -2.72759            0    0.0276183
     -2.84767            0    0.0150843
     -2.96775            0   0.00778927
     -3.08784            0   0.00376479
