Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.37748e-18  1.01773e-27
  210  7.03766e-18  4.54743e-27
  220  1.10731e-17  1.81218e-26
  230  1.70585e-17  6.52245e-26
  240  2.57456e-17  2.14308e-25
  250  3.80938e-17   6.4875e-25
  260  5.53029e-17   1.8239e-24
  270  7.88437e-17  4.79564e-24
  280  1.10487e-16  1.18657e-23
  290  1.52332e-16  2.77788e-23
  300  2.06828e-16  6.18314e-23
  310  2.76798e-16  1.31419e-22
  320  3.65452e-16  2.67752e-22
  330  4.76406e-16  5.24732e-22
  340  6.13685e-16  9.92241e-22
  350  7.81733e-16  1.81545e-21
  360  9.85415e-16  3.22202e-21
  370  1.23001e-15  5.55955e-21
  380  1.52123e-15  9.34565e-21
  390  1.86516e-15  1.53337e-20
  400  2.26832e-15  2.45976e-20
  410   2.7376e-15  3.86377e-20
  420  3.28026e-15  5.95137e-20
  430  3.90395e-15  9.00052e-20
  440  4.61662e-15  1.33806e-19
  450  5.42659e-15  1.95753e-19
  460  6.34247e-15  2.82097e-19
  470  7.37318e-15  4.00812e-19
  480   8.5279e-15  5.61954e-19
  490   9.8161e-15  7.78064e-19
  500  1.12475e-14  1.06462e-18
  510  1.28319e-14  1.44056e-18
  520  1.45796e-14  1.92881e-18
  530  1.65009e-14  2.55691e-18
  540  1.86063e-14   3.3577e-18
  550  2.09065e-14  4.37001e-18
  560  2.34123e-14  5.63946e-18
  570  2.61347e-14  7.21926e-18
  580  2.90849e-14  9.17112e-18
  590   3.2274e-14  1.15661e-17
  600  3.57135e-14  1.44858e-17
  610  3.94147e-14  1.80231e-17
  620  4.33892e-14  2.22834e-17
  630  4.76486e-14  2.73857e-17
  640  5.22046e-14  3.34637e-17
  650  5.70688e-14   4.0667e-17
  660  6.22532e-14  4.91627e-17
  670  6.77694e-14  5.91357e-17
  680  7.36294e-14   7.0791e-17
  690  7.98452e-14  8.43545e-17
  700  8.64285e-14  1.00074e-16
  800  1.75117e-13  4.49129e-16
  900  3.13719e-13    1.505e-15
 1000  5.13976e-13  4.09703e-15
 1100   7.8718e-13   9.5645e-15
 1200  1.14401e-12   1.9856e-14
 1300  1.59447e-12  3.75977e-14
 1400  2.14779e-12  6.61302e-14
 1500  2.81248e-12  1.09517e-13
 1600  3.59632e-12  1.72532e-13
 1700   4.5064e-12  2.60623e-13
 1800  5.54915e-12  3.79874e-13
 1900  6.73042e-12  5.36945e-13
 2000  8.05551e-12  7.39022e-13
 2100  9.52923e-12  9.93755e-13
 2200  1.11559e-11   1.3092e-12
 2300  1.29396e-11  1.69377e-12
 2400  1.48838e-11  2.15616e-12
 2500  1.69917e-11  2.70534e-12
 2600  1.92665e-11  3.35048e-12
 2700  2.17107e-11  4.10091e-12
 2800  2.43269e-11  4.96608e-12
 2900  2.71172e-11  5.95557e-12
 3000  3.00839e-11  7.07899e-12
 3100  3.32287e-11  8.34601e-12
 3200  3.65534e-11  9.76634e-12
 3300  4.00597e-11  1.13497e-11
 3400  4.37489e-11  1.31057e-11
 3500  4.76224e-11   1.5044e-11
 3600  5.16815e-11  1.71743e-11
 3700  5.59273e-11   1.9506e-11
 3800  6.03609e-11  2.20487e-11
 3900  6.49834e-11  2.48119e-11
