Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.37748e-18  1.01761e-27
  210  7.03766e-18  4.54666e-27
  220  1.10731e-17  1.81177e-26
  230  1.70585e-17   6.5205e-26
  240  2.57456e-17  2.14225e-25
  250  3.80938e-17  6.48437e-25
  260  5.53029e-17  1.82281e-24
  270  7.88437e-17  4.79219e-24
  280  1.10487e-16  1.18555e-23
  290  1.52332e-16  2.77507e-23
  300  2.06828e-16  6.17586e-23
  310  2.76798e-16  1.31241e-22
  320  3.65452e-16  2.67339e-22
  330  4.76406e-16  5.23816e-22
  340  6.13685e-16  9.90297e-22
  350  7.81733e-16  1.81149e-21
  360  9.85415e-16  3.21425e-21
  370  1.23001e-15  5.54481e-21
  380  1.52123e-15  9.31855e-21
  390  1.86516e-15  1.52854e-20
  400  2.26832e-15  2.45135e-20
  410   2.7376e-15  3.84953e-20
  420  3.28026e-15  5.92782e-20
  430  3.90395e-15  8.96241e-20
  440  4.61662e-15  1.33202e-19
  450  5.42659e-15  1.94813e-19
  460  6.34247e-15   2.8066e-19
  470  7.37318e-15  3.98654e-19
  480   8.5279e-15  5.58762e-19
  490   9.8161e-15  7.73415e-19
  500  1.12475e-14  1.05794e-18
  510  1.28319e-14  1.43109e-18
  520  1.45796e-14  1.91554e-18
  530  1.65009e-14  2.53855e-18
  540  1.86063e-14  3.33257e-18
  550  2.09065e-14  4.33598e-18
  560  2.34123e-14  5.59382e-18
  570  2.61347e-14  7.15862e-18
  580  2.90849e-14  9.09127e-18
  590   3.2274e-14  1.14619e-17
  600  3.57135e-14  1.43508e-17
  610  3.94147e-14  1.78496e-17
  620  4.33892e-14   2.2062e-17
  630  4.76486e-14  2.71051e-17
  640  5.22046e-14  3.31106e-17
  650  5.70688e-14  4.02255e-17
  660  6.22532e-14  4.86137e-17
  670  6.77694e-14  5.84571e-17
  680  7.36294e-14   6.9957e-17
  690  7.98452e-14  8.33347e-17
  700  8.64285e-14  9.88337e-17
  750  1.25279e-13  2.18349e-16
  800  1.75117e-13  4.42179e-16
  850  2.37437e-13  8.33053e-16
  900  3.13719e-13  1.47707e-15
  950  4.05422e-13  2.48751e-15
 1000  5.13976e-13   4.0083e-15
 1050  6.40776e-13  6.21711e-15
 1100   7.8718e-13  9.32781e-15
 1150  9.54501e-13  1.35926e-14
 1200  1.14401e-12  1.93037e-14
 1250  1.35694e-12  2.67939e-14
 1300  1.59447e-12  3.64379e-14
 1350  1.85772e-12  4.86519e-14
 1400  2.14779e-12  6.38937e-14
 1450  2.46571e-12  8.26621e-14
 1500  2.81248e-12  1.05496e-13
 1550  3.18905e-12  1.32974e-13
 1600  3.59632e-12  1.65712e-13
 1650  4.03516e-12  2.04363e-13
 1700   4.5064e-12  2.49615e-13
 1750  5.01081e-12  3.02188e-13
 1800  5.54915e-12  3.62836e-13
 1850  6.12212e-12   4.3234e-13
 1900  6.73042e-12  5.11514e-13
 1950  7.37468e-12  6.01193e-13
 2000  8.05551e-12  7.02242e-13
 2050  8.77351e-12  8.15544e-13
 2100  9.52923e-12  9.42006e-13
 2150  1.03232e-11  1.08256e-12
 2200  1.11559e-11  1.23814e-12
 2250  1.20279e-11  1.40972e-12
 2300  1.29396e-11  1.59826e-12
 2350  1.38914e-11  1.80477e-12
 2400  1.48838e-11  2.03025e-12
 2450  1.59171e-11   2.2757e-12
 2500  1.69917e-11  2.54216e-12
 2550  1.81081e-11  2.83066e-12
 2600  1.92665e-11  3.14223e-12
 2650  2.04672e-11  3.47794e-12
 2700  2.17107e-11  3.83882e-12
 2750  2.29971e-11  4.22594e-12
 2800  2.43269e-11  4.64037e-12
 2850  2.57001e-11  5.08317e-12
 2900  2.71172e-11  5.55541e-12
 2950  2.85784e-11  6.05815e-12
