pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      4.95769   6.2713e-11  1.12606e-15
      4.83761 -3.38375e-10 -5.98714e-15
      4.71753  8.38927e-10  1.46246e-14
      4.59744  2.65609e-10   4.5612e-15
      4.47736  1.31245e-09  2.21999e-14
      4.35728 -2.05348e-09 -3.42118e-14
       4.2372   6.4963e-10  1.06608e-14
      4.11711  2.07405e-09  3.35288e-14
      3.99703  3.44068e-09  5.48023e-14
      3.87695 -8.00815e-10 -1.25712e-14
      3.75687  7.03528e-10  1.08901e-14
      3.63678  4.95142e-09  7.56316e-14
       3.5167 -2.19153e-09  -3.3066e-14
      3.39662  -3.6169e-09 -5.39733e-14
      3.27654  6.29156e-09  9.29948e-14
      3.15645 -6.79641e-09 -9.96693e-14
      3.03637   1.0539e-09  1.53624e-14
      2.91629  1.30626e-08  1.89651e-13
      2.79621   2.5796e-08  3.73879e-13
      2.67612  9.96998e-08  1.44622e-12
      2.55604  2.85366e-07   4.1548e-12
      2.43596  8.29146e-07  1.21563e-11
      2.31588  2.38689e-06  3.53706e-11
      2.19579   6.7178e-06  1.01049e-10
      2.07571  1.82919e-05  2.80677e-10
      1.95563  4.80429e-05  7.56353e-10
      1.83555  0.000121123  1.96971e-09
      1.71546  0.000294075  4.97956e-09
      1.59538  0.000691293  1.23053e-08
       1.4753   0.00158334  2.99705e-08
      1.35522   0.00355345  7.25338e-08
      1.23513   0.00784676  1.75739e-07
      1.11505    0.0170711  4.28706e-07
     0.994969    0.0365711  1.05886e-06
     0.874887    0.0768455  2.66049e-06
     0.754804     0.157135  6.83378e-06
     0.634722     0.307726   1.8015e-05
     0.514639     0.557666  4.86772e-05
     0.394557     0.871474  0.000133469
     0.274474            1  0.000359794
     0.154392     0.554257  0.000902101
    0.0343093    0.0148348   0.00202839
   -0.0857732            0   0.00432196
    -0.205856            0   0.00910488
    -0.325938            0    0.0188938
    -0.446021            0     0.038398
    -0.566103            0    0.0757386
    -0.686186            0     0.142925
    -0.806268            0     0.253727
    -0.926351            0     0.415408
     -1.04643            0     0.615055
     -1.16652            0     0.812268
      -1.2866            0     0.953069
     -1.40668            0            1
     -1.52676            0     0.951707
     -1.64685            0      0.83335
     -1.76693            0     0.680751
     -1.88701            0     0.524746
     -2.00709            0     0.384847
     -2.12718            0     0.270172
     -2.24726            0     0.182104
     -2.36734            0     0.118035
     -2.48742            0     0.073563
     -2.60751            0    0.0440164
     -2.72759            0    0.0252103
     -2.84767            0    0.0137509
     -2.96775            0   0.00709321
     -3.08784            0   0.00342545
     -3.20792            0   0.00152619
       -3.328            0  0.000613634
     -3.44808            0  0.000214806
     -3.56817            0  6.12735e-05
     -3.68825            0   1.2454e-05
     -3.80833            0  1.04817e-06

pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.36347e-09
      11.8024  1.07007e-08
      11.6823  1.36857e-08
      11.5622  1.74965e-08
      11.4421  2.23596e-08
      11.3221  2.85629e-08
       11.202  3.64722e-08
      11.0819  4.65524e-08
      10.9618  5.93936e-08
      10.8417  7.57444e-08
      10.7217  9.65546e-08
      10.6016  1.23028e-07
      10.4815  1.56689e-07
      10.3614  1.99469e-07
      10.2413  2.53812e-07
      10.1212  3.22809e-07
      10.0012  4.10365e-07
      9.88107  5.21416e-07
      9.76099  6.62194e-07
      9.64091   8.4056e-07
      9.52083  1.06643e-06
      9.40074  1.35228e-06
      9.28066  1.71384e-06
      9.16058   2.1709e-06
       9.0405  2.74833e-06
      8.92041  3.47736e-06
      8.80033   4.3972e-06
      8.68025  5.55701e-06
      8.56017   7.0184e-06
      8.44008  8.85849e-06
         8.32  1.11737e-05
      8.19992  1.40847e-05
      8.07984   1.7742e-05
      7.95975  2.23334e-05
      7.83967  2.80929e-05
      7.71959   3.5312e-05
      7.59951  4.43529e-05
      7.47942  5.56661e-05
      7.35934  6.98103e-05
      7.23926  8.74782e-05
      7.11918  0.000109528
      6.99909   0.00013702
      6.87901  0.000171265
      6.75893  0.000213883
      6.63885  0.000266867
      6.51876  0.000332674
      6.39868  0.000414324
       6.2786  0.000515529
      6.15852  0.000640838
      6.03843  0.000795826
      5.91835  0.000987308
      5.79827   0.00122361
      5.67819   0.00151487
       5.5581   0.00187345
      5.43802   0.00231434
      5.31794   0.00285572
      5.19786   0.00351958
      5.07777   0.00433244
      4.95769   0.00532622
      4.83761    0.0065393
      4.71753   0.00801761
      4.59744   0.00981595
      4.47736    0.0119995
      4.35728    0.0146456
       4.2372    0.0178453
      4.11711    0.0217059
      3.99703    0.0263529
      3.87695    0.0319321
      3.75687    0.0386121
      3.63678     0.046586
       3.5167    0.0560731
      3.39662    0.0673217
      3.27654     0.080609
      3.15645    0.0962429
      3.03637      0.11456
      2.91629     0.135923
      2.79621     0.160713
      2.67612     0.189324
      2.55604     0.222148
      2.43596     0.259559
      2.31588     0.301885
      2.19579      0.34938
      2.07571     0.402181
      1.95563     0.460255
      1.83555      0.52333
      1.71546      0.59081
      1.59538     0.661668
       1.4753     0.734305
      1.35522     0.806375
      1.23513     0.874548
      1.11505     0.934194
     0.994969     0.978931
     0.874887            1
     0.754804     0.985464
     0.634722     0.919657
     0.514639     0.784987
     0.394557     0.572731
     0.274474      0.31351
     0.154392     0.104925
    0.0343093    0.0295288
   -0.0857732    0.0174169
    -0.205856    0.0106041
    -0.325938   0.00652605
    -0.446021   0.00405837
    -0.566103   0.00254463
    -0.686186   0.00160189
    -0.806268   0.00100634
