Pressure (atm),Temperature (K),colrel_FactorOne_W1->R,colrel_FactorOne_R->P4,colrel_FactorOne_W1->P3,colrel_FactorOne_W1->P2,colrel_FactorOne_W1->P1,colrel_FactorOne_W1->P7,colrel_FactorOne_W1->P6,colrel_FactorOne_W1->P5,colrel_FactorOne_W1->P4,colrel_FactorOne_P5->P6,colrel_FactorOne_P5->P7,colrel_FactorOne_P6->P7,colrel_FactorOne_P3->P4,colrel_FactorOne_P3->P5,colrel_FactorOne_P3->P6,colrel_FactorOne_P3->P7,colrel_FactorOne_P1->P2,colrel_FactorOne_P1->P3,colrel_FactorOne_P1->P6,colrel_FactorOne_P1->P7,colrel_FactorOne_P1->P4,colrel_FactorOne_P1->P5,colrel_FactorOne_R->P6,colrel_FactorOne_R->P2,colrel_FactorOne_R->P3,colrel_FactorOne_R->P1,colrel_FactorOne_P4->P7,colrel_FactorOne_P4->P6,colrel_FactorOne_P4->P5,colrel_FactorOne_R->P5,colrel_FactorOne_P2->P3,colrel_FactorOne_P2->P5,colrel_FactorOne_P2->P4,colrel_FactorOne_P2->P7,colrel_FactorOne_P2->P6
0.1,300.0,0.3766121960744638,-0.7734532553381107,0.002186205493657636,0.03937617789445526,0.3479788466627144,0.015715197948644392,14.963906332905117,2.608922843800875,-0.00015577870476537225,-0.0017085930658904739,3.1822118802894563e-06,-6.872592275520754e-07,-1.2725006073364238,-0.03466905628690034,0.001239197184696445,-1.9793160525357843e-05,-0.8246417581303227,-0.9058459149691297,0.0018157793475589233,1.687840524982288e-06,-0.8720058285812314,-0.05547746713994699,0.0009542363149560533,-0.7177412244616843,-0.8170832283354439,-0.6501093747508543,2.157086297973007e-06,0.0005290091322591196,-0.05667836299212519,-0.10102586384149365,-1.1785262883214094,-0.07247549390512822,-1.1387016344385525,-1.448791735259762e-06,0.0003763067407541516
0.1,310.0,0.3961051748660471,-0.7460118195570224,0.005299829769563816,0.04898504357332133,0.3609473336892981,0.026423893857768745,14.924593175278801,2.5827648026434553,0.0004354354312273682,-0.001673714583059391,-2.2338684750780736e-06,6.479651480877123e-06,-1.2509257168450336,-0.03270323725208026,0.0011726016986929617,-1.6478418292170024e-06,-0.8019623458378156,-0.8865887394141262,0.001767063660333979,-8.828949341364068e-07,-0.8498965230762316,-0.05241417379920217,0.0009664620470390332,-0.6905252961368447,-0.7901396043507714,-0.629144018780654,1.4012728527911535e-07,0.0005083000007485562,-0.05383470283952295,-0.09585313765728878,-1.152901702671601,-0.0688446781756289,-1.111388299269545,1.99147448877681e-06,0.0003635467618596138
0.1,320.0,0.4143160764493191,-0.720226495327873,0.006171976982133841,0.05552690411557231,0.3723783726940536,0.03541847351124305,14.822880808430492,2.582718895812853,0.0006240962935816517,-0.0016362760084892435,-1.907257226897257e-06,7.45669172557868e-06,-1.2351046719097072,-0.03074596148394591,0.0011256864646974713,4.317105022990914e-06,-0.782712273708797,-0.868787055491572,0.0017246596198135194,-4.8844639986925e-07,-0.8313183953561881,-0.049403902228682475,0.0009468812111880291,-0.6647044564555245,-0.7651658411101863,-0.6097930588605628,-8.317287844111218e-07,0.00048618778377127966,-0.051059217573816415,-0.09090273893898063,-1.131975517056735,-0.0653388605904309,-1.0872968563147785,3.056818158618085e-06,0.00033956406725159735
0.1,330.0,0.43198005604164785,-0.6954295761817456,0.006661636532565344,0.06160816765609404,0.3832573574937042,0.04609752610420054,14.672003798012824,2.5899633776034428,0.0007536393625743743,-0.0015990552300057417,3.1744716309015545e-08,5.420433431402541e-06,-1.2200245212103413,-0.028875996190622227,0.0010876504444522121,4.180229275250363e-06,-0.7647168510323573,-0.8517633956545176,0.0016837744787227714,5.670782386097804e-07,-0.8140373985182251,-0.04653471997318066,0.0009142121791628472,-0.6398813617887912,-0.7412220640387335,-0.5913387778135033,-1.0851699293181296e-06,0.0004624067498812342,-0.04840956665631292,-0.0862095431740493,-1.1119226966904368,-0.06200364279236444,-1.0636991906522513,2.796041779854195e-06,0.00031224795760947184
0.1,340.0,0.44936538509400714,-0.6713636512330786,0.00751140439677789,0.0682504403454403,0.3939630285612138,0.0596944979768593,14.486707048956665,2.5965493244658227,0.0009273089508855574,-0.0015631589191949596,1.7703528397372608e-06,2.152600421315453e-06,-1.2037113809275235,-0.02712346936665699,0.001053211694289815,1.3766068799469328e-06,-0.7470653659396438,-0.8351709305435502,0.0016425868942948159,1.3627075921557305e-06,-0.7970916811211537,-0.04383880721942994,0.0008778159268354436,-0.6159003906258518,-0.7179315050555707,-0.5734749522128634,-8.948071736042047e-07,0.000437420129256484,-0.04590641246246885,-0.08178011238254085,-1.0912631745684338,-0.05885237981901535,-1.0396178310945885,1.870553101606426e-06,0.00028531707360770776
0.1,350.0,0.4665297892195527,-0.6479580970147075,0.008937509736627377,0.07572353391326431,0.4045942022655229,0.07635312800912064,14.279934838265108,2.599875660549039,0.0011826537826467626,-0.0015288433077967282,2.675772029228077e-06,-1.3807898437949814e-06,-1.1856639548808436,-0.025494052547439052,0.0010199998136085982,-2.22102393315664e-06,-0.729464982338205,-0.8188519727287623,0.0016006871029015529,1.643911792850615e-06,-0.7801535237649525,-0.04132027584527908,0.0008420104104920203,-0.5927129816286435,-0.6951824767599051,-0.5560941449767332,-4.6980811510555003e-07,0.0004118832192057992,-0.04355168332537733,-0.07760688237819499,-1.069635136924099,-0.05588244337490022,-1.0148822983523118,6.858511718394895e-07,0.0002602913447788814
0.1,360.0,0.48344818758997404,-0.6252169077912062,0.010930726211094505,0.08397354722608656,0.41513464346468704,0.09571530447217,14.061838893865774,2.5997764216113524,0.0015566624258770126,-0.0014959690256182495,2.678508131412177e-06,-4.686484815193368e-06,-1.1660311062142832,-0.023982050866133312,0.0009871246785295561,-5.653258570538034e-06,-0.7119007683995968,-0.8027522224844488,0.0015582677656011512,1.448301089637078e-06,-0.7631886513593843,-0.03897026693670341,0.0008084805716721957,-0.5703113194663268,-0.6729755082157985,-0.5391769139567859,4.158672127921956e-08,0.00038640857476970945,-0.04133855427876892,-0.07367594379631714,-1.0471587151055852,-0.053084038314852075,-0.9896499075432721,-5.19721055438506e-07,0.0002375829683717113
0.1,370.0,0.5000731609873689,-0.6031651366352173,0.013403762850247783,0.09283464623308042,0.42553255394825634,0.11723457396811186,13.83981357736643,2.5970312988099074,0.002102371593132136,-0.0014642462463227129,1.945921682595933e-06,-7.540940280624921e-06,-1.145194516622718,-0.0225773076333355,0.0009544029681557003,-8.484859551695908e-06,-0.6944625627819802,-0.786869790986131,0.0015157200258502433,9.169672913715328e-07,-0.746279505677336,-0.03677493034254726,0.0007776077881377795,-0.5486975182090736,-0.6513480994625467,-0.5227361169976895,5.41257593627234e-07,0.00036148117937962864,-0.03925676674535765,-0.06997119731631653,-1.0241181194391162,-0.05044484451353431,-0.9641732964356509,-1.6154267309204616e-06,0.0002170896386613878
0.1,380.0,0.516360990336503,-0.5818255504690132,0.016258556441085027,0.10212712875695736,0.43573588670474206,0.14033631477563158,13.618921951442127,2.5926424194308333,0.0028863248655656274,-0.0014333606712635695,7.162144132423681e-07,-9.870465870763577e-06,-1.123569005123306,-0.021268689710426756,0.0009219506954707717,-1.057243184678476e-05,-0.6772616004509491,-0.7712257242324543,0.001473445032234311,2.0508532259164552e-07,-0.7295379407052421,-0.034719456408993196,0.0007491881140391901,-0.5278707915980736,-0.630340281368219,-0.506790575957695,9.694431494797232e-07,0.00033744417925995503,-0.037295346181084994,-0.06647647355286454,-1.0008129571993178,-0.04795234118534056,-0.9386965746356085,-2.538442719338626e-06,0.0001985080027134163
0.1,390.0,0.5322807064765074,-0.5612103243012964,0.019412974622738458,0.11169727678734705,0.4457055359461451,0.16449331873645984,13.40241352572318,2.5875152934518684,0.003980411694436063,-0.0014030328147223833,-7.801974685693283e-07,-1.1680980738283845e-05,-1.101517212122887,-0.02004571206222594,0.000889977380926603,-1.1926949808356334e-05,-0.6603943850412097,-0.7558476598258413,0.0014317771558601026,-5.55651370843943e-07,-0.7130657820048464,-0.03278995227276603,0.0007228072992780996,-0.5078233672136858,-0.6099810274731882,-0.49135401018484826,1.294232167500184e-06,0.00031451453402990423,-0.03544388818389555,-0.06317652720375733,-0.977497184539807,-0.04559486647724463,-0.9134164470197121,-3.2676134336551294e-06,0.00018149147431697024
