*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          737      0.00417  1.63963e+07   0.00788594  2.97913e-05   0.00420983
          737      0.00421  1.65536e+07   0.00788452  2.97653e-05   0.00420611
          737      0.00424  1.66716e+07   0.00788347  2.97461e-05   0.00420335
          737      0.00456  1.79298e+07   0.00787268  2.95483e-05   0.00417503
          737      0.00619  2.43389e+07   0.00782729  2.87236e-05   0.00405689
          737      0.00653  2.56758e+07   0.00781934  2.85802e-05   0.00403635
          737      0.00686  2.69733e+07   0.00781201  2.84484e-05   0.00401745
          737      0.00719  2.82709e+07   0.00780501  2.83229e-05   0.00399948
          737       0.0076   2.9883e+07   0.00779675  2.81751e-05    0.0039783
          737      0.06842  2.69026e+08   0.00746853  2.26131e-05   0.00318073
          737      0.13289   5.2252e+08   0.00736973  2.10588e-05   0.00295781
          737      0.26711  1.05027e+09    0.0072664  1.94933e-05   0.00273329
          737          0.3  1.17959e+09   0.00724928  1.92399e-05   0.00269695
          737      0.53158  2.09016e+09   0.00716527  1.80209e-05   0.00252217
          737      0.77763  3.05762e+09   0.00710974  1.72375e-05   0.00240985
          737            1  3.93197e+09   0.00707317  1.67315e-05   0.00233731
          780      0.00403  1.51407e+07   0.00754468  3.28535e-05   0.00485826
          780      0.00417  1.56667e+07   0.00754015  3.27583e-05   0.00484397
          780      0.00421   1.5817e+07   0.00753888  3.27318e-05   0.00483998
          780      0.00424  1.59297e+07   0.00753794  3.27121e-05   0.00483701
          780      0.00456  1.71319e+07   0.00752828  3.25099e-05   0.00480663
          780      0.00619  2.32559e+07    0.0074876  3.16653e-05   0.00467971
          780      0.00653  2.45332e+07   0.00748047  3.15184e-05   0.00465762
          780      0.00686  2.57731e+07   0.00747389  3.13831e-05   0.00463729
          780      0.00719  2.70129e+07   0.00746762  3.12544e-05   0.00461794
          780       0.0076  2.85532e+07   0.00746022  3.11028e-05   0.00459515
          780      0.06842  2.57054e+08   0.00716472  2.53489e-05   0.00372983
          780      0.13289  4.99268e+08   0.00707537  2.37238e-05   0.00348547
          780      0.26711  1.00353e+09   0.00698172  2.20785e-05   0.00323811
          780          0.3   1.1271e+09   0.00696619  2.18113e-05   0.00319795
          780      0.53158  1.99715e+09   0.00688988  2.05226e-05   0.00300427
          780      0.77763  2.92156e+09   0.00683936  1.96913e-05   0.00287934
          780            1    3.757e+09   0.00680606  1.91528e-05   0.00279843
          835      0.00403  1.43465e+07    0.0071559  3.82623e-05   0.00599005
          835      0.00417  1.48449e+07   0.00715189  3.81611e-05   0.00597388
          835      0.00421  1.49873e+07   0.00715077  3.81329e-05   0.00596937
          835      0.00424  1.50941e+07   0.00714994  3.81116e-05     0.005966
          835      0.00456  1.62333e+07   0.00714139  3.78962e-05   0.00593162
          835      0.00619   2.2036e+07   0.00710539  3.69948e-05   0.00578776
          835      0.00653  2.32464e+07   0.00709908  3.68379e-05    0.0057627
          835      0.00686  2.44212e+07   0.00709325  3.66932e-05   0.00573961
          835      0.00719  2.55959e+07    0.0070877  3.65556e-05   0.00571764
          835       0.0076  2.70555e+07   0.00708113  3.63934e-05   0.00569174
          835      0.06842  2.43571e+08   0.00681856   3.0185e-05   0.00470026
          835      0.13289   4.7308e+08   0.00673882  2.84103e-05   0.00441689
          835      0.26711  9.50895e+08   0.00665503  2.66023e-05   0.00412827
          835          0.3  1.06798e+09   0.00664112  2.63076e-05   0.00408124
          835      0.53158  1.89239e+09   0.00657266  2.48814e-05   0.00385365
          835      0.77763  2.76831e+09   0.00652725  2.39571e-05   0.00370619
          835            1  3.55994e+09   0.00649728  2.33567e-05    0.0036104
          900      0.00403  1.35339e+07   0.00674373  4.69443e-05    0.0078543
          900      0.00417  1.40041e+07   0.00674021  4.68321e-05   0.00783506
          900      0.00421  1.41384e+07   0.00673922  4.68006e-05   0.00782968
          900      0.00424  1.42392e+07   0.00673849  4.67771e-05   0.00782568
          900      0.00456  1.53138e+07   0.00673097   4.6538e-05   0.00778471
          900      0.00619  2.07879e+07   0.00669931  4.55367e-05   0.00761311
          900      0.00653  2.19297e+07   0.00669375  4.53619e-05   0.00758317
          900      0.00686  2.30379e+07   0.00668862   4.5201e-05   0.00755558
          900      0.00719  2.41461e+07   0.00668373  4.50478e-05   0.00752932
          900       0.0076   2.5523e+07   0.00667795  4.48668e-05   0.00749833
          900      0.06842  2.29775e+08   0.00644602   3.7885e-05   0.00630183
          900      0.13289  4.46284e+08    0.0063753  3.58644e-05    0.0059557
          900      0.26711  8.97034e+08   0.00630085  3.37931e-05   0.00560104
          900          0.3  1.00749e+09   0.00628846  3.34542e-05   0.00554302
          900      0.53158   1.7852e+09   0.00622749  3.18088e-05   0.00526143
          900      0.77763  2.61151e+09   0.00618699  3.07376e-05   0.00507814
          900            1   3.3583e+09   0.00616023  3.00396e-05   0.00495872
         1000      0.00403   1.2489e+07   0.00752776  9.34556e-05    0.0163647
         1000      0.00417  1.29228e+07   0.00752348  9.32595e-05    0.0163302
         1000      0.00421  1.30468e+07   0.00752229  9.32044e-05    0.0163206
         1000      0.00424  1.31398e+07   0.00752139  9.31634e-05    0.0163134
         1000      0.00456  1.41315e+07   0.00751227  9.27456e-05    0.0162401
         1000      0.00619  1.91828e+07   0.00747378  9.09909e-05    0.0159322
         1000      0.00653  2.02365e+07   0.00746703  9.06842e-05    0.0158783
         1000      0.00686  2.12592e+07   0.00746079  9.04017e-05    0.0158287
         1000      0.00719  2.22818e+07   0.00745485  9.01325e-05    0.0157814
         1000       0.0076  2.35524e+07   0.00744782   8.9815e-05    0.0157256
         1000      0.06842  2.12034e+08   0.00716531  7.74267e-05    0.0135432
         1000      0.13289  4.11827e+08   0.00707896  7.37929e-05     0.012901
         1000      0.26711  8.27775e+08   0.00698795  7.00431e-05    0.0122373
         1000          0.3  9.29701e+08    0.0069728  6.94271e-05    0.0121281
         1000      0.53158  1.64737e+09   0.00689818  6.64255e-05     0.011596
         1000      0.77763  2.40988e+09   0.00684856  6.44613e-05    0.0112474
         1000            1    3.099e+09   0.00681576  6.31768e-05    0.0110193
         1100      0.00403  1.16311e+07   0.00867572  0.000170843    0.0304285
         1100      0.00417  1.20351e+07    0.0086704  0.000170522    0.0303731
         1100      0.00421  1.21506e+07   0.00866891  0.000170432    0.0303576
         1100      0.00424  1.22371e+07    0.0086678  0.000170366    0.0303461
         1100      0.00456  1.31607e+07   0.00865645  0.000169681     0.030228
         1100      0.00619  1.78651e+07   0.00860859  0.000166807    0.0297316
         1100      0.00653  1.88463e+07   0.00860019  0.000166304    0.0296447
         1100      0.00686  1.97988e+07   0.00859243  0.000165841    0.0295645
         1100      0.00719  2.07512e+07   0.00858503  0.000165399    0.0294881
         1100       0.0076  2.19345e+07    0.0085763  0.000164878    0.0293979
         1100      0.06842  1.97468e+08   0.00822449    0.0001444    0.0258331
         1100      0.13289  3.83536e+08   0.00811685  0.000138338    0.0247696
