Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_P1->P2,W1_Energy_1_W2->P1,W1_Energy_1_P2->P3
0.09,260.0,6.523933018114935e-08,-2.779147313675618e-07,2.6221457811069535e-07,-1.3824805743425223e-06,-0.5495913025302736,5.220720997079085e-07
0.09,270.0,8.179880877953112e-07,7.514337742448157e-07,-8.631607385212668e-07,3.209907827911637e-06,-0.0982817450024645,1.7202630010831642e-06
0.09,280.0,-4.486171395249705e-07,-1.2089595770085972e-06,9.646514862734233e-07,-2.442710965665788e-06,-0.010936293718955204,-2.2974289446984885e-06
0.09,290.0,-3.54207441448229e-07,-1.7014279867227114e-06,3.8533221073400497e-07,-2.0732611769202305e-06,-0.000541545928667261,-1.7859601100435992e-06
0.09,300.0,1.7651998208989233e-07,-1.193611387628352e-06,-5.735741522520033e-07,2.050618532654847e-06,-0.00036988601258401894,7.841792766522216e-07
0.09,310.0,2.369177196439067e-07,-7.075543198976354e-07,-5.558176624439674e-07,4.320903527722926e-06,1.2012086051938217e-05,2.2108551129145356e-06
0.09,320.0,-1.428321412313387e-07,-5.031601556213548e-07,1.0222093970663635e-07,2.920973191480833e-06,0.0004901711881965908,1.9002620729446305e-06
0.09,330.0,-5.628675807364466e-07,-4.169329319817174e-07,6.536637163886661e-07,-8.081989622837804e-07,0.0005150902389489313,7.382576085232725e-07
0.09,340.0,-7.353220490544435e-07,-2.7487898163030797e-07,7.187818431364118e-07,-4.682827972581585e-06,0.00018358670439388248,-2.978862814302713e-07
0.09,350.0,-6.092093407669965e-07,-3.3783238021138483e-08,3.511937810928835e-07,-7.146701079547077e-06,-0.00019632106425254158,-7.22333889160882e-07
0.09,360.0,-2.9566657891009135e-07,2.488342319036252e-07,-1.8480267843623646e-07,-7.666850826819842e-06,-0.0004146340607944225,-5.323132984146833e-07
0.09,370.0,4.660168280686347e-08,4.870714442886874e-07,-6.279310571871749e-07,-6.51386422765698e-06,-0.00042070431927818754,1.472505704232774e-08
0.09,380.0,2.91035176963211e-07,6.183289549471087e-07,-8.277538773501642e-07,-4.360234842636114e-06,-0.0002700097050533451,6.1346014052171e-07
0.09,390.0,3.751077959091544e-07,6.221094233440014e-07,-7.590210145677825e-07,-1.935422966825811e-06,-5.4495932880554346e-05,1.0360508838807789e-06
0.09,400.0,2.9768276984718006e-07,5.154018815051729e-07,-4.859308656725328e-07,1.8319565844888294e-07,0.000144616656205857,1.1737950284358953e-06
0.09,410.0,9.962040116880611e-08,3.377070166818423e-07,-1.133691710008928e-07,1.651538949123965e-06,0.0002772503616959743,1.0251824024052786e-06
0.09,420.0,-1.5898590659414435e-07,1.3520735503587438e-07,2.5375563979896613e-07,2.3521776659001282e-06,0.00032595056567375917,6.602531419311002e-07
0.09,430.0,-4.1757453408974026e-07,-5.1115489051456635e-08,5.355244452176839e-07,2.34183714802884e-06,0.00029791417923297463,1.8176831424432027e-07
0.09,440.0,-6.272421446010374e-07,-1.921121358620005e-07,6.869538509720524e-07,1.7846981150361675e-06,0.00021455868363670782,-3.0611516994830954e-07
0.09,450.0,-7.564248061650565e-07,-2.724966701495598e-07,6.969650657750331e-07,8.908533224012246e-07,0.00010215796186313752,-7.180849954775454e-07
0.09,460.0,-7.916253379596329e-07,-2.8968062040412536e-07,5.81097060039164e-07,-1.3089731737387142e-07,-1.4674531126980408e-05,-9.97417408251403e-07
0.09,470.0,-7.349823199132923e-07,-2.5085751899394113e-07,3.7183958150655274e-07,-1.1036985373854201e-06,-0.0001167754090144462,-1.1176412829947199e-06
0.09,480.0,-6.002628315123798e-07,-1.6948890416479205e-07,1.0924192903170155e-07,-1.8982898155989348e-06,-0.00019177473994401112,-1.07896668399837e-06
0.09,490.0,-4.0845975856907667e-07,-6.196477071318553e-08,-1.6674227700241793e-07,-2.4370686138831207e-06,-0.00023393715263364388,-9.019897018440239e-07
0.09,500.0,-1.8374902095652686e-07,5.513215367525344e-08,-4.2161700464235847e-07,-2.6902588545396035e-06,-0.00024308997691621363,-6.205635515276609e-07
0.09,510.0,4.979206507287088e-08,1.6699522751470814e-07,-6.294342455258893e-07,-2.6674672424427567e-06,-0.00022306925629580283,-2.750859198136097e-07
0.09,520.0,2.705680667353969e-07,2.618031830201696e-07,-7.739648701143573e-07,-2.4072770362849266e-06,-0.00018028998289108754,9.311495124755687e-08
0.09,530.0,4.6096450235540025e-07,3.312773071927053e-07,-8.484277277621113e-07,-1.9667392813592413e-06,-0.0001222921962320043,4.4598862525727824e-07
0.09,540.0,6.080927401657676e-07,3.7072810805567876e-07,-8.542735429926667e-07,-1.411858720882936e-06,-5.6773404946469545e-05,7.515756311227016e-07
0.09,550.0,7.03932524785771e-07,3.7875100379242453e-07,-7.994381182514483e-07,-8.09795678481863e-07,9.268233774243561e-06,9.855563707614945e-07
0.09,560.0,7.450406015933529e-07,3.567031633619052e-07,-6.9640819239501e-07,-2.2294964926262465e-07,6.993209321417689e-05,1.131784898024498e-06
0.09,570.0,7.319784518708766e-07,3.0807740071276746e-07,-5.603472736290959e-07,2.951163534480167e-07,0.00012071464973803254,1.1820377275305306e-06
0.09,580.0,6.685811112494031e-07,2.3785480423660482e-07,-4.074194939420247e-07,7.020587985606173e-07,0.00015854412225134044,1.1352411838320957e-06
0.09,590.0,5.611704281842966e-07,1.518974022420748e-07,-2.5341668863176906e-07,9.677836733874378e-07,0.0001817122953988874,9.963692267066223e-07
0.09,600.0,4.1778184484646876e-07,5.641465652630736e-08,-1.1270803397557281e-07,1.0743682832929828e-06,0.00018973436663426784,7.751771193783491e-07
0.09,610.0,2.4745265053423055e-07,-4.247483235335442e-08,2.493174292552698e-09,1.0152256766531151e-06,0.00018312094213562773,4.849217070379764e-07
0.09,620.0,5.960374862762118e-08,-1.3908408404308546e-07,8.256582388841906e-08,7.93741287349474e-07,0.00016314404073047294,1.4113473882985756e-07
0.09,630.0,-1.364718419656649e-07,-2.284004191332983e-07,1.2067441896393844e-07,4.215883856080198e-07,0.00013168151295659162,-2.3948612118572975e-07
0.09,640.0,-3.3201564765464086e-07,-3.0624195495959385e-07,1.127586558860543e-07,-8.305584804147931e-08,9.091556292221782e-05,-6.400172379711894e-07
0.09,650.0,-5.191011723016196e-07,-3.6933929243407206e-07,5.737462213213123e-08,-6.973036931407431e-07,4.3246449995203235e-05,-1.044090549295475e-06
0.09,660.0,-6.908395967276745e-07,-4.1535491601265283e-07,-4.457339618347265e-08,-1.3952372428722874e-06,-8.909506519895555e-06,-1.4364956573755803e-06
0.09,670.0,-8.415010677407119e-07,-4.4285527054950514e-07,-1.9016916277991352e-07,-2.1494292664047096e-06,-6.32233337978838e-05,-1.8036229496601367e-06
0.09,680.0,-9.665663469291584e-07,-4.5124708720018426e-07,-3.748548793742368e-07,-2.9322554852949026e-06,-0.0001175312611593567,-2.1337660996915784e-06
0.09,690.0,-1.0627238915796619e-06,-4.40689074215495e-07,-5.928131012093321e-07,-3.716979277604202e-06,-0.00016992531340887337,-2.417284987498389e-06
0.09,700.0,-1.127820147561225e-06,-4.119885479759926e-07,-8.373353096296077e-07,-4.478631939263044e-06,-0.00021874352488966174,-2.646678969938166e-06
0.09,800.0,-2.2156519354351253e-07,4.433127721910159e-07,-3.207068108323654e-06,-7.405132622112546e-06,-0.00034847875409982674,-1.6426250957397086e-06
0.09,900.0,1.5934167187187984e-06,9.26973069872655e-07,-2.674033052565357e-06,-1.3884288242305586e-06,3.172074905272575e-06,2.4042016672763695e-06
0.09,1000.0,2.0204439175335407e-06,3.275745642446246e-07,1.2830317123931618e-07,4.583454065742406e-06,0.0002796264931881344,4.441697106795268e-06
0.09,1100.0,8.259912289168563e-07,-7.446901265044116e-07,2.471246902784444e-06,3.8351580541800595e-06,0.00027215968288890537,3.006588131248564e-06
0.09,1200.0,-1.0370942013619594e-06,-1.5275029876532828e-06,2.8523049148549637e-06,-3.374609305122785e-06,8.687084475846267e-05,-4.4156179512398825e-07
0.09,1300.0,-2.5562862269912405e-06,-1.6581505895975139e-06,1.3722052479544308e-06,-1.3094448900567578e-05,-0.00011193997607392449,-3.7876031506794654e-06
0.09,1400.0,-3.146710524391467e-06,-1.1698058510076101e-06,-1.0733536912808973e-06,-2.1250486920364876e-05,-0.00022482419034688082,-5.5594142497120955e-06
0.09,1500.0,-2.6893416965835467e-06,-3.1206388610472193e-07,-3.549662462505738e-06,-2.542576404945235e-05,-0.00022914084474712977,-5.247664448844952e-06
0.09,1600.0,-1.396084494833983e-06,6.104697480727532e-07,-5.471527756359038e-06,-2.5187023950590498e-05,-0.0001506007739186842,-3.1393009494344514e-06
0.09,1700.0,3.456939279615409e-07,1.3335193595793297e-06,-6.6957619039320716e-06,-2.1694824222251244e-05,-3.29507521406145e-05,-1.602640594866951e-08
0.09,1800.0,2.093283787118884e-06,1.6722518768474852e-06,-7.455895507825964e-06,-1.7110110675066216e-05,8.207478760787683e-05,3.119261109409265e-06
0.09,1900.0,3.424710300864668e-06,1.5258353055087525e-06,-8.241430096619094e-06,-1.405064062884743e-05,0.00016450403822453852,5.238394057891633e-06
0.09,2000.0,3.978991976867229e-06,8.651876857295804e-07,-9.67741848365105e-06,-1.5184916770933716e-05,0.0001987760486984652,5.407297608296077e-06
0.09,2100.0,3.4719638919276217e-06,-2.8495390549840043e-07,-1.2427610956543398e-05,-2.2969270397408718e-05,0.00018249296433286942,2.8464203888496594e-06
0.09,2200.0,1.6973130125110982e-06,-1.8637654969458493e-06,-1.712641309075689e-05,-3.9502069541740986e-05,0.00012352344578787737,-3.048570241818649e-06
0.09,2300.0,-1.4803083095897113e-06,-3.7893197596906957e-06,-2.4336716545780805e-05,-6.646245054695482e-05,3.6739543031276685e-05,-1.2710244681658112e-05
0.09,2400.0,-6.13566763850392e-06,-5.970111371728728e-06,-3.4527905899746497e-05,-0.0001051045447291643,-5.889835538588722e-05,-2.641591658916175e-05
0.09,2500.0,-1.2294219432226066e-05,-8.313307413174606e-06,-4.806821526395733e-05,-0.0001562849427956363,-0.00014270639177463992,-4.430993767627768e-05
0.09,2600.0,-1.9942824332057194e-05,-1.0730258301642512e-05,-6.522651870798171e-05,-0.00022050760857922707,-0.0001940308700451396,-6.642736033941135e-05
