========================================
me_B1_Frequencies_1_0.1.out
1 atm
T,P1->P2
470.0,5.26826e-13
480.0,5.74192e-13
490.0,6.24527e-13
500.0,6.7792e-13
510.0,7.3446e-13
520.0,7.94233e-13
530.0,8.57323e-13
540.0,9.23815e-13
550.0,9.93788e-13
560.0,1.06732e-12
570.0,1.1445e-12
580.0,1.2254e-12
590.0,1.31008e-12
600.0,1.39864e-12
610.0,1.49113e-12
620.0,1.58763e-12
630.0,1.68821e-12
640.0,1.79293e-12
650.0,1.90186e-12
660.0,2.01507e-12
670.0,2.13261e-12
680.0,2.25454e-12
690.0,2.38094e-12
700.0,2.51185e-12
800.0,4.08082e-12
900.0,6.15415e-12
1000.0,8.7677e-12
1100.0,1.19466e-11
1200.0,1.57075e-11
1300.0,2.00599e-11
1400.0,2.50082e-11
1500.0,3.05522e-11
1600.0,3.66891e-11
1700.0,4.34133e-11
1800.0,5.07177e-11
1900.0,5.8594e-11
2000.0,6.7033e-11
2100.0,7.60249e-11
2200.0,8.55597e-11
2300.0,9.56272e-11
2400.0,1.06217e-10
2500.0,1.17319e-10
2600.0,1.28923e-10
2700.0,1.4102e-10
2800.0,1.536e-10
2900.0,1.66653e-10
3000.0,1.8017e-10
========================================
me_P1_Frequencies_1_0.1.out
1 atm
T,P1->P2
200.0,2.13848e-14
210.0,2.4806e-14
220.0,2.87739e-14
230.0,3.33623e-14
240.0,3.86514e-14
250.0,4.47271e-14
260.0,5.16811e-14
270.0,5.96109e-14
280.0,6.86195e-14
290.0,7.8815e-14
300.0,9.03104e-14
310.0,1.03223e-13
320.0,1.17677e-13
330.0,1.33796e-13
340.0,1.51712e-13
350.0,1.71559e-13
360.0,1.93474e-13
370.0,2.17599e-13
380.0,2.44076e-13
390.0,2.73052e-13
400.0,3.04678e-13
410.0,3.39103e-13
420.0,3.76482e-13
430.0,4.16971e-13
440.0,4.60727e-13
450.0,5.0791e-13
460.0,5.58681e-13
470.0,6.13202e-13
480.0,6.71638e-13
490.0,7.34153e-13
500.0,8.00912e-13
510.0,8.72084e-13
520.0,9.47836e-13
530.0,1.02834e-12
540.0,1.11375e-12
550.0,1.20426e-12
560.0,1.30002e-12
570.0,1.4012e-12
580.0,1.50799e-12
590.0,1.62054e-12
600.0,1.73903e-12
610.0,1.86364e-12
620.0,1.99452e-12
630.0,2.13185e-12
640.0,2.2758e-12
650.0,2.42655e-12
660.0,2.58425e-12
670.0,2.74908e-12
680.0,2.92121e-12
690.0,3.1008e-12
700.0,3.28803e-12
800.0,5.61625e-12
900.0,8.88475e-12
1000.0,1.32427e-11
1100.0,1.88244e-11
1200.0,2.57482e-11
1300.0,3.4116e-11
1400.0,4.40136e-11
1500.0,5.55123e-11
1600.0,6.86695e-11
1700.0,8.3531e-11
1800.0,1.00131e-10
1900.0,1.18497e-10
2000.0,1.38644e-10
2100.0,1.60585e-10
2200.0,1.84324e-10
2300.0,2.09862e-10
2400.0,2.37194e-10
2500.0,2.66314e-10
2600.0,2.97211e-10
2700.0,3.29873e-10
2800.0,3.64286e-10
2900.0,4.00434e-10
3000.0,4.383e-10
========================================
me_B1_Energy_1_34.9759.out
1 atm
T,P1->P2
200.0,2.138e-14
210.0,2.47978e-14
220.0,2.87617e-14
230.0,3.33437e-14
240.0,3.86223e-14
250.0,4.46826e-14
260.0,5.16155e-14
270.0,5.95162e-14
280.0,6.84838e-14
290.0,7.86248e-14
300.0,9.00478e-14
310.0,1.02866e-13
320.0,1.17197e-13
330.0,1.3316e-13
340.0,1.5088e-13
350.0,1.70482e-13
360.0,1.92094e-13
370.0,2.15848e-13
380.0,2.41875e-13
390.0,2.70311e-13
400.0,3.0129e-13
