Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  9.65337e-18  2.24366e-27
  210  1.46582e-17  9.46762e-27
  220  2.18824e-17  3.57924e-26
  230  3.21308e-17  1.22766e-25
  240  4.64237e-17  3.86083e-25
  250  6.60297e-17  1.12323e-24
  260  9.24972e-17  3.04634e-24
  270  1.27685e-16   7.7534e-24
  280  1.73788e-16  1.86269e-23
  290  2.33365e-16   4.2457e-23
  300  3.09358e-16  9.22342e-23
  310  4.05108e-16  1.91746e-22
  320   5.2437e-16  3.82841e-22
  330  6.71323e-16  7.36509e-22
  340  8.50574e-16  1.36921e-21
  350  1.06716e-15   2.4662e-21
  360  1.32654e-15  4.31407e-21
  370  1.63462e-15  7.34473e-21
  380  1.99768e-15  1.21938e-20
  390  2.42245e-15  1.97763e-20
  400  2.91602e-15  3.13828e-20
  410  3.48588e-15  4.87997e-20
  420  4.13987e-15  7.44567e-20
  430  4.88619e-15  1.11605e-19
  440  5.73337e-15  1.64532e-19
  450  6.69024e-15  2.38807e-19
  460  7.76594e-15  3.41578e-19
  470  8.96988e-15  4.81901e-19
  480  1.03117e-14  6.71124e-19
  490  1.18014e-14  9.23313e-19
  500  1.34491e-14  1.25573e-18
  510   1.5265e-14  1.68936e-18
  520  1.72599e-14   2.2495e-18
  530  1.94443e-14  2.96637e-18
  540  2.18291e-14  3.87583e-18
  550  2.44255e-14  5.02008e-18
  560  2.72445e-14  6.44847e-18
  570  3.02975e-14  8.21833e-18
  580  3.35958e-14  1.03958e-17
  590   3.7151e-14  1.30569e-17
  600  4.09746e-14  1.62884e-17
  610  4.50784e-14  2.01887e-17
  620   4.9474e-14  2.48692e-17
  630  5.41733e-14  3.04551e-17
  640  5.91881e-14  3.70867e-17
  650  6.45304e-14  4.49204e-17
  660  7.02121e-14  5.41299e-17
  670  7.62452e-14  6.49076e-17
  680  8.26416e-14  7.74656e-17
  690  8.94135e-14  9.20369e-17
  700  9.65729e-14  1.08877e-16
  800  1.92132e-13   4.7666e-16
  900  3.39656e-13  1.56579e-15
 1000  5.50884e-13  4.19181e-15
 1100  8.37069e-13  9.64452e-15
 1200  1.20883e-12  1.97646e-14
 1300  1.67608e-12  3.69888e-14
 1400  2.24798e-12  6.43651e-14
 1500  2.93294e-12  1.05544e-13
 1600  3.73864e-12  1.64752e-13
 1700  4.67208e-12   2.4675e-13
 1800   5.7396e-12  3.56786e-13
 1900  6.94696e-12  5.00541e-13
 2000  8.29938e-12  6.84079e-13
 2100  9.80159e-12  9.13793e-13
 2200  1.14579e-11  1.19636e-12
 2300  1.32721e-11  1.53867e-12
 2400  1.52478e-11  1.94783e-12
 2500  1.73882e-11  2.43109e-12
 2600  1.96963e-11  2.99581e-12
 2700  2.21745e-11  3.64945e-12
 2800  2.48255e-11  4.39952e-12
 2900  2.76514e-11  5.25357e-12
 3000  3.06542e-11  6.21917e-12
 3100  3.38358e-11  7.30389e-12
 3200  3.71978e-11  8.51528e-12
 3300  4.07419e-11  9.86087e-12
 3400  4.44695e-11  1.13482e-11
 3500  4.83819e-11  1.29846e-11
 3600  5.24803e-11  1.47775e-11
 3700  5.67659e-11  1.67342e-11
 3800  6.12397e-11   1.8862e-11
 3900  6.59027e-11  2.11681e-11
