Pressure (atm),Temperature (K),W2_Frequencies_1_W2->P1,W2_Frequencies_1_W2->P2,W2_Energy_1_W2->P1,W2_Energy_1_W2->P2,W1_Frequencies_1_W2->P1,W1_Frequencies_1_W2->P2,B1_Energy_1_W2->P1,B1_Energy_1_W2->P2,B3_Frequencies_1_W2->P1,B3_Frequencies_1_W2->P2,B2_Frequencies_1_W2->P1,B2_Frequencies_1_W2->P2,B1_SymmetryFactor_1_W2->P1,B1_SymmetryFactor_1_W2->P2,P2_SymmetryFactor_1_W2->P1,P2_SymmetryFactor_1_W2->P2,W3_SymmetryFactor_1_W2->P1,W3_SymmetryFactor_1_W2->P2,B2_ImaginaryFrequency_1_W2->P1,B2_ImaginaryFrequency_1_W2->P2,B3_SymmetryFactor_1_W2->P1,B3_SymmetryFactor_1_W2->P2,W3_Energy_1_W2->P1,W3_Energy_1_W2->P2,P1_Frequencies_1_W2->P1,P1_Frequencies_1_W2->P2,B2_SymmetryFactor_1_W2->P1,B2_SymmetryFactor_1_W2->P2,P2_Frequencies_1_W2->P1,P2_Frequencies_1_W2->P2,B1_Frequencies_1_W2->P1,B1_Frequencies_1_W2->P2,W1_SymmetryFactor_1_W2->P1,W1_SymmetryFactor_1_W2->P2,P2_Energy_1_W2->P1,P2_Energy_1_W2->P2,B3_ImaginaryFrequency_1_W2->P1,B3_ImaginaryFrequency_1_W2->P2,W3_Frequencies_1_W2->P1,W3_Frequencies_1_W2->P2,P1_SymmetryFactor_1_W2->P1,P1_SymmetryFactor_1_W2->P2,W1_Energy_1_W2->P1,W1_Energy_1_W2->P2,B3_Energy_1_W2->P1,B3_Energy_1_W2->P2,B2_Energy_1_W2->P1,B2_Energy_1_W2->P2,W2_SymmetryFactor_1_W2->P1,W2_SymmetryFactor_1_W2->P2,P1_Energy_1_W2->P1,P1_Energy_1_W2->P2
1.0,200.0,10.75089274490172,1.109074339526786,0.8660043656423392,-2.4550585962967135,-7.847317674870538,-3.291253737160576,73.96286357175595,-9.999760677741884,2.9864092629192793,1.9015218157785578,6.730693460309953,-5.563496995359887,-0.7502056948602157,-1.62735304554114,0.0,0.0,0.11906819192636794,-5.319310634421485,13.054191283260733,-5.46120542201545,3.0761298454824573,25.317116095271427,-0.03635148796920154,21.931015595063258,0.0,0.0,1.932213213618083,-1.8434314244252497,0.0,0.0,0.00020818136646372624,-2.0003619928885006,0.7509577220680239,6.366999574600397,0.0,0.0,-28.456770911749707,4.37034243241001,5.856594561299206,-6.406309449908407,0.0,0.0,-105.29007213271018,-5.282428003756758,-21.063232734335557,24.261748638178787,-29.002200720158324,10.519802172258398,-7.665228508096492,-7.775747312831489,0.0,0.0
1.0,210.0,42.441748820136056,-9.039237159695988,0.9802676816083195,0.9961725903288845,-8.7321352056608,-0.5710815969293712,103.1082615301544,-2.0367274978921612,2.251727502210646,-0.05039907375136199,-6.533641098009754,-0.806670373140391,-0.5872236205392743,-1.000123570521394,0.0,0.0,-0.13524954532819428,-2.3525036239381185,-8.662219876112564,-1.1970531456576274,2.720697732519977,4.175593399825693,0.0017895762729559245,4.154687242579169,0.0,0.0,0.9564563669779337,-0.4837829131847607,0.0,0.0,0.000545098912558752,-0.26149859020332145,0.5777666164124161,1.0553229217741738,0.0,0.0,-38.0468113908718,6.389160381430222,-6.977651283913776,-2.1648595636957677,0.0,0.0,-85.18953863499091,0.3485572301792387,-21.777793975449093,-2.968266002965006,-44.3294477727326,-7.1570285567651055,-6.176734231170837,-0.7946535841679656,0.0,0.0
1.0,220.0,34.744319452330046,-6.843941770298673,0.9597219541977208,2.173344418032876,-9.513893929262556,0.33032575271751063,100.46628653643195,0.8448259398311878,2.302506339720609,-0.6428124833051361,-5.428504714784165,0.6654150771246405,-0.5936872447962139,-0.6226657529517265,0.0,0.0,-0.11638345047319426,-1.0737790363088038,-8.098889552910398,0.2213656834269605,2.74178362711464,-2.4369708673425827,-0.0008118738271789945,-1.2781785507464738,0.0,0.0,1.039868374400898,0.013493538016500566,0.0,0.0,0.0005930077112301178,0.23722219811463705,0.5869054678822649,-0.5666713229809001,0.0,0.0,-36.67543276104786,7.542901385367442,-5.923549321568483,-0.9277300188319645,0.0,0.0,-58.29674024794743,1.3162891528142282,-18.20347708767515,-7.8991514742156745,-39.33079257862958,-7.755303346142641,-6.280641633137953,1.3231387703999036,0.0,0.0
1.0,230.0,17.665070007351215,-1.7937442555867285,0.9298829924787159,2.386995555007291,-9.778944714274495,0.47212262499164365,87.14653395891938,1.511258937452641,2.4962596419049707,-0.7090641233849339,-0.7987925591937705,0.807364906125733,-0.6291508722541576,-0.38157900160313774,0.0,0.0,-0.02880983859192361,-0.5415589287299637,-1.2528794708059916,0.46470577187298495,2.796793055051473,-3.248675713901006,-0.013642933428579957,-1.815154656479676,0.0,0.0,1.337528958280001,0.1400525852519192,0.0,0.0,0.0005122767795897473,0.2522630052896996,0.6282976952590861,-0.7203649105581156,0.0,0.0,-31.483057680762553,8.151365359224092,-1.4364104577735055,-0.8935081248856251,0.0,0.0,-34.498130346215355,0.7100263163326094,-13.927122845424865,-5.234641476303652,-28.71422048043678,-3.430344245533023,-6.576440775487679,1.5352387311578384,0.0,0.0
1.0,240.0,2.5952284262444385,2.51261554736536,0.9268312126818609,2.248556461455903,-9.505211601281806,0.345371628463241,72.109849083199,1.3224496105878283,2.606040636708151,-0.6176687950854389,3.247730143918126,0.5115544070414321,-0.6455388306053667,-0.2197250192395987,0.0,0.0,0.04927958840965799,-0.31888190170949987,5.429088184122497,0.29997959070101765,2.7753672967490512,-2.1964356130547142,-0.02509584447732695,-0.8078058826808371,0.0,0.0,1.5444339625367538,0.12610286270547863,0.0,0.0,0.0003880222901843665,0.12224628088115293,0.6501404577825926,-0.4080881233502791,0.0,0.0,-25.578733830703435,8.433641653024148,2.514399291245029,-1.2415235198919752,0.0,0.0,-16.625677180803653,-0.16643882125422405,-10.153366628755762,-1.200216506039213,-18.481750446391434,0.9592000350194275,-6.602741046077644,1.162266796847093,0.0,0.0
1.0,250.0,-7.288305675475891,5.078472115288403,0.951648837230269,2.0278919698203244,-8.807742781129448,0.1646578012894209,58.686682196976285,0.8950865855572704,2.582767806070576,-0.5174961368184176,5.561415551442845,0.1577857446656383,-0.6336613704030425,-0.10747713266773791,0.0,0.0,0.09542553501144373,-0.21155902709452834,9.854013954580509,0.05753589604737262,2.6636311755331565,-0.9249510483230482,-0.03187142551692527,0.35000490905514453,0.0,0.0,1.5885173994462223,0.07413565092019662,0.0,0.0,0.0002629991157278718,-0.013542179555796837,0.6421382222552285,-0.04841319012399969,0.0,0.0,-20.183461541898264,8.534364695557647,4.809911599778575,-1.6244142515200828,0.0,0.0,-4.607533363996366,-0.8363471933825763,-7.125242539924911,1.9124325447662247,-10.636410761850293,3.8473265514002395,-6.290192326731527,0.7462111669067886,0.0,0.0
1.0,260.0,-12.144873118106249,5.965561457568051,0.9942984623274416,1.8312920437117024,-7.82929942524815,0.01283105902737958,47.71410072691165,0.4848495137042799,2.4455838439083837,-0.45711084102293603,6.186945520139323,-0.11530341066317744,-0.598791366085464,-0.028743559262180043,0.0,0.0,0.10986561278876156,-0.1398729107557804,11.793686299292242,-0.13834976137402877,2.482396076570244,-0.013100943816013247,-0.034033000446293975,1.1732325141030748,0.0,0.0,1.488495716139601,0.025401016919793924,0.0,0.0,0.0001564739726683649,-0.10804274885247707,0.6095374952111456,0.21178871998816545,0.0,0.0,-15.664768469688507,8.545788917892589,5.4840286863331,-1.917388104426555,0.0,0.0,2.6388483326037813,-1.1880858498422504,-4.747458675897746,3.552919988353186,-5.446158889979037,5.060017451345175,-5.712149481771706,0.47014194370999596,0.0,0.0
1.0,270.0,-13.244336824986302,5.588685520569724,1.0434460481511831,1.6898001028203709,-6.6976475832442155,-0.08741577132344854,39.0237369801641,0.1775895596256748,2.2330615903724316,-0.44228250778849687,5.563201944063096,-0.2769679888880681,-0.5499570679626109,0.025844519885193585,0.0,0.0,0.10047957941277823,-0.07602355276006666,11.715692682064752,-0.25618621072309844,2.2602626145910345,0.4285624801281119,-0.03276179878550385,1.5750044375769916,0.0,0.0,1.2902163153753512,-0.0071376503704676,0.0,0.0,7.503964833864292e-05,-0.1543367050570439,0.5617133201545284,0.3451568278445845,0.0,0.0,-12.030796849717023,8.524494749712979,4.95292772417364,-2.0950274620455698,0.0,0.0,6.382652270418667,-1.2559187970903156,-2.845941904241575,3.8698187372322055,-2.5139931878120847,4.932232516843456,-4.975859698611538,0.3616860345998995,0.0,0.0
1.0,280.0,-12.007893144658649,4.411102457856581,1.0899556238755341,1.6024923921645924,-5.512669786116391,-0.1386277366424925,32.12543290793697,-0.0159155741177281,1.9830574220413477,-0.46304620512552574,4.181016724261293,-0.3399922177006198,-0.49563378606794767,0.062249875273271825,0.0,0.0,0.07630297788037652,-0.014085908417427288,10.256738913685025,-0.3024762668149951,2.0229833848657783,0.4722994993369231,-0.02939580533253102,1.6228831906582055,0.0,0.0,1.040082515162889,-0.022661652545334303,0.0,0.0,1.8774100199194286e-05,-0.16083690809585785,0.5075540354795843,0.3710268571170169,0.0,0.0,-9.160466217793504,8.503374060789536,3.6850343834526824,-2.1717722848580845,0.0,0.0,7.7555397416034815,-1.119269037367043,-1.2645891886494687,3.2308664747629066,-1.2651294444950072,3.915767594723938,-4.179156481922703,0.3895686982629266,0.0,0.0
1.0,290.0,-9.642868306058102,2.8281147053924243,1.1276631071211283,1.5571138313627506,-4.346013817911966,-0.15203590899386477,26.50193785778771,-0.11399117928300126,1.7257297032817578,-0.5058440098841636,2.454383727691504,-0.3306506013138979,-0.4423382303356626,0.08463892961172581,0.0,0.0,0.04505124205160046,0.04398463062805297,8.004907676705976,-0.2960650025435927,1.7901752780578186,0.24198485811166784,-0.025066974866529968,1.427078672204018,0.0,0.0,0.7755978096051617,-0.024792261593623282,0.0,0.0,-1.5295914553293907e-05,-0.13995313225124423,0.4539363528570525,0.3219206155997547,0.0,0.0,-6.9055208309355764,8.499958623639111,2.0764922398263623,-2.1741484666279534,0.0,0.0,7.654282188911582,-0.8594279701868222,0.1079259221235973,2.016024605429024,-1.152361614993113,2.4206897811241235,-3.3968028974496773,0.5074824711799019,0.0,0.0
