Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200   5.0494e-18  1.17359e-27
  210  8.01548e-18  5.17713e-27
  220  1.24596e-17  2.03799e-26
  230  1.89735e-17  7.24946e-26
  240  2.83196e-17   2.3552e-25
  250  4.14585e-17  7.05252e-25
  260  5.95747e-17  1.96205e-24
  270   8.4101e-17  5.10687e-24
  280   1.1674e-16  1.25124e-23
  290  1.59483e-16  2.90152e-23
  300  2.14623e-16  6.39893e-23
  310  2.84772e-16  1.34788e-22
  320   3.7286e-16  2.72224e-22
  330  4.82144e-16  5.28961e-22
  340   6.1621e-16  9.91939e-22
  350  7.78964e-16  1.80018e-21
  360  9.74629e-16   3.1696e-21
  370  1.20774e-15  5.42667e-21
  380  1.48312e-15  9.05294e-21
  390  1.80589e-15  1.47428e-20
  400  2.18142e-15  2.34769e-20
  410  2.61534e-15  3.66129e-20
  420  3.11354e-15  5.59979e-20
  430  3.68209e-15  8.41026e-20
  440  4.32729e-15  1.24181e-19
  450  5.05561e-15  1.80459e-19
  460  5.87368e-15  2.58348e-19
  470   6.7883e-15  3.64697e-19
  480  7.80639e-15  5.08067e-19
  490  8.93497e-15  6.99049e-19
  500  1.01812e-14  9.50611e-19
  510  1.15523e-14  1.27848e-18
  520  1.30555e-14  1.70154e-18
  530  1.46983e-14  2.24233e-18
  540  1.64879e-14  2.92748e-18
  550  1.84319e-14  3.78825e-18
  560  2.05377e-14  4.86105e-18
  570  2.28128e-14  6.18808e-18
  580  2.52647e-14  7.81786e-18
  590  2.79008e-14  9.80592e-18
  600  3.07287e-14  1.22154e-17
  610  3.37557e-14  1.51178e-17
  620  3.69893e-14  1.85935e-17
  630  4.04369e-14  2.27328e-17
  640  4.41059e-14  2.76363e-17
  650  4.80036e-14  3.34159e-17
  660  5.21374e-14  4.01952e-17
  670  5.65143e-14  4.81107e-17
  680  6.11417e-14  5.73123e-17
  690  6.60267e-14   6.7964e-17
  700  7.11764e-14  8.02447e-17
  800  1.38744e-13  3.44209e-16
  900   2.4009e-13   1.1068e-15
 1000  3.81174e-13  2.90045e-15
 1100  5.67233e-13  6.53553e-15
 1200  8.02818e-13  1.31262e-14
 1300  1.09185e-12  2.40955e-14
 1400  1.43768e-12  4.11642e-14
 1500  1.84318e-12  6.63283e-14
 1600   2.3108e-12  1.01831e-13
 1700  2.84261e-12  1.50129e-13
 1800   3.4404e-12  2.13863e-13
 1900   4.1057e-12  2.95823e-13
 2000  4.83981e-12  3.98923e-13
 2100  5.64387e-12  5.26173e-13
 2200  6.51884e-12  6.80654e-13
 2300  7.46557e-12  8.65503e-13
 2400  8.48481e-12  1.08389e-12
 2500  9.57719e-12  1.33901e-12
 2600  1.07433e-11  1.63406e-12
 2700  1.19836e-11  1.97224e-12
 2800  1.32986e-11  2.35674e-12
 2900  1.46886e-11  2.79072e-12
 3000  1.61539e-11  3.27734e-12
 3100   1.7695e-11   3.8197e-12
 3200  1.93121e-11  4.42091e-12
 3300  2.10054e-11    5.084e-12
 3400  2.27752e-11  5.81199e-12
 3500  2.46216e-11  6.60785e-12
 3600  2.65448e-11  7.47453e-12
 3700  2.85451e-11   8.4149e-12
 3800  3.06225e-11  9.43184e-12
 3900  3.27772e-11  1.05281e-11
