Temperature = 1586.49K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      139.596    0.0439261
      139.453    0.0456598
       139.31    0.0474618
      139.167    0.0493346
      139.024    0.0512812
      138.881    0.0533044
      138.738    0.0554072
      138.595    0.0575928
      138.452    0.0598643
      138.309    0.0622252
      138.166     0.064679
      138.023    0.0672293
       137.88    0.0698798
      137.737    0.0726346
      137.595    0.0754978
      137.452    0.0784735
      137.309    0.0815661
      137.166    0.0847803
      137.023    0.0881209
       136.88    0.0915927
      136.737     0.095201
      136.594     0.098951
      136.451     0.102848
      136.308     0.106899
      136.165     0.111108
      136.022     0.115483
      135.879      0.12003
      135.736     0.124755
      135.593     0.129666
       135.45      0.13477
      135.307     0.140074
      135.164     0.145586
      135.021     0.151314
      134.878     0.157267
      134.735     0.163454
      134.592     0.169884
       134.45     0.176565
      134.307     0.183509
      134.164     0.190725
      134.021     0.198225
      133.878     0.206018
      133.735     0.214117
      133.592     0.222533
      133.449     0.231279
      133.306     0.240369
      133.163     0.249814
       133.02     0.259629
      132.877      0.26983
      132.734     0.280429
      132.591     0.291444
      132.448     0.302891
      132.305     0.314786
      132.162     0.327146
      132.019     0.339991
      131.876     0.353339
      131.733     0.367209
       131.59     0.381622
      131.447       0.3966
      131.304     0.412163
      131.162     0.428336
      131.019     0.445141
      130.876     0.462604
      130.733     0.480751
       130.59     0.499607
      130.447       0.5192
      130.304      0.53956
      130.161     0.560716
      130.018     0.582699
      129.875     0.605542
      129.732     0.629277
      129.589     0.653941
      129.446     0.679568
      129.303     0.706197
       129.16     0.733866
      129.017     0.762616
      128.874      0.79249
      128.731      0.82353
      128.588     0.855783
      128.445     0.889295
      128.302     0.924116
      128.159     0.960296
      128.017     0.997889
      127.874      1.03695
      127.731      1.07753
      127.588       1.1197
      127.445      1.16352
      127.302      1.20904
      127.159      1.25634
      127.016      1.30549
      126.873      1.35655
       126.73       1.4096
      126.587      1.46472
      126.444        1.522
      126.301       1.5815
      126.158      1.64333
      126.015      1.70756
      125.872       1.7743
      125.729      1.84364
      125.586      1.91568
      125.443      1.99052
        125.3      2.06829
      125.157      2.14908
      125.014      2.23302
      124.871      2.32022
      124.729      2.41083
      124.586      2.50496
      124.443      2.60275
        124.3      2.70435
      124.157      2.80991
      124.014      2.91957
      123.871       3.0335
      123.728      3.15187
      123.585      3.27484
      123.442      3.40259
      123.299      3.53531
      123.156      3.67319
      123.013      3.81644
       122.87      3.96525
      122.727      4.11985
      122.584      4.28045
      122.441       4.4473
      122.298      4.62064
      122.155      4.80071
      122.012      4.98777
      121.869      5.18211
      121.726      5.38399
      121.584      5.59371
      121.441      5.81158
      121.298      6.03791
      121.155      6.27302
      121.012      6.51726
      120.869      6.77098
      120.726      7.03455
      120.583      7.30835
       120.44      7.59277
      120.297      7.88823
      120.154      8.19515
      120.011      8.51397
      119.868      8.84516
      119.725       9.1892
      119.582      9.54657
      119.439       9.9178
      119.296      10.3034
      119.153       10.704
       119.01      11.1201
      118.867      11.5523
      118.724      12.0012
      118.581      12.4676
      118.439       12.952
      118.296      13.4552
      118.153      13.9779
       118.01      14.5208
      117.867      15.0847
      117.724      15.6705
      117.581      16.2789
      117.438      16.9109
      117.295      17.5673
      117.152      18.2492
      117.009      18.9574
      116.866       19.693
      116.723      20.4571
       116.58      21.2507
      116.437       22.075
      116.294      22.9312
      116.151      23.8205
      116.008      24.7442
      115.865      25.7035
      115.722         26.7
      115.579      27.7349
      115.436      28.8098
      115.293      29.9263
      115.151      31.0859
      115.008      32.2903
      114.865      33.5411
      114.722      34.8403
      114.579      36.1897
      114.436      37.5911
      114.293      39.0466
       114.15      40.5583
      114.007      42.1284
      113.864       43.759
      113.721      45.4525
      113.578      47.2113
      113.435       49.038
      113.292      50.9351
      113.149      52.9054
      113.006      54.9516
      112.863      57.0767
       112.72      59.2838
      112.577      61.5758
      112.434      63.9562
      112.291      66.4284
      112.148      68.9957
      112.006       71.662
      111.863      74.4309
       111.72      77.3065
      111.577      80.2928
      111.434       83.394
      111.291      86.6147
      111.148      89.9593
      111.005      93.4326
      110.862      97.0396
      110.719      100.785
      110.576      104.675
      110.433      108.715
       110.29      112.909
      110.147      117.266
      110.004      121.789
      109.861      126.487
      109.718      131.365
      109.575       136.43
      109.432      141.691
      109.289      147.153
      109.146      152.825
      109.003      158.715
       108.86      164.831
      108.718      171.183
      108.575      177.778
      108.432      184.626
      108.289      191.737
      108.146      199.121
      108.003      206.789
       107.86       214.75
      107.717      223.018
      107.574      231.602
      107.431      240.515
      107.288      249.771
      107.145      259.381
      107.002       269.36
      106.859      279.721
      106.716       290.48
      106.573      301.651
       106.43       313.25
      106.287      325.293
      106.144      337.798
      106.001      350.781
      105.858      364.262
      105.715      378.259
      105.573      392.792
       105.43      407.882
      105.287      423.549
      105.144      439.816
      105.001      456.705
      104.858       474.24
      104.715      492.446
      104.572      511.349
      104.429      530.974
      104.286      551.351
      104.143      572.506
          104       594.47
      103.857      617.273
      103.714      640.948
      103.571      665.528
      103.428      691.047
      103.285       717.54
      103.142      745.046
      102.999      773.603
      102.856      803.249
      102.713      834.028
       102.57      865.982
      102.428      899.155
      102.285      933.595
      102.142      969.348
      101.999      1006.47
      101.856         1045
      101.713         1085
       101.57      1126.53
      101.427      1169.65
      101.284       1214.4
      101.141      1260.87
      100.998       1309.1
      100.855      1359.17
      100.712      1411.15
      100.569      1465.11
      100.426      1521.13
      100.283      1579.28
       100.14      1639.64
      99.9973       1702.3
      99.8543      1767.35
      99.7114      1834.88
      99.5684      1904.97
      99.4254      1977.73
      99.2825      2053.26
      99.1395      2131.67
      98.9966      2213.05
      98.8536      2297.53
      98.7107      2385.23
      98.5677      2476.26
      98.4248      2570.74
      98.2818      2668.82
      98.1388      2770.63
      97.9959      2876.31
      97.8529         2986
        97.71      3099.86
       97.567      3218.04
      97.4241      3340.71
      97.2811      3468.04
      97.1382       3600.2
      96.9952      3737.38
      96.8522      3879.76
      96.7093      4027.55
      96.5663      4180.95
      96.4234      4340.16
      96.2804      4505.41
      96.1375      4676.94
      95.9945      4854.96
      95.8516      5039.73
      95.7086      5231.51
      95.5656      5430.56
      95.4227      5637.15
      95.2797      5851.56
      95.1368       6074.1
      94.9938      6305.07
      94.8509      6544.79
      94.7079      6793.58
       94.565       7051.8
       94.422      7319.78
      94.2791      7597.91
      94.1361      7886.57
      93.9931      8186.14
      93.8502      8497.05
      93.7072      8819.72
      93.5643       9154.6
      93.4213      9502.13
      93.2784      9862.81
      93.1354      10237.1
      92.9925      10625.6
      92.8495      11028.7
      92.7065      11447.1
      92.5636      11881.2
      92.4206      12331.8
      92.2777      12799.4
      92.1347      13284.6
      91.9918      13788.2
      91.8488      14310.8
      91.7059      14853.1
      91.5629      15415.8
      91.4199      15999.8
       91.277      16605.8
       91.134      17234.7
      90.9911      17887.3
      90.8481      18564.5
      90.7052      19267.2
      90.5622      19996.4
      90.4193      20753.1
      90.2763      21538.3
      90.1333      22353.1
      89.9904      23198.6
      89.8474      24075.9
      89.7045      24986.3
      89.5615      25930.9
      89.4186      26911.1
      89.2756      27928.2
      89.1327      28983.6
      88.9897      30078.6
      88.8467      31214.9
      88.7038      32393.9
      88.5608      33617.3
      88.4179      34886.6
      88.2749      36203.7
       88.132      37570.2
       87.989      38988.1
      87.8461      40459.3
      87.7031      41985.8
      87.5602      43569.6
      87.4172      45212.9
      87.2742      46917.9
      87.1313      48686.9
      86.9883      50522.3
      86.8454      52426.6
      86.7024      54402.4
      86.5595      56452.3
      86.4165      58579.1
      86.2736      60785.6
      86.1306      63074.9
      85.9876        65450
      85.8447      67914.2
      85.7017      70470.7
      85.5588        73123
      85.4158      75874.7
      85.2729      78729.5
      85.1299      81691.2
       84.987      84763.8
       84.844      87951.5
       84.701      91258.5
      84.5581      94689.2
      84.4151      98248.4
      84.2722       101941
      84.1292       105771
      83.9863       109745
      83.8433       113867
      83.7004       118144
      83.5574       122580
      83.4144       127182
      83.2715       131956
      83.1285       136909
      82.9856       142046
      82.8426       147376
      82.6997       152904
      82.5567       158639
      82.4138       164588
      82.2708       170759
      82.1278       177160
      81.9849       183800
      81.8419       190688
       81.699       197832
       81.556       205243
      81.4131       212931
      81.2701       220905
      81.1272       229176
      80.9842       237755
      80.8412       246654
      80.6983       255885
      80.5553       265459
      80.4124       275390
      80.2694       285690
      80.1265       296374
      79.9835       307456
      79.8406       318950
      79.6976       330871
      79.5547       343236
      79.4117       356061
      79.2687       369362
      79.1258       383158
      78.9828       397467
      78.8399       412308
      78.6969       427700
       78.554       443664
       78.411       460221
      78.2681       477392
      78.1251       495201
      77.9821       513671
      77.8392       532827
      77.6962       552693
      77.5533       573297
      77.4103       594665
      77.2674       616825
      77.1244       639807
      76.9815       663640
      76.8385       688358
      76.6955       713991
      76.5526       740573
      76.4096       768141
      76.2667       796730
      76.1237       826377
      75.9808       857122
      75.8378       889004
      75.6949       922067
      75.5519       956353
      75.4089       991907
       75.266  1.02878e+06
       75.123  1.06701e+06
      74.9801  1.10666e+06
      74.8371  1.14777e+06
      74.6942   1.1904e+06
      74.5512  1.23461e+06
      74.4083  1.28045e+06
      74.2653  1.32798e+06
      74.1223  1.37727e+06
      73.9794  1.42838e+06
      73.8364  1.48137e+06
      73.6935  1.53632e+06
      73.5505   1.5933e+06
      73.4076  1.65238e+06
      73.2646  1.71364e+06
      73.1217  1.77716e+06
      72.9787  1.84302e+06
      72.8357  1.91131e+06
      72.6928  1.98211e+06
      72.5498  2.05553e+06
      72.4069  2.13165e+06
      72.2639  2.21057e+06
       72.121   2.2924e+06
       71.978  2.37724e+06
      71.8351  2.46521e+06
      71.6921  2.55641e+06
      71.5492  2.65097e+06
      71.4062  2.74901e+06
      71.2632  2.85065e+06
      71.1203  2.95603e+06
      70.9773  3.06529e+06
      70.8344  3.17856e+06
      70.6914    3.296e+06
      70.5485  3.41775e+06
      70.4055  3.54397e+06
      70.2626  3.67483e+06
      70.1196  3.81049e+06
      69.9766  3.95114e+06
      69.8337  4.09695e+06
      69.6907  4.24811e+06
      69.5478  4.40482e+06
      69.4048  4.56727e+06
      69.2619  4.73568e+06
      69.1189  4.91027e+06
       68.976  5.09126e+06
       68.833  5.27888e+06
        68.69  5.47338e+06
      68.5471  5.67501e+06
      68.4041  5.88402e+06
      68.2612  6.10068e+06
      68.1182  6.32528e+06
      67.9753   6.5581e+06
      67.8323  6.79944e+06
      67.6894  7.04961e+06
      67.5464  7.30894e+06
      67.4034  7.57774e+06
      67.2605  7.85638e+06
      67.1175  8.14521e+06
      66.9746  8.44459e+06
      66.8316  8.75492e+06
      66.6887  9.07658e+06
      66.5457  9.40999e+06
      66.4028  9.75558e+06
      66.2598  1.01138e+07
      66.1168  1.04851e+07
      65.9739  1.08699e+07
      65.8309  1.12688e+07
       65.688  1.16822e+07
       65.545  1.21107e+07
      65.4021  1.25549e+07
      65.2591  1.30152e+07
      65.1162  1.34923e+07
      64.9732  1.39868e+07
      64.8302  1.44993e+07
      64.6873  1.50305e+07
      64.5443   1.5581e+07
      64.4014  1.61516e+07
      64.2584  1.67429e+07
      64.1155  1.73558e+07
      63.9725  1.79909e+07
      63.8296  1.86492e+07
      63.6866  1.93314e+07
      63.5437  2.00384e+07
      63.4007  2.07711e+07
      63.2577  2.15305e+07
      63.1148  2.23174e+07
      62.9718  2.31329e+07
      62.8289  2.39781e+07
      62.6859  2.48539e+07
       62.543  2.57615e+07
         62.4  2.67021e+07
      62.2571  2.76768e+07
      62.1141  2.86868e+07
      61.9711  2.97335e+07
      61.8282  3.08182e+07
