Temperature = 1639.57K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      143.816    0.0844887
      143.673    0.0877039
       143.53    0.0910411
      143.387     0.094505
      143.244    0.0981003
      143.101     0.101832
      142.958     0.105705
      142.815     0.109725
      142.672     0.113898
      142.529     0.118229
      142.386     0.122724
      142.243      0.12739
        142.1     0.132233
      141.958     0.137259
      141.815     0.142475
      141.672      0.14789
      141.529     0.153509
      141.386     0.159342
      141.243     0.165395
        141.1     0.171678
      140.957     0.178199
      140.814     0.184967
      140.671     0.191991
      140.528     0.199282
      140.385     0.206848
      140.242     0.214701
      140.099     0.222851
      139.956      0.23131
      139.813     0.240089
       139.67       0.2492
      139.527     0.258656
      139.384      0.26847
      139.241     0.278655
      139.098     0.289225
      138.955     0.300196
      138.813     0.311581
       138.67     0.323397
      138.527     0.335659
      138.384     0.348386
      138.241     0.361593
      138.098       0.3753
      137.955     0.389525
      137.812     0.404288
      137.669     0.419609
      137.526     0.435508
      137.383     0.452008
       137.24     0.469132
      137.097     0.486903
      136.954     0.505344
      136.811     0.524483
      136.668     0.544344
      136.525     0.564955
      136.382     0.586344
      136.239     0.608541
      136.096     0.631576
      135.953      0.65548
       135.81     0.680286
      135.667     0.706028
      135.525     0.732742
      135.382     0.760463
      135.239     0.789231
      135.096     0.819083
      134.953     0.850061
       134.81     0.882208
      134.667     0.915566
      134.524     0.950183
      134.381     0.986104
      134.238      1.02338
      134.095      1.06206
      133.952       1.1022
      133.809      1.14385
      133.666      1.18707
      133.523      1.23192
       133.38      1.27846
      133.237      1.32675
      133.094      1.37686
      132.951      1.42885
      132.808      1.48281
      132.665      1.53879
      132.522      1.59689
       132.38      1.65717
      132.237      1.71971
      132.094      1.78462
      131.951      1.85196
      131.808      1.92184
      131.665      1.99435
      131.522      2.06958
      131.379      2.14765
      131.236      2.22865
      131.093      2.31269
       130.95       2.3999
      130.807      2.49039
      130.664      2.58427
      130.521      2.68169
      130.378      2.78276
      130.235      2.88764
      130.092      2.99645
      129.949      3.10936
      129.806       3.2265
      129.663      3.34805
       129.52      3.47416
      129.377        3.605
      129.234      3.74076
      129.092      3.88162
      128.949      4.02776
      128.806      4.17939
      128.663       4.3367
       128.52      4.49993
      128.377      4.66927
      128.234      4.84497
      128.091      5.02727
      127.948       5.2164
      127.805      5.41262
      127.662       5.6162
      127.519      5.82741
      127.376      6.04655
      127.233      6.27389
       127.09      6.50976
      126.947      6.75447
      126.804      7.00835
      126.661      7.27175
      126.518      7.54501
      126.375      7.82851
      126.232      8.12262
      126.089      8.42775
      125.947      8.74431
      125.804      9.07272
      125.661      9.41343
      125.518      9.76689
      125.375      10.1336
      125.232       10.514
      125.089      10.9087
      124.946      11.3181
      124.803      11.7428
