Temperature = 1650.82K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      144.708    0.0910898
      144.565      0.09453
      144.422    0.0980998
      144.279     0.101804
      144.136     0.105648
      143.993     0.109636
       143.85     0.113775
      143.707     0.118069
      143.564     0.122526
      143.421     0.127149
      143.278     0.131947
      143.135     0.136926
      142.993     0.142092
       142.85     0.147452
      142.707     0.153013
      142.564     0.158784
      142.421     0.164772
      142.278     0.170986
      142.135     0.177433
      141.992     0.184122
      141.849     0.191063
      141.706     0.198264
      141.563     0.205737
       141.42      0.21349
      141.277     0.221535
      141.134     0.229882
      140.991     0.238543
      140.848     0.247529
      140.705     0.256852
      140.562     0.266526
      140.419     0.276563
      140.276     0.286977
      140.133     0.297782
       139.99     0.308993
      139.847     0.320625
      139.705     0.332693
      139.562     0.345214
      139.419     0.358205
      139.276     0.371684
      139.133     0.385669
       138.99     0.400178
      138.847     0.415231
      138.704     0.430849
      138.561     0.447053
      138.418     0.463865
      138.275     0.481307
      138.132     0.499403
      137.989     0.518178
      137.846     0.537656
      137.703     0.557864
       137.56      0.57883
      137.417     0.600581
      137.274     0.623148
      137.131      0.64656
      136.988     0.670849
      136.845     0.696048
      136.702      0.72219
       136.56     0.749312
      136.417      0.77745
      136.274     0.806641
      136.131     0.836924
      135.988     0.868342
      135.845     0.900935
      135.702     0.934749
      135.559     0.969827
      135.416      1.00622
      135.273      1.04397
       135.13      1.08314
      134.987      1.12377
      134.844      1.16592
      134.701      1.20964
      134.558        1.255
      134.415      1.30206
      134.272      1.35088
      134.129      1.40152
      133.986      1.45405
      133.843      1.50855
        133.7      1.56508
      133.557      1.62373
      133.415      1.68457
      133.272      1.74768
      133.129      1.81314
      132.986      1.88106
      132.843      1.95151
        132.7      2.02458
      132.557      2.10039
      132.414      2.17903
      132.271       2.2606
      132.128      2.34522
      131.985      2.43299
      131.842      2.52404
      131.699      2.61849
      131.556      2.71646
      131.413      2.81809
       131.27       2.9235
      131.127      3.03285
      130.984      3.14628
      130.841      3.26393
      130.698      3.38597
      130.555      3.51256
      130.412      3.64387
      130.269      3.78007
      130.127      3.92135
      129.984      4.06789
      129.841      4.21989
      129.698      4.37755
      129.555      4.54108
      129.412      4.71071
      129.269      4.88665
      129.126      5.06914
      128.983      5.25843
       128.84      5.45476
      128.697       5.6584
      128.554      5.86962
      128.411       6.0887
      128.268      6.31593
      128.125      6.55161
      127.982      6.79607
      127.839      7.04961
      127.696      7.31258
      127.553      7.58534
       127.41      7.86823
      127.267      8.16164
      127.124      8.46596
      126.982      8.78159
      126.839      9.10895
      126.696      9.44847
      126.553      9.80061
       126.41      10.1658
      126.267      10.5446
      126.124      10.9375
      125.981      11.3449
      125.838      11.7675
      125.695      12.2058
      125.552      12.6603
      125.409      13.1317
      125.266      13.6206
      125.123      14.1277
       124.98      14.6536
      124.837      15.1989
      124.694      15.7645
      124.551      16.3511
      124.408      16.9595
      124.265      17.5904
      124.122      18.2447
