Temperature = 1663.76K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      99.5627      13671.5
      99.4197      14163.8
      99.2768      14673.8
      99.1338      15202.1
      98.9909      15749.3
      98.8479      16316.1
      98.7049      16903.2
       98.562      17511.4
       98.419      18141.3
      98.2761      18793.9
      98.1331      19469.7
      97.9902      20169.8
      97.8472        20895
      97.7043      21646.1
      97.5613        22424
      97.4184      23229.9
      97.2754      24064.5
      97.1324        24929
      96.9895      25824.4
      96.8465      26751.9
      96.7036      27712.5
      96.5606      28707.4
      96.4177      29737.9
      96.2747      30805.3
      96.1318      31910.8
      95.9888      33055.7
      95.8458      34241.6
      95.7029      35469.8
      95.5599      36741.9
       95.417      38059.4
       95.274      39423.9
      95.1311      40837.1
      94.9881      42300.8
      94.8452      43816.7
      94.7022      45386.6
      94.5592      47012.6
      94.4163      48696.5
      94.2733      50440.5
      94.1304      52246.6
      93.9874      54117.2
      93.8445      56054.4
      93.7015      58060.6
      93.5586      60138.3
      93.4156        62290
      93.2726      64518.3
      93.1297        66826
      92.9867      69215.8
      92.8438      71690.7
      92.7008      74253.7
      92.5579      76907.9
      92.4149      79656.5
       92.272      82502.9
       92.129      85450.5
       91.986        88503
      91.8431        91664
      91.7001      94937.3
      91.5572        98327
      91.4142       101837
      91.2713       105472
      91.1283       109236
      90.9854       113134
      90.8424       117170
      90.6994       121349
      90.5565       125677
      90.4135       130158
      90.2706       134799
      90.1276       139604
      89.9847       144579
      89.8417       149731
      89.6988       155066
      89.5558       160590
      89.4129       166310
      89.2699       172232
      89.1269       178365
       88.984       184714
       88.841       191289
      88.6981       198096
      88.5551       205145
      88.4122       212443
      88.2692       219999
      88.1263       227823
      87.9833       235924
      87.8403       244311
      87.6974       252995
      87.5544       261986
      87.4115       271296
      87.2685       280934
      87.1256       290913
      86.9826       301245
      86.8397       311942
      86.6967       323017
      86.5537       334483
      86.4108       346354
      86.2678       358644
      86.1249       371368
      85.9819       384542
       85.839       398180
       85.696       412299
      85.5531       426917
      85.4101       442051
      85.2671       457718
      85.1242       473937
      84.9812       490728
      84.8383       508112
      84.6953       526107
      84.5524       544737
      84.4094       564024
      84.2665       583989
      84.1235       604658
      83.9805       626054
      83.8376       648204
      83.6946       671133
      83.5517       694869
      83.4087       719441
      83.2658       744876
      83.1228       771206
      82.9799       798463
      82.8369       826677
      82.6939       855883
       82.551       886115
       82.408       917410
      82.2651       949804
      82.1221       983337
      81.9792  1.01805e+06
      81.8362  1.05397e+06
      81.6933  1.09116e+06
      81.5503  1.12966e+06
      81.4074   1.1695e+06
      81.2644  1.21075e+06
      81.1214  1.25344e+06
      80.9785  1.29763e+06
      80.8355  1.34336e+06
      80.6926   1.3907e+06
      80.5496   1.4397e+06
      80.4067  1.49042e+06
      80.2637  1.54291e+06
      80.1208  1.59725e+06
      79.9778  1.65348e+06
      79.8348  1.71169e+06
      79.6919  1.77193e+06
      79.5489  1.83428e+06
       79.406  1.89881e+06
       79.263   1.9656e+06
      79.1201  2.03473e+06
      78.9771  2.10628e+06
      78.8342  2.18032e+06
      78.6912  2.25696e+06
      78.5482  2.33627e+06
      78.4053  2.41836e+06
      78.2623  2.50331e+06
      78.1194  2.59124e+06
      77.9764  2.68223e+06
      77.8335   2.7764e+06
      77.6905  2.87386e+06
      77.5476  2.97472e+06
      77.4046   3.0791e+06
      77.2616  3.18713e+06
      77.1187  3.29892e+06
      76.9757  3.41461e+06
      76.8328  3.53433e+06
      76.6898  3.65823e+06
      76.5469  3.78645e+06
      76.4039  3.91913e+06
       76.261  4.05644e+06
       76.118  4.19854e+06
       75.975  4.34558e+06
      75.8321  4.49774e+06
      75.6891   4.6552e+06
      75.5462  4.81814e+06
      75.4032  4.98675e+06
      75.2603  5.16123e+06
      75.1173  5.34177e+06
      74.9744   5.5286e+06
      74.8314  5.72192e+06
      74.6885  5.92196e+06
      74.5455  6.12896e+06
      74.4025  6.34315e+06
      74.2596  6.56478e+06
      74.1166   6.7941e+06
      73.9737   7.0314e+06
      73.8307  7.27693e+06
      73.6878  7.53099e+06
      73.5448  7.79386e+06
      73.4019  8.06585e+06
      73.2589  8.34728e+06
      73.1159  8.63847e+06
       72.973  8.93976e+06
        72.83   9.2515e+06
      72.6871  9.57404e+06
      72.5441  9.90776e+06
      72.4012   1.0253e+07
      72.2582  1.06103e+07
      72.1153  1.09799e+07
      71.9723  1.13623e+07
      71.8293   1.1758e+07
      71.6864  1.21673e+07
      71.5434  1.25908e+07
      71.4005   1.3029e+07
      71.2575  1.34823e+07
      71.1146  1.39513e+07
      70.9716  1.44365e+07
      70.8287  1.49385e+07
      70.6857  1.54578e+07
      70.5427  1.59951e+07
      70.3998  1.65509e+07
      70.2568  1.71259e+07
      70.1139  1.77208e+07
      69.9709  1.83362e+07
       69.828  1.89729e+07
       69.685  1.96315e+07
      69.5421  2.03129e+07
      69.3991  2.10177e+07
      69.2561  2.17469e+07
      69.1132  2.25012e+07
      68.9702  2.32815e+07
      68.8273  2.40886e+07
      68.6843  2.49236e+07
      68.5414  2.57874e+07
      68.3984  2.66809e+07
      68.2555  2.76051e+07
      68.1125  2.85612e+07
      67.9695  2.95502e+07
      67.8266  3.05732e+07
      67.6836  3.16313e+07
      67.5407  3.27259e+07
      67.3977  3.38581e+07
      67.2548  3.50293e+07
      67.1118  3.62406e+07
      66.9689  3.74936e+07
      66.8259  3.87897e+07
       66.683  4.01302e+07
        66.54  4.15168e+07
       66.397   4.2951e+07
      66.2541  4.44344e+07
      66.1111  4.59687e+07
      65.9682  4.75556e+07
      65.8252   4.9197e+07
      65.6823  5.08946e+07
      65.5393  5.26505e+07
      65.3964  5.44665e+07
      65.2534  5.63447e+07
      65.1104  5.82873e+07
      64.9675  6.02964e+07
      64.8245  6.23743e+07
      64.6816  6.45233e+07
      64.5386  6.67459e+07
      64.3957  6.90445e+07
      64.2527  7.14218e+07
      64.1098  7.38803e+07
      63.9668  7.64229e+07
      63.8238  7.90525e+07
      63.6809  8.17719e+07
      63.5379  8.45842e+07
       63.395  8.74926e+07
       63.252  9.05003e+07
      63.1091  9.36106e+07
      62.9661  9.68272e+07
      62.8232  1.00154e+08
      62.6802  1.03593e+08
      62.5372  1.07151e+08
      62.3943  1.10829e+08
      62.2513  1.14633e+08
      62.1084  1.18566e+08
      61.9654  1.22634e+08
      61.8225   1.2684e+08
      61.6795  1.31189e+08
      61.5366  1.35687e+08
      61.3936  1.40338e+08
      61.2506  1.45146e+08
      61.1077  1.50119e+08
      60.9647  1.55261e+08
      60.8218  1.60577e+08
      60.6788  1.66075e+08
      60.5359  1.71759e+08
      60.3929  1.77636e+08
        60.25  1.83713e+08
       60.107  1.89997e+08
       59.964  1.96494e+08
      59.8211  2.03211e+08
      59.6781  2.10156e+08
      59.5352  2.17338e+08
      59.3922  2.24762e+08
      59.2493  2.32439e+08
      59.1063  2.40376e+08
      58.9634  2.48582e+08
      58.8204  2.57066e+08
      58.6775  2.65837e+08
      58.5345  2.74906e+08
      58.3915  2.84281e+08
      58.2486  2.93974e+08
      58.1056  3.03996e+08
      57.9627  3.14356e+08
      57.8197  3.25067e+08
      57.6768   3.3614e+08
      57.5338  3.47587e+08
      57.3909  3.59422e+08
      57.2479  3.71656e+08
      57.1049  3.84304e+08
       56.962  3.97379e+08
       56.819  4.10895e+08
      56.6761  4.24868e+08
      56.5331  4.39312e+08
      56.3902  4.54244e+08
      56.2472  4.69679e+08
      56.1043  4.85635e+08
      55.9613  5.02129e+08
      55.8183  5.19179e+08
      55.6754  5.36803e+08
      55.5324  5.55021e+08
      55.3895  5.73853e+08
      55.2465  5.93319e+08
      55.1036   6.1344e+08
      54.9606  6.34238e+08
      54.8177  6.55736e+08
      54.6747  6.77957e+08
      54.5317  7.00925e+08
      54.3888  7.24665e+08
      54.2458  7.49203e+08
      54.1029  7.74565e+08
      53.9599   8.0078e+08
       53.817  8.27874e+08
       53.674  8.55879e+08
      53.5311  8.84823e+08
      53.3881  9.14738e+08
      53.2451  9.45656e+08
      53.1022  9.77612e+08
