Temperature = 1663.84K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      145.743     0.117542
        145.6     0.121943
      145.457     0.126508
      145.314     0.131243
      145.171     0.136155
      145.028     0.141251
      144.885     0.146537
      144.742      0.15202
      144.599     0.157708
      144.456     0.163608
      144.313     0.169728
       144.17     0.176076
      144.028     0.182662
      143.885     0.189492
      143.742     0.196578
      143.599     0.203928
      143.456     0.211551
      143.313      0.21946
       143.17     0.227662
      143.027     0.236171
      142.884     0.244997
      142.741     0.254151
      142.598     0.263647
      142.455     0.273497
      142.312     0.283713
      142.169      0.29431
      142.026     0.305302
      141.883     0.316703
       141.74     0.328529
      141.597     0.340795
      141.454     0.353517
      141.311     0.366714
      141.168     0.380401
      141.025     0.394598
      140.882     0.409324
       140.74     0.424597
      140.597     0.440439
      140.454      0.45687
      140.311     0.473912
      140.168     0.491588
      140.025     0.509922
      139.882     0.528937
      139.739      0.54866
      139.596     0.569115
      139.453     0.590332
       139.31     0.612337
      139.167     0.635159
      139.024      0.65883
      138.881     0.683381
      138.738     0.708844
      138.595     0.735253
      138.452     0.762643
      138.309      0.79105
      138.166     0.820513
      138.023     0.851069
       137.88     0.882761
      137.737     0.915629
      137.595     0.949717
      137.452      0.98507
      137.309      1.02174
      137.166      1.05976
      137.023       1.0992
       136.88       1.1401
      136.737      1.18252
      136.594      1.22651
      136.451      1.27214
      136.308      1.31945
      136.165      1.36852
      136.022      1.41941
      135.879      1.47219
      135.736      1.52692
      135.593      1.58369
       135.45      1.64255
      135.307       1.7036
      135.164      1.76691
      135.021      1.83257
      134.878      1.90065
      134.735      1.97126
      134.592      2.04449
       134.45      2.12043
      134.307      2.19918
      134.164      2.28085
      134.021      2.36553
      133.878      2.45336
      133.735      2.54443
      133.592      2.63888
      133.449      2.73682
      133.306      2.83839
      133.163      2.94371
       133.02      3.05293
      132.877      3.16619
      132.734      3.28364
      132.591      3.40543
      132.448      3.53173
      132.305      3.66269
      132.162       3.7985
      132.019      3.93933
      131.876      4.08536
      131.733      4.23679
       131.59      4.39381
      131.447      4.55664
      131.304      4.72548
      131.162      4.90056
      131.019      5.08211
      130.876      5.27036
      130.733      5.46556
       130.59      5.66797
      130.447      5.87785
      130.304      6.09548
      130.161      6.32114
      130.018      6.55513
      129.875      6.79776
      129.732      7.04933
      129.589      7.31019
      129.446      7.58067
      129.303      7.86113
       129.16      8.15193
      129.017      8.45346
      128.874       8.7661
      128.731      9.09027
      128.588      9.42639
      128.445      9.77489
      128.302      10.1362
      128.159      10.5109
      128.017      10.8994
      127.874      11.3022
      127.731      11.7198
      127.588      12.1528
      127.445      12.6017
      127.302      13.0672
      127.159      13.5498
      127.016      14.0502
      126.873       14.569
       126.73      15.1069
      126.587      15.6646
      126.444      16.2429
      126.301      16.8424
      126.158      17.4639
      126.015      18.1083
      125.872      18.7764
      125.729      19.4691
      125.586      20.1873
      125.443      20.9318
        125.3      21.7038
      125.157      22.5041
      125.014      23.3338
      124.871       24.194
      124.729      25.0858
      124.586      26.0104
      124.443       26.969
        124.3      27.9627
      124.157       28.993
      124.014      30.0611
      123.871      31.1684
      123.728      32.3163
      123.585      33.5064
      123.442      34.7402
      123.299      36.0193
      123.156      37.3453
      123.013      38.7199
       122.87       40.145
      122.727      41.6223
      122.584      43.1539
      122.441      44.7416
      122.298      46.3875
      122.155      48.0937
      122.012      49.8625
      121.869      51.6962
      121.726       53.597
      121.584      55.5675
      121.441      57.6102
      121.298      59.7278
      121.155      61.9229
      121.012      64.1984
      120.869      66.5572
      120.726      69.0024
      120.583      71.5372
       120.44      74.1647
      120.297      76.8884
      120.154      79.7118
      120.011      82.6385
      119.868      85.6723
      119.725      88.8171
      119.582       92.077
      119.439       95.456
      119.296      98.9586
      119.153      102.589
       119.01      106.353
      118.867      110.254
      118.724      114.297
      118.581      118.489
      118.439      122.833
      118.296      127.337
      118.153      132.005
       118.01      136.843
      117.867      141.858
      117.724      147.056
      117.581      152.444
      117.438      158.029
      117.295      163.818
      117.152      169.818
      117.009      176.036
      116.866      182.482
      116.723      189.163
       116.58      196.088
      116.437      203.265
      116.294      210.704
      116.151      218.415
      116.008      226.406
      115.865      234.689
      115.722      243.274
      115.579      252.171
      115.436      261.393
      115.293      270.951
      115.151      280.857
      115.008      291.124
      114.865      301.765
      114.722      312.794
      114.579      324.224
      114.436       336.07
      114.293      348.348
       114.15      361.072
      114.007      374.259
      113.864      387.927
      113.721      402.091
      113.578      416.771
      113.435      431.985
      113.292      447.752
      113.149      464.093
      113.006      481.028
      112.863      498.578
       112.72      516.766
      112.577      535.616
      112.434       555.15
      112.291      575.394
      112.148      596.374
      112.006      618.115
      111.863      640.647
       111.72      663.996
      111.577      688.194
      111.434       713.27
      111.291      739.256
      111.148      766.185
      111.005      794.091
      110.862      823.011
      110.719      852.979
      110.576      884.034
      110.433      916.216
       110.29      949.565
      110.147      984.123
      110.004      1019.93
      109.861      1057.04
      109.718       1095.5
      109.575      1135.34
      109.432      1176.64
      109.289      1219.42
      109.146      1263.76
      109.003       1309.7
       108.86      1357.31
      108.718      1406.64
      108.575      1457.76
      108.432      1510.72
      108.289      1565.61
      108.146      1622.48
      108.003      1681.41
       107.86      1742.47
      107.717      1805.74
      107.574      1871.29
      107.431      1939.22
