Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_W2->P1,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P2->P3
1.0,200.0,-1.8518779019734037e-07,-1.6203288529883678e-07,-9.178070021415267e-07,-0.028037817704670856,-4.256242744342305e-06,0.0,-9.04091760146148e-07
1.0,210.0,2.13023685999592e-06,1.8412040049528561e-06,1.0407734608171645e-05,0.38172846296913593,4.819339875878135e-05,0.0,1.0252158511838815e-05
1.0,220.0,-8.91199740145022e-06,-7.56889692496544e-06,-4.266920008661058e-05,-2.039647189344198,-0.00019705627926419419,0.0,-4.202237625828176e-05
1.0,230.0,1.5070910936273229e-05,1.2429084339763557e-05,6.975585358422228e-05,-2.8433149663296833,0.00031997548011312505,0.0,6.863691695586688e-05
1.0,240.0,-3.7006533201682627e-06,-2.616938995517243e-06,-1.4212992469797008e-05,0.6613838437309837,-7.165477938725249e-05,0.0,-1.3801351077713839e-05
1.0,250.0,-1.2204687253319451e-05,-9.63423247923707e-06,-5.4102287046317994e-05,2.771758329629287,-0.00025525876092448294,0.0,-5.3368298488480644e-05
1.0,260.0,-2.1149737917483345e-06,-2.2465075100589356e-06,-1.3167370591552384e-05,2.2780436044256005,-6.25973559908023e-05,0.0,-1.3241019255885717e-05
1.0,270.0,1.0102070803530523e-05,6.310311826629536e-06,3.498023771834046e-05,0.7027133415964979,0.00016286807562480483,0.0,3.4407063271013616e-05
1.0,280.0,1.3830631667462646e-05,8.012461998090123e-06,4.509065620539679e-05,-0.5348832715600894,0.00021055401150739346,0.0,4.472197334704617e-05
1.0,290.0,9.310965705814476e-06,3.603587918860126e-06,2.0823074021271023e-05,-0.946816248705238,9.772183994077472e-05,0.0,2.0931465895685587e-05
1.0,300.0,1.7269357743550814e-06,-2.4963229285132154e-06,-1.3325515315475569e-05,-0.703911749184568,-6.138770872957329e-05,0.0,-1.2952650308424077e-05
1.0,310.0,-4.211935457637799e-06,-6.581368027076157e-06,-3.655237717803027e-05,-0.18837955916973884,-0.00016978896273200028,0.0,-3.628911971100988e-05
1.0,320.0,-6.375333830354358e-06,-7.2173952389191786e-06,-4.0611816981657864e-05,0.2827404249458888,-0.0001890138291079072,0.0,-4.069178986422009e-05
1.0,330.0,-4.977561208827481e-06,-4.896656315722427e-06,-2.803576868333653e-05,0.5473125995771907,-0.00013082186883658776,0.0,-2.8428406049315898e-05
1.0,340.0,-1.4872594115976035e-06,-1.0554099162419258e-06,-6.723737407549327e-06,0.5798943058968334,-3.199762873934717e-05,0.0,-7.171235759100999e-06
1.0,350.0,2.3974918194307243e-06,2.7930338333497738e-06,1.48888059400363e-05,0.4365912887805264,6.816514164407682e-05,0.0,1.4753290053574831e-05
1.0,360.0,5.373200946010302e-06,5.556789610646436e-06,3.06421238378053e-05,0.20270984552947274,0.0001409738809421817,0.0,3.116793656744621e-05
1.0,370.0,6.75774826603463e-06,6.720720457439171e-06,3.755923197505999e-05,-0.0422588132675833,0.00017257289896618325,0.0,3.898602375486306e-05
1.0,380.0,6.450185262764128e-06,6.280927725408038e-06,3.551500063644105e-05,-0.24169625356949467,0.00016240673962154142,0.0,3.792869414121263e-05
1.0,390.0,4.7619608512930555e-06,4.580018040158807e-06,2.6339559454664225e-05,-0.36576605866205747,0.00011904224916639833,0.0,2.9671608978655956e-05
1.0,400.0,2.2202575200168973e-06,2.128368103747709e-06,1.2831280692618537e-05,-0.4077556238599321,5.5565014825313226e-05,0.0,1.6887856523744135e-05
1.0,410.0,-5.998519464698477e-07,-5.426262019787199e-07,-2.0613393837021957e-06,-0.3772709579826205,-1.4239437637303074e-05,0.0,2.4450440183488333e-06
1.0,420.0,-3.191971432262038e-06,-2.978826051009773e-06,-1.5793349776370417e-05,-0.2931184932174225,-7.847242213616296e-05,0.0,-1.1145380889296952e-05
1.0,430.0,-5.182581545301204e-06,-4.85447619816847e-06,-2.651677674596576e-05,-0.1773512494463481,-0.00012849499272681386,0.0,-2.2026911975251768e-05
1.0,440.0,-6.35242946722287e-06,-5.985961396289495e-06,-3.3166031757676574e-05,-0.05101461177988693,-0.00015932946940297983,0.0,-2.909328541333812e-05
1.0,450.0,-6.628109934052864e-06,-6.32030694555128e-06,-3.5401415687809555e-05,0.06842942446673797,-0.00016939749433174828,0.0,-3.194339227942366e-05
1.0,460.0,-6.056210215857909e-06,-5.909520832106309e-06,-3.347190324603556e-05,0.16829075223701198,-0.00015987994231002076,0.0,-3.0754914975785795e-05
1.0,470.0,-4.7699249891929445e-06,-4.879432882930913e-06,-2.8045296943569336e-05,0.24082990786073272,-0.00013392322685722394,0.0,-2.6123580004310256e-05
1.0,480.0,-2.9551141621543377e-06,-3.3989730628500775e-06,-2.0039034984269075e-05,0.28278823604678305,-9.584763977053008e-05,0.0,-1.8900796408215558e-05
1.0,490.0,-8.201008566507177e-07,-1.653433524149932e-06,-1.0471736893403354e-05,0.29456703974823656,-5.045182984002688e-05,0.0,-1.0049718570806474e-05
1.0,500.0,1.428613574080957e-06,1.7659783173319132e-07,-3.452749143531437e-07,0.27927626487820173,-2.4594692542599455e-06,0.0,-5.29760635689041e-07
1.0,510.0,3.604051819981509e-06,1.9302398226618194e-06,9.440074529702879e-06,0.24180093099974562,4.3879658661076463e-05,0.0,8.787502291001532e-06
1.0,520.0,5.5501848933162855e-06,3.475674566971456e-06,1.813941343752421e-05,0.18797386838739888,8.504331446318771e-05,0.0,1.7172636979474867e-05
1.0,530.0,7.147927192140004e-06,4.714712408486213e-06,2.5190449616588035e-05,0.12389841262634874,0.0001183660964228303,0.0,2.4066966109913372e-05
1.0,540.0,8.316787859917668e-06,5.583590692264742e-06,3.02197010450359e-05,0.055433491408924875,0.00014207010909667264,0.0,2.9090675816348858e-05
1.0,550.0,9.01329702930367e-06,6.051031340930227e-06,3.3033266586114126e-05,-0.01216636031997156,0.00015522306891192693,0.0,3.2035724129345104e-05
1.0,560.0,9.227236465817647e-06,6.114481583752959e-06,3.359724189618236e-05,-0.07447478652282076,0.00015764757085358108,0.0,3.284841652028045e-05
1.0,570.0,8.97655223863585e-06,5.795312942317538e-06,3.201206660253816e-05,-0.1280050380804306,0.00014980157071959948,0.0,3.1605785406702125e-05
1.0,580.0,8.30165261194166e-06,5.133589935995135e-06,2.8484205390231333e-05,-0.17023389334444963,0.00013264603228176533,0.0,2.8489080900072653e-05
1.0,590.0,7.259622679639219e-06,4.182862978157871e-06,2.3297710196335254e-05,-0.19956141497485283,0.00010751170434941599,0.0,2.3756867771253374e-05
1.0,600.0,5.91873268814407e-06,3.005301078762664e-06,1.6787448984588963e-05,-0.21522701393921834,7.597343838686132e-05,0.0,1.7719494632271574e-05
1.0,610.0,4.353486245584358e-06,1.6673642382061784e-06,9.315148040583025e-06,-0.21719884427445804,3.973747281361894e-05,0.0,1.0716086311719528e-05
1.0,620.0,2.640349507558205e-06,2.3612365207839693e-07,1.2488855865273115e-06,-0.20605004229988322,5.44726243756053e-07,0.0,3.0947170334451663e-06
1.0,630.0,8.542217960530828e-07,-1.2237315448677602e-06,-7.053712829674513e-06,-0.1828320567782557,-3.990867525278957e-05,0.0,-4.803955739686532e-06
1.0,640.0,-9.343508079933549e-07,-2.652212122802566e-06,-1.5258607059771001e-05,-0.14895245214506486,-8.003373019319773e-05,0.0,-1.2659592401871127e-05
1.0,650.0,-2.6612579907628274e-06,-3.995715943605968e-06,-2.3065024074646048e-05,-0.106062168122984,-0.00011839474757746012,0.0,-2.018179240839055e-05
1.0,660.0,-4.270268826953577e-06,-5.208149942460268e-06,-3.0212028999962274e-05,-0.05595528700746659,-0.00015374094779364348,0.0,-2.711674116488771e-05
1.0,670.0,-5.713915911430918e-06,-6.251563143906377e-06,-3.648239010723968e-05,-0.0004828599198678887,-0.0001850253480287567,0.0,-3.32512550179905e-05
1.0,680.0,-6.953905307576387e-06,-7.096370442464669e-06,-4.1704165881801905e-05,0.05851877766394957,-0.00021141291829616934,0.0,-3.841462367640269e-05
1.0,690.0,-7.96113739694688e-06,-7.721245237213006e-06,-4.575043683952982e-05,0.11928557255190864,-0.00023227997460166145,0.0,-4.247864780429725e-05
1.0,700.0,-8.7154193482679e-06,-8.112753970562837e-06,-4.853757994897792e-05,0.18017011587749412,-0.00024720666466437294,0.0,-4.535624866675346e-05
1.0,800.0,-2.8858257489756657e-06,-5.067612806704431e-07,-1.2538520144243751e-05,0.5546945721381861,-9.022699006995998e-05,0.0,-1.2607714195816688e-05
1.0,900.0,1.2746916419427571e-05,1.3781369226067625e-05,6.413730865393046e-05,0.33651292613228917,0.00027555654220982244,0.0,6.232187406328916e-05
1.0,1000.0,1.8415674039940706e-05,1.7371907448285948e-05,8.521771570561518e-05,-0.10440446301342662,0.00039218488723780857,0.0,8.708461881700273e-05
1.0,1100.0,1.023904156378481e-05,8.172828207008126e-06,3.589618454587001e-05,-0.37787337380084424,0.00017687856186231226,0.0,4.5053798805894664e-05
1.0,1200.0,-4.612117715521592e-06,-6.298272950201079e-06,-4.497961941144397e-05,-0.3744972518125607,-0.0001976781325947775,0.0,-2.8717167724568615e-05
1.0,1300.0,-1.7215803101567724e-05,-1.7601954636343943e-05,-0.00011169121783979637,-0.17803058335993943,-0.0005196526361250671,0.0,-9.14345470250391e-05
1.0,1400.0,-2.1877306842682624e-05,-2.0715043284140135e-05,-0.00013582938579766228,0.07213083228952356,-0.0006527132211729865,0.0,-0.00011584522150338046
1.0,1500.0,-1.718359469905626e-05,-1.4748133632479877e-05,-0.0001108965108287196,0.26271003778608687,-0.0005600425065447374,0.0,-9.504596843938144e-05
1.0,1600.0,-5.1572224980798655e-06,-2.0005907200920587e-06,-4.767005389152783e-05,0.33442949169855046,-0.00028471541746544226,0.0,-3.840705974206417e-05
1.0,1700.0,1.0091574902000014e-05,1.3365117821191424e-05,3.272630975431331e-05,0.279755683541774,8.138090244237157e-05,0.0,3.481871592095004e-05
1.0,1800.0,2.3566829751930753e-05,2.6461200826988495e-05,0.00010489233412947521,0.12904071618882934,0.0004252442543870127,0.0,0.00010117348451998281
1.0,1900.0,3.0246092823553265e-05,3.246749144089678e-05,0.0001434438762028685,-0.06488929209221107,0.0006325811736166865,0.0,0.00013704666014895545
1.0,2000.0,2.5604741568719196e-05,2.710255050241163e-05,0.0001256062106957595,-0.2395189400216686,0.000599943965016587,0.0,0.00012114641421244224
1.0,2100.0,5.881193702834464e-06,6.8517606617480035e-06,3.250693240915318e-05,-0.3317472302906828,0.00024092078939249467,0.0,3.575061615721056e-05
1.0,2200.0,-3.183421977426918e-05,-3.0966855174067934e-05,-0.00015040926222412832,-0.2836231135805623,-0.0005117261165854609,0.0,-0.00013287209415092604
1.0,2300.0,-8.961879274073239e-05,-8.823458805296863e-05,-0.0004335015385023226,-0.04546722918175378,-0.0017064189867565139,0.0,-0.00039455119233268936
1.0,2400.0,-0.00016879639287781391,-0.00016611606316335089,-0.000823344573678195,0.422843198854899,-0.0033744977191705727,0.0,-0.0007555826385931035
