    E, kcal/mol    D, mol/kcal         W1->P0
             58    9.87767e+06    1.21212e+14
           58.5    1.00956e+07    1.22246e+14
             59     1.0315e+07    1.23296e+14
           59.5    1.05388e+07    1.24327e+14
             60     1.0765e+07    1.25365e+14
           60.5    1.09938e+07    1.26407e+14
             61    1.12265e+07    1.27438e+14
           61.5    1.14655e+07     1.2843e+14
             62    1.17054e+07    1.29446e+14
           62.5    1.19504e+07    1.30439e+14
             63    1.21981e+07    1.31435e+14
           63.5    1.24482e+07    1.32438e+14
             64    1.27052e+07      1.334e+14
           64.5    1.29636e+07    1.34381e+14
             65    1.32251e+07    1.35362e+14
           65.5    1.34916e+07    1.36323e+14
             66    1.37622e+07    1.37277e+14
           66.5    1.40344e+07    1.38247e+14
             67    1.43155e+07    1.39162e+14
           67.5    1.45948e+07    1.40126e+14
             68    1.48801e+07    1.41064e+14
           68.5    1.51698e+07    1.41992e+14
             69    1.54635e+07    1.42914e+14
           69.5    1.57613e+07     1.4383e+14
             70    1.60637e+07    1.44734e+14
           70.5    1.63689e+07    1.45644e+14
             71    1.66787e+07    1.46545e+14
           71.5    1.69934e+07    1.47433e+14
             72    1.73096e+07    1.48339e+14
           72.5    1.76356e+07    1.49193e+14
             73      1.796e+07     1.5009e+14
           73.5    1.82913e+07     1.5096e+14
             74    1.86265e+07    1.51829e+14
           74.5    1.89676e+07     1.5268e+14
             75    1.93101e+07    1.53549e+14
           75.5    1.96607e+07    1.54384e+14
             76    2.00126e+07    1.55237e+14
           76.5    2.03687e+07    1.56087e+14
             77     2.0732e+07    1.56912e+14
           77.5    2.10974e+07    1.57751e+14
             78    2.14704e+07    1.58562e+14
           78.5    2.18464e+07     1.5938e+14
             79    2.22279e+07    1.60188e+14
           79.5    2.26122e+07    1.61005e+14
             80    2.30043e+07    1.61794e+14
           80.5    2.33965e+07    1.62612e+14
             81    2.37972e+07    1.63399e+14
           81.5    2.42014e+07     1.6419e+14
             82    2.46106e+07    1.64975e+14
           82.5    2.50253e+07    1.65751e+14
             83     2.5444e+07    1.66529e+14
           83.5    2.58681e+07    1.67299e+14
             84    2.62973e+07    1.68065e+14
           84.5    2.67319e+07    1.68824e+14
             85    2.71709e+07    1.69582e+14
           85.5    2.76171e+07    1.70323e+14
             86    2.80648e+07    1.71082e+14
           86.5    2.85214e+07    1.71814e+14
             87     2.8981e+07    1.72555e+14
           87.5    2.94458e+07    1.73292e+14
             88    2.99163e+07    1.74022e+14
           88.5    3.03938e+07    1.74738e+14
             89    3.08736e+07    1.75467e+14
           89.5    3.13626e+07     1.7617e+14
             90    3.18546e+07    1.76883e+14
           90.5    3.23509e+07    1.77599e+14
             91    3.28557e+07    1.78294e+14
           91.5    3.33638e+07    1.78997e+14
             92    3.38781e+07    1.79693e+14
           92.5    3.43986e+07    1.80381e+14
             93    3.49242e+07    1.81069e+14
           93.5    3.54543e+07    1.81759e+14
             94    3.59947e+07    1.82421e+14
           94.5    3.65371e+07    1.83099e+14
             95    3.70874e+07    1.83762e+14
           95.5    3.76419e+07    1.84429e+14
             96    3.82011e+07    1.85099e+14
           96.5    3.87678e+07    1.85757e+14
             97    3.93407e+07     1.8641e+14
           97.5     3.9919e+07    1.87062e+14
             98    4.05052e+07    1.87702e+14
           98.5    4.10945e+07    1.88352e+14
             99    4.16899e+07    1.88998e+14
           99.5    4.22954e+07    1.89623e+14
            100    4.29034e+07     1.9026e+14
          100.5     4.3519e+07    1.90888e+14
            101    4.41417e+07    1.91508e+14
          101.5    4.47692e+07    1.92132e+14
            102    4.54031e+07    1.92752e+14
          102.5    4.60464e+07    1.93356e+14
            103    4.66913e+07    1.93976e+14
          103.5    4.73461e+07    1.94579e+14
            104    4.80056e+07    1.95186e+14
          104.5    4.86711e+07    1.95791e+14
            105    4.93465e+07     1.9638e+14
          105.5    5.00272e+07    1.96971e+14
            106    5.07119e+07    1.97569e+14
          106.5    5.14059e+07    1.98152e+14
            107    5.21063e+07    1.98735e+14
          107.5    5.28116e+07    1.99321e+14
            108    5.35282e+07    1.99887e+14
          108.5    5.42474e+07    2.00466e+14
            109    5.49744e+07    2.01038e+14
          109.5    5.57092e+07    2.01604e+14
            110    5.64506e+07    2.02168e+14
          110.5    5.71996e+07    2.02728e+14
            111    5.79571e+07    2.03278e+14
          111.5    5.87171e+07    2.03842e+14
            112    5.94867e+07    2.04395e+14
          112.5    6.02647e+07    2.04939e+14
            113    6.10473e+07     2.0549e+14
          113.5    6.18408e+07    2.06026e+14
            114    6.26389e+07    2.06568e+14
          114.5    6.34433e+07     2.0711e+14
            115    6.42569e+07    2.07643e+14
          115.5    6.50785e+07    2.08171e+14
            116    6.59053e+07    2.08704e+14
          116.5    6.67429e+07    2.09224e+14
            117    6.75857e+07    2.09748e+14
          117.5     6.8436e+07     2.1027e+14
            118    6.92962e+07    2.10782e+14
          118.5    7.01613e+07    2.11299e+14
            119     7.1035e+07    2.11811e+14
          119.5    7.19168e+07    2.12319e+14
            120    7.28052e+07    2.12828e+14
          120.5    7.37022e+07    2.13332e+14
            121    7.46094e+07    2.13826e+14
          121.5    7.55207e+07    2.14329e+14
            122    7.64425e+07    2.14823e+14
          122.5     7.7371e+07    2.15317e+14
            123    7.83067e+07     2.1581e+14
          123.5    7.92537e+07    2.16293e+14
            124     8.0207e+07    2.16778e+14
          124.5    8.11674e+07    2.17263e+14
            125    8.21379e+07     2.1774e+14
          125.5     8.3115e+07    2.18219e+14
            126    8.40994e+07    2.18699e+14
          126.5    8.50973e+07    2.19162e+14
            127    8.60986e+07    2.19636e+14
          127.5    8.71091e+07    2.20106e+14
            128    8.81299e+07    2.20568e+14
          128.5    8.91572e+07    2.21033e+14
            129    9.01936e+07    2.21495e+14
          129.5    9.12397e+07    2.21951e+14
            130    9.22924e+07    2.22409e+14
          130.5    9.33545e+07    2.22864e+14
            131    9.44266e+07    2.23313e+14
          131.5    9.55041e+07    2.23768e+14
            132     9.6595e+07     2.2421e+14
          132.5    9.76921e+07    2.24655e+14
            133     9.8799e+07    2.25096e+14
          133.5    9.99152e+07    2.25535e+14
            134    1.01039e+08    2.25974e+14
          134.5    1.02171e+08    2.26412e+14
            135    1.03315e+08    2.26844e+14
          135.5    1.04465e+08    2.27277e+14
            136    1.05626e+08    2.27707e+14
          136.5    1.06797e+08    2.28131e+14
            137    1.07972e+08    2.28563e+14
          137.5    1.09163e+08     2.2898e+14
            138     1.1036e+08    2.29403e+14
          138.5    1.11566e+08    2.29823e+14
            139    1.12783e+08    2.30239e+14
          139.5     1.1401e+08    2.30651e+14
            140    1.15244e+08    2.31067e+14
          140.5    1.16491e+08    2.31474e+14
            141    1.17745e+08    2.31883e+14
          141.5    1.19006e+08    2.32294e+14
            142    1.20282e+08    2.32695e+14
          142.5    1.21564e+08    2.33101e+14
            143    1.22858e+08      2.335e+14
          143.5    1.24161e+08    2.33898e+14
            144    1.25474e+08    2.34294e+14
          144.5    1.26795e+08    2.34693e+14
            145    1.28129e+08    2.35084e+14
          145.5     1.2947e+08    2.35478e+14
            146    1.30823e+08    2.35866e+14
          146.5    1.32186e+08    2.36254e+14
            147    1.33557e+08    2.36642e+14
          147.5     1.3494e+08    2.37026e+14
            148    1.36333e+08    2.37408e+14
          148.5    1.37737e+08    2.37788e+14
            149    1.39152e+08    2.38163e+14
          149.5    1.40576e+08     2.3854e+14
            150    1.42008e+08     2.3892e+14
          150.5    1.43454e+08     2.3929e+14
            151    1.44907e+08    2.39665e+14
          151.5    1.46373e+08    2.40034e+14
            152     1.4785e+08    2.40401e+14
          152.5    1.49335e+08     2.4077e+14
            153    1.50832e+08    2.41137e+14
          153.5    1.52342e+08    2.41496e+14
            154     1.5386e+08     2.4186e+14
          154.5     1.5539e+08    2.42218e+14
            155    1.56931e+08    2.42575e+14
          155.5    1.58481e+08    2.42934e+14
            156    1.60045e+08    2.43286e+14
          156.5    1.61618e+08     2.4364e+14
            157    1.63201e+08    2.43993e+14
          157.5    1.64797e+08    2.44343e+14
            158    1.66403e+08    2.44692e+14
          158.5    1.68019e+08    2.45041e+14
            159    1.69651e+08    2.45382e+14
          159.5     1.7129e+08    2.45727e+14
            160    1.72941e+08     2.4607e+14
          160.5    1.74604e+08     2.4641e+14
            161    1.76276e+08    2.46752e+14
          161.5    1.77961e+08     2.4709e+14
            162     1.7966e+08    2.47424e+14
          162.5    1.81367e+08     2.4776e+14
            163    1.83087e+08    2.48094e+14
          163.5    1.84819e+08    2.48425e+14
            164     1.8656e+08    2.48758e+14
          164.5    1.88318e+08    2.49084e+14
            165    1.90085e+08     2.4941e+14
          165.5    1.91862e+08    2.49738e+14
            166    1.93652e+08    2.50063e+14
          166.5    1.95455e+08    2.50386e+14
            167    1.97268e+08     2.5071e+14
          167.5    1.99096e+08    2.51027e+14
            168    2.00932e+08    2.51348e+14
          168.5    2.02782e+08    2.51667e+14
            169    2.04645e+08    2.51982e+14
          169.5    2.06519e+08    2.52298e+14
            170    2.08407e+08    2.52611e+14
          170.5    2.10307e+08    2.52922e+14
            171    2.12217e+08    2.53234e+14
          171.5    2.14142e+08    2.53543e+14
            172     2.1608e+08    2.53849e+14
          172.5    2.18026e+08    2.54159e+14
            173    2.19989e+08    2.54462e+14
          173.5    2.21962e+08    2.54768e+14
            174    2.23947e+08    2.55072e+14
          174.5    2.25947e+08    2.55373e+14
            175     2.2796e+08    2.55672e+14
          175.5    2.29983e+08    2.55973e+14
            176    2.32022e+08     2.5627e+14
          176.5    2.34071e+08    2.56567e+14
            177    2.36132e+08    2.56865e+14
          177.5    2.38211e+08    2.57156e+14
            178    2.40299e+08     2.5745e+14
          178.5    2.42402e+08    2.57742e+14
            179    2.44518e+08    2.58031e+14
          179.5    2.46645e+08    2.58323e+14
            180    2.48785e+08    2.58611e+14
          180.5    2.50943e+08    2.58896e+14
            181    2.53109e+08    2.59184e+14
          181.5    2.55291e+08    2.59468e+14
            182    2.57486e+08    2.59751e+14
          182.5    2.59694e+08    2.60034e+14
            183    2.61916e+08    2.60314e+14
          183.5     2.6415e+08    2.60596e+14
            184    2.66399e+08    2.60875e+14
          184.5    2.68662e+08    2.61152e+14
            185    2.70938e+08    2.61429e+14
          185.5    2.73227e+08    2.61706e+14
            186    2.75533e+08    2.61978e+14
          186.5    2.77849e+08    2.62252e+14
            187    2.80182e+08    2.62523e+14
          187.5    2.82529e+08    2.62793e+14
            188    2.84887e+08    2.63064e+14
          188.5     2.8726e+08    2.63333e+14
            189    2.89648e+08    2.63601e+14
          189.5    2.92049e+08    2.63869e+14
            190    2.94465e+08    2.64134e+14
          190.5    2.96896e+08    2.64398e+14
            191    2.99338e+08    2.64664e+14
          191.5    3.01799e+08    2.64924e+14
            192    3.04272e+08    2.65186e+14
          192.5    3.06759e+08    2.65447e+14
            193    3.09262e+08    2.65706e+14
          193.5    3.11778e+08    2.65965e+14
            194    3.14309e+08    2.66222e+14
          194.5    3.16856e+08    2.66478e+14
            195    3.19416e+08    2.66734e+14
          195.5     3.2199e+08    2.66989e+14
            196    3.24582e+08    2.67242e+14
          196.5    3.27183e+08    2.67497e+14
            197    3.29806e+08    2.67746e+14
          197.5    3.32441e+08    2.67996e+14
            198     3.3509e+08    2.68246e+14
          198.5    3.37755e+08    2.68495e+14
            199    3.40435e+08    2.68742e+14
          199.5    3.43128e+08    2.68991e+14
            200     3.4584e+08    2.69235e+14
          200.5    3.48565e+08     2.6948e+14
            201    3.51305e+08    2.69725e+14
          201.5    3.54062e+08    2.69967e+14
            202    3.56832e+08     2.7021e+14
          202.5    3.59621e+08    2.70449e+14
            203    3.62425e+08    2.70689e+14
          203.5    3.65243e+08    2.70928e+14
            204    3.68075e+08    2.71167e+14
          204.5    3.70926e+08    2.71404e+14
            205    3.73789e+08    2.71642e+14
          205.5    3.76671e+08    2.71877e+14
            206    3.79569e+08    2.72111e+14
          206.5    3.82479e+08    2.72346e+14
            207    3.85409e+08    2.72579e+14
          207.5    3.88353e+08    2.72811e+14
            208    3.91314e+08    2.73042e+14
          208.5    3.94291e+08    2.73272e+14
            209    3.97284e+08    2.73502e+14
          209.5    4.00291e+08    2.73731e+14
            210    4.03319e+08    2.73958e+14
          210.5    4.06359e+08    2.74186e+14
            211    4.09417e+08    2.74412e+14
          211.5    4.12492e+08    2.74637e+14
            212     4.1558e+08    2.74863e+14
          212.5    4.18686e+08    2.75087e+14
            213    4.21813e+08    2.75308e+14
          213.5    4.24952e+08    2.75531e+14
            214     4.2811e+08    2.75752e+14
          214.5    4.31284e+08    2.75972e+14
            215    4.34472e+08    2.76193e+14
          215.5     4.3768e+08    2.76412e+14
            216    4.40904e+08     2.7663e+14
          216.5    4.44145e+08    2.76847e+14
            217    4.47403e+08    2.77063e+14
          217.5    4.50679e+08    2.77279e+14
            218    4.53969e+08    2.77495e+14
          218.5    4.57282e+08    2.77707e+14
            219    4.60608e+08    2.77921e+14
          219.5    4.63951e+08    2.78133e+14
            220    4.67313e+08    2.78345e+14
          220.5     4.7069e+08    2.78557e+14
            221    4.74086e+08    2.78767e+14
          221.5      4.775e+08    2.78976e+14
            222     4.8093e+08    2.79186e+14
          222.5    4.84378e+08    2.79394e+14
            223    4.87845e+08    2.79601e+14
          223.5    4.91326e+08    2.79809e+14
            224     4.9483e+08    2.80013e+14
          224.5     4.9835e+08    2.80219e+14
            225    5.01886e+08    2.80424e+14
          225.5    5.05441e+08    2.80627e+14
            226    5.09015e+08     2.8083e+14
          226.5    5.12604e+08    2.81033e+14
            227    5.16215e+08    2.81234e+14
          227.5     5.1984e+08    2.81435e+14
            228    5.23484e+08    2.81636e+14
          228.5    5.27149e+08    2.81835e+14
            229     5.3083e+08    2.82034e+14
          229.5    5.34531e+08    2.82232e+14
            230     5.3825e+08    2.82429e+14
          230.5    5.41985e+08    2.82627e+14
            231    5.45739e+08    2.82824e+14
          231.5    5.49515e+08    2.83018e+14
            232    5.53306e+08    2.83214e+14
          232.5    5.57119e+08    2.83407e+14
            233    5.60948e+08    2.83601e+14
          233.5    5.64797e+08    2.83793e+14
            234    5.68664e+08    2.83986e+14
          234.5    5.72551e+08    2.84177e+14
            235    5.76456e+08    2.84368e+14
          235.5    5.80381e+08    2.84558e+14
            236    5.84324e+08    2.84747e+14
          236.5    5.88286e+08    2.84936e+14
            237    5.92269e+08    2.85124e+14
          237.5    5.96267e+08    2.85313e+14
            238    6.00288e+08    2.85499e+14
          238.5    6.04328e+08    2.85686e+14
            239    6.08386e+08    2.85871e+14
          239.5    6.12463e+08    2.86057e+14
            240    6.16562e+08    2.86241e+14
          240.5    6.20679e+08    2.86425e+14
            241    6.24816e+08    2.86608e+14
          241.5    6.28973e+08     2.8679e+14
            242    6.33148e+08    2.86973e+14
          242.5    6.37345e+08    2.87154e+14
