Pressure (atm),Temperature (K),colrel_FactorOne_W4->P2,colrel_FactorOne_P1->P2,colrel_FactorOne_W4->P1
0.1,250.0,0.25611218538427655,0.0029971445876759324,-0.2741740259800683
0.1,260.0,0.2109707373226408,0.0029192366370700837,-0.33327517860930506
0.1,270.0,0.17408602254409394,0.0028211194498614237,-0.3780045251542524
0.1,280.0,0.14874600651374703,0.0027186741813592643,-0.4128325214175231
0.1,290.0,0.13308913662497626,0.002617464580135526,-0.4405586379631751
0.1,300.0,0.12438354217909946,0.002519107531628435,-0.4630429360453135
0.1,310.0,0.12038195975718986,0.0024238894632251425,-0.48158153949561694
0.1,320.0,0.11956529521581014,0.002331763177301333,-0.4971093695469018
0.1,330.0,0.12102293048412402,0.002242673903496982,-0.5103165543232964
0.1,340.0,0.12425986529570453,0.0021566277948557775,-0.5217199047611356
0.1,350.0,0.12902922175743176,0.0020736761203729768,-0.531709716760893
0.1,360.0,0.1352127867898623,0.0019938828096305156,-0.5405821226360937
0.1,370.0,0.142745449978934,0.0019172980975858745,-0.5485623764036096
0.1,380.0,0.15157239581888085,0.0018439430950279027,-0.5558220750532225
0.1,390.0,0.16162819254941402,0.001773803834480345,-0.5624921074118236
0.1,400.0,0.1728293187200857,0.001706831823170377,-0.5686724784143306
0.1,410.0,0.18507421728314769,0.0016429483577925072,-0.5744397926049648
0.1,420.0,0.19824704171650526,0.001582050559646905,-0.5798529594612107
0.1,430.0,0.21222276269279264,0.0015240177922081917,-0.5849575384041327
0.1,440.0,0.22687231991096685,0.0014687176776447205,-0.589789040446525
0.1,450.0,0.24206715394746958,0.001416011317486311,-0.5943754296457295
0.1,460.0,0.257682848133027,0.0013657575732499982,-0.5987390118786384
0.1,470.0,0.2736018364656404,0.0013178164119636519,-0.6028978557293702
0.1,480.0,0.2897152520141931,0.0012720514014565446,-0.6068668571830206
0.1,490.0,0.30592404310356264,0.0012283314758777788,-0.6106585340996223
0.1,500.0,0.32213949931836106,0.0011865321007207535,-0.6142836164575423
0.1,510.0,0.33828332347589823,0.0011465359604391568,-0.6177514828548698
0.1,520.0,0.3542873699044511,0.001108233278147927,-0.6210704817680232
0.1,530.0,0.37009314992423076,0.0010715218604838539,-0.6242481668220519
0.1,540.0,0.3856511858782151,0.001036306944152916,-0.6272914682222492
0.1,550.0,0.4009202771894116,0.0010025009054152924,-0.6302068170541648
0.1,560.0,0.4158667264946501,0.0009700228803905536,-0.6330002350035484
0.1,570.0,0.43046356110135364,0.0009387983327987763,-0.6356773988853662
0.1,580.0,0.44468977469945353,0.0009087585965130626,-0.6382436869719442
0.1,590.0,0.45852960615482374,0.000879840412868863,-0.6407042122966717
0.1,600.0,0.4719718659811806,0.0008519854768361672,-0.643063846743568
0.1,610.0,0.4850093164037706,0.000825140001632934,-0.6453272387073629
0.1,620.0,0.497638107488142,0.0007992543079067447,-0.6474988263426129
0.1,630.0,0.5098572693483121,0.0007742824410405747,-0.6495828478501043
0.1,640.0,0.5216682587501368,0.0007501818182321875,-0.6515833498269433
0.1,650.0,0.5330745573071637,0.0007269129056499415,-0.653504194396557
0.1,660.0,0.5440813177825584,0.0007044389250153201,-0.6553490656081378
0.1,670.0,0.5546950546472509,0.0006827255883320854,-0.6571214754312992
0.1,680.0,0.5649233749118467,0.0006617408590821555,-0.6588247695541839
0.1,690.0,0.5747747452793908,0.0006414547379875581,-0.6604621331105422
0.1,700.0,0.5842582918055101,0.0006218390713349844,-0.6620365964036984
0.1,800.0,0.6610663960622016,0.00045739037843988876,-0.6748892141516146
0.1,900.0,0.7118571099113035,0.0003379828407638687,-0.6838537042597015
0.1,1000.0,0.7444781102155901,0.00025058843074119477,-0.6902490153919336
0.1,1100.0,0.7643189237577592,0.00018626209346484844,-0.6948663358567861
0.1,1200.0,0.7749726087688372,0.00013867198210590603,-0.6982008301847742
0.1,1300.0,0.7788769087256452,0.0001032895878846249,-0.7005787712872424
0.1,1400.0,0.7777383611274178,7.685985121361452e-05,-0.7022259959085426
0.1,1500.0,0.772790286268597,5.7032524578828535e-05,-0.7033054658566964
0.1,1600.0,0.7649486634324141,4.210197851789244e-05,-0.7039386865915463
0.1,1700.0,0.7549085657704803,3.0823270309035876e-05,-0.7042185227934428
0.1,1800.0,0.7432060261486492,2.2282118788273896e-05,-0.7042172659031617
0.1,1900.0,0.7302593304952314,1.5802850166879352e-05,-0.7039919645174699
0.1,2000.0,0.7163976363461226,1.088301398535907e-05,-0.703588100241848
0.1,2100.0,0.7018814697454401,7.146725277736649e-06,-0.7030422149442684
0.1,2200.0,0.6869178103099817,4.311181828350616e-06,-0.7023838434899184
0.1,2300.0,0.6716714380620145,2.1624863576653503e-06,-0.7016369682691678
0.1,2400.0,0.6562736162655912,5.380735517065707e-07,-0.7008211335081038
0.1,2500.0,0.6408288258600596,-6.861472312631367e-07,-0.6999523109713754
0.1,2600.0,0.6254200445265548,-1.6052611348612302e-06,-0.6990435800540451
0.1,2700.0,0.61011292017322,-2.292366760357202e-06,-0.6981056668987218
0.1,2800.0,0.594959093169056,-2.803811463536972e-06,-0.6971473749592099
0.1,2900.0,0.5799988560205598,-3.1831197115554724e-06,-0.6961759310409515
0.1,3000.0,0.5652632928023136,-3.463957640731553e-06,-0.6951972649246022
0.5,250.0,0.08351353466616271,0.012572218083994294,-0.27338512291272954
0.5,260.0,0.07128824234509765,0.012083801458799937,-0.3041893591144154
0.5,270.0,0.05936813027465562,0.011662500184159692,-0.3300662511042518
0.5,280.0,0.052423415598096545,0.011258081136356549,-0.3515341240446724
0.5,290.0,0.050037064245133094,0.010856581632411341,-0.3694876260666218
0.5,300.0,0.05073602778983195,0.010457718170946807,-0.38477099467816495
0.5,310.0,0.05328322863021474,0.010065233574727514,-0.39805679470109767
0.5,320.0,0.05693391799341567,0.009683099603687803,-0.4098408637320753
0.5,330.0,0.06135445356468421,0.00931428143581708,-0.42047405345395517
0.5,340.0,0.06647181693306743,0.008960552133236146,-0.4301994727842223
0.5,350.0,0.07234391036102088,0.008622681320752702,-0.4391844895649809
0.5,360.0,0.07907084081781612,0.008300710971161054,-0.4475450920062708
0.5,370.0,0.08674313043556195,0.007994208185475735,-0.45536326020788725
0.5,380.0,0.09541672052655917,0.007702462366636578,-0.4626988416499094
0.5,390.0,0.10510512182407608,0.007424625662710168,-0.46959742159635004
0.5,400.0,0.11578136947152859,0.007159806361358232,-0.4760954083307236
0.5,410.0,0.12738480018054316,0.006907126946623983,-0.48222324494520347
0.5,420.0,0.13982954404037878,0.006665757235390831,-0.48800739427643136
