*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          400          0.1  7.89553e+08     0.127789    0.0140833     0.324483
          400            1  7.89553e+09     0.104157   0.00977105     0.253843
          400            2  1.57911e+10    0.0976024   0.00866689     0.232598
          400            3  2.36866e+10    0.0938491   0.00805479     0.220139
          400            4  3.15821e+10    0.0912178   0.00763478       0.2113
          410          0.1   7.7426e+08     0.134144    0.0154713     0.348319
          410            1   7.7426e+09     0.109305    0.0108124     0.276008
          410            2  1.54852e+10     0.102408   0.00961453     0.254034
          410            3  2.32278e+10    0.0984562   0.00894936     0.241094
          410            4  3.09704e+10    0.0956849   0.00849244     0.231889
          420          0.1  7.59703e+08     0.139483    0.0168328     0.371668
          420            1  7.59703e+09      0.11376    0.0118514     0.298053
          420            2  1.51941e+10     0.106603    0.0105648     0.275465
          420            3  2.27911e+10     0.102499   0.00984907     0.262111
          420            4  3.03881e+10     0.099619   0.00935682     0.252588
          430          0.1  7.45829e+08     0.145904    0.0183521     0.395205
          430            1  7.45829e+09     0.119025    0.0130026     0.320522
          430            2  1.49166e+10     0.111538    0.0116161     0.297393
          430            3  2.23749e+10     0.107243    0.0108436     0.283669
          430            4  2.98332e+10     0.104228    0.0103119     0.273858
          440          0.1  7.32588e+08     0.150259    0.0198161     0.418073
          440            1  7.32588e+09     0.123073    0.0141366     0.342654
          440            2  1.46518e+10     0.115443    0.0126579     0.319093
          440            3  2.19777e+10     0.111054    0.0118327     0.305065
          440            4  2.93035e+10     0.107968     0.011264     0.295015
          450          0.1  7.19936e+08      0.15929    0.0216303     0.441401
          450            1  7.19936e+09     0.130194    0.0154962      0.36546
          450            2  1.43987e+10     0.122035    0.0138967     0.341527
          450            3  2.15981e+10     0.117344    0.0130034     0.327228
          450            4  2.87975e+10     0.114047    0.0123875     0.316963
          460          0.1  7.07833e+08     0.163955    0.0230516     0.462673
          460            1  7.07833e+09     0.134193    0.0166309     0.386703
