Pressure (atm),Temperature (K),colrel_FactorOne_W4->P2,colrel_FactorOne_P1->P2,colrel_FactorOne_W4->P1,colrel_FractionOne_W4->P2,colrel_FractionOne_P1->P2,colrel_FractionOne_W4->P1
0.1,250.0,0.2564704431569704,0.002991183586463825,-0.2747994953018863,0.009126750170115458,0.0001239742120994921,1.0231397553588673
0.1,260.0,0.21137527497109748,0.002942786666879904,-0.33090500117103727,0.007959139967180756,0.00013135780425263963,1.0211099165520467
0.1,270.0,0.17115258539980194,0.0028016056427344507,-0.379747228834379,0.00660335005020306,4.784970547443285e-05,1.019433198571016
0.1,280.0,0.14845905485397984,0.002704113831041973,-0.4143720524149541,0.00628424960136975,1.2060049912436585e-05,1.0183129875072272
0.1,290.0,0.13552026507868573,0.002621550434241391,-0.4404212295999169,0.0062930884805850636,2.2858301533592815e-06,1.0174659101677248
0.1,300.0,0.12719830872200313,0.0025326859554742013,-0.4618834806200955,0.006335457068301765,-1.7641068763764133e-06,1.0167338457840511
0.1,310.0,0.12180081126931205,0.002435545780046773,-0.4804038877902818,0.006436007774316493,-5.845976699391389e-06,1.016072248095151
0.1,320.0,0.11909690275299398,0.0023357838946515426,-0.49650143646200273,0.006683518226530537,-9.465887251062546e-06,1.0154799275236186
0.1,330.0,0.11911165335199989,0.0022389883826029544,-0.5103875556742018,0.007127136034570953,-1.1410135680345847e-05,1.0149613198457297
0.1,340.0,0.12172457618829602,0.0021482204439563887,-0.522286440637419,0.007768879663896488,-1.1422452761001562e-05,1.0145149950237562
0.1,350.0,0.12665091113815907,0.0020641944620790366,-0.5324910266108082,0.008586045133937497,-1.0086947391915762e-05,1.0141336676499844
0.1,360.0,0.13353143070654824,0.00198622514733398,-0.5413264682134346,0.009552187400774119,-8.290466839814451e-06,1.0138071828383193
0.1,370.0,0.1420148398951303,0.0019130965950922435,-0.5491028349844352,0.010648459809723312,-6.8081567560647935e-06,1.013525131675317
0.1,380.0,0.15180317016363148,0.0018436157059423908,-0.5560841406687475,0.011866625919097594,-6.115640850222803e-06,1.0132783340601936
0.1,390.0,0.16266479973861347,0.0017768722687183712,-0.5624762803271717,0.013207291650210777,-6.371763793110128e-06,1.0130593739742955
0.1,400.0,0.17442801313159417,0.0017123015266741653,-0.5684284230139557,0.01467634360090046,-7.489839330194056e-06,1.0128625678001815
0.1,410.0,0.1869663395589825,0.001649640786643766,-0.5740415988198208,0.016281404387521514,-9.235335708312085e-06,1.0126836780714106
0.1,420.0,0.20018285440169595,0.0015888447094467228,-0.5793797906860931,0.018029130462029436,-1.1314812540976623e-05,1.0125195659673152
0.1,430.0,0.2139970520448879,0.0015299971496956482,-0.5844807071632303,0.01992355302497152,-1.344155997342215e-05,1.0123678787262913
0.1,440.0,0.22833550217461634,0.0014732377157854854,-0.5893648691985738,0.02196534247768642,-1.537583724112648e-05,1.012226806410394
0.1,450.0,0.24312616944443977,0.0014187089359641318,-0.5940425835088369,0.02415175686035673,-1.694364742610128e-05,1.012094909653008
0.1,460.0,0.25829568534353353,0.001366523298415622,-0.5985188943544486,0.026477025441500036,-1.8039978898536355e-05,1.011971006043214
0.1,470.0,0.2737687106306844,0.0013167465212928517,-0.602796840459278,0.028932959519434878,-1.8622277354734806e-05,1.011854099317541
0.1,480.0,0.28946860053187534,0.0012693926464951832,-0.6068794092880669,0.03150963824884169,-1.869882045323664e-05,1.0117433370095967
0.1,490.0,0.30531874805759723,0.0012244268808906864,-0.6107705576945838,0.03419607009928811,-1.8315351858018744e-05,1.0116379854478765
0.1,500.0,0.3212441586623878,0.0011817728846597207,-0.6144756067353969,0.03698077319354629,-1.754213736343743e-05,1.0115374143662361
0.1,510.0,0.3371729665186834,0.0011413220705685765,-0.618001247929702,0.03985224880709743,-1.646266170901111e-05,1.011441086214249
0.1,520.0,0.3530377262219633,0.0011029432579277125,-0.6213553328874293,0.042799342965658925,-1.5164507944255732e-05,1.0113485473460915
0.1,530.0,0.3687764030904432,0.001066491653638305,-0.6245465639319374,0.045811503535256426,-1.3732516086894301e-05,1.0112594196787392
0.1,540.0,0.3843330450642083,0.00103181660207458,-0.627584161352201,0.048878946708377266,-1.2244053277068231e-05,1.0111733922845862
0.1,550.0,0.3996581559451308,0.0009987678731760115,-0.6304775521875465,0.05199274928366612,-1.0766092290422668e-05,1.0110902128699253
0.1,560.0,0.4147088095927102,0.0009672004718351662,-0.6332361040369698,0.055144883119175314,-9.353746623561807e-06,1.011009679319651
0.1,570.0,0.42944855300081014,0.0009369780799806023,-0.6358689132064352,0.058328206699495386,-8.049914629361088e-06,1.0109316315597725
0.1,580.0,0.44384714706352346,0.0009079753091936232,-0.6383846476677989,0.06153642663840308,-6.885719904955398e-06,1.0108559439731784
0.1,590.0,0.45788019033182187,0.0008800789678227668,-0.6407914402348703,0.06476403961744519,-5.881482799592442e-06,1.0107825185473336
0.1,600.0,0.4715286652896297,0.0008531885459870609,-0.6430968248562611,0.06800626302162761,-5.048009609178778e-06,1.0107112788634007
0.1,610.0,0.48477844004170556,0.0008272161060233764,-0.6453077080708216,0.07125896052768285,-4.388034822745447e-06,1.0106421649707882
0.1,620.0,0.49761975168243167,0.0008020857425580858,-0.6474303678275561,0.07451856719360007,-3.897695259258121e-06,1.0105751291369713
0.1,630.0,0.5100466915083441,0.0007777327499296484,-0.6494704725903336,0.07778201720170193,-3.567951213352054e-06,1.0105101324221226
0.1,640.0,0.5220567068950855,0.0007541026086731406,-0.6514331146278087,0.08104667630295752,-3.385899062397859e-06,1.0104471420011147
0.1,650.0,0.5336501301716381,0.0007311498787146416,-0.653322852449817,0.08431028016309912,-3.3359427152584778e-06,1.0103861291403733
0.1,660.0,0.5448297411738816,0.0007088370657423589,-0.6551437583718313,0.08757087918160941,-3.40080834324339e-06,1.0103270677312117
0.1,670.0,0.5556003672790889,0.0006871335094747904,-0.6568994681135405,0.09082678990297167,-3.5623992199369804e-06,1.010269933282269
0.1,680.0,0.5659685225160244,0.0006660143276371796,-0.6585932301350939,0.0940765528290724,-3.8024960537964265e-06,1.010214702279393
0.1,690.0,0.5759420857074903,0.0006454594379346236,-0.6602279530797799,0.09731889624024295,-4.1033136746177754e-06,1.0101613518303425
0.1,700.0,0.5855300164314787,0.0006254526709164819,-0.6618062502300707,0.10055270551346521,-4.447928253067155e-06,1.0101098595216775
0.1,800.0,0.6625367301184973,0.00045346836297178046,-0.6749192854584639,0.1322481559035526,-7.579180208187209e-06,1.009692744241254
0.1,900.0,0.7126623346886615,0.0003278083597728788,-0.6841679176429333,0.16243407173196028,-6.71274308516718e-06,1.0094446822169405
0.1,1000.0,0.7444895865818258,0.0002398892458010458,-0.6906285183513563,0.190862090148063,-3.032541237573131e-06,1.0093632183763188
0.1,1100.0,0.7637117234516988,0.00017940175548909637,-0.695129492262045,0.21748786690314675,6.214742654204222e-07,1.0094492451139887
0.1,1200.0,0.7739911051985086,0.00013724471287279873,-0.6982766641513183,0.24239296822244355,2.759047129365774e-06,1.0096961271650418
0.1,1300.0,0.7777494561015377,0.00010676610172284194,-0.7004820697845018,0.26571803294364893,3.2185039941574546e-06,1.010086838502022
0.1,1400.0,0.7766523301079015,8.36194379756654e-05,-0.7020142493645307,0.2876175985469591,2.4865755505973396e-06,1.0105966966253297
0.1,1500.0,0.7718867176996947,6.516914354844705e-05,-0.703046143328802,0.30823683747071173,1.1878270508702702e-06,1.0111976025009488
0.1,1600.0,0.7643230118529002,4.990593800967195e-05,-0.7036907466203682,0.32770282306125187,-1.6283586274900028e-07,1.0118616090433912
0.1,1700.0,0.7546137923504022,3.7007278092576175e-05,-0.7040246060490011,0.3461234126923603,-1.2340491343236188e-06,1.0125632201306496
0.1,1800.0,0.7432569855114168,2.6044400848283162e-05,-0.7041022892994282,0.3635893569956572,-1.8670956829330249e-06,1.013280549873572
0.1,1900.0,0.7306379332856158,1.680059937601142e-05,-0.7039649433531663,0.3801773318647212,-2.034719801683062e-06,1.013995676159375
0.1,2000.0,0.717058350758199,9.164374389664076e-06,-0.7036452395551142,0.39595286167752053,-1.7964848382335083e-06,1.0146945044377966
0.1,2100.0,0.7027567840702335,3.0697194997467588e-06,-0.7031702011205301,0.4109727666797774,-1.2613169395225685e-06,1.015366375859685
0.1,2200.0,0.687923370891558,-1.5352633638918142e-06,-0.7025628249208837,0.4252870748242677,-5.59846520934511e-07,1.0160035723668979
0.1,2300.0,0.6727106797106989,-4.703379069818265e-06,-0.7018430311689982,0.43894046000456516,1.7424174069756577e-07,1.0166008089807408
0.1,2400.0,0.657241792660223,-6.494287173181174e-06,-0.7010282444139834,0.4519733025612297,8.157317075381036e-07,1.017154761343489
0.1,2500.0,0.641616416112442,-6.975700846622401e-06,-0.7001337743723731,0.4644224648989583,1.254222707353641e-06,1.0176636501984364
0.1,2600.0,0.6259155583387784,-6.222314075243922e-06,-0.6991730881860894,0.4763218593378207,1.3969458193102243e-06,1.0181268890968784
0.1,2700.0,0.6102051515890135,-4.313828871030971e-06,-0.698158022764266,0.48770286761263343,1.169305391144188e-06,1.0185447932964877
0.1,2800.0,0.5945388866134729,-1.3328056911179754e-06,-0.6970989624071562,0.4985946558212321,5.14047929726754e-07,1.0189183438108178
0.1,2900.0,0.5789604525642966,2.637311408833263e-06,-0.6960049943900682,0.5090244162102656,-6.10322496355793e-07,1.0192489990747127
