========================================
hono_W1_Energy_1_0.0.out
0.1 atm
T,R1->P1
1000.0,1.73408e-10
1100.0,1.78575e-10
1200.0,1.83491e-10
1300.0,1.88086e-10
1400.0,1.92403e-10
1500.0,1.96539e-10
1600.0,2.00443e-10
1700.0,2.0416e-10
1800.0,2.07721e-10
1900.0,2.11099e-10
2000.0,2.14335e-10
2100.0,2.1744e-10
2200.0,2.20411e-10
2300.0,2.23266e-10
2400.0,2.26009e-10
2500.0,2.28647e-10
2600.0,2.31176e-10
2700.0,2.33617e-10
2800.0,2.35977e-10
2900.0,2.38244e-10
3000.0,2.40433e-10
========================================
hono_W1_Energy_1_0.0.out
100.0 atm
T,R1->P1
200.0,1.01304e-10
210.0,1.03308e-10
220.0,1.05232e-10
230.0,1.07088e-10
240.0,1.08859e-10
250.0,1.10554e-10
260.0,1.12198e-10
270.0,1.1379e-10
280.0,1.15311e-10
290.0,1.16782e-10
300.0,1.18211e-10
310.0,1.19588e-10
320.0,1.20922e-10
330.0,1.2221e-10
340.0,1.23461e-10
350.0,1.24681e-10
360.0,1.25871e-10
370.0,1.27031e-10
380.0,1.28156e-10
390.0,1.29256e-10
400.0,1.30327e-10
410.0,1.31382e-10
420.0,1.32402e-10
430.0,1.33407e-10
440.0,1.34393e-10
450.0,1.35365e-10
460.0,1.36313e-10
470.0,1.37207e-10
480.0,1.38135e-10
490.0,1.3902e-10
500.0,1.39911e-10
510.0,1.40786e-10
520.0,1.41655e-10
530.0,1.42485e-10
540.0,1.43318e-10
550.0,1.44137e-10
560.0,1.4494e-10
570.0,1.45745e-10
580.0,1.46514e-10
590.0,1.47315e-10
600.0,1.48052e-10
610.0,1.48841e-10
620.0,1.49562e-10
630.0,1.5032e-10
640.0,1.51038e-10
650.0,1.51773e-10
660.0,1.52472e-10
670.0,1.53206e-10
680.0,1.53869e-10
690.0,1.54613e-10
700.0,1.55247e-10
800.0,1.61819e-10
900.0,1.67792e-10
1000.0,1.73381e-10
1100.0,1.78554e-10
