Pressure (atm),Temperature (K),B7_Energy_1_P3->P4,B7_Energy_1_P3->P5,B7_Energy_1_P3->W3,B7_Energy_1_P4->P5,B7_Energy_1_P1->P3,B7_Energy_1_W3->P5,B7_Energy_1_W3->P4,B7_Energy_1_W3->P1,B7_Energy_1_W3->P3,B7_Energy_1_P5->W3,B7_Energy_1_P1->W3,B7_Energy_1_P4->W3,B7_Energy_1_P1->P4,B7_Energy_1_P1->P5
0.1,200.0,-2.71329008311038e-05,1.7609291951131058e-07,7.628353878813411e-07,2.9413341513849624e-07,-4.332050589197068e-08,-0.0007781354144077984,1.6439759640968528e-06,2.3133541060354928e-07,7.266211306440764e-07,-0.0007839747884971571,2.0777447277256415e-07,1.6137564314110085e-06,-1.3135923843208352e-07,-2.0081267141542743e-07
0.1,210.0,0.0003094682213645558,-2.0359998927137007e-06,-8.557774812265028e-06,-3.334293013397832e-06,5.064439899181144e-07,-0.007942226987444624,-1.8374252559052164e-05,-2.5681081148698563e-06,-8.163570840717775e-06,-0.007934340087429968,-2.3293632246056833e-06,-1.8053548718184e-05,-5.699486869384135e-06,2.2597174254586863e-06
0.1,220.0,-0.0012773309268958644,8.618865319568798e-06,3.463044705073559e-05,1.364677065258235e-05,-2.1781419929265272e-06,0.03097164919133545,7.390600737410706e-05,1.023441595485927e-05,3.3131647114488105e-05,0.030969197286214816,9.407056481446473e-06,7.27207413460433e-05,6.288234720875397e-05,-9.171569658281793e-06
0.1,230.0,0.002107102170737712,-1.5154200780571125e-05,-5.5530970699573454e-05,-2.2196575239690228e-05,3.904919070393464e-06,-0.05818010811054667,-0.00011702298282822026,-1.59541568282267e-05,-5.3498785335559064e-05,-0.05817713017678558,-1.4992377829604939e-05,-0.00011547118011452904,-0.00021264472460198543,1.4722712643534623e-05
0.1,240.0,-0.00044728640770605,1.4059552548579223e-06,9.929513734601977e-06,4.2812956778930746e-06,-1.444511431630034e-06,0.018799156053110472,1.8169847261026988e-05,2.136466959594787e-06,1.033653933357994e-05,0.018806380417775038,2.4592707734155854e-06,1.8492256341322364e-05,0.00021579077062601988,-2.4616337015269663e-06
0.1,250.0,-0.0016493190680020393,8.907280564460532e-06,4.2956977763016724e-05,1.723502939617926e-05,-2.8720163957034474e-06,0.05079738852842234,9.103014640330285e-05,1.232801557498445e-05,4.117105934664483e-05,0.0507969581146674,1.168901218397146e-05,8.976761035220004e-05,0.00014763710101646415,-1.1672495818071595e-05
0.1,260.0,-0.00038144473684209666,7.959090718077533e-07,1.1838187532523225e-05,4.566594867346476e-06,1.4328774076134145e-07,0.00501063925922658,2.870868684499456e-05,4.280532681526842e-06,1.0294098451401496e-05,0.004999397662561741,3.531694509136381e-06,2.759665126807564e-05,-0.00016682862032576612,-4.315631425606262e-06
0.1,270.0,0.0010963857499781294,-7.871278963123204e-06,-2.6528606459516802e-05,-1.0766617365115828e-05,2.47836320792404e-06,-0.04534075321637177,-5.3367622101577825e-05,-6.78411996345435e-06,-2.620058419008777e-05,-0.04535665957614987,-7.010948201160907e-06,-5.3230440311203985e-05,-0.00025874825608432166,5.3375610831699715e-06
0.1,280.0,0.001390244300508941,-8.725956996337914e-06,-3.567649910052589e-05,-1.4396780904179874e-05,2.0636035975573437e-06,-0.05135916498583423,-7.688040685111151e-05,-1.0285425082502413e-05,-3.371449194598158e-05,-0.0513714582081775,-9.885713544870376e-06,-7.56513119976355e-05,-8.021900317712261e-05,8.000798713698985e-06
0.1,290.0,0.000617943358305409,-3.3054695945921052e-06,-1.7438382402620902e-05,-7.2337897667037984e-06,9.812614430739981e-09,-0.015308644393568029,-4.1925278084207526e-05,-6.0232875449120005e-06,-1.5181486038674129e-05,-0.015312143005847961,-5.224489923595561e-06,-4.044388417004945e-05,0.0001635293605482768,3.8521590770767546e-06
