Pressure (atm),Temperature (K),B1_Frequencies_1_P1->P2,B1_Energy_1_P1->P2,W1_Frequencies_1_P1->P2,P2_Frequencies_1_P1->P2,colrel_Epsilons_P1->P2,B2_Energy_1_P1->P2,B2_SymmetryFactor_1_P1->P2,colrel_PowerOne_P1->P2,colrel_FactorOne_P1->P2,B2_ImaginaryFrequency_1_P1->P2,W1_Energy_1_P1->P2,P2_Energy_1_P1->P2,B2_Frequencies_1_P1->P2,P1_SymmetryFactor_1_P1->P2,P1_Frequencies_1_P1->P2,W1_SymmetryFactor_1_P1->P2,P1_Energy_1_P1->P2,P2_SymmetryFactor_1_P1->P2,B1_SymmetryFactor_1_P1->P2,colrel_Sigmas_P1->P2
0.1,200.0,3.424743824349244e-05,-0.0003783789079067219,0.0,0.0,0.0,-2.5160998926307014,-1.0000037416026664,0.0,0.0,5.592454193713986,0.0,0.0,-0.39954467027140167,1.0000079985581862,0.001509987505004993,0.0,2.516112227587282,0.0,3.0801627750307116e-06,0.0
0.1,210.0,-6.881145541152567e-05,-0.00027926376677467227,0.0,0.0,0.0,-2.3962906622760674,-0.9999915894150732,0.0,0.0,5.366833043320804,0.0,0.0,-0.43712358537119583,1.0000017265990095,0.0040373824044156025,0.0,2.396282764262617,0.0,-6.019062224572632e-06,0.0
0.1,220.0,-2.2935158829169113e-05,-0.0002243182550041881,0.0,0.0,0.0,-2.2873730818819897,-1.0000024645710983,0.0,0.0,5.142759718115173,0.0,0.0,-0.4748313701785047,1.000000177064043,0.004180809861271549,0.0,2.287361682575972,0.0,-1.8711530301497049e-06,0.0
0.1,230.0,2.5581341163268444e-05,-0.00018537947194133158,0.0,0.0,0.0,-2.187924293775049,-1.0000108649451536,0.0,0.0,4.922341825061285,0.0,0.0,-0.5123572570880864,1.0000006262506176,0.005038096959568068,0.0,2.187914894253343,0.0,1.97325991005001e-06,0.0
0.1,240.0,4.495986145742329e-05,-0.00015274704679648415,0.0,0.0,0.0,-2.0967607756803517,-1.000012304119371,0.0,0.0,4.706747376116388,0.0,0.0,-0.5495521709566169,1.0000016524687925,0.0070113119198820595,0.0,2.0967543040435497,0.0,2.956880118737873e-06,0.0
0.1,250.0,3.958313860342746e-05,-0.00012371951897211005,0.0,0.0,0.0,-2.0128889593215153,-1.0000085851445633,0.0,0.0,4.496868030775077,0.0,0.0,-0.586385353778053,1.0000025966709543,0.00984280145558941,0.0,2.012884747251628,0.0,1.7734615404505204e-06,0.0
0.1,260.0,2.117119288819932e-05,-9.792500567061066e-05,0.0,0.0,0.0,-1.9354681487558465,-1.0000024945426607,0.0,0.0,4.293470521756081,0.0,0.0,-0.6228916212462153,1.000003216951552,0.01325450263410787,0.0,1.9354651933606088,0.0,-3.675997555560455e-07,0.0
0.1,270.0,-4.3010978147272584e-07,-7.553162653718324e-05,0.0,0.0,0.0,-1.8637820457738716,-0.9999961905254932,0.0,0.0,4.09719992332147,0.0,0.0,-0.6591338134019085,1.0000034817912522,0.017092143513963938,0.0,1.8637794865717268,0.0,-2.549001456181934e-06,0.0
0.1,280.0,-1.9134850796614187e-05,-5.664717448751553e-05,0.0,0.0,0.0,-1.7972165166656149,-0.999990945638459,0.0,0.0,3.9085584149809494,0.0,0.0,-0.6951808300280234,1.0000034528004689,0.021314890782730384,0.0,1.7972137669592803,0.0,-4.263863338371407e-06,0.0
0.1,290.0,-3.2103044843060906e-05,-4.118342409638543e-05,0.0,0.0,0.0,-1.7352420048965955,-0.9999873137782898,0.0,0.0,3.727894389827462,0.0,0.0,-0.7310965592243363,1.0000032218738408,0.02595187733377603,0.0,1.7352387427025866,0.0,-5.3269840647093086e-06,0.0
0.1,300.0,-3.869963927067655e-05,-2.888136538813433e-05,0.0,0.0,0.0,-1.6773994704322943,-0.9999853736811982,0.0,0.0,3.5554063743991473,0.0,0.0,-0.7669353227540611,1.0000028800103085,0.031063633113336195,0.0,1.6773955822486941,0.0,-5.754360263436681e-06,0.0
0.1,310.0,-3.955980233759024e-05,-1.9376028911495054e-05,0.0,0.0,0.0,-1.6232890468386763,-0.9999849355565703,0.0,0.0,3.3911576676741166,0.0,0.0,-0.8027408191695328,1.0000025038148468,0.036716450953247395,0.0,1.623284564391159,0.0,-5.66522223322953e-06,0.0
0.1,320.0,-3.591367989826467e-05,-1.2257135075931129e-05,0.0,0.0,0.0,-1.5725608183263824,-0.9999856871354276,0.0,0.0,3.2350966009521436,0.0,0.0,-0.838546737166112,1.0000021513955542,0.04296823032067983,0.0,1.5725558636427313,0.0,-5.216006304890434e-06,0.0
0.1,330.0,-2.9155869657538014e-05,-7.113487826745841e-06,0.0,0.0,0.0,-1.5249072671762318,-0.9999872857946388,0.0,0.0,3.0870784809824556,0.0,0.0,-0.8743780257958881,1.0000018629002563,0.04986230058421557,0.0,1.5249020102005182,0.0,-4.561300384576422e-06,0.0
0.1,340.0,-2.0600065768079797e-05,-3.5609368897163997e-06,0.0,0.0,0.0,-1.480057048811143,-0.999989410734586,0.0,0.0,2.946886713513865,0.0,0.0,-0.9102523049140376,1.0000016630551507,0.05742607724831268,0.0,1.4800516771273717,0.0,-3.833909448584809e-06,0.0
0.1,350.0,-1.1359046291362258e-05,-1.2573853789055908e-06,0.0,0.0,0.0,-1.437769830264627,-0.9999917883683346,0.0,0.0,2.8142517551188373,0.0,0.0,-0.9461811805299937,1.0000015643066784,0.06567229290890499,0.0,1.4377645288741625,0.0,-3.1371269849804686e-06,0.0
0.1,360.0,-2.3028587589258533e-06,9.124440012418602e-08,0.0,0.0,0.0,-1.397831986354047,-0.9999942010591969,0.0,0.0,2.688867325545352,0.0,0.0,-0.9821713788084917,1.0000015698740383,0.07460136144398903,0.0,1.397826925157829,0.0,-2.544118435946755e-06,0.0
0.1,370.0,5.938057214510657e-06,7.308146719742499e-07,0.0,0.0,0.0,-1.3600529921076205,-0.9999964862886205,0.0,0.0,2.5704037940825573,0.0,0.0,-1.0182256854978222,1.000001676410607,0.08420403540512608,0.0,1.3600483189821801,0.0,-2.101005076852851e-06,0.0
0.1,380.0,1.2946676630534411e-05,8.621289129628335e-07,0.0,0.0,0.0,-1.3242623837701086,-0.99999853089218,0.0,0.0,2.4585189196724406,0.0,0.0,-1.0543437092007977,1.0000018761802856,0.09446391410806533,0.0,1.3242582215272003,0.0,-1.831518609266864e-06,0.0
0.1,390.0,1.848368259550596e-05,6.457871021085743e-07,0.0,0.0,0.0,-1.2903071867323992,-1.0000002632386908,0.0,0.0,2.3528662511162053,0.0,0.0,-1.09052249731113,1.0000021587583592,0.1053596037960516,0.0,1.290303632656624,0.0,-1.741985162453018e-06,0.0
0.1,400.0,2.2450145214380966e-05,2.076730590608659e-07,0.0,0.0,0.0,-1.2580497289361203,-1.0000016450325564,0.0,0.0,2.253101535681515,0.0,0.0,-1.126757033812385,1.0000025123123533,0.11686647091084464,0.0,1.258046855943429,0.0,-1.8259760939753777e-06,0.0
0.1,410.0,2.485281670739997e-05,-3.5557234437458553e-07,0.0,0.0,0.0,-1.2273657741086192,-1.0000026636458148,0.0,0.0,2.158887478637742,0.0,0.0,-1.1630406444104353,1.0000029245334747,0.12895800304837074,0.0,1.2273636328465345,0.0,-2.06832101777146e-06,0.0
0.1,420.0,2.5773999050723224e-05,-9.714532404493056e-07,0.0,0.0,0.0,-1.1981429216270505,-1.0000033254057983,0.0,0.0,2.0698971661683143,0.0,0.0,-1.1993653296050706,1.0000033832888104,0.14160682597886107,0.0,1.1981415430489017,0.0,-2.448388469720544e-06,0.0
0.1,430.0,2.5346596318421228e-05,-1.5870720380742124e-06,0.0,0.0,0.0,-1.1702792296679565,-1.00000364997908,0.0,0.0,1.9858164238972527,0.0,0.0,-1.2357220416522063,1.0000038770570459,0.15478543632231623,0.0,1.170278627769345,0.0,-2.9426545607041145e-06,0.0
0.1,440.0,2.3734218622231785e-05,-2.165194707127796e-06,0.0,0.0,0.0,-1.1436820261531706,-1.0000036658329183,0.0,0.0,1.9063453410323414,0.0,0.0,-1.2721009174392355,1.0000043952006064,0.1684667087245488,0.0,1.1436822006709448,0.0,-3.526636262636933e-06,0.0
0.1,450.0,2.111583168152211e-05,-2.680920999754444e-06,0.0,0.0,0.0,-1.1182668782954257,-1.0000034066743546,0.0,0.0,1.8311991501838878,0.0,0.0,-1.3084914761995152,1.0000049281171113,0.18262422999986827,0.0,1.1182678172482476,0.0,-4.1762875913197775e-06,0.0
0.1,460.0,1.767429616426856e-05,-3.1189155674407957e-06,0.0,0.0,0.0,-1.093956696614455,-1.0000029087332802,0.0,0.0,1.7601086172832825,0.0,0.0,-1.3448827886559505,1.0000054673039953,0.19723250428162545,0.0,1.093958378618279,0.0,-4.868959156475058e-06,0.0
0.1,470.0,1.3588118141195826e-05,-3.471138519707397e-06,0.0,0.0,0.0,-1.0706809533954467,-1.000002208749031,0.0,0.0,1.6928200653852183,0.0,0.0,-1.3812636224741166,1.0000060053624171,0.21226706466503373,0.0,1.0706833497236388,0.0,-5.5840137670117304e-06,0.0
0.1,480.0,9.025776432953354e-06,-3.7350084692260887e-06,0.0,0.0,0.0,-1.048374998896376,-1.00000134252789,0.0,0.0,1.6290951304466148,0.0,0.0,-1.4176225676814531,1.000006535960258,0.22770451906171552,0.0,1.0483780752779381,0.0,-6.303178628098878e-06,0.0
0.1,490.0,4.1420680540035635e-06,-3.911932500888025e-06,0.0,0.0,0.0,-1.0269794613345504,-1.0000003439535923,0.0,0.0,1.5687103260230935,0.0,0.0,-1.4539481448461953,1.0000070537689576,0.24352255137372145,0.0,1.0269831794987565,0.0,-7.010701353137559e-06,0.0
0.1,500.0,-9.24001756498965e-07,-4.006142573996429e-06,0.0,0.0,0.0,-1.006439718917266,-0.999999244350052,0.0,0.0,1.5114564766464897,0.0,0.0,-1.4902288982071528,1.0000075543849816,0.2596998936950506,0.0,1.0064440379017103,0.0,-7.693364253220797e-06,0.0
0.1,510.0,-6.050174917890393e-06,-4.023784614784972e-06,0.0,0.0,0.0,-0.9867054340222586,-0.9999980721125564,0.0,0.0,1.457138065848244,0.0,0.0,-1.526453475525773,1.0000080342436661,0.27621628097022194,0.0,0.986710311265875,0.0,-8.340399977041815e-06,0.0
0.1,520.0,-1.1131055416429677e-05,-3.972213777374213e-06,0.0,0.0,0.0,-0.9677301411561705,-0.99999685253932,0.0,0.0,1.4055725338074743,0.0,0.0,-1.5626106961380182,1.0000084905308864,0.2930523962292639,0.0,0.9677355334005916,0.0,-8.943341852853783e-06,0.0
0.1,530.0,-1.607763197981242e-05,-3.859456358214222e-06,0.0,0.0,0.0,-0.9494708815834234,-0.9999956078089878,0.0,0.0,1.356589550922834,0.0,0.0,-1.5986896084743267,1.0000089210962437,0.31018981200883783,0.0,0.9494767456060987,0.0,-9.495834241527958e-06,0.0
0.1,540.0,-2.0816401353453942e-05,-3.693805282114558e-06,0.0,0.0,0.0,-0.9318878785714363,-0.999994357061308,0.0,0.0,1.3100302867970541,0.0,0.0,-1.6346795381627908,1.0000093243702057,0.32761093170153843,0.0,0.9318941717728801,0.0,-9.993421711148694e-06,0.0
0.1,550.0,-2.528823948113871e-05,-3.4835217787842684e-06,0.0,0.0,0.0,-0.9149442480792392,-0.9999931165478074,0.0,0.0,1.2657466888148672,0.0,0.0,-1.6705701277138563,1.0000096992866752,0.34529893321075844,0.0,0.9149509289451621,0.0,-1.0433330691940799e-05,0.0
0.1,560.0,-2.944713115087283e-05,-3.2366207989508804e-06,0.0,0.0,0.0,-0.8986057404560753,-0.9999918998271662,0.0,0.0,1.223600780384835,0.0,0.0,-1.7063513686915257,1.0000100452118055,0.3632377163105685,0.0,0.8986127689131839,0.0,-1.0814253253536455e-05,0.0
0.1,570.0,-3.325883946886449e-05,-2.9607219077889674e-06,0.0,0.0,0.0,-0.8828405093392537,-0.9999907179862476,0.0,0.0,1.1834639857551588,0.0,0.0,-1.742013627197545,1.0000103618794012,0.38141185442475156,0.0,0.8828478470214735,0.0,-1.1136139562326985e-05,0.0
0.1,580.0,-3.66995736338646e-05,-2.6629509045621685e-06,0.0,0.0,0.0,-0.8676189044665611,-0.9999895798727364,0.0,0.0,1.1452164859021827,0.0,0.0,-1.777547663426128,1.0000106493329086,0.39980655107172786,0.0,0.8676265149064158,0.0,-1.140000324410716e-05,0.0
0.1,590.0,-3.9754695765227576e-05,-2.3498803298104837e-06,0.0,0.0,0.0,-0.8529132855642486,-0.9999884923292252,0.0,0.0,1.1087466081667832,0.0,0.0,-1.812944645984169,1.000010907873795,0.4184076009147328,0.0,0.8529211343222266,0.0,-1.1607742141312508e-05,0.0
0.1,600.0,-4.2417493995487925e-05,-2.0274994167260835e-06,0.0,0.0,0.0,-0.8386978548504525,-0.9999874604216099,0.0,0.0,1.0739502509496772,0.0,0.0,-1.8481961616137441,1.0000111380159629,0.43720135516476794,0.0,0.8387059095934316,0.0,-1.1761975685490081e-05,0.0
0.1,610.0,-4.4688038825552294e-05,-1.7012059994737688e-06,0.0,0.0,0.0,-0.8249485060167702,-0.9999864876569675,0.0,0.0,1.0407303437697164,0.0,0.0,-1.8832942208989478,1.0000113404457753,0.4561746909740396,0.0,0.8249567365549985,0.0,-1.1865899198507302e-05,0.0
0.1,620.0,-4.6572132153728e-05,-1.3758144789899338e-06,0.0,0.0,0.0,-0.8116426878267383,-0.9999855761878282,0.0,0.0,1.008996342258849,0.0,0.0,-1.9182312604873755,1.0000115159872254,0.475314984404735,0.0,0.8116510661174247,0.0,-1.1923154805350284e-05,0.0
0.1,630.0,-4.808035285270268e-05,-1.0555752286887496e-06,0.0,0.0,0.0,-0.7987592807064081,-0.9999847270010724,0.0,0.0,0.9786637571499158,0.0,0.0,-1.9530001423075254,1.0000116655717672,0.4946100865436637,0.0,0.7987677808307769,0.0,-1.1937718219668657e-05,0.0
0.1,640.0,-4.922719881615669e-05,-7.44201852371254e-07,0.0,0.0,0.0,-0.7862784849055166,-0.9999839400906319,0.0,0.0,0.9496537159590166,0.0,0.0,-1.9875941502171495,1.000011790212339,0.5140483023439992,0.0,0.7862870830250585,0.0,-1.1913800397465919e-05,0.0
0.1,650.0,-5.0030322657327973e-05,-4.4490353017967137e-07,0.0,0.0,0.0,-0.7741817189827768,-0.9999832146138672,0.0,0.0,0.9218925558336134,0.0,0.0,-2.0220069844740856,1.0000118909811218,0.5336183718015614,0.0,0.7741903932795088,0.0,-1.1855762903275244e-05,0.0
0.1,660.0,-5.0509856421493876e-05,-1.604203439954469e-07,0.0,0.0,0.0,-0.7624515275199952,-0.9999825490319814,0.0,0.0,0.8953114459004731,0.0,0.0,-2.056232754380408,1.000011968990616,0.553309453107882,0.0,0.762460258124732,0.0,-1.1768045765032671e-05,0.0
0.1,670.0,-5.068781954211377e-05,1.069400069055395e-07,0.0,0.0,0.0,-0.7510714971005835,-0.9999819412351543,0.0,0.0,0.8698460373801677,0.0,0.0,-2.0902659694129246,1.0000120253776383,0.5731111074610998,0.0,0.7510802660125256,0.0,-1.1655106584404403e-05,0.0
0.1,680.0,-5.0587603646503106e-05,3.5526527958991525e-07,0.0,0.0,0.0,-0.7400261797015438,-0.9999813886532973,0.0,0.0,0.8454361397188733,0.0,0.0,-2.124101529118027,1.0000120612898815,0.5930132852553022,0.0,0.7400349707019094,0.0,-1.1521369700199137e-05,0.0
0.1,690.0,-5.023352756237402e-05,5.830024090474941e-07,0.0,0.0,0.0,-0.7293010227467158,-0.9999808883534429,0.0,0.0,0.82202542100936,0.0,0.0,-2.15773471201669,1.0000120778747155,0.6130063134072807,0.0,0.7293098213086309,0.0,-1.1371184259961562e-05,0.0
0.1,700.0,-4.9650455884781017e-05,7.88922485645638e-07,0.0,0.0,0.0,-0.7188823051550647,-0.9999804371248495,0.0,0.0,0.7995611310205676,0.0,0.0,-2.191161163735995,1.0000120762699318,0.633080883615523,0.0,0.7188910983515211,0.0,-1.1208790128740456e-05,0.0
0.1,800.0,-3.6570730216598706e-05,1.548940608517796e-06,0.0,0.0,0.0,-0.6290211478661811,-0.9999778396732995,0.0,0.0,0.6174688879189599,0.0,0.0,-2.513334233439606,1.0000112918533202,0.8365039150865583,0.0,0.6290294643133172,0.0,-9.728771755387408e-06,0.0
0.1,900.0,-2.441999010753555e-05,1.5781283492371637e-07,0.0,0.0,0.0,-0.5591294315388505,-0.9999763995336055,0.0,0.0,0.49080360425508,0.0,0.0,-2.8122734381899686,1.0000097106009729,1.0401797556946313,0.0,0.5591371234370637,0.0,-1.0374448594389002e-05,0.0
0.1,1000.0,-2.6058796409630196e-05,-2.6880943500241906e-06,0.0,0.0,0.0,-0.5032160597992767,-0.9999737411553489,0.0,0.0,0.39924258685655833,0.0,0.0,-3.0877220033626847,1.0000079133909832,1.2394068360556993,0.0,0.5032234410259756,0.0,-1.4506075764040408e-05,0.0
