pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      4.83761 -4.23809e-12 -2.33095e-15
      4.71753  4.45053e-12  2.41165e-15
      4.59744  7.05409e-13  3.76547e-16
      4.47736 -1.65043e-12 -8.67775e-16
      4.35728  1.71076e-12  8.85966e-16
       4.2372  3.05623e-12  1.55902e-15
      4.11711 -4.55828e-12 -2.29056e-15
      3.99703  1.12218e-12  5.55596e-16
      3.87695  1.88143e-12  9.18072e-16
      3.75687  2.90395e-11  1.39728e-14
      3.63678  6.06112e-11  2.87785e-14
       3.5167  2.05132e-10  9.62079e-14
      3.39662  5.41562e-10  2.51207e-13
      3.27654  1.71467e-09  7.87812e-13
      3.15645  5.20222e-09  2.37144e-12
      3.03637  1.51711e-08  6.87418e-12
      2.91629  4.26848e-08  1.92638e-11
      2.79621  1.16948e-07  5.26881e-11
      2.67612  3.11561e-07  1.40483e-10
      2.55604  8.08639e-07  3.65969e-10
      2.43596  2.04617e-06  9.32512e-10
      2.31588  5.05506e-06  2.32851e-09
      2.19579  1.22117e-05  5.70983e-09
      2.07571  2.89273e-05  1.37975e-08
      1.95563  6.74343e-05  3.30003e-08
      1.83555  0.000155208  7.84572e-08
      1.71546  0.000353689  1.86164e-07
      1.59538  0.000799308  4.42269e-07
       1.4753   0.00179287   1.0549e-06
      1.35522   0.00399239  2.53318e-06
      1.23513   0.00882135  6.14122e-06
      1.11505    0.0192926  1.50602e-05
     0.994969     0.041615  3.74536e-05
     0.874887    0.0879497    9.465e-05
     0.754804     0.180152   0.00024354
     0.634722      0.35063  0.000638061
     0.514639     0.623034   0.00169046
     0.394557       0.9345   0.00444885
     0.274474            1     0.011184
     0.154392     0.502732    0.0254345
    0.0343093    0.0119958    0.0509847
   -0.0857732            0    0.0945023
    -0.205856            0     0.166599
    -0.325938            0     0.276538
    -0.446021            0     0.427278
    -0.566103            0      0.60768
    -0.686186            0     0.788274
    -0.806268            0     0.929777
    -0.926351            0            1
     -1.04643            0      0.98845
     -1.16652            0     0.907751
      -1.2866            0     0.783372
     -1.40668            0     0.641774
     -1.52676            0     0.503398
     -1.64685            0     0.380251
     -1.76693            0     0.277764
     -1.88701            0     0.196754
     -2.00709            0     0.135342
     -2.12718            0    0.0904605
     -2.24726            0    0.0587126
     -2.36734            0    0.0369562
     -2.48742            0    0.0225101
     -2.60751            0    0.0132272
     -2.72759            0   0.00746682
     -2.84767            0    0.0040259
     -2.96775            0   0.00205745
     -3.08784            0  0.000986146
     -3.20792            0  0.000436702
       -3.328            0   0.00017471
     -3.44808            0  6.09117e-05
     -3.56817            0  1.73185e-05
     -3.68825            0  3.51075e-06
     -3.80833            0  2.94843e-07

pressure[atm]        = 1
temperature[K]       = 210
energy step[1/cm]    = 44
maximum energy[1/cm] = 4379

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
        12.52  9.85086e-09
      12.3942  1.25858e-08
      12.2684  1.60738e-08
      12.1426  2.05202e-08
      12.0168  2.61859e-08
       11.891  3.34021e-08
      11.7652   4.2589e-08
      11.6394  5.42796e-08
      11.5136  6.91494e-08
      11.3878  8.80539e-08
       11.262  1.12077e-07
      11.1362  1.42589e-07
      11.0104  1.81325e-07
      10.8846  2.30477e-07
      10.7588  2.92813e-07
       10.633  3.71829e-07
      10.5072  4.71936e-07
      10.3814  5.98696e-07
      10.2556  7.59119e-07
      10.1298  9.62032e-07
       10.004  1.21855e-06
      9.87821  1.54264e-06
      9.75241  1.95187e-06
