Pressure (atm),Temperature (K),B1_Frequencies_1_P0->P1,B1_Energy_1_P0->P1,P1_Energy_1_P0->P1,colrel_Epsilons_P0->P1,B0_SymmetryFactor_1_P0->P1,W0_Frequencies_1_P0->P1,W0_Energy_1_P0->P1,colrel_PowerOne_P0->P1,colrel_FactorOne_P0->P1,P1_SymmetryFactor_1_P0->P1,P0_SymmetryFactor_1_P0->P1,W0_SymmetryFactor_1_P0->P1,B1_SymmetryFactor_1_P0->P1,P1_Frequencies_1_P0->P1,B0_Frequencies_1_P0->P1,P0_Frequencies_1_P0->P1,P0_Energy_1_P0->P1,B0_Energy_1_P0->P1,colrel_Sigmas_P0->P1
1.0,200.0,-1.6040855502839955,-1.214040145345689,0.0,0.0008044706409217385,-0.29505642350350547,-0.011741400743494204,-0.002308948145589352,-0.0019073488397895184,0.0049120837288945726,0.0,1.0000191647647576,-0.003211359502861637,-0.7157971146210713,0.0,0.008262720961034817,0.0015236470206766077,2.5161178146887635,-1.3928071659830767,0.0031612529598290247
1.0,210.0,-1.609192569931007,-1.2083366100622774,0.0,0.000725339681563155,-0.28345909334725083,-0.010616149088633474,-0.002044465142650434,-0.0015044002178495276,0.004429122402833174,0.0,1.0000293625895031,-0.002910642915796704,-0.7273015077723308,0.0,-0.018617479509794598,0.0039834240464738276,2.3963060658255517,-1.2753786516228498,0.0028556237561937876
1.0,220.0,-1.6689787936298879,-1.1992291172699647,0.0,0.0006414810045567102,-0.2731579137937327,-0.009614687320699066,-0.0018592082919182502,-0.0011818178606363826,0.004016779061187228,0.0,1.0000209669832483,-0.002640194675891473,-0.7379959290524024,0.0,-0.005327660980208239,0.004146081849519394,2.2873787790886606,-1.1721074845291624,0.002586799888533787
1.0,230.0,-1.7264928293932937,-1.1885823777167959,0.0,0.0005634885257075641,-0.2640032377114071,-0.008715646406952512,-0.0017000964605582906,-0.0009201926870492725,0.0036429554621776163,0.0,1.000012193491023,-0.002394734134719007,-0.7475123417305757,0.0,0.007119539123638591,0.0050148453626856085,2.18792425743636,-1.0798661479591054,0.002347228973188082
1.0,240.0,-1.770683507141322,-1.1769726589313283,0.0,0.0004946298937993262,-0.2557921695965577,-0.007908473601303534,-0.001551256356400676,-0.0007056483487766236,0.003300723110187617,0.0,1.0000074503568763,-0.0021725049104089306,-0.7559550867945259,0.0,0.010876019805776965,0.006974377363053993,2.096759994789135,-0.9969511781441969,0.00213272044858704
1.0,250.0,-1.8042606154914538,-1.1645575381240993,0.0,0.00043513183004132707,-0.2483755828905582,-0.007185278814814117,-0.0014101107383154734,-0.0005282693887178636,0.0029898129183478124,0.0,1.0000064505944448,-0.0019723399265669434,-0.7635004103439669,0.0,0.007916943855601195,0.009772462946218122,2.012890678918123,-0.9222276347732943,0.0019403631459541245
1.0,260.0,-1.8322626926059384,-1.1513931339088943,0.0,0.0003840916028560406,-0.24166082352296264,-0.006538484518913588,-0.0012778895583456418,-0.00038085217915844025,0.0027104163072469573,0.0,1.000007751869538,-0.0017928588221371444,-0.7702891546244598,0.0,0.0018070348909446734,0.013140041190786069,1.9354736927494132,-0.8548014608789727,0.0017677637004421152
1.0,270.0,-1.8586254549599848,-1.1375351299997722,0.0,0.00034030489304443044,-0.23559204819758658,-0.005960464106786919,-0.001156173070325562,-0.000258026344023529,0.0024616179371841937,0.0,1.0000099948530285,-0.0016323933749737747,-0.7764149481905478,0.0,-0.004731861194031605,0.016929700410708456,1.8637913604906589,-0.7939003603795646,0.0016127929957326199
1.0,280.0,-1.8856312753391964,-1.1230601860965712,0.0,0.00030260145153696304,-0.230132256568167,-0.005443737509088406,-0.0010458713500173823,-0.00015566892815407646,0.0022414005906560806,0.0,1.0000122296043588,-0.0014891115779098684,-0.781937111479481,0.0,-0.010183432152783263,0.021104500203822905,1.797228769113891,-0.7388335746778779,0.0014735154436959607
1.0,290.0,-1.914238730331148,-1.1080617825673726,0.0,0.0002699613342503034,-0.22525173157120112,-0.004981228950467611,-0.0009471168938469253,-7.05228211519609e-05,0.002047054497759411,0.0,1.0000139118444562,-0.001361156717549635,-0.7868952545614925,0.0,-0.01397882688457175,0.02569514594608135,1.7352560410080482,-0.6889790980992515,0.0013481752386652287
