pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 14
maximum energy[1/cm] = 7362

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      12.1226  3.60007e-07
      12.0826  3.89581e-07
      12.0426  4.21558e-07
      12.0025  4.56131e-07
      11.9625  4.93508e-07
      11.9225  5.33914e-07
      11.8824  5.77591e-07
      11.8424    6.248e-07
      11.8024  6.75824e-07
      11.7624  7.30966e-07
      11.7223  7.90555e-07
      11.6823  8.54945e-07
      11.6423  9.24516e-07
      11.6023  9.99681e-07
      11.5622  1.08088e-06
      11.5222   1.1686e-06
      11.4822  1.26335e-06
      11.4421  1.36568e-06
      11.4021   1.4762e-06
      11.3621  1.59554e-06
      11.3221  1.72442e-06
       11.282  1.86356e-06
       11.242  2.01379e-06
       11.202  2.17596e-06
       11.162  2.35103e-06
      11.1219  2.53998e-06
      11.0819  2.74392e-06
      11.0419  2.96401e-06
      11.0018   3.2015e-06
      10.9618  3.45776e-06
      10.9218  3.73423e-06
      10.8818   4.0325e-06
      10.8417  4.35425e-06
      10.8017   4.7013e-06
      10.7617   5.0756e-06
      10.7217  5.47926e-06
      10.6816  5.91454e-06
      10.6416  6.38388e-06
      10.6016   6.8899e-06
      10.5615   7.4354e-06
      10.5215  8.02343e-06
      10.4815  8.65723e-06
      10.4415  9.34031e-06
      10.4014  1.00764e-05
      10.3614  1.08696e-05
      10.3214  1.17242e-05
      10.2813  1.26449e-05
      10.2413  1.36368e-05
      10.2013  1.47051e-05
      10.1613  1.58557e-05
      10.1212  1.70948e-05
      10.0812   1.8429e-05
      10.0412  1.98657e-05
      10.0012  2.14123e-05
      9.96113  2.30772e-05
       9.9211  2.48693e-05
      9.88107  2.67981e-05
      9.84105  2.88738e-05
      9.80102  3.11073e-05
      9.76099  3.35104e-05
      9.72096  3.60956e-05
      9.68094  3.88766e-05
      9.64091  4.18678e-05
      9.60088  4.50847e-05
      9.56085   4.8544e-05
      9.52083  5.22636e-05
       9.4808  5.62626e-05
      9.44077  6.05615e-05
      9.40074  6.51823e-05
      9.36072  7.01484e-05
      9.32069  7.54852e-05
      9.28066  8.12196e-05
      9.24063  8.73805e-05
      9.20061  9.39989e-05
      9.16058  0.000101108
      9.12055  0.000108743
      9.08052  0.000116942
       9.0405  0.000125745
      9.00047  0.000135196
      8.96044  0.000145342
      8.92041  0.000156231
      8.88039  0.000167917
      8.84036  0.000180457
      8.80033  0.000193911
       8.7603  0.000208344
      8.72028  0.000223825
      8.68025  0.000240428
      8.64022  0.000258231
      8.60019  0.000277319
      8.56017  0.000297781
      8.52014  0.000319714
      8.48011  0.000343219
      8.44008  0.000368405
      8.40006  0.000395388
      8.36003  0.000424293
         8.32  0.000455251
      8.27997  0.000488402
      8.23995  0.000523897
      8.19992  0.000561894
      8.15989  0.000602563
      8.11986  0.000646085
      8.07984  0.000692652
      8.03981  0.000742468
      7.99978  0.000795749
      7.95975  0.000852727
      7.91973  0.000913648
       7.8797   0.00097877
      7.83967   0.00104837
      7.79964   0.00112274
      7.75962    0.0012022
      7.71959   0.00128707
      7.67956   0.00137771
      7.63953   0.00147448
      7.59951   0.00157777
      7.55948   0.00168802
      7.51945   0.00180565
      7.47942   0.00193113
       7.4394   0.00206496
      7.39937   0.00220765
      7.35934   0.00235977
      7.31931   0.00252189
      7.27929   0.00269463
      7.23926   0.00287864
      7.19923    0.0030746
       7.1592   0.00328324
      7.11918   0.00350533
      7.07915   0.00374166
      7.03912   0.00399308
      6.99909   0.00426048
      6.95907    0.0045448
      6.91904   0.00484703
      6.87901    0.0051682
      6.83898    0.0055094
      6.79896   0.00587178
      6.75893   0.00625653
       6.7189   0.00666492
      6.67887   0.00709825
      6.63885   0.00755792
      6.59882   0.00804538
      6.55879   0.00856213
      6.51876   0.00910976
      6.47874   0.00968993
      6.43871    0.0103044
      6.39868    0.0109549
      6.35865    0.0116434
      6.31863    0.0123718
       6.2786    0.0131421
      6.23857    0.0139566
      6.19854    0.0148174
      6.15852    0.0157269
      6.11849    0.0166874
      6.07846    0.0177014
      6.03843    0.0187715
      5.99841    0.0199005
      5.95838     0.021091
      5.91835     0.022346
      5.87832    0.0236684
       5.8383    0.0250614
      5.79827    0.0265281
      5.75824    0.0280718
      5.71821     0.029696
      5.67819     0.031404
      5.63816    0.0331996
      5.59813    0.0350863
       5.5581    0.0370682
      5.51808     0.039149
      5.47805    0.0413329
      5.43802    0.0436238
      5.39799    0.0460262
      5.35797    0.0485443
      5.31794    0.0511825
      5.27791    0.0539454
      5.23788    0.0568378
      5.19786    0.0598641
      5.15783    0.0630294
       5.1178    0.0663385
      5.07777    0.0697964
      5.03775    0.0734082
      4.99772     0.077179
      4.95769    0.0811141
      4.91766    0.0852189
      4.87764    0.0894985
      4.83761    0.0939585
      4.79758    0.0986044
      4.75755     0.103442
      4.71753     0.108476
       4.6775     0.113712
      4.63747     0.119157
      4.59744     0.124815
      4.55742     0.130692
      4.51739     0.136794
      4.47736     0.143127
      4.43733     0.149694
      4.39731     0.156503
      4.35728     0.163558
      4.31725     0.170865
      4.27722     0.178429
       4.2372     0.186254
      4.19717     0.194345
      4.15714     0.202708
      4.11711     0.211346
      4.07709     0.220264
      4.03706     0.229466
      3.99703     0.238956
        3.957     0.248736
      3.91698     0.258811
      3.87695     0.269183
      3.83692     0.279854
      3.79689     0.290826
      3.75687     0.302101
      3.71684     0.313679
      3.67681     0.325561
      3.63678     0.337747
      3.59676     0.350236
      3.55673     0.363026
       3.5167     0.376116
      3.47667     0.389502
      3.43665     0.403181
      3.39662     0.417149
      3.35659     0.431398
      3.31656     0.445921
      3.27654      0.46071
      3.23651     0.475754
      3.19648     0.491046
      3.15645     0.506571
      3.11643     0.522318
       3.0764     0.538273
      3.03637      0.55442
      2.99634     0.570744
      2.95632     0.587226
      2.91629     0.603844
      2.87626     0.620578
      2.83623     0.637404
      2.79621     0.654299
      2.75618     0.671237
      2.71615     0.688188
      2.67612      0.70512
       2.6361     0.722001
      2.59607       0.7388
      2.55604     0.755482
      2.51601     0.772014
      2.47599     0.788357
      2.43596     0.804473
      2.39593     0.820323
       2.3559     0.835865
      2.31588     0.851055
      2.27585     0.865847
      2.23582     0.880183
      2.19579     0.894004
      2.15577     0.907261
      2.11574     0.919901
      2.07571     0.931869
      2.03568     0.943105
      1.99566     0.953526
      1.95563      0.96307
       1.9156     0.971679
      1.87557     0.979293
      1.83555     0.985852
      1.79552     0.991262
      1.75549     0.995437
      1.71546     0.998319
      1.67544     0.999857
      1.63541            1
      1.59538     0.998705
      1.55535     0.995933
      1.51533     0.991652
       1.4753     0.985835
      1.43527     0.978466
      1.39524     0.969534
      1.35522     0.959038
      1.31519     0.946987
      1.27516     0.933397
      1.23513      0.91829
      1.19511     0.901695
      1.15508     0.883632
      1.11505     0.864039
      1.07502     0.842711
        1.035     0.819665
     0.994969      0.79495
     0.954942     0.768611
     0.914914     0.740659
     0.874887     0.710776
     0.834859     0.678812
     0.794832     0.644861
     0.754804     0.609042
     0.714777     0.571506
     0.674749     0.532437
     0.634722     0.492052
     0.594694     0.450606
     0.554667     0.408397
     0.514639     0.365761
     0.474612     0.323081
     0.434584     0.280786
     0.394557     0.239351
     0.354529     0.199296
     0.314502     0.161187
     0.274474     0.125631
     0.234447    0.0932645
     0.194419    0.0647489
     0.154392     0.040745
     0.114364    0.0218832
    0.0743368   0.00870528
    0.0343093   0.00154383

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W1->P1       W1->P2
      21.0487  1.42565e-18  1.52836e-14
      21.0087 -1.67995e-17  -1.7936e-13
      20.9687   8.8561e-18  9.41637e-14
      20.9287  2.02635e-18  2.14567e-14
      20.8886  2.36025e-18  2.48891e-14
      20.8486   1.8525e-17  1.94539e-13
      20.8086  2.91871e-17  3.05234e-13
      20.7686  4.76512e-22  4.96254e-18
      20.7285 -2.32191e-17 -2.40802e-13
      20.6885 -2.74727e-18 -2.83724e-14
      20.6485  2.62089e-17  2.69538e-13
      20.6084  5.39542e-17  5.52546e-13
      20.5684 -1.51545e-17 -1.54544e-13
      20.5284  3.48671e-17  3.54071e-13
      20.4884  1.12786e-17  1.14048e-13
      20.4483 -1.55434e-17 -1.56507e-13
      20.4083  8.53127e-17  8.55371e-13
      20.3683   8.1418e-18  8.12846e-14
      20.3283  7.32452e-17  7.28133e-13
      20.2882  3.61271e-18  3.57606e-14
      20.2482 -4.96771e-17 -4.89625e-13
      20.2082 -8.07787e-18 -7.92751e-14
      20.1681  3.93566e-17  3.84579e-13
      20.1281 -2.49097e-17  -2.4236e-13
      20.0881  6.98371e-17   6.7655e-13
      20.0481   1.1581e-16  1.11706e-12
       20.008  8.41513e-18  8.08173e-14
       19.968  -1.5155e-17 -1.44913e-13
       19.928 -3.72993e-17 -3.55105e-13
      19.8879 -9.31353e-17 -8.82819e-13
      19.8479  -1.4708e-16 -1.38806e-12
      19.8079  8.55327e-17  8.03671e-13
      19.7679  -1.3131e-16 -1.22837e-12
      19.7278 -6.59327e-17  -6.1407e-13
      19.6878  9.67904e-17  8.97487e-13
      19.6478  6.16112e-17  5.68761e-13
      19.6078  1.59938e-17  1.46992e-13
      19.5677 -1.33633e-16  -1.2227e-12
      19.5277  6.87186e-17  6.25952e-13
      19.4877  1.44518e-16  1.31052e-12
      19.4476 -2.57792e-17 -2.32726e-13
      19.4076 -4.24753e-17 -3.81732e-13
      19.3676  1.87551e-17  1.67798e-13
      19.3276 -1.20199e-16 -1.07054e-12
      19.2875  5.71125e-17  5.06368e-13
      19.2475 -2.06538e-18  -1.8229e-14
      19.2075  3.20439e-17  2.81534e-13
      19.1675 -1.29136e-16 -1.12941e-12
      19.1274 -7.55759e-18 -6.57961e-14
      19.0874   2.0794e-16  1.80203e-12
      19.0474 -3.92653e-16 -3.38715e-12
      19.0073 -2.38034e-17 -2.04391e-13
      18.9673 -2.57232e-16 -2.19857e-12
      18.9273 -2.42553e-16 -2.06352e-12
      18.8873  1.73426e-17  1.46858e-13
