========================================
ch3ar_W1_Energy_1_52.46385.out
0.1 atm
T,W1->R
370.0,1.01139e-38
380.0,2.65889e-37
390.0,5.90938e-36
400.0,1.12442e-34
410.0,1.85251e-33
420.0,2.6694e-32
430.0,3.39606e-31
440.0,3.84636e-30
450.0,3.90836e-29
460.0,3.58787e-28
470.0,2.9949e-27
480.0,2.28653e-26
490.0,1.60539e-25
500.0,1.04182e-24
510.0,6.27643e-24
520.0,3.52559e-23
530.0,1.85388e-22
540.0,9.1583e-22
550.0,4.2645e-21
560.0,1.87808e-20
570.0,7.84219e-20
580.0,3.11423e-19
590.0,1.17918e-18
600.0,4.26628e-18
610.0,1.47826e-17
620.0,4.917e-17
630.0,1.57219e-16
640.0,4.84333e-16
650.0,1.44012e-15
660.0,4.13769e-15
670.0,1.15085e-14
680.0,3.10351e-14
690.0,8.12234e-14
700.0,2.06604e-13
800.0,6.18399e-10
900.0,2.88044e-07
1000.0,3.64371e-05
1100.0,0.00178652
1200.0,0.0430466
1300.0,0.601199
1400.0,5.47686
1500.0,35.4735
1600.0,174.329
1700.0,683.189
1800.0,2218.58
1900.0,6154.6
2000.0,14951.2
2100.0,32427.9
2200.0,63854.0
2300.0,115814.0
2400.0,195606.0
2500.0,311063.0
2600.0,469409.0
2700.0,677082.0
2800.0,940519.0
2900.0,1263400.0
3000.0,1648690.0
========================================
ch3ar_W1_Energy_1_52.46385.out
2.5 atm
T,W1->R
300.0,2.65514e-51
310.0,3.71326e-49
320.0,3.8177e-47
330.0,2.9664e-45
340.0,1.78543e-43
350.0,8.50725e-42
360.0,3.27132e-40
370.0,1.03292e-38
380.0,2.71986e-37
390.0,6.05488e-36
400.0,1.15404e-34
410.0,1.90454e-33
420.0,2.74913e-32
430.0,3.50362e-31
440.0,3.97516e-30
450.0,4.04642e-29
460.0,3.72126e-28
470.0,3.11179e-27
480.0,2.38005e-26
490.0,1.67406e-25
500.0,1.08833e-24
510.0,6.56841e-24
520.0,3.69622e-23
530.0,1.94706e-22
540.0,9.63572e-22
550.0,4.49476e-21
560.0,1.98295e-20
570.0,8.29459e-20
580.0,3.2996e-19
590.0,1.25151e-18
600.0,4.53568e-18
610.0,1.57427e-17
620.0,5.24506e-17
630.0,1.67988e-16
640.0,5.18358e-16
650.0,1.54377e-15
660.0,4.44266e-15
670.0,1.23764e-14
680.0,3.34278e-14
690.0,8.76215e-14
700.0,2.23221e-13
800.0,6.77771e-10
900.0,3.19694e-07
1000.0,4.08886e-05
1100.0,0.00202426
1200.0,0.0491934
1300.0,0.692273
1400.0,6.34936
1500.0,41.3754
1600.0,204.455
1700.0,805.268
1800.0,2626.98
1900.0,7318.21
2000.0,17846.3
2100.0,38844.6
2200.0,76740.7
2300.0,139597.0
2400.0,236419.0
2500.0,376856.0
2600.0,569940.0
2700.0,823751.0
2800.0,1146150.0
2900.0,1542020.0
3000.0,2015150.0
========================================
ch3ar_W1_Energy_1_52.46385.out
3 atm
T,W1->R
300.0,2.67579e-51
310.0,3.74552e-49
320.0,3.85454e-47
330.0,2.99803e-45
340.0,1.80637e-43
350.0,8.6164e-42
360.0,3.31706e-40
370.0,1.0486e-38
380.0,2.76446e-37
390.0,6.1618e-36
400.0,1.17591e-34
410.0,1.94314e-33
420.0,2.80855e-32
430.0,3.58415e-31
440.0,4.07201e-30
450.0,4.15069e-29
460.0,3.82244e-28
470.0,3.20084e-27
480.0,2.45159e-26
490.0,1.7268e-25
500.0,1.12419e-24
510.0,6.79445e-24
520.0,3.82882e-23
530.0,2.01975e-22
540.0,1.00095e-21
550.0,4.67568e-21
560.0,2.06563e-20
570.0,8.65251e-20
580.0,3.44675e-19
590.0,1.30912e-18
600.0,4.75094e-18
610.0,1.65123e-17
620.0,5.50882e-17
630.0,1.76672e-16
640.0,5.45878e-16
650.0,1.62786e-15
660.0,4.69074e-15
670.0,1.30844e-14
680.0,3.53847e-14
690.0,9.28685e-14
700.0,2.36884e-13
800.0,7.27737e-10
900.0,3.46844e-07
1000.0,4.47688e-05
1100.0,0.00223431
1200.0,0.0546873
1300.0,0.774494
1400.0,7.14401
1500.0,46.7925
1600.0,232.299
1700.0,918.805
1800.0,3008.95
1900.0,8412.09
2000.0,20580.6
2100.0,44931.0
2200.0,89011.8
2300.0,162324.0
2400.0,275546.0
2500.0,440115.0
2600.0,666852.0
2700.0,965469.0
2800.0,1345250.0
2900.0,1812290.0
3000.0,2371210.0
========================================
ch3ar_W1_Energy_1_52.46385.out
3.5 atm
T,W1->R
300.0,2.69114e-51
310.0,3.7696e-49
320.0,3.88213e-47
330.0,3.02182e-45
340.0,1.82217e-43
350.0,8.69912e-42
360.0,3.35186e-40
370.0,1.06057e-38
380.0,2.79866e-37
390.0,6.24412e-36
400.0,1.19281e-34
410.0,1.97309e-33
420.0,2.85483e-32
430.0,3.64709e-31
440.0,4.14799e-30
450.0,4.23279e-29
460.0,3.90239e-28
470.0,3.27144e-27
480.0,2.50851e-26
