Pressure (atm),Temperature (K),colrel_FactorOne_W4->P2,colrel_FactorOne_P1->P2,colrel_FactorOne_W4->P1
0.1,250.0,0.25665490502771143,0.0029919152268445856,-0.2746027593723882
0.1,260.0,0.21003090313033598,0.0029382016334246145,-0.3323224347917522
0.1,270.0,0.1743177127327148,0.002809963998867699,-0.37646354044751934
0.1,280.0,0.14670688842251434,0.0027032508217184137,-0.4161072743672226
0.1,290.0,0.1333981968080655,0.002615146501947505,-0.4426403395825424
0.1,300.0,0.1275159862652207,0.002529167830833933,-0.4616494909410328
0.1,310.0,0.1236568605193822,0.0024375218418779443,-0.47854249146251887
0.1,320.0,0.12065271491038487,0.002340943912230393,-0.4948642777824965
0.1,330.0,0.119377121981747,0.0022437800766404274,-0.5100223996006107
0.1,340.0,0.12078064780727409,0.0021502689924020324,-0.5231660985160386
0.1,350.0,0.12515939993733227,0.002062948020364496,-0.5339793424560882
0.1,360.0,0.13220748808419167,0.0019825270146330873,-0.5427044334165875
0.1,370.0,0.1413230826393718,0.0019084235092693804,-0.5498829487508817
0.1,380.0,0.15188163797333318,0.0018394205965006224,-0.5560993145414844
0.1,390.0,0.1633894676360962,0.0017741905974375805,-0.5618252830983242
0.1,400.0,0.17552966218855623,0.001711613961399468,-0.5673644158222582
0.1,410.0,0.18814184987669966,0.0016509164301834612,-0.5728621726512434
0.1,420.0,0.20117411954138023,0.0015916797852053193,-0.5783466252386906
0.1,430.0,0.2146323173549679,0.0015337815868017302,-0.583775424325113
0.1,440.0,0.22853936282183768,0.0014773065571072061,-0.589075918049627
0.1,450.0,0.24290849172224427,0.001422457189791515,-0.5941735724752626
0.1,460.0,0.2577294477371596,0.0013694784302425392,-0.5990087060381187
0.1,470.0,0.27296456711188044,0.001318602204019572,-0.6035438070613335
0.1,480.0,0.2885513159524009,0.0012700119480821776,-0.6077643247721888
0.1,490.0,0.3044082978811634,0.001223824331913052,-0.6116755844577585
0.1,500.0,0.3204425091355311,0.0011800841938503814,-0.6152978891490307
0.1,510.0,0.33655638185806674,0.0011387686414278423,-0.6186612260845997
0.1,520.0,0.3526537905873044,0.0010997967666419677,-0.6218004367587466
0.1,530.0,0.36864466359711595,0.0010630421534118507,-0.6247512832805764
0.1,540.0,0.3844481502157064,0.001028346113439157,-0.6275475509487917
0.1,550.0,0.39999447780851677,0.0009955302624196415,-0.6302191457166941
0.1,560.0,0.41522572197190905,0.0009644076016443772,-0.632791047844028
0.1,570.0,0.43009574120109334,0.0009347916869050212,-0.6352829434505046
0.1,580.0,0.44456951711163845,0.0009065037684040586,-0.6377093526012384
0.1,590.0,0.45862211084377597,0.0008793779796448924,-0.6400800901317961
0.1,600.0,0.47223740743754883,0.0008532647736106346,-0.642400922677267
0.1,610.0,0.48540678025025996,0.000828032864175233,-0.6446743152597405
0.1,620.0,0.4981277711088897,0.0008035699495996452,-0.6469001891512844
0.1,630.0,0.5104028508660968,0.0007797824902951707,-0.6490766374216402
0.1,640.0,0.5222383000220256,0.0007565947851725411,-0.6512005647798679
0.1,650.0,0.5336432298301309,0.0007339475635295428,-0.6532682339945332
0.1,660.0,0.5446287501968802,0.0007117962722402224,-0.6552757127434891
0.1,670.0,0.5552072808903463,0.0006901092025217576,-0.657219222817517
0.1,680.0,0.5653919961944027,0.0006688655720431292,-0.659095398853171
0.1,690.0,0.5751963894420047,0.0006480536452066242,-0.660901466833246
0.1,700.0,0.5846339420985155,0.0006276689535398541,-0.6626353540378889
0.1,800.0,0.6614841173149015,0.00044876562809978773,-0.6760535164033314
0.1,900.0,0.7129035771715203,0.00031941798927174493,-0.6841156883692556
0.1,1000.0,0.7455607250047557,0.0002344378833553814,-0.6896989083852053
0.1,1100.0,0.7646275033805413,0.00017969907433468594,-0.6942259412590451
0.1,1200.0,0.7742161204389048,0.0001421066867388561,-0.6979495911362742
0.1,1300.0,0.7773021466500136,0.00011328325218488978,-0.7007772423878598
0.1,1400.0,0.7758540085125176,8.905242117316132e-05,-0.7026770318389669
0.1,1500.0,0.7711062295577391,6.784471625677473e-05,-0.7037519513685
0.1,1600.0,0.7638276939084844,4.9353292760370735e-05,-0.7041880464262983
0.1,1700.0,0.7545205842914775,3.370351356404526e-05,-0.7041883855283094
0.1,1800.0,0.7435460600520322,2.103543513483897e-05,-0.7039290237234345
0.1,1900.0,0.7311946689562219,1.1341943398710705e-05,-0.7035393629604497
0.1,2000.0,0.7177213916317863,4.4410533611615896e-06,-0.7030993984572308
0.1,2100.0,0.7033605212208319,7.019154906560905e-09,-0.7026460176714288
0.1,2200.0,0.6883302554014067,-2.380603529066238e-06,-0.7021828174370329
0.1,2300.0,0.6728327756487825,-3.189407919663843e-06,-0.7016902207631333
0.1,2400.0,0.657052889512391,-2.895694122155459e-06,-0.7011343312196326
0.1,2500.0,0.6411566987528156,-1.956762830694203e-06,-0.7004739696864188
0.1,2600.0,0.6252908647309293,-7.929276759768013e-07,-0.6996658769748555
0.1,2700.0,0.6095825894013452,2.2268114444695615e-07,-0.6986683122800141
0.1,2800.0,0.5941402264095752,7.685360248639446e-07,-0.6974433589142702
0.1,2900.0,0.5790543656208506,5.751096113309965e-07,-0.6959582462088081
0.1,3000.0,0.5643992284316844,-5.773524403171458e-07,-0.6941859570003271
0.5,250.0,0.0844233263916317,0.012569784707800688,-0.2730515122969542
0.5,260.0,0.06916618042019587,0.01208879112896445,-0.3054575289439657
0.5,270.0,0.05933945397257145,0.011672465302845155,-0.3286386638862677
0.5,280.0,0.0529338959560451,0.011241888274397205,-0.3517255543507406
0.5,290.0,0.051344839015460095,0.010841057925202086,-0.3700783641519922
0.5,300.0,0.05228246663625697,0.01045957651558235,-0.38471427593959817
0.5,310.0,0.05409754291816912,0.010080646581332967,-0.39753940474173244
0.5,320.0,0.056505009129912714,0.009700419931757423,-0.40943251564252053
0.5,330.0,0.059844983970542415,0.009324439932230187,-0.4204979900594186
0.5,340.0,0.06446168654299338,0.008960385749678584,-0.4306256389126481
