Pressure (atm),Temperature (K),W1_Energy_1_W1->P3,W1_Energy_1_W1->P2,W1_Energy_1_W1->P1,W1_Energy_1_P1->P2,W1_Energy_1_P1->P3,W1_Energy_1_P2->P3
1.0,296.0,1.6996310998529516,1.6052631657774643,1.6994205359554535,0.06205109600006302,0.1142807314862196,0.04272700088355421
1.0,370.0,1.3627132981008283,1.2473826000913553,1.3588945068816882,0.04541685579397558,0.0704781896531556,0.016201958583694828
1.0,407.0,1.2256354868095118,1.113837667851317,1.2327751727001024,0.038729873917224246,0.04310439727352273,0.008962731898906466
1.0,474.0,1.025363674405801,0.9259140279029489,1.054909112474282,0.028323777093695587,0.014627025918585864,0.0026702922221227858
1.0,513.0,0.9289502440967244,0.8392054801270834,0.9723220004715291,0.023396219332488193,0.006683258147920684,0.0011724103308263952
1.0,539.0,0.8708082181555152,0.7882572906534573,0.9235425326382425,0.02055752542409973,0.003479486177698693,0.0006251712251512835
1.0,577.0,0.793160301914801,0.7218226314298432,0.8595768991093119,0.016990982402357586,0.0007218565536681782,0.00020565495147035237
1.0,700.0,0.5879434571823456,0.5545352764845056,0.6961152766402912,0.009147594554335243,-0.0011247985129680476,6.296193863004043e-05
1.0,810.0,0.44849603002744826,0.44650450420058957,0.5881363246029991,0.005272180051160339,-0.00040213075200424235,0.00020725423621142488
1.0,906.0,0.3514389688318836,0.373164863614025,0.5134314668233954,0.003260311869489315,0.00016721171041812362,0.0002573551974153037
1.0,1050.0,0.2375298569188641,0.2881629218291921,0.4251177354005122,0.0015678934113919634,0.0005141187685668311,0.00021169858939148044
1.0,1200.0,0.14815835991671816,0.22159134184230714,0.3543988161989814,0.0007026696132320937,0.000447317737202509,0.0001015748301825893
1.0,1350.0,0.07982192679268968,0.1702755832241858,0.298771842733392,0.00028806919037472993,0.0002185828411753814,-5.0760367514083395e-06
1.0,1525.0,0.018816215137400602,0.12375826134820639,0.24735868763277272,7.904781508173715e-05,-4.8690537123013143e-05,-8.945196779887222e-05
1.0,1700.0,-0.027902740705187484,0.08738112482904982,0.2063920326932555,8.77036772890516e-06,-0.00022396246341532886,-0.00012307645727294465
1.0,1900.0,-0.0689899223077834,0.05457548178183394,0.1687852220868938,6.793537910502888e-07,-0.0002840893102578092,-0.00010686341527246732
1.0,2000.0,-0.08584182164406495,0.04082516761689565,0.15281314537617416,9.127854458304773e-06,-0.000261791807479488,-8.109309045899955e-05
1.0,2200.0,-0.11396508811983624,0.017382398457345603,0.12526560927042238,3.4392418594238236e-05,-0.0001296996371720633,-2.8712439862668063e-06
1.0,2600.0,-0.1544373751247718,-0.017814715507202643,0.08305850180580387,8.20099582311749e-05,0.0003847027885860812,0.00022206037828219973
