pressure[atm]        = 1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      4.83761 -4.19678e-12 -2.81949e-15
      4.71753  2.27915e-12  1.50857e-15
      4.59744  2.21451e-12  1.44392e-15
      4.47736  1.47709e-12  9.48651e-16
      4.35728  3.78563e-12  2.39473e-15
       4.2372 -4.08036e-12 -2.54245e-15
      4.11711  7.88176e-12  4.83787e-15
      3.99703  9.04193e-12  5.46825e-15
      3.87695  8.80526e-12  5.24832e-15
      3.75687  4.79429e-11  2.81778e-14
      3.63678  1.66492e-10  9.65602e-14
       3.5167  4.55267e-10  2.60815e-13
      3.39662  1.38048e-09  7.82177e-13
      3.27654  4.09048e-09  2.29566e-12
      3.15645  1.15897e-08  6.45336e-12
      3.03637  3.19067e-08  1.76593e-11
      2.91629   8.5337e-08  4.70431e-11
      2.79621  2.22471e-07  1.22429e-10
      2.67612  5.64778e-07  3.11063e-10
      2.55604   1.3987e-06  7.73219e-10
      2.43596  3.38188e-06  1.88261e-09
      2.31588  8.00145e-06  4.50205e-09
      2.19579  1.85708e-05  1.06064e-08
      2.07571   4.2416e-05  2.47122e-08
      1.95563  9.56676e-05  5.71863e-08
      1.83555  0.000213661  1.31927e-07
      1.71546  0.000473511  3.04435e-07
      1.59538   0.00104232  7.04473e-07
       1.4753   0.00227965   1.6384e-06
      1.35522     0.004953  3.83876e-06
      1.23513    0.0106821  9.08374e-06
      1.11505    0.0228085  2.17484e-05
     0.994969     0.048039  5.28112e-05
     0.874887    0.0991379  0.000130321
     0.754804     0.198294  0.000327438
     0.634722     0.376843  0.000837652
     0.514639     0.653775   0.00216676
     0.394557       0.9573   0.00556681
     0.274474            1    0.0136611
     0.154392     0.490888     0.030336
    0.0343093    0.0114447    0.0594165
   -0.0857732            0     0.107663
    -0.205856            0     0.185619
    -0.325938            0     0.301507
    -0.446021            0     0.456311
    -0.566103            0     0.636524
    -0.686186            0     0.811282
    -0.806268            0     0.942182
    -0.926351            0            1
     -1.04643            0     0.977637
     -1.16652            0     0.889848
      -1.2866            0     0.762477
     -1.40668            0     0.621156
     -1.52676            0     0.485075
     -1.64685            0     0.365141
     -1.76693            0     0.266002
     -1.88701            0     0.188019
     -2.00709            0     0.129115
     -2.12718            0    0.0861828
     -2.24726            0    0.0558764
     -2.36734            0    0.0351409
     -2.48742            0    0.0213897
     -2.60751            0    0.0125618
     -2.72759            0   0.00708801
     -2.84767            0   0.00382026
     -2.96775            0   0.00195177
     -3.08784            0  0.000935264
     -3.20792            0  0.000414087
       -3.328            0  0.000165635
     -3.44808            0  5.77401e-05
     -3.56817            0  1.64149e-05
     -3.68825            0  3.32729e-06
     -3.80833            0  2.79416e-07

pressure[atm]        = 1
temperature[K]       = 210
energy step[1/cm]    = 44
maximum energy[1/cm] = 4379

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
        12.52  9.85249e-09
      12.3942  1.25879e-08
      12.2684  1.60764e-08
      12.1426  2.05236e-08
      12.0168  2.61902e-08
       11.891  3.34076e-08
      11.7652  4.25961e-08
      11.6394  5.42886e-08
      11.5136  6.91608e-08
      11.3878  8.80685e-08
       11.262  1.12095e-07
      11.1362  1.42613e-07
      11.0104  1.81355e-07
      10.8846  2.30515e-07
      10.7588  2.92861e-07
       10.633   3.7189e-07
      10.5072  4.72014e-07
      10.3814  5.98795e-07
      10.2556  7.59245e-07
      10.1298  9.62191e-07
       10.004  1.21875e-06
      9.87821  1.54289e-06
      9.75241  1.95219e-06
      9.62661  2.46871e-06
      9.50081  3.12014e-06
      9.37501  3.94121e-06
      9.24921  4.97543e-06
      9.12341  6.27728e-06
      8.99761  7.91489e-06
      8.87181  9.97344e-06
      8.74601  1.25592e-05
      8.62021  1.58048e-05
      8.49441  1.98756e-05
      8.36861  2.49771e-05
      8.24281  3.13654e-05
        8.117  3.93584e-05
       7.9912  4.93507e-05
       7.8654  6.18319e-05
       7.7396  7.74078e-05
       7.6138  9.68282e-05
        7.488   0.00012102
       7.3622  0.000151126
       7.2364  0.000188555
       7.1106  0.000235043
       6.9848  0.000292722
        6.859  0.000364211
       6.7332  0.000452722
       6.6074   0.00056219
       6.4816  0.000697429
      6.35579  0.000864317
      6.22999   0.00107002
      6.10419   0.00132328
      5.97839   0.00163471
      5.85259   0.00201718
      5.72679   0.00248631
      5.60099   0.00306095
      5.47519   0.00376388
      5.34939   0.00462249
      5.22359   0.00566966
      5.09779   0.00694476
      4.97199   0.00849481
      4.84619    0.0103758
      4.72039    0.0126542
      4.59458    0.0154085
