*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          400          0.1  7.78716e+08     0.148368    0.0163559     0.318781
          400            1  7.78716e+09     0.121315    0.0113227     0.248308
          400            2  1.55743e+10     0.113754    0.0100309     0.227103
          400            3  2.33615e+10     0.109414   0.00931439     0.214677
          400            4  3.11487e+10     0.106367   0.00882275     0.205872
          410          0.1  7.63798e+08     0.155487    0.0179768     0.342528
          410            1  7.63798e+09     0.127154    0.0125383     0.270289
          410            2   1.5276e+10     0.119221    0.0111364     0.248323
          410            3  2.29139e+10     0.114664    0.0103574     0.235398
          410            4  3.05519e+10     0.111463   0.00982233     0.226215
          420          0.1  7.49592e+08      0.16172     0.019575     0.365763
          420            1  7.49592e+09     0.132367    0.0137564     0.292143
          420            2  1.49918e+10     0.124132    0.0122494     0.269537
          420            3  2.24878e+10     0.119397    0.0114105     0.256182
          420            4  2.99837e+10     0.116071    0.0108336      0.24667
          430          0.1  7.36048e+08     0.168956    0.0213519     0.389245
          430            1  7.36048e+09     0.138373    0.0151024     0.314467
          430            2   1.4721e+10      0.12978    0.0134779      0.29129
          430            3  2.20814e+10     0.124834    0.0125721     0.277547
          430            4  2.94419e+10     0.121358    0.0119486     0.267735
          440          0.1  7.23117e+08     0.174105      0.02307     0.412045
          440            1  7.23117e+09     0.143136    0.0164319     0.336459
          440            2  1.44623e+10     0.134369    0.0146984     0.312825
          440            3  2.16935e+10     0.129312    0.0137303     0.298762
          440            4  2.89247e+10     0.125751    0.0130631       0.2887
          450          0.1  7.10758e+08     0.183918    0.0251793     0.435452
          450            1  7.10758e+09     0.151004    0.0180164     0.359227
          450            2  1.42152e+10     0.141686    0.0161421     0.335182
          450            3  2.13227e+10      0.13631    0.0150944     0.320827
          450            4  2.84303e+10     0.132526     0.014372     0.310534
          460          0.1  6.98931e+08     0.189468    0.0268571     0.456676
          460            1  6.98931e+09     0.155757    0.0193527     0.380362
          460            2  1.39786e+10     0.146202    0.0173793      0.35609
          460            3  2.09679e+10     0.140686    0.0162742     0.341552
          460            4  2.79572e+10     0.136802    0.0155113     0.331106
          470          0.1  6.87601e+08     0.193969    0.0287118     0.478545
          470            1  6.87601e+09     0.160111    0.0208235     0.402143
          470            2   1.3752e+10      0.15045    0.0187392     0.377653
          470            3   2.0628e+10      0.14486      0.01757      0.36294
          470            4   2.7504e+10     0.140918    0.0167619     0.352348
          480          0.1  6.76736e+08     0.204311    0.0313701     0.502109
          480            1  6.76736e+09     0.168802    0.0228114     0.425502
          480            2  1.35347e+10     0.158623    0.0205484     0.400765
          480            3  2.03021e+10     0.152725    0.0192785      0.38586
          480            4  2.70695e+10     0.148563    0.0184007      0.37511
          490          0.1  6.66308e+08      0.21266    0.0333233     0.521878
          490            1  6.66308e+09     0.175378    0.0243635      0.44591
          490            2  1.33262e+10     0.164731    0.0219864      0.42119
          490            3  1.99892e+10     0.158569    0.0206504      0.40625
          490            4  2.66523e+10     0.154222    0.0197262     0.395454
          500          0.1  6.56288e+08     0.215644    0.0350173      0.54112
          500            1  6.56288e+09     0.178498    0.0257808     0.465861
          500            2  1.31258e+10     0.167847    0.0233162     0.441201
          500            3  1.96886e+10     0.161673    0.0219281     0.426256
          500            4  2.62515e+10     0.157313    0.0209666     0.415437
          510          0.1  6.46653e+08     0.221598      0.03736     0.561482
          510            1  6.46653e+09     0.184133     0.027624     0.486815
          510            2  1.29331e+10     0.173318    0.0250182     0.462193
          510            3  1.93996e+10     0.167033    0.0235491     0.447233
          510            4  2.58661e+10     0.162589    0.0225307     0.436387
          520          0.1  6.37379e+08      0.23791    0.0405949     0.581657
          520            1  6.37379e+09       0.1968    0.0300194     0.507795
          520            2  1.27476e+10     0.184985    0.0271954      0.48328
          520            3  1.91214e+10     0.178131    0.0256042     0.468347
          520            4  2.54952e+10     0.173288    0.0245015     0.457503
          530          0.1  6.28447e+08     0.240131    0.0424959       0.5995
          530            1  6.28447e+09     0.199723    0.0316143     0.526746
          530            2  1.25689e+10     0.188021    0.0286942     0.502458
          530            3  1.88534e+10     0.181213     0.027046     0.487631
          530            4  2.51379e+10     0.176395    0.0259027     0.476846
          540          0.1  6.19836e+08     0.243357    0.0444838     0.616902
          540            1  6.19836e+09     0.203193    0.0332825     0.545352
          540            2  1.23967e+10      0.19151    0.0302622     0.521331
          540            3  1.85951e+10     0.184701    0.0285547     0.506634
          540            4  2.47934e+10     0.179879     0.027369     0.495929
          550          0.1  6.11529e+08     0.255395    0.0472441     0.633929
          550            1  6.11529e+09     0.212713    0.0354295     0.563749
          550            2  1.22306e+10     0.200343    0.0322425      0.54005
          550            3  1.83459e+10     0.193143    0.0304403     0.525518
          550            4  2.44611e+10     0.188047    0.0291888     0.514919
          560          0.1  6.03509e+08      0.26445    0.0500845     0.651057
          560            1  6.03509e+09     0.220462    0.0376628     0.582166
          560            2  1.20702e+10     0.207692    0.0343071     0.558778
          560            3  1.81053e+10     0.200255    0.0324085     0.544408
          560            4  2.41404e+10      0.19499    0.0310896     0.533915
          570          0.1  5.95761e+08     0.271362    0.0527608     0.667279
          570            1  5.95761e+09     0.226789    0.0398104     0.599787
          570            2  1.19152e+10     0.213799    0.0363035     0.576755
          570            3  1.78728e+10     0.206224    0.0343177     0.562576
          570            4  2.38305e+10     0.200855    0.0329375     0.552209
          580          0.1  5.88272e+08     0.276322    0.0553306     0.682877
          580            1  5.88272e+09     0.231855    0.0419136     0.616845
          580            2  1.17654e+10      0.21881    0.0382686     0.594196
          580            3  1.76481e+10     0.211185     0.036202     0.580224
          580            4  2.35309e+10     0.205773    0.0347648     0.569996
          590          0.1  5.81026e+08       0.2767    0.0576778     0.698303
          590            1  5.81026e+09     0.233821    0.0439163     0.633697
          590            2  1.16205e+10     0.221109    0.0401583     0.611428
          590            3  1.74308e+10      0.21365    0.0380238     0.597664
          590            4  2.32411e+10     0.208344    0.0365376     0.587576
          600          0.1  5.74013e+08     0.292689     0.060926     0.711861
          600            1  5.74013e+09     0.246002    0.0464293     0.649008
          600            2  1.14803e+10     0.232286    0.0424748     0.627229
          600            3  1.72204e+10     0.224261    0.0402289     0.613737
          600            4  2.29605e+10     0.218562    0.0386652     0.603836
          610          0.1  5.67221e+08     0.298819    0.0636844     0.725681
          610            1  5.67221e+09     0.251736    0.0486983     0.664434
          610            2  1.13444e+10     0.237865    0.0445984     0.643107
          610            3  1.70166e+10     0.229739    0.0422673      0.62987
          610            4  2.26888e+10     0.223964     0.040643     0.620143
          620          0.1  5.60638e+08     0.306315    0.0666848     0.738955
          620            1  5.60638e+09     0.258557    0.0511325      0.67934
          620            2  1.12128e+10     0.244442    0.0468689     0.658484
          620            3  1.68191e+10     0.236164    0.0444427     0.645514
          620            4  2.24255e+10     0.230275    0.0427513     0.635971
          630          0.1  5.54255e+08     0.311661    0.0693939      0.75152
          630            1  5.54255e+09     0.263739    0.0534014     0.693581
          630            2  1.10851e+10     0.249532    0.0490033     0.673221
          630            3  1.66277e+10      0.24119    0.0464977     0.660534
          630            4  2.21702e+10      0.23525    0.0447496     0.651188
          640          0.1  5.48063e+08     0.313568     0.071996     0.763879
          640            1  5.48063e+09     0.266748    0.0556383     0.707576
          640            2  1.09613e+10     0.252756     0.051121     0.687708
          640            3  1.64419e+10     0.244519    0.0485437     0.675306
          640            4  2.19225e+10     0.238644    0.0467439     0.666159
          650          0.1  5.42052e+08     0.317134    0.0748176      0.77574
          650            1  5.42052e+09     0.270863     0.058021      0.72107
          650            2   1.0841e+10     0.256957    0.0533681     0.701723
          650            3  1.62615e+10      0.24876    0.0507123     0.689638
          650            4  2.16821e+10      0.24291    0.0488573     0.680719
          660          0.1  5.36214e+08      0.34058    0.0789455     0.785454
          660            1  5.36214e+09     0.288358    0.0611244     0.732652
          660            2  1.07243e+10     0.272883    0.0562108     0.713894
          660            3  1.60864e+10     0.263804    0.0534103     0.702162
          660            4  2.14485e+10     0.257346     0.051456     0.693497
          670          0.1  5.30541e+08     0.344342    0.0819418     0.796279
          670            1  5.30541e+09     0.292794    0.0636521       0.7451
          670            2  1.06108e+10     0.277417    0.0585932     0.726852
          670            3  1.59162e+10     0.268374    0.0557071     0.715424
          670            4  2.12216e+10     0.261933     0.053692     0.706976
          680          0.1  5.25026e+08     0.349494    0.0848367     0.806217
          680            1  5.25026e+09     0.297991    0.0661067      0.75671
          680            2  1.05005e+10     0.282567    0.0609117     0.738989
          680            3  1.57508e+10     0.273483    0.0579449     0.727876
          680            4  2.10011e+10     0.267007    0.0558724     0.719654
          690          0.1  5.19663e+08     0.355068    0.0879589     0.815921
          690            1  5.19663e+09     0.303568    0.0687334     0.768039
          690            2  1.03933e+10     0.288079    0.0633868     0.750833
          690            3  1.55899e+10     0.278943    0.0603305     0.740027
          690            4  2.07865e+10     0.272424    0.0581942     0.732026
          700          0.1  5.14444e+08     0.358205    0.0909861     0.825357
          700            1  5.14444e+09     0.307536    0.0713322     0.779061
          700            2  1.02889e+10     0.292195    0.0658474      0.76236
          700            3  1.54333e+10     0.283122    0.0627078     0.751854
          700            4  2.05778e+10     0.276638    0.0605117     0.744068
          800          0.1  4.69001e+08     0.424206     0.124816     0.895377
          800            1  4.69001e+09     0.370497     0.100022     0.863668
          800            2  9.38002e+09     0.353829    0.0929804     0.851863
          800            3    1.407e+10     0.343904    0.0889268     0.844342
          800            4    1.876e+10      0.33677    0.0860789      0.83872
          900          0.1  4.32949e+08     0.500505     0.163973     0.937242
          900            1  4.32949e+09     0.441433      0.13323     0.916197
          900            2  8.65898e+09     0.423017     0.124452     0.908203
          900            3  1.29885e+10     0.412043     0.119368     0.903044
          900            4   1.7318e+10     0.404111     0.115785     0.899166
         1000          0.1  4.03466e+08     0.543014     0.201394     0.962672
         1000            1  4.03466e+09     0.487579     0.166372     0.949008
         1000            2  8.06932e+09     0.470132     0.156304     0.943712
         1000            3   1.2104e+10     0.459571     0.150404     0.940263
         1000            4  1.61386e+10     0.451843     0.146233     0.937665
         1100          0.1  3.78774e+08     0.512373     0.223333     0.978068
         1100            1  3.78774e+09     0.474307     0.189918     0.969432
         1100            2  7.57549e+09     0.461451     0.179975     0.966074
         1100            3  1.13632e+10      0.45374     0.174152     0.963848
         1100            4   1.5151e+10     0.448132     0.169976     0.962134
         1200          0.1    3.577e+08     0.559386     0.262197      0.98664
         1200            1    3.577e+09     0.521528     0.224106     0.981032
         1200            2    7.154e+09     0.508442      0.21321     0.978871
         1200            3   1.0731e+10     0.500802     0.206698     0.977399
         1200            4   1.4308e+10     0.495218     0.201981     0.976259
         1300          0.1  3.39436e+08     0.627713     0.311847     0.991619
         1300            1  3.39436e+09     0.586886     0.266064     0.988055
         1300            2  6.78872e+09     0.572887     0.253413     0.986596
         1300            3  1.01831e+10        0.565     0.245651     0.985593
         1300            4  1.35774e+10     0.559109     0.240025     0.984826
         1400          0.1  3.23409e+08     0.458275     0.275494     0.995174
         1400            1  3.23409e+09     0.444685     0.244528      0.99311
