Pressure (atm),Temperature (K),B0_SymmetryFactor_1_W4->P2,B0_SymmetryFactor_1_P1->P2,B0_SymmetryFactor_1_W4->P1,B0_Energy_1_W4->P2,B0_Energy_1_P1->P2,B0_Energy_1_W4->P1,B0_Frequencies_1_W4->P2,B0_Frequencies_1_P1->P2,B0_Frequencies_1_W4->P1
0.1,680.0,8.16278601699725e-06,-0.020836122823926103,-0.032760740812822355,-2.191229710728304e-06,-0.024318964188769346,-0.07100077976528292,2.0111482918349806e-06,-0.0038090893882937018,-0.001023601567169545
0.1,690.0,9.204946864711068e-06,-0.020674925685787215,-0.032561102114250985,1.102489211791938e-07,-0.02375289641961783,-0.06985600194190662,2.2926077968298024e-06,-0.003933716299183576,-0.0010615609320333867
0.1,700.0,1.0205506571746664e-05,-0.020518088929601178,-0.0323671052007773,3.137000488988315e-06,-0.023211270166875124,-0.06877190372247423,2.5134721086768486e-06,-0.004058931412954085,-0.0010995959926863288
0.1,800.0,1.9598682055044406e-05,-0.019141598754298626,-0.030674341517193424,5.9095823631372044e-05,-0.018730681116233706,-0.06037088491956776,1.5413168706175994e-06,-0.005326178435867356,-0.001483859372719757
0.1,900.0,3.757070237671674e-05,-0.018016076492311656,-0.029285094460016738,0.00011746777141147463,-0.015287802521323796,-0.054299764084538564,-9.729407292578297e-07,-0.006577079365471529,-0.0018863995650214888
0.1,1000.0,7.4155768384763e-05,-0.017076232883427547,-0.0280936547563562,0.0001586735500742637,-0.012633848057472878,-0.04930943950066604,9.051330450856461e-07,-0.007774519889712029,-0.002316130707798626
0.1,1100.0,0.0001302643787858356,-0.0162928847306896,-0.02705534837062374,0.00020343655950464366,-0.010681995901789199,-0.045160701456838225,9.005721094861696e-06,-0.00890386837211519,-0.0027638888702520075
0.1,1200.0,0.00020220600336227153,-0.015640341453753235,-0.026139634817633796,0.0002735792595949434,-0.009258933547774992,-0.04169966686652274,2.253846142635054e-05,-0.009960147697101893,-0.0032145532514293485
0.1,1300.0,0.00028616642697439234,-0.01509295965003181,-0.02532218260453495,0.00037626302734000114,-0.008174836071626704,-0.03873345620609008,4.048718529712976e-05,-0.010942007235671094,-0.0036569600979736616
0.1,1400.0,0.0003798656960012679,-0.014628007432796207,-0.024585264896583577,0.0005063013656124447,-0.00728919164910852,-0.036099229694311175,6.26803480256687e-05,-0.011849990480799615,-0.00408605193362764
0.1,1500.0,0.0004825278905356149,-0.014227339394353606,-0.023916951704584983,0.0006530472728030212,-0.006522724039332059,-0.03369950506048682,8.984898439874474e-05,-0.012686173071212605,-0.004501269830582598
0.1,1600.0,0.0005943122188079924,-0.013877385817277543,-0.023309171489101884,0.0008057472765430729,-0.00584177421112931,-0.031493978517785265,0.00012328494698612117,-0.01345396102781703,-0.004904326582432329
0.1,1700.0,0.0007157580312469647,-0.013568328025213752,-0.022755854202573318,0.0009562723297058632,-0.0052380219679284655,-0.029476016483042964,0.0001644604973905142,-0.014157786456447462,-0.005297556914085512
0.1,1800.0,0.0008474077165003531,-0.013293115226290841,-0.02225168248725379,0.0010998936195045215,-0.004712978928807095,-0.027651342069011094,0.00021474589248788993,-0.01480274078342578,-0.005683001751895197
0.1,1900.0,0.0009896052502261052,-0.013046617781049005,-0.021791453251644877,0.0012349864536350193,-0.0042687989208473635,-0.02602436810491342,0.00027524527499709885,-0.015394223735604682,-0.006062038811060225
0.1,2000.0,0.0011424205045581111,-0.012824993982271526,-0.021369865807769735,0.0013623019003824932,-0.003904037914359504,-0.024591677806729315,0.0003467276278013711,-0.015937655304030716,-0.00643533546849088
0.1,2100.0,0.0013056491004611735,-0.012625252811373614,-0.0209815473568595,0.0014841708463149525,-0.0036125205811349532,-0.023340396891314258,0.00042962110950025705,-0.016438265395966222,-0.0068029569392792
0.1,2200.0,0.0014788506570520231,-0.012444967113243588,-0.020621179389082783,0.0016038103601501113,-0.0033838416914217326,-0.022249286937740316,0.0005240438182482154,-0.016900956262832063,-0.007164527520132127
0.1,2300.0,0.0016614017618776463,-0.012282091984381651,-0.0202836438085508,0.001724788750365334,-0.003204541136739559,-0.02129100920530488,0.0006298517976917281,-0.017330224363522027,-0.007519390872727741
0.1,2400.0,0.0018525501818627067,-0.012134852562040126,-0.019964148334523438,0.0018506486853720025,-0.003059405428289744,-0.020434621570830726,0.0007466920714123737,-0.01773012662035733,-0.007866745523243648
0.1,2500.0,0.0020514635635355744,-0.012001675685575405,-0.019658316067876384,0.0019846640545715323,-0.0029326264063317623,-0.01964782323891406,0.0008740536739259994,-0.018104277547769373,-0.00820574858585997
0.1,2600.0,0.0022572699269030796,-0.011881148343157814,-0.019362237913947544,0.002129700059079481,-0.0028087139002462916,-0.018898748913558562,0.001011313122184105,-0.018455866390365106,-0.008535589049671834
0.1,2700.0,0.002469089509449688,-0.011771991960749132,-0.01907249296207234,0.0022881479278907503,-0.0026731485281393285,-0.018157276717580304,0.0011577729349487747,-0.018787686136075277,-0.008855535406158615
0.1,2800.0,0.0026860586433555263,-0.011673045770181545,-0.01878614408327561,0.0024619105825515594,-0.002512803079038258,-0.01739589508095564,0.0013126930598905018,-0.019102168627417464,-0.009164963248244734
0.1,2900.0,0.002907346818200159,-0.01158325521107505,-0.018500715981893713,0.002652421020711939,-0.002316176364595918,-0.016590206062811377,0.0014753157293851318,-0.019401421855278076,-0.009463368104949457
0.1,3000.0,0.0031321681883172106,-0.011501663031255832,-0.018214161935558502,0.002860680079610481,-0.0020734848989105536,-0.015719148246886767,0.0016448845631317959,-0.01968726690868429,-0.009750367931319979
0.5,250.0,7.631803250796905e-08,-0.03581352846643858,-0.04970380276119024,1.4238525492922075e-06,-0.1033281697595138,-0.18360848096433074,1.0310602123821843e-07,-6.441595012476517e-05,-1.1242314097698436e-05
0.5,260.0,-6.681945496652561e-07,-0.03514689944583029,-0.04884078238446008,-1.2172452848146436e-05,-0.0978566913971548,-0.1755964943857537,-9.61062884540336e-07,-0.00012050434964432357,-4.7292685590828e-06
0.5,270.0,8.3777732608197e-07,-0.03459446305862306,-0.04861686421891583,3.4124065260420264e-05,-0.09638539595260796,-0.17904366913294953,2.0293329973454395e-06,-0.00015876950132347417,-3.4361168641302215e-05
0.5,280.0,-1.4109777366458902e-06,-0.034038787979175596,-0.048242107808798756,-3.072192825225305e-05,-0.09388299915653227,-0.17949406333889462,-3.4239101221835284e-06,-0.00016778094201830009,-2.0984667611579406e-05
0.5,290.0,-1.4897513618330238e-06,-0.0333348767199553,-0.04725379949131112,-1.9796799763728104e-05,-0.08779391354266065,-0.1677413026328442,-1.240975458639772e-06,-0.0001882975334222462,-3.387503363050166e-05
0.5,300.0,-1.7886958925818098e-06,-0.032627438563694454,-0.04617762582281133,1.5025462006464735e-05,-0.08140441642778024,-0.1541557384132152,2.364909948590498e-06,-0.00022555886234900977,-6.0162539875142e-05
0.5,310.0,-2.940766943095883e-06,-0.03202392758622739,-0.04539610068655855,2.3480697306047575e-05,-0.07693996431148184,-0.1462941136463078,2.7539957124234563e-06,-0.00027227013815110326,-8.000786041552338e-05
0.5,320.0,-3.7840505837766567e-06,-0.031530962881307585,-0.0449407826701128,6.667734038444651e-06,-0.0744762443276718,-0.14473868209278642,5.16855389309289e-07,-0.000322740922651417,-8.940969339742445e-05
0.5,330.0,-3.4090702969678215e-06,-0.031104167037255548,-0.044664870581314235,-1.4387683592469656e-05,-0.07307435219884444,-0.14652387586366752,-2.0958850829294272e-06,-0.0003751848543665024,-9.344365578002134e-05
0.5,340.0,-1.8759176479436346e-06,-0.030696632468584874,-0.044409695639453205,-2.4474940893915053e-05,-0.07178774388881734,-0.14845798287163564,-3.6205537892038373e-06,-0.0004300580483360378,-9.78214515365922e-05
0.5,350.0,1.1816353208125224e-07,-0.03027995037553291,-0.0440781164400686,-2.0515323237826997e-05,-0.07007102350110443,-0.148591489119756,-3.8109068573348e-06,-0.0004883374018934965,-0.00010548772062869605
0.5,360.0,1.7951146602476962e-06,-0.029845542577202077,-0.04364069045860927,-7.529090917031184e-06,-0.06778551931487901,-0.14634096442203945,-3.1423167074166167e-06,-0.0005506552870128645,-0.0001167438572342348
0.5,370.0,2.6533558581968984e-06,-0.02939796705416991,-0.04311383037480195,7.18533456937927e-06,-0.06505110816434184,-0.1420501479741728,-2.239978954537055e-06,-0.0006171119709238545,-0.00013053839964492629
0.5,380.0,2.5643542727199476e-06,-0.02894745438183852,-0.04253459933619194,1.7916855014509035e-05,-0.062091461183751154,-0.13648210857630236,-1.5470560446251565e-06,-0.0006874125386211425,-0.00014561350228007284
0.5,390.0,1.6987663145218262e-06,-0.028504578024893402,-0.04194226633631114,2.196000929952372e-05,-0.05912784730661683,-0.1304463724297375,-1.2354364817464486e-06,-0.0007610814879864229,-0.00016112161536531788
0.5,400.0,3.887539292046347e-07,-0.02807745781836601,-0.041368271980863285,1.937101128852651e-05,-0.05632615890210148,-0.12459504007268336,-1.2597615245775149e-06,-0.0008376375137535303,-0.0001767812936018565
0.5,410.0,-1.0018214852355798e-06,-0.027670890359730707,-0.04083275906552757,1.1989027593730625e-05,-0.05378279977029062,-0.11935136643861623,-1.46015466620976e-06,-0.0009166957002787388,-0.0001927674900240499
0.5,420.0,-2.167005754381992e-06,-0.02728661759944446,-0.04034510068163016,2.3728309147243877e-06,-0.05153258714561343,-0.1149193991778928,-1.6559206333537206e-06,-0.0009980051823044816,-0.00020950723164042844
0.5,430.0,-2.903136878217847e-06,-0.02692409814658205,-0.03990629875452212,-7.020132441390863e-06,-0.04956567687162802,-0.11133186241644535,-1.7067013541470821e-06,-0.0010814434629070075,-0.00022748573769006895
0.5,440.0,-3.1168425533543453e-06,-0.026581373965456977,-0.03951185270745238,-1.4319315603918855e-05,-0.04784549626386649,-0.10850796449288394,-1.5392562411469475e-06,-0.0011669880840314369,-0.00024710927334615086
0.5,450.0,-2.809747404246112e-06,-0.026255819767646845,-0.03915433784150055,-1.8427465187629555e-05,-0.04632370868812305,-0.10630565087185016,-1.1481066152106654e-06,-0.0012546809439684076,-0.00026863283631829634
0.5,460.0,-2.051966100825972e-06,-0.025944695200194823,-0.03882538057978724,-1.8994564206120485e-05,-0.04495089013342865,-0.10456185089382607,-5.807373548428252e-07,-0.0013445946212200287,-0.0002921414914200452
0.5,470.0,-9.533122032614959e-07,-0.025645496640760008,-0.03851698409828274,-1.6270193293653597e-05,-0.043683070348038346,-0.10311966984841639,8.339370604211407e-08,-0.0014368053153179484,-0.00031756777673106894
0.5,480.0,3.62270446894154e-07,-0.025356141792287096,-0.03822229076319815,-1.0907786190197348e-05,-0.04248494357931077,-0.10184419586604908,7.536014950287869e-07,-0.001531373815928264,-0.00034472835097215703
0.5,490.0,1.7763872745787919e-06,-0.025075031677887216,-0.03793591593810867,-3.77081100583171e-06,-0.04133071686290146,-0.10062959555590377,1.3448352268412197e-06,-0.0016283340526032932,-0.0003733668489328661
0.5,500.0,3.1893171464853624e-06,-0.02480103264580924,-0.03765398881966182,4.230598338658106e-06,-0.04020347642219528,-0.09940021935279116,1.7892083989354184e-06,-0.0017276878890879802,-0.00040319434199773477
0.5,510.0,4.5271285318805065e-06,-0.024533413167688638,-0.03737401517707512,1.2260485031417543e-05,-0.03909376606937852,-0.09810803458419985,2.0422062863730632e-06,-0.001829404557315812,-0.00043392267376284017
0.5,520.0,5.743936166692475e-06,-0.024271760936883994,-0.03709464920030188,1.9634284221675375e-05,-0.03799786980005369,-0.09672815519304162,2.084392473029477e-06,-0.0019334232060874792,-0.0004652888330270947
0.5,530.0,6.820629014174276e-06,-0.02401589726640003,-0.03681543499436751,2.5857628921012877e-05,-0.03691611426395965,-0.09525370304242393,1.9197717704122976e-06,-0.002039657284293057,-0.0004970704290644877
0.5,540.0,7.76132927152003e-06,-0.02376579893740089,-0.03653655604029795,3.0634847211967924e-05,-0.035851369595709864,-0.09369078809260344,1.5719934407784704e-06,-0.0021479997738462265,-0.0005290934134713325
0.5,550.0,8.588642651683925e-06,-0.023521532616599904,-0.036258614086649744,3.385585869382824e-05,-0.034807829510746374,-0.09205405336269594,1.079432278448383e-06,-0.0022583285710424837,-0.0005612336747481371
0.5,560.0,9.338514308371593e-06,-0.023283203544658043,-0.035982447082149135,3.5569454364724337e-05,-0.03379008773804149,-0.09036298924967294,4.899630338881245e-07,-0.0023705115564587403,-0.0005934142152605554
0.5,570.0,1.0055264330888308e-05,-0.023050918071767883,-0.035708988026876734,3.5949571759844e-05,-0.032802490023512786,-0.08863906332976568,-1.439914848473879e-07,-0.0024844110839934747,-0.0006255994745288588
0.5,580.0,1.0787166919632586e-05,-0.022824758441181217,-0.035439162012917295,3.525960654824291e-05,-0.031848721658766045,-0.08690361654375842,-7.697714368857864e-07,-0.002599887760422895,-0.0006577881017239847
0.5,590.0,1.1582769554305666e-05,-0.022604767701600255,-0.035173816338488054,3.3818300107521937e-05,-0.030931583558278783,-0.08517642657758438,-1.3379575305873725e-06,-0.002716803484424103,-0.0006900051853049646
0.5,600.0,1.2488023499229606e-05,-0.022390942529226052,-0.034913677680082376,3.196944840327294e-05,-0.030052910567535552,-0.08347481954890922,-1.8049545543231026e-06,-0.002835023777560532,-0.0007222946643037839
0.5,610.0,1.3544209807026315e-05,-0.02218323188879945,-0.03465933032534968,3.0056642870666584e-05,-0.029213590527113052,-0.08181321032221807,-2.1347122554542987e-06,-0.0029544194767688963,-0.000754712398738102
0.5,620.0,1.4786590131360476e-05,-0.021981539737346838,-0.034411210012843,2.8403479505839178e-05,-0.028413649342731277,-0.08020296191827991,-2.2996730056558983e-06,-0.0030748678763144965,-0.0007873201767782478
0.5,630.0,1.624368099445552e-05,-0.021785730296244348,-0.0341696087129055,2.7299130651615033e-05,-0.027652374463604284,-0.07865246984226594,-2.281067067835286e-06,-0.0031962534126504464,-0.0008201807829369475
0.5,640.0,1.7937037802395045e-05,-0.021595634737461105,-0.033934686545789246,2.6988825107724376e-05,-0.026928455904610734,-0.07716739421181237,-2.0686878515910014e-06,-0.0033184679828259884,-0.0008533541413688056
0.5,650.0,1.9881434719613444e-05,-0.021411058420542837,-0.03370648786218213,2.76685847129743e-05,-0.026240129829042703,-0.07575097912449187,-1.6602775829149074e-06,-0.0034414109791985103,-0.0008868944744383738
0.5,660.0,2.208533473328148e-05,-0.021231788066821692,-0.03348495925142003,2.9483479738303288e-05,-0.025585314575836154,-0.07440441357119018,-1.060643017312313e-06,-0.003564989113304585,-0.0009208483709214951
0.5,670.0,2.4551556341204475e-05,-0.021057598460637723,-0.0332699678706959,3.2528658293297834e-05,-0.024961732865395925,-0.07312720088864236,-2.806054205957618e-07,-0.0036891160901775964,-0.0009552536352868848
0.5,680.0,2.727805816453585e-05,-0.020888258427621643,-0.0330613190002388,3.6852449099726346e-05,-0.02436701684335974,-0.07191751409667706,6.641286583851481e-07,-0.0038137121838966405,-0.0009901387814781634
0.5,690.0,3.0258777413152947e-05,-0.020723535961462456,-0.03285877212979776,4.246091152557135e-05,-0.023798794750287528,-0.07077252265644571,1.754106943158681e-06,-0.003938703754719659,-0.00102552303808625
0.5,700.0,3.348447238295216e-05,-0.020563202458372225,-0.03266205518758112,4.9323296425044126e-05,-0.023254759481359823,-0.06968868239218218,2.967229098745181e-06,-0.004064022739330638,-0.0010614167418227128
0.5,800.0,7.631273086295028e-05,-0.019158002798587374,-0.030951921358116086,0.00016532256066656,-0.01874853846959193,-0.0613094784687289,1.681458319333432e-05,-0.005323279181690459,-0.001445971677821931
0.5,900.0,0.00013137956563892916,-0.018020275658848308,-0.02955408097303307,0.0002917484284608549,-0.015296743739195196,-0.055261948296865974,2.4012566128893513e-05,-0.00656581534725722,-0.001859450882911848
0.5,1000.0,0.0001974383102942098,-0.01707998747719536,-0.0283533745039151,0.00038462992450465,-0.012648124463479868,-0.05027247795073879,2.4966201070424045e-05,-0.00776369968740357,-0.0022807823973316813
0.5,1100.0,0.00027894535791646904,-0.01629988944952726,-0.027304781182837152,0.000468459236995121,-0.01070363313605604,-0.046109912959707004,2.810592196355855e-05,-0.008898767871237773,-0.002702777535671789
0.5,1200.0,0.00037910607360112485,-0.01564952550903564,-0.026380574076588996,0.0005764758202527585,-0.009283957590277479,-0.04263556684934333,3.98337840969185e-05,-0.009960631457541783,-0.003125082808869464
0.5,1300.0,0.0004980963717435985,-0.015101938172103329,-0.025558167253417023,0.0007227543586581014,-0.008199038148122895,-0.0396644972220105,6.244694784914423e-05,-0.010945173830549607,-0.0035476900565962004
0.5,1400.0,0.0006340544582743655,-0.01463496729690109,-0.024819799006114737,0.0009029473803971749,-0.007310313728124148,-0.03703364737022936,9.56819787736018e-05,-0.011852776717487336,-0.003969137361971033
0.5,1500.0,0.0007844186584411737,-0.014231621965465764,-0.024152420751734863,0.0011035858777857688,-0.006540427679454463,-0.03464095167619223,0.00013850102862601147,-0.012686681825077187,-0.004386984642441472
0.5,1600.0,0.0009467865739363119,-0.013879368475874775,-0.02354655540603522,0.0013100013010718527,-0.005856858174321263,-0.03244071091383367,0.0001901246748789035,-0.013451723727513645,-0.004798688392770014
0.5,1700.0,0.0011192751804279637,-0.013569047589265786,-0.022994939186226353,0.001510656409548503,-0.005251645617164021,-0.030422119697923557,0.00025038056662918446,-0.014153453414559895,-0.005202194470300599
0.5,1800.0,0.0013005684389271795,-0.013293871989909133,-0.02249147813784691,0.0016985999847886572,-0.0047261385837600745,-0.028588681480984018,0.00031966356401800334,-0.014797579067899901,-0.00559617606240728
0.5,1900.0,0.0014898201333968433,-0.01304865926062262,-0.022030627745859087,0.0018712626867523824,-0.004282064957799747,-0.026944488976427476,0.0003987432330418798,-0.015389634710289675,-0.005980029186265437
