pressure[atm]        = 100
temperature[K]       = 200
energy step[1/cm]    = 14
maximum energy[1/cm] = 7362

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      12.1226  6.29028e-07
      12.0826  6.80555e-07
      12.0426  7.36256e-07
      12.0025  7.96464e-07
      11.9625  8.61538e-07
      11.9225  9.31868e-07
      11.8824  1.00787e-06
      11.8424     1.09e-06
      11.8024  1.17874e-06
      11.7624  1.27462e-06
      11.7223  1.37821e-06
      11.6823   1.4901e-06
      11.6423  1.61097e-06
      11.6023  1.74152e-06
      11.5622  1.88252e-06
      11.5222  2.03478e-06
      11.4822   2.1992e-06
      11.4421  2.37673e-06
      11.4021   2.5684e-06
      11.3621  2.77532e-06
      11.3221  2.99869e-06
       11.282  3.23979e-06
       11.242  3.50001e-06
       11.202  3.78084e-06
       11.162  4.08388e-06
      11.1219  4.41087e-06
      11.0819  4.76367e-06
      11.0419  5.14427e-06
      11.0018  5.55484e-06
      10.9618  5.99769e-06
      10.9218  6.47531e-06
      10.8818  6.99041e-06
      10.8417  7.54585e-06
      10.8017  8.14475e-06
      10.7617  8.79044e-06
      10.7217  9.48652e-06
      10.6816  1.02369e-05
      10.6416  1.10456e-05
      10.6016  1.19172e-05
      10.5615  1.28564e-05
      10.5215  1.38685e-05
      10.4815  1.49589e-05
      10.4415  1.61336e-05
      10.4014  1.73991e-05
      10.3614   1.8762e-05
      10.3214    2.023e-05
      10.2813  2.18107e-05
      10.2413  2.35129e-05
      10.2013  2.53455e-05
      10.1613  2.73185e-05
      10.1212  2.94423e-05
      10.0812  3.17281e-05
      10.0412  3.41883e-05
      10.0012  3.68357e-05
      9.96113  3.96842e-05
       9.9211  4.27489e-05
      9.88107  4.60459e-05
      9.84105  4.95922e-05
      9.80102  5.34065e-05
      9.76099  5.75084e-05
      9.72096  6.19191e-05
      9.68094  6.66615e-05
      9.64091  7.17598e-05
      9.60088  7.72402e-05
      9.56085  8.31307e-05
      9.52083  8.94611e-05
       9.4808  9.62635e-05
      9.44077  0.000103572
      9.40074  0.000111424
      9.36072  0.000119859
      9.32069  0.000128918
