========================================
ch2o+o2_P1_SymmetryFactor_1_0.1.out
--
T,P1->P2
650.0,6.52668e-24
660.0,1.02762e-23
670.0,1.60758e-23
680.0,2.48397e-23
690.0,3.79216e-23
700.0,5.7189e-23
800.0,2.05048e-21
900.0,3.45728e-20
1000.0,3.47575e-19
1100.0,2.37457e-18
1200.0,1.20873e-17
1300.0,4.84626e-17
1400.0,1.63049e-16
1500.0,4.73324e-16
1600.0,1.21793e-15
1700.0,2.83876e-15
1800.0,6.05842e-15
1900.0,1.20785e-14
2000.0,2.25443e-14
2100.0,3.99062e-14
2200.0,6.75509e-14
2300.0,1.09731e-13
2400.0,1.72913e-13
2500.0,2.61165e-13
2600.0,3.85627e-13
2700.0,5.54985e-13
2800.0,7.80264e-13
2900.0,1.07441e-12
3000.0,1.45219e-12
========================================
ch2o+o2_B1_Energy_1_34.9759.out
--
T,P1->P2
250.0,7.21722e-44
260.0,1.18252e-42
270.0,1.55881e-41
280.0,1.75862e-40
290.0,1.66825e-39
300.0,1.33261e-38
310.0,9.44318e-38
320.0,5.96429e-37
330.0,3.38881e-36
340.0,1.74861e-35
350.0,8.27465e-35
360.0,3.56831e-34
370.0,1.43331e-33
380.0,5.39637e-33
390.0,1.88937e-32
400.0,6.29856e-32
410.0,1.96141e-31
420.0,5.76785e-31
430.0,1.6316e-30
440.0,4.39517e-30
450.0,1.14279e-29
460.0,2.8473e-29
470.0,6.80988e-29
480.0,1.59283e-28
490.0,3.52909e-28
500.0,7.67307e-28
510.0,1.63622e-27
520.0,3.33894e-27
530.0,6.71188e-27
540.0,1.31487e-26
550.0,2.50807e-26
560.0,4.67293e-26
570.0,8.52806e-26
580.0,1.53547e-25
590.0,2.71449e-25
600.0,4.71697e-25
610.0,8.02442e-25
620.0,1.33772e-24
630.0,2.19786e-24
640.0,3.56086e-24
650.0,5.7272e-24
660.0,9.01068e-24
670.0,1.40848e-23
680.0,2.17451e-23
690.0,3.31681e-23
700.0,4.99749e-23
800.0,1.77274e-21
900.0,2.95164e-20
1000.0,2.92778e-19
1100.0,1.97296e-18
1200.0,9.90724e-18
1300.0,3.91979e-17
1400.0,1.30199e-16
1500.0,3.73354e-16
1600.0,9.49518e-16
1700.0,2.18869e-15
1800.0,4.62209e-15
1900.0,9.12344e-15
2000.0,1.68686e-14
2100.0,2.95939e-14
2200.0,4.96729e-14
2300.0,8.00461e-14
2400.0,1.25183e-13
2500.0,1.8772e-13
2600.0,2.75298e-13
2700.0,3.93646e-13
2800.0,5.50043e-13
2900.0,7.52982e-13
3000.0,1.0121e-12
========================================
ch2o+o2_P1_Energy_1_34.9759.out
--
T,P1->P2
250.0,1.07946e-43
260.0,1.74149e-42
270.0,2.26297e-41
280.0,2.51928e-40
290.0,2.36038e-39
300.0,1.86381e-38
310.0,1.30652e-37
320.0,8.16865e-37
330.0,4.59727e-36
340.0,2.35099e-35
350.0,1.10315e-34
360.0,4.7193e-34
370.0,1.88137e-33
380.0,7.03277e-33
390.0,2.44564e-32
400.0,8.10055e-32
410.0,2.50712e-31
420.0,7.32966e-31
430.0,2.06188e-30
440.0,5.52479e-30
450.0,1.42922e-29
460.0,3.54368e-29
470.0,8.43602e-29
480.0,1.9644e-28
490.0,4.33376e-28
500.0,9.384e-28
510.0,1.99317e-27
520.0,4.05196e-27
530.0,8.11549e-27
540.0,1.58426e-26
550.0,3.01169e-26
560.0,5.59296e-26
570.0,1.0175e-25
580.0,1.82643e-25
590.0,3.21938e-25
600.0,5.57843e-25
610.0,9.46386e-25
620.0,1.57349e-24
630.0,2.57857e-24
640.0,4.16726e-24
650.0,6.68633e-24
660.0,1.0495e-23
670.0,1.63677e-23
680.0,2.52139e-23
690.0,3.83767e-23
700.0,5.77024e-23
800.0,2.0104e-21
900.0,3.30088e-20
1000.0,3.23778e-19
1100.0,2.16199e-18
1200.0,1.0774e-17
1300.0,4.23531e-17
1400.0,1.39904e-16
1500.0,3.99264e-16
1600.0,1.01116e-15
1700.0,2.32217e-15
1800.0,4.88789e-15
1900.0,9.61975e-15
2000.0,1.77392e-14
2100.0,3.10467e-14
2200.0,5.19981e-14
2300.0,8.36266e-14
2400.0,1.30545e-13
2500.0,1.95432e-13
2600.0,2.86164e-13
2700.0,4.08597e-13
2800.0,5.70173e-13
2900.0,7.79573e-13
3000.0,1.04663e-12
========================================
ch2o+o2_B1_HinderRotor_1_0.1.out
--
T,P1->P2
250.0,8.8265e-44
260.0,1.43504e-42
270.0,1.87818e-41
280.0,2.10487e-40
290.0,1.98436e-39
300.0,1.57599e-38
310.0,1.11075e-37
320.0,6.97999e-37
330.0,3.94706e-36
340.0,2.02755e-35
350.0,9.55414e-35
360.0,4.10365e-34
370.0,1.64213e-33
380.0,6.16047e-33
390.0,2.14959e-32
400.0,7.14295e-32
410.0,2.21754e-31
420.0,6.50203e-31
430.0,1.83417e-30
440.0,4.92772e-30
450.0,1.27801e-29
460.0,3.17646e-29
470.0,7.57946e-29
480.0,1.76888e-28
490.0,3.91078e-28
500.0,8.48553e-28
510.0,1.8059e-27
520.0,3.67821e-27
530.0,7.38039e-27
540.0,1.44329e-26
550.0,2.74837e-26
560.0,5.11229e-26
570.0,9.31519e-26
580.0,1.67464e-25
590.0,2.95618e-25
600.0,5.12965e-25
610.0,8.71447e-25
620.0,1.45082e-24
630.0,2.38061e-24
640.0,3.85215e-24
650.0,6.18821e-24
660.0,9.72457e-24
670.0,1.51834e-23
680.0,2.34154e-23
690.0,3.56775e-23
700.0,5.36998e-23
800.0,1.88783e-21
900.0,3.12138e-20
1000.0,3.07888e-19
1100.0,2.06532e-18
1200.0,1.03315e-17
1300.0,4.0745e-17
1400.0,1.34964e-16
1500.0,3.86092e-16
1600.0,9.79856e-16
1700.0,2.25444e-15
1800.0,4.75313e-15
1900.0,9.36831e-15
2000.0,1.72984e-14
2100.0,3.03116e-14
2200.0,5.08222e-14
2300.0,8.18168e-14
2400.0,1.27836e-13
2500.0,1.91537e-13
2600.0,2.80678e-13
2700.0,4.01052e-13
2800.0,5.60018e-13
2900.0,7.66162e-13
3000.0,1.02922e-12
