Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.37748e-18  1.15382e-27
  210  7.03766e-18  5.12416e-27
  220  1.10731e-17  2.03064e-26
  230  1.70585e-17  7.27127e-26
  240  2.57456e-17  2.37779e-25
  250  3.80938e-17  7.16629e-25
  260  5.53029e-17  2.00644e-24
  270  7.88437e-17  5.25524e-24
  280  1.10487e-16  1.29556e-23
  290  1.52332e-16  3.02263e-23
  300  2.06828e-16  6.70602e-23
  310  2.76798e-16  1.42091e-22
  320  3.65452e-16  2.88642e-22
  330  4.76406e-16  5.64075e-22
  340  6.13685e-16  1.06375e-21
  350  7.81733e-16  1.94124e-21
  360  9.85415e-16  3.43667e-21
  370  1.23001e-15  5.91566e-21
  380  1.52123e-15  9.92117e-21
  390  1.86516e-15  1.62415e-20
  400  2.26832e-15   2.5997e-20
  410   2.7376e-15  4.07499e-20
  420  3.28026e-15  6.26388e-20
  430  3.90395e-15  9.45434e-20
  440  4.61662e-15  1.40281e-19
  450  5.42659e-15   2.0484e-19
  460  6.34247e-15  2.94652e-19
  470  7.37318e-15  4.17903e-19
  480   8.5279e-15  5.84896e-19
  490   9.8161e-15  8.08452e-19
  500  1.12475e-14  1.10437e-18
  510  1.28319e-14  1.49191e-18
  520  1.45796e-14  1.99439e-18
  530  1.65009e-14  2.63973e-18
  540  1.86063e-14  3.46118e-18
  550  2.09065e-14  4.49796e-18
  560  2.34123e-14  5.79608e-18
  570  2.61347e-14   7.4091e-18
  580  2.90849e-14    9.399e-18
  590   3.2274e-14  1.18371e-17
  600  3.57135e-14   1.4805e-17
  610  3.94147e-14  1.83956e-17
  620  4.33892e-14  2.27139e-17
  630  4.76486e-14  2.78786e-17
  640  5.22046e-14  3.40225e-17
  650  5.70688e-14  4.12942e-17
  660  6.22532e-14   4.9859e-17
  670  6.77694e-14     5.99e-17
  680  7.36294e-14  7.16195e-17
  690  7.98452e-14  8.52402e-17
  700  8.64285e-14  1.01006e-16
  750  1.25279e-13  2.22233e-16
  800  1.75117e-13  4.48327e-16
  850  2.37437e-13  8.41621e-16
  900  3.13719e-13  1.48723e-15
  950  4.05422e-13  2.49659e-15
 1000  5.13976e-13  4.01062e-15
 1050  6.40776e-13  6.20245e-15
 1100   7.8718e-13  9.27956e-15
 1150  9.54501e-13  1.34855e-14
 1200  1.14401e-12  1.91012e-14
 1250  1.35694e-12  2.64454e-14
 1300  1.59447e-12  3.58753e-14
 1350  1.85772e-12  4.77863e-14
 1400  2.14779e-12  6.26114e-14
 1450  2.46571e-12   8.0821e-14
 1500  2.81248e-12  1.02921e-13
 1550  3.18905e-12  1.29454e-13
 1600  3.59632e-12  1.60992e-13
 1650  4.03516e-12  1.98145e-13
 1700   4.5064e-12  2.41549e-13
 1750  5.01081e-12   2.9187e-13
 1800  5.54915e-12  3.49802e-13
 1850  6.12212e-12  4.16066e-13
 1900  6.73042e-12  4.91403e-13
 1950  7.37468e-12   5.7658e-13
 2000  8.05551e-12  6.72384e-13
 2050  8.77351e-12  7.79619e-13
 2100  9.52923e-12   8.9911e-13
 2150  1.03232e-11  1.03169e-12
 2200  1.11559e-11  1.17823e-12
 2250  1.20279e-11  1.33958e-12
 2300  1.29396e-11  1.51662e-12
 2350  1.38914e-11  1.71025e-12
 2400  1.48838e-11  1.92136e-12
 2450  1.59171e-11  2.15087e-12
 2500  1.69917e-11  2.39968e-12
 2550  1.81081e-11  2.66873e-12
 2600  1.92665e-11  2.95894e-12
 2650  2.04672e-11  3.27124e-12
 2700  2.17107e-11  3.60656e-12
 2750  2.29971e-11  3.96586e-12
 2800  2.43269e-11  4.35006e-12
 2850  2.57001e-11  4.76012e-12
 2900  2.71172e-11  5.19698e-12
 2950  2.85784e-11  5.66158e-12
