    E, kcal/mol    D, mol/kcal         W1->P0
            8.2         167339    1.77613e+12
            8.3         169351    1.84663e+12
            8.4         171222     1.9199e+12
            8.5         173007    1.99543e+12
            8.6         175144     2.0681e+12
            8.7         177113     2.1439e+12
            8.8         178947    2.22255e+12
            8.9         180706    2.30342e+12
              9         182410    2.38632e+12
            9.1         184596    2.46411e+12
            9.2         187039    2.53951e+12
            9.3         189065    2.62167e+12
            9.4         191361    2.70129e+12
            9.5         193937    2.77805e+12
            9.6         196210    2.86032e+12
            9.7         198309    2.94646e+12
            9.8         200308    3.03554e+12
            9.9         202234    3.12729e+12
             10         204094    3.22173e+12
           10.1         206503    3.30907e+12
           10.2         208525    3.40419e+12
           10.3         210866    3.49572e+12
           10.4         213491    3.58405e+12
           10.5         216297    3.67075e+12
           10.6         218715    3.76554e+12
           10.7         220966    3.86483e+12
           10.8         223116    3.96762e+12
           10.9         225190    4.07353e+12
             11         227431    4.17818e+12
           11.1         229792    4.28233e+12
           11.2         231942    4.39216e+12
           11.3         234478    4.49635e+12
           11.4         237268    4.59721e+12
           11.5         239681    4.70695e+12
           11.6         241949    4.82123e+12
           11.7         244498    4.93158e+12
           11.8         247347    5.03737e+12
           11.9         249915    5.15042e+12
             12         252303    5.26876e+12
           12.1         254589    5.39092e+12
           12.2         256800    5.51639e+12
           12.3         259483    5.63335e+12
           12.4         262408     5.7465e+12
           12.5         265245    5.86296e+12
           12.6         268340    5.97509e+12
           12.7         271588    6.08509e+12
           12.8         274480    6.20439e+12
           12.9         277169    6.32969e+12
             13         279736    6.45925e+12
           13.1         282213    6.59239e+12
           13.2         284611    6.72893e+12
           13.3         287544    6.85425e+12
           13.4         290080    6.99046e+12
           13.5         292928    7.12054e+12
           13.6         296050    7.24524e+12
           13.7         299347    7.36687e+12
           13.8         302245    7.49952e+12
           13.9         304971    7.63776e+12
             14         307939    7.77124e+12
           14.1         310806    7.90853e+12
           14.2         313726    8.04572e+12
           14.3         316710     8.1825e+12
           14.4         319457    8.32669e+12
           14.5         322571    8.46251e+12
           14.6         325923    8.59323e+12
           14.7         328883    8.73545e+12
